name,rating_info,review_text
Michael,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with kids","We enjoyed our stay. The house was very clean, roomy, cool & close to town!"
Michele,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","Marsha was the best Airbnb hostess! We had to change our dates due to an expected death in our family. She accommodated us, and it was so appreciated. We love the spacious home! And, we love the privacy we got in the country! We will definitely stay there again!"
Douglas,"Rating, 5 stars
,
·
2 days ago
,
·
Stayed a few nights","We found The Whatley House to be exactly as described. The interior was modern, efficient, and clean. Everything inside and out is well maintained. Our host responded almost instantly to any questions we had. We were attending a family wedding in Troy and felt this would be a great place for the four of us to stay, and boy, were we right! There was even a friendly horse next door that took to us right away, what a bonus! I highly recommend The Whately House and its gracious owner and host!"
Meredith,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",This place was perfect for us and had plenty of room! The host was very responsive and helpful! We will definitely stay there next time we are in town!
Tondra,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",We loved the house and the quiet country setting.
Emily,"Rating, 4 stars
,
·
3 weeks ago
,
·
Group trip","Good place to stay while visiting Troy. A little of a drive to Troy, but the space was worth it!!"
Melissa,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",We came up to visit our grandchildren and have family time. The house was perfect. We’re enjoyed the pool take but most of all the beautiful porch sitting and horse petting we got to do. There’s nothing better but getting up and sitting in the porch and watching the horses same to be said for the sunsets. There was plenty of room for everyone to have their space and we had a nice family dinner with plenty of room for everyone. It’s great there’s spring in the kitchen and two dining room tables. Whenever I had a question Brenda responded immediately. I also had the pleasure of meeting her and her husband and coincidentally her daughter. I’d you’re looking for a spacious house in the country with great views- this is a great one!
Amanda,"Rating, 5 stars
,
·
April 2024
,
·
Stayed about a week","Brenda is an excellent host. If you're looking for more of a rural setting, this is the place to go. The drive out to the house on the county roads is a nice drive. It's quiet, peaceful, and I had everything I needed during my stay. Sitting on the front porch in a rocker with a book is a great way to spend a lazy day. The pool table is good entertainment with a few friends. The house is spacious and not crowded, clean, and comfortable. The soaking tub was a highlight for relaxation. Brenda was helpful and responded readily. I will definitely be booking her place the next time I'm in the area!"
Jim,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","House was perfect
Large rooms with plenty of space to spread out
Nice and quiet"
Wes,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","The house was great, I would book again."
Mike,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Brenda accommodated us on very short notice, and our stay was great! Would definitely stay here again."
Josh,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Great place to stay and centrally located to get to Troy. Clean, quite place and is the perfect place to stay for local hunting or to get to Troy."
Matthew,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Excellent place to stay very spacious and also very clean with a great outdoor view!!!!
