name,rating_info,review_text
Justine,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed one night",Booked this spot for a quick overnight while doing a road trip and it was perfect. Loved the porch for coffee in the morning. The apartment was very clean and the kitchen was decently stocked. Loved the area and all of the trees in the neighborhood. Would recommend for sure!
Ryan,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","My wife and I had a great stay at BJ’s place. It was in a great location, brightly lit, and close to many restaurants and stores. The space was clean and spacious, would recommend!"
Nicole,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","We stayed for 1 quick overnight, but it was very cozy! The mattress was incredibly comfortable!"
Alexis,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Great place to get some hiking and skiing in. We went to Palisades and enjoyed this location. The space was clean and matched the description.
Michael,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Amazing stay! I would highly recommend staying at BJ’s. Outstanding location (a few minutes to the Truckee Main Street and very close to beautiful hiking…and, of course, Lake Tahoe). The place is really nicely appointed, so you’ll feel right at home. Enjoy your stay :-)"
Joshua,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Exactly as described! Would stay again.
David,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This is a cozy, rustic and clean little mountain space - we really enjoyed our stay!"
Nika,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","BJ’s place was perfect for a last minute trip we had to take to the area for a family emergency. The place was clean, conveniently located, and just as described in the listing and in other reviews. Grateful that Bj was able to accommodate us on such short notice."
Kazuko,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Only stayed one night but it was spotless- cozy and close to restaurants and boarding :)
Bitao,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Very lovely place. We would definitely come here again!
Donna,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","This is the first time I rented an air b&b - was a little nervous but the air b&b was perfect! So happy that it matched the picture! Very clean and comfortable! It was located in a very beautiful and safe area! Felt very safe staying there by my self!
The one thing I would recommend is that the heat be turned on before the guest arrive - I checked in at 1 am and the temp was at 50 degrees - it was very cold 🥶
Apart from that I would definitely rent this air b&b the next time I am in California!"
Quynh,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",We’ve stayed multiples times and it is always consistently great.
Shilpi,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Bj's place was the perfect HQ for skiing at Palisades. It is inside a neighborhood, so very quiet. It had all the amenities one could need/want for a ski trip for two."
Macey,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",We had a great stay and they were super accommodating when we had to adjust our dates due to a storm in the area.
Idan,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Clean, easy to get to, and a short drive to the mountain!"
Hayden,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","met all our needs , was great for a ski trip ."
Lara,"Rating, 4 stars
,
·
February 2024
,
·
Stayed with kids",This place was perfect for my 9 year old and I for a couple of days skiing. We love Truckee and the location was perfect. Bed was super comfortable too. The one thing keeping this from being a 5 star review were the overhead lights made me feel like I was under fluorescent lighting. Wish the light bulbs were warmer instead of cold white.
Lindsey,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","Our stay here felt so comfortable, thoughtful, and cozy! The bed was very comfortable and the layers of fleece and comforter kept us warm. The fireplace got the room toasty quickly and we enjoyed some board games as well. The shower was amazing - hot water immediately and the water pressure is perfect.
My partner and I both agree this is one of the best airbnbs we have ever stayed in. We would definitely book this place again!"
Claudia,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","This place has everything you need! The unit was well furnished and had a large patio. Full size range, microwave, and fridge! Bj helped us out when our rental car’s battery died, he is awesome. This place is a gem for couples looking to ski Palisades!"
John,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",second time staying - this place is so perfect for 2 people. just the right size and nothing missed on interior design or on tech. just right!
Sean,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Had a wonderful stay here. It’s a perfect little getaway. We had a little ski/snowboarding trip and just the location was wonderful. Close to everything. Definitely would love to stay again.
David,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","excellent little spot, exactly as described."
Chris,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","This AirBnb is a great option in Truckee. It's about 1 mile from the nearest restaurant/brewery (Fifty Fifty - with killer dark beers in particular) - so walkable-ish, but certainly close to town and Northstar if you're here to ski.
The unit was pristinely clean and comfortable and attractive. It is small, but more than enough for a couple. The bed was very comfortable, but the sheets are a terrycloth material that while very warm, may or may not be to everyone's liking.
Shower has good water pressure and get plenty hot enough quickly.
We cook several meals in during our vacations. The kitchen is equipped with what looked like bran- new Cuisinart nonstick cookware. Be aware however it is not stocked with certain basics you'll want if you're gonna cook much such as cooking oil, tin foil or ziplock bags, or more than a handful of coffee filters.
all in all, this is a fantastic option for a stay in the North Tahoe area - highly recommend"
Charlie,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Thank you BJ! It was a great stay!
Kristy,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","My friend and I stayed here for an extended ski weekend and had a great time. The location is very close to downtown Truckee, and the space itself was very clean. I think it was honestly one of the nicest Airbnbs I've stayed in the Tahoe area!"
Patrick,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Great host. Great house.
Hope,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Great place with a well-appointed kitchen! Would highly recommend!
Carly,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night","So great!! Very clean space! We had a great stay, it was very warm, cozy, and home like! Loved it! We will be back!"
Jacqueline,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Great place!
Colin,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","This Airbnb is great - description and photos are spot on. Perfect space for 1 or 2 people. Super spacious and extremely centrally located. We were easily able to get to Northstar and Palisades Ski Resorts. Also had a great time in downtown Truckee, less than 5 minute drive. Would definitely stay here again!"
Miguel,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Amazing place for a few days around Tahoe. Easy access to all Tahoe has to offer, skiing, hiking and the lake! Super nice, respectful and helpful host. Will come back again!"
Chanelle,"Rating, 4 stars
,
·
December 2023
,
·
Stayed one night",Great place and super close to the ski resorts. Only comment was the night we stayed the shower couldn’t get any hotter than luke warm. This was a bummer because there is nothing better than a nice hot shower after skiing all day. I mentioned this to the owner so hopefully they will get it fixed for the next guest. I still gave her a good rating since the place was still clean and check in was seamless. Would stay here again!
Jonathan,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","Bj's place was super easy to find and conveniently located near town to grab food, groceries, and gas. I just stayed overnight after a quick trip to Boreal for the weekend and it was great. Super clean and the space was perfect for 2. Solid stay!"
Janice,"Rating, 5 stars
,
·
November 2023
,
·
Stayed about a week",The apartment was clean and comfortable. The photos were accurate although there is a lovely front porch not pictured. The neighborhood is lovely. The place is located on a quiet road. A very nice place to stay.
Jim,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",My wife and I had a wonderful long weekend in Truckee. BJ’s place is close to everything but tucked away enough to be quiet and peaceful. Highly recommend!
Nancy,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",BJ’s place was a great location for our Lake Tahoe explorations. It was clean and comfortable. The shower head is amazing!!! We would stay again.
Michael,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Awesome stay 😎
Jaimee,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",Great place and stay! Would definitely recommend and would stay here again. 😁
Doyel,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Had a great stay at Bj's place.
The balcony is to die for.
thanks for being such a nice host. your place is awesome."
Alberto,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",great place
Mike,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Great place to stay!
Allison And Chris,"Rating, 4 stars
,
·
October 2023
,
·
Stayed a few nights",Our stay was quiet and peaceful. The neighborhood is safe and close to town and all amenities. Everything was as shown in the photos. No problems with the host or the home. The bed was hard but the place was warm with two types of heat and nice warm blankets.
Maya-Heidi,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Great stay!
Michaela,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Worked out great for us! Our trip was quick and last minute and we were happy to find such a well located and Airbnb at a great value!
Vickie,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","BJs place was very comfortable. Very easy heating system and comfortable bed. The location is perfect, private, and away from the hustle and bustle of Truckee."
Marc,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Great unit close enough to town for convenience, but far enough away for peace and quiet. The covered balcony area was awesome!"
Christopher,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Recommended for anyone that wants a peaceful spot in truckee
Ben,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Nice place, very clean, convenient and exactly as described. Really enjoyed having the covered porch."
Liam,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Clean, nice neighborhood, exactly as expected"
Alyssa,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","We loved our time at BJ’s place. Just enough space for what we needed and peaceful, beautiful surroundings. You won’t go wrong staying here."
Michael,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Great location. Easy access to downtown Truckee. Perfect for a weekend getaway for 2.
David,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Thoroughly enjoyed our stay! Super clean, fantastic balcony, easy access, and close to downtown.
BJ was a fantastic host with communication. Pictures didn’t do justice.. the place is immaculate! :)
I look forward to coming back next year."
Rebecca,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",I would absolutely stay here again! I was only here for a couple nights for work and I wish I got to enjoy it longer. There's a private entrance and deck to enjoy. Everything was clean and cozy.
Rebecca,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night",Cozy & nice for the night :)
Mike,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",We needed a place to stay at the last minute and Bj was very prompt to reply to our inquiry an approve our stay. Thank you!
Elizabeth,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","Excellent stay, kind host, nice and quiet :)"
Barbara,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Great stay, confortable, loved the deck. We will definitely book again. Thanks!"
Chad,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","Great little place for a quick stay. Clean, comfortable and easy to find. Would happily stay again."
Jeff,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","It's a well equipped, clean upstairs apartment just a couple miles from historic downtown Truckee. Good for one or two people. Note, if you have heavy bags, there quite a few steps up to the front door. My timing wasn't ideal as my arrival was in the middle of a heat wave. I opened all the windows and used the fan provided to cool the apartment off."
Kristin,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","My daughter and I enjoyed our stay in Truckee! Bj's spot was convenient to activities we'd planned for Lake Tahoe. We loved walking to a neighborhood restaurant for dinner, too. The space was clean, quiet, and just what we'd hoped for. Highly recommend!"
Kody,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night",Everything was great and awesome spot.
Tommy,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Bj's space was as described- clean, quiet and for what we were looking to do, a great location. She was responsive and helped us easily add an extra day to our stay. Would definitely stay here again. Thanks!"
Brian,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","BJ’s guest house was clean, convenient and cozy. We had a great stay."
Katrina,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Very clean space with useful accommodations and modern appliances
Areli,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night",This will definitely be a place that we return to. The host was very understanding and helpful. The place was amazing and just like the pictures. It’s close to many restaurants and is in calm community. We loved it and are very thankful for our hosts.
Sarah,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Stayed here for a wedding! Really pleasant apartment in beautiful surroundings! Within easy driving/biking distance or semi-ambitious walking distance to all that downtown Truckee has to offer. The front porch is such a nice feature for getting a bit of fresh air. Blinds on all the windows were perfect for that necessary nap between the ceremony and reception! Also appreciate separate thermostats for living room versus bedroom. Water heater was good quality: can withstand a back-to-back shower and bath.
Eea,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","It was extremely clean except some dirty dishes. It's a fantastic place to stay for couples! The balcony is amazing as long as it's not too cold! It's also very private and peaceful, with pretty surroundings. There's a grocery store really close by if you're planning on cooking. Definitely recommend!"
James,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Within manageable driving distance of Tahoe. Comfortable and clean with a great outdoor awning. Good space to cook. Enjoyed the rustic yet homey vibes of the space and the area, versus the artificial feeling of a place like South Lake Tahoe. Also saw a bear walk through the neighborhood, but it didn’t cause problems. Was fun. One of the best overall Airbnb experiences thus far."
Eve,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Fully stocked kitchen. They provided coffee. The bed linens were high quality and the bed was nice and firm. Great shower head. The deck would have been great to hang out on but it was a little cold during our visit.
Blythe,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",BJ's place is wonderful. I was thankful to be able to return for my second stay. Would love to come back soon.
