name,rating_info,review_text
Maroa,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","The bungalow was great!
It was exactly what we needed for a graduation weekend. The house duplex is in a good area of town. Close to all activities. The host
was responsive and helpful."
Jaime,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Great place. Cute and cozy. Even though it’s a duplex there was a lot of privacy.
Ken,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Liia's place was just what we needed for a quick overnight trip to Uvalde. Well equipped amenities made it feel like home.
Kelli,"Rating, 5 stars
,
·
April 2024
,
·
Stayed about a week",Thank you Liia for making my husband's stay comfortable! He had everything he needed for an enjoyable few weeks in Uvalde.
Hilary,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Liia's place is a charming vintage gem set in a lovely walkable neighborhood with awesome trees. We had everything we needed except a garbage disposal in the kitchen sink & a dishwasher - but that's just part of the old world charm! AC units kept the place very comfortable. Liia is a great host. She answered all our questions and was easy to reach. The house is lovely, everything was clean and we really enjoyed our stay. Deer came to visit the spacious backyard in the evenings, and there were magical fireflies in a nearby park (we live in the arid Southwest and hadn't seen those in ages). Location is convenient to exploring the town. Parks, groceries, restaurants are all nearby."
Eduardo,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights","We enjoyed our stay, we only had two issues with our stay but considering it’s an older home it’s understandable. The first being a security issue since a couple of windows were unable to be locked. The second being bugs, both dead and alive throughout the house. Other than that we enjoyed our stay, it was in a good location and was near everything. We had no issues with check-in or parking and the host was generous enough to leave a stocked medicine cabinet and complimentary drinks in the fridge. The rental did have lots of space and was decorated well."
Claudia,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",The place meet our needs while in uvalde visiting family for a day. I like that it has a smart TV to watch my shows. And the host has some soft drinks available for us which was very kind and convenient.
Pete,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Great value
Clean"
Barbara,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Just as described. A comfortable, tastefully quirky old house in a residential neighborhood within a 10-minute walk of the downtown square. More thoughtful amenities in the kitchen than I had expected or had seen in other airbnbs. Would definitely choose her vintage bungalow again when back in Uvalde."
Erin,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Great stay for one night passing through town! Clean, comfortable and friendly host."
Oscar,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","This place was whole vibe, great lighting in the afternoon. Very quiet and peaceful."
Alonzo,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","beautiful home, very cozy and Liia was very nice and responsive, a must stay if visiting the uvlade area"
Michelle,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Great place. Would stay again
Lilo,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",quick drive to the center of town and a very quiet neighborhood!
Klarissa,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Very peaceful and private. Would definitely book again!
Mattie,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night","This is a lovely cottage with lots of history nestled amongst large oak trees. It is spacious, comfortable, delightfully decorated and thoughtfully stocked. Forego the TV and check out the reading selection instead and take a long soak in the deep cast iron tub."
Sonya,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Conveniently close to Main Street. Close to restaurants and stores. Great space and location! Short stay but overall great!
Caroline,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Super cute place! Very clean and tidy. My husband and I felt perfectly safe in the neighborhood.
