name,rating_info,review_text
Mary,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Tyler’s place was great. Very clean and had a great vibe. The decor and responsiveness of Tyler was top notch.
Brittany,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Fabulous location and unit.
Pauline,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",This place was a great weekend getaway to explore Vicksburg. There were two couples in our group and this was a perfect spot to accommodate our needs. Tyler is very responsive and helpful with any questions. We definitely enjoyed our time together in this unique space.
Luis,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",wonderful place. I mean it's amazing. I can see why everyone says it's awesome. you may think because it's on the main hub of the town but it's honestly private and secure. cozy.
Dd,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Really enjoyed our stay here. Great location and balcony for watching people and sunsets!
Lacie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Great spot, super close to everything you could need. Tyler was great and super responsive! Would definitely stay again if in the area again."
Brent,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","This is a really cool spot! I’ve been to Vicksburg many times, but having such a great base in such a great spot made it memorable. The condo is clean and spacious and just all around really neat. The balcony was perfect at night as the sun set and the street lights turned on. Tyler’s place is walking distance from most of the museums and best restaurants in town. My boys, 9 & 11, had room to play and my wife really appreciated the big tub after a couple of days marching around the hilly streets and the military park. Tyler was very responsive and helpful. I am thankful for his suggestions about places to eat and things to do. Next time we’re in town there is no doubt where we’ll be staying!"
Frank,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Tyler is a great host with a beautiful location in the heart of Historic Vicksburg. I would highly recommend this stay anyone wanting to experience downtown life.
Topher,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",I have been to this area several times and this was the first time I’ve stayed at Tyler’s. I won’t be going anywhere else but here from now on! AMAZING PLACE!!
Eric,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Tyler was the best!
Collin,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids",Perfect in every way!!!
