name,rating_info,review_text
Sharon,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","Great house and location. Plenty of room for our girls weekend.
Beds were comfortable. The downstairs shower had a low threshold which was great.
Plenty of parking and the dogs enjoyed their romps in the woods.
We will definitely be back!"
Elaine,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",The
Ana,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","We booked the cottage for about a week and I would definitely recommend it! The three bedrooms were perfect for my husband, our two big dogs, my mother-in-law and aunt to all have our own space. The living spaces were really cute, cozy and perfect for unwinding at the end of the day. The kitchen and bathrooms were very clean and had all the essentials without being cluttered which made it easy to find anything we needed. Kelley was responsive and friendly, and when I asked to extend the reservation she was accommodating. There were more local restaurants in the area than I had anticipated which was a nice surprise! We especially liked Morning by Morning coffee shop and Tap and Pour brewery."
R Ryan,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids",Very pleased!! Very clean and a NICE little place! Will be renting again!!
Joshua,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids",Everything was perfect and peaceful. Kelly response time was super fast and accommodating. Will definitely stay again if we are back in the area!!
Jennifer,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids","Great experience! Kelly was friendly and quick to respond! We stayed for almost a month, she even brought us provisions through the stay! Peaceful and quiet stay! Wi-Fi was great and location is quiet but within a comfortable driving distance for anything you need!"
Catherine,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",great place! lovely accommodations!
Carolyn,"Rating, 5 stars
,
·
1 day ago
,
·
Group trip","Great home- beds were comfortable. Brittany was very communicative and friendly. Lots of thoughtful touches like extra toothbrushes, snacks, hygiene items if you forget."
Gary,"Rating, 5 stars
,
·
3 days ago
,
·
Stayed a few nights",Great stay! The welcome basket was a nice surprise to walk into.
Alisha,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",We have found a new home away from home! Brittany has made us welcomed since we book this house. She was very communicative from the time I book till departure day. There was absolutely nothing to complain about . She made sure my kids were included and had something for them as we entered the property as a welcome gift. Many trips to Georgia to come and we will definitely use Brittany EVERY time!💙💙
Cameron,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",out of this world hospitality
Benita,"Rating, 5 stars
,
·
3 weeks ago
,
·
Group trip","The home was very cozy. The bed was very soft and comfortable, I loved the decor around the home and how everything needed was easily accessible. The home was also very clean. It truly felt like a home away from home. Britney display her southern hospitality. I was very pleased with her actions prior to arriving and leaving. She responded to my messages quickly. Whenever I'm in the Warner Robins again I sure will book with Britney again."
Chris,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Great and friendly host. Beautiful home
Shawn,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","I was impressed the moment I stepped foot in the door!! I’d definitely recommend booking! The host, Brittany takes care of you from the beginning to the end of your stay!"
Velisa,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",my family and I were very pleased about the Airbnb.
Nicole,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","House was very homie. Brittany was always quick to answer, she left us a card and gift bag, it's all the personal touches that show she really cares! soo helpful and sweet. Definitely recommend!"
Terri,"Rating, 5 stars
,
·
April 2024
,
·
Group trip",Brittany was so helpful and so welcoming!! She was the so sweet! Thank you for the place to stay!
Oscar,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",A very helpful and kind host along with a beautiful calm home.
Sandra,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","I absolutely loved my stay. The house was spacious, peaceful and clean. Everything was truly perfect. I will highly recommend to anyone. I enjoyed rest, reading and relaxation. It was home away from home for sure."
Thad,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",loved it. felt right at home. spices were readily available!!! comfy and spacious weekend getaway
Katie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Brittany went out of her way to make us feel comfortable! She saw we were traveling with an infant and had a pack n play set up prior to our arrival. She also had cupcakes for the kids and a bottle of wine for my husband and me. She communicated clearly and the house was very clean and comfortable for our stay! I wish we could have stayed longer!
Craig,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","We had a great stay! Condo was exactly as described, easy to find and to gain entry. It was also very clean and had everything we needed. Neighborhood was quiet and location is good."
Christie,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","The house is in a very quiet neighborhood. It’s close to town, easy commute. House was exactly as described. Highly recommend staying here. The house felt like home and safe."
Dirk,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",nice place big kitchen
Paul,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Elaine's home is exceptionally clean and comfortable. And the neighborhood feels peaceful and secluded even though it's not far from restaurants.
Tony,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Will definitely be visiting the cozy condo again.
Kat,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Amazing
Adele,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","This place served us well and we would certainly stay here again when visiting Warner Robins! Very nice accommodations.
Clean and comfy, well equipped, and in a nice residential neighborhood with friendly neighbors."
Lynda,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",very nice little condo. it would be great to have an additional mirror on the wall near an outlet when you ha 4 women staying. and for a place big enough for 4 it would be nice to have a table for 4 or barstools. we had a great time though and will stay again when back in the area.
Jamie,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",We enjoyed our stay.
Dolores,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Amazing Host and the perfect place. So much better than the local hotels!!!
Aaron,"Rating, 4 stars
,
·
December 2023
,
·
Stayed a few nights",Location was exactly as described
Lisa,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",This is my second stay at this property and we love it. It’s exactly as described. You’ll have everything you need in this adorable space.
Danielle,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",3rd time staying and enjoy it everytime
Winafer,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",It was a relaxing stay and quiet place. The inside of the house was very nice just like home.
Eliebow,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","We had a wonderful stay at The Cozy Cabin! Charming, clean, comfortable and…. Cozy!!!"
Justin,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",thanks!
Kimberly,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with kids","I was in town to visit my son, and this made me feel right at home. Can’t wait to come back down and visit and use the same place again."
Noah,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Elaine’s place was very cozy and the neighborhood seemed to be a newer upscale townhome situation. We found our stay very comfortable and the beds were very nice :) would absolutely stay again.
Ronald,"Rating, 4 stars
,
·
September 2023
,
·
Stayed a few nights","House is as the pics advertise! Not much room to park your vehicle, but other than that no real issues. Host responds swiftly to any questions or request."
Dana,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","We came all the way from Arkansas to visit some close friend and felt right at home walking in! The place was clean, beautifully decorated, and even had a small backyard/patio!
We enjoyed our stay and would definitely stay again!!"
