name,rating_info,review_text
Kim,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with a pet","More than we expected, there were plenty of extras. James is an excellent host, he went over and above to make us feel welcome.
Our family of 5 had more than enough room.
Lots of space outside too, we enjoyed sitting outdoors making smores, roasting hot dogs, etc.
Not to mention the big mouth bass the boys caught in the pond.
Thank you James!!
Blessings to you and yours!!
Kim"
Gayle,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with a pet","Everything was fantastic about this Airbnb. The very kind host met me at the cabin when I checked in and gave me a brief tour, explaining the amenities and answering my questions. The log cabin itself is just perfect, so peaceful, so thoughtfully laid out and decorated and all the nice little touches. Every time I came back to this cabin I just felt at peace. The three decks looking out on the back acreage with the stream, the pond, the peaceful trees were just lovely. I came to the area for an event and unfortunately wasn't able to spend as much time in the cabin as I would have liked. This would be a perfect retreat for a writer or someone who needs a time of peace and quiet, because that's what this beautiful cabin retreat provides. I highly recommend this cabin. I want to come back again simply to enjoy the peace and calm of this beautiful little cabin."
Louise,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",We had a wonderful stay. Very comfortable and close to the lakes we kayaked in.
John,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed a few nights",Always a nice stay.
Michaela,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Our stay was even better than expected!! The cabin was absolutely beautiful and every amenity was listed accurately. It truly felt like a home away from home.
We were hauling in for a horse show at WEC Wilmington and James was incredibly flexible on meeting times. He gave a wonderful tour of the home and was thorough and friendly.
We can't recommend this place enough!!"
Victoria,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This cabin is beautiful and my friends and I had a great weekend stay here! James was a great host, very attentive and gave us a tour once we arrived. If you’re looking for a peaceful getaway surrounded by nature and a fishing pond, this is it!"
Megan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",All guests were happy with their stay. Very clean and quaint.
John,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Another great stay!
Kimmi,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",James' place was amazing. A beautiful cabin with a wonderful backyard. We had some deer run through the yard while we were there. James was a great host and super nice. I would definitely stay if in the area again
Kailyn,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with a pet",I had a lovely stay at James cabin! He is an amazing host and was very friendly.
Jessica,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with a pet","Exactly what we needed. Clean, easy access, and great communication. Very happy with our stay and we would recommend it to anyone."
Aaron,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",This is an awesome private cabin in nature. The host is very friendly and proactive. I had a great time relaxing and enjoying this beautiful cabin. I hope to return in the future!
Edward,"Rating, 4 stars
,
·
February 2024
,
·
Stayed with kids","We enjoyed our time at the cabin! The log construction felt right and was what we were looking for. The pond and woods were great for our kids to tromp around. The space had everything we needed (always nice to have a washer and dryer) and was nicely kept. I didn't realize it's close to the road and planes fly low for the nearby airport - but not too often. James was very friendly and gave us a tour at check-in, and even came back the next day to get some firewood out for us to make use of the fire ring. And there were cold York peppermint patties for us in the fridge! Thanks James!"
Neysa,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Great place. Adorable.
Neysa,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",We stayed during a horse show at WEC. The cabin is not far from the show at all. Super cute and convenient. Very clean. James was a delight.
John,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Great place!
Aaron,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",This a great and peaceful cabin. I had a wonderful time staying there.
Michele,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",The little log cabin was perfect for our family of four. The location was perfect for visiting relatives in Wilmington. And the surrounding countryside was wonderful peaceful. I would stay there again!
Loyd,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Very nice place. It was excellent for family get together since family is in the area and can stop over any time.
Brian,"Rating, 5 stars
,
·
December 2023
,
·
Stayed about a week",We’ve stayed at James’ place several times and it’s always wonderful. You can see the care he has for his home in so many ways. We look forward to visiting the cabin every year.
