name,rating_info,review_text
Jody,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed one night","Perfect location for visiting my friend's art exhibition in Tieton! Olivia is an excellent communicator and her place was just right for me. As others have mentioned, the bed is plush! Loved hearing the birds in the back garden area also."
Tana,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","It was a super quick stay (8p-8a) & just needed a place to shower & sleep. It was clean, neat, quite & 30 min from union gap where our daughter was staying in a hotel for State softball."
John,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",I have stayed in several Airbnb’s in the Yakima area and this one is my favorite. The place is very nice. Just as described. Very quiet and scenic. I look forward to going back in the future.
Retha,"Rating, 4 stars
,
·
1 week ago
,
·
Stayed a few nights",Back yard was disappointing and didn’t match pictures. Needed cleaning /mowing in the back or enough cleaning supplies (towels )for us to clean patio furniture. Bathroom exhaust fan was extremely dirty. We could have used a broom and dustpan to keep the floor clean from us and did best we could. Place was supplied for weekend or short stays. Rest of inside was nice and clean matching pictures. Suggest paper towels and drying rack for dishes for people with longer stays. A few small tweaks would have made our stay perfect.
Anitramarina,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Stayed here to be close to a 10k race location and was pleasantly surprised with how nice the AirBnB was. Olivia was responsive and kind. Would absolutely stay here again!
Deborah,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Was very quiet and restful. Just what we needed.
Jena,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Beautiful yard and backyard scenery! Quiet and peaceful.
Clarissa,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",We only stayed on night at Olivia’s place but we could have easily stayed longer. The place is small but has every you need. Loved the view of the orchards outside the back door. It was raining so we didn’t get to hangout in the little backyard area. The cottage is quiet and felt very private. It was clean and elegantly decorated. It also had a great welcome book. Definitely go to Nomad if you are up for amazing food. It is gourmet dining so don’t expect to pay fast food prices but it was worth every penny.
Natalie,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",Great place. Clean and good location. Olivia was a great host and made sure we had everything we needed.
Brittany,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",We truly l loved staying at this little cottage. It was the last stop on a very long road trip out west and it was such a nice little oasis to arrive to. Would 100% stay again.
Lynette,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Olivia’s place in Tieton was a perfect spot to stay while checking out the wildflower blooms in the hills surrounding the area. The space was quiet, clean, and private and the birds singing in the morning were delightful."
Jim,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Second stay. Apple trees starting to bloom. Beautiful! Bed VERY comfortable
Heather,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",We had a lovely stay-cation in Tieton at Olivia's Stone Cottage. The space was peaceful and homey with good amenities. We could walk to Tieton Square in 10 minutes.
