name,rating_info,review_text
Angie,"Rating, 4 stars
,
·
August 2023
,
·
Stayed a few nights","Nice, comfortable beds & pillows, great communication & clear instructions. Close to lots of fun places."
Naresh Kumar,"Rating, 3 stars
,
·
March 2023
,
·
Stayed a few nights","Check in was easy and no parking inside the garage as it was locked by the host , but you can park right next to it. Apartment is very regular , you don’t get a feel of weekend getaway and it is not private , there are neighbors downstairs and it is not a good place to party , no music after 11:00 PM. There is no private bbq and not much to do outdoor at this location , I definitely feel price is too high for this property with 4 ppl max to sleep in , and for the rules they had , and with neighbors downstairs , nothing much to offer for the guest. Kitchen is not adequate , no dishwasher , no extra trash cans . Not sure what else we can do here if it is not summer. We paid for 3 nights but had to check out a day before out of boredom ."
Bruce,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights",nice little place. perfect for 4
Kelly,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights","Wonderful place to stay! Great location, great communication, and easy access! Would recommend!"
Alison,"Rating, 5 stars
,
·
September 2022
,
·
Stayed a few nights","We enjoyed our stay here. Mariah was available and quick with communication. Especially enjoyed mornings on the deck, comfortable beds, and location."
Jean,"Rating, 5 stars
,
·
July 2022
,
·
Stayed with kids",Wonderful ! Beds were so comfortable! Beautiful deck area! Great location !
Mark,"Rating, 5 stars
,
·
July 2022
,
·
Stayed a few nights",Mariah was an awesome host! She made sure we had everything that we needed! The location was perfect! We will definitely be back
Emmy,"Rating, 5 stars
,
·
June 2022
,
·
Stayed a few nights",We had a great stay! The beds were comfy & the pillows were fluffy. We really enjoyed the outside deck area. Thank you!
Megan,"Rating, 5 stars
,
·
June 2022
,
·
Stayed a few nights","Comfortable beds, plenty of space, lovely deck area."
Heather,"Rating, 5 stars
,
·
June 2022
,
·
Stayed about a week",Great condo close to the lake. Mariah was awesome through the entire process. Highly recommend this property!
Sarah,"Rating, 5 stars
,
·
May 2022
,
·
Stayed with kids",Great location near the lake. Yankton is a wonderful place for families. The host was very helpful and communicated well.
