date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,The place was great! The whole place was beautiful and perfectly located near downtown. Lee Anne was a great host and went out of her way to make sure our stay was comfortable and easy. Would definitely stay again!
2024-06-01,5.0,Stayed a few nights,Better than the pictures. Would definitely stay again if in the area.
2024-05-01,5.0,Stayed a few nights,The cottage was perfect for two people. We enjoyed the charm of the historical house.
2024-05-01,5.0,Stayed over a week,Wnat a wonderful spot with such a gracious host!
2024-04-01,5.0,Stayed over a week,What a wonderful place. Such attention to detail. Lee Anne is a treat. Extended my stay.
2023-12-01,5.0,Stayed a few nights,"Lee Anne was great to work with. Everything was perfect. Her design, decorating and detail to everything was spot on. When we're in the area again and need a place to stay we will reach out to Lee Anne."
2023-10-01,5.0,Stayed a few nights,"Very pleased with everything. Short walk to downtown. Very clean. Lee Anne was very accommodating when we needed to reschedule. Even though the cottage is old everything inside was modern and up-to-date, making for very comfortable and nice stay for my wife and I. It exceeded our expectations."
2023-09-01,5.0,Stayed a few nights,"This was a fabulous place to stay for a few days. It was safe, beautiful and easy to walk to all the sites."
2023-06-01,5.0,Stayed a few nights,Get little house close to town. Quiet neighborhood. House was well supplied and super clean. Would stay with Lee Anne again in a heartbeat! Thank you!! 💜
2023-06-01,5.0,Stayed a few nights,"This was a perfect place for us for our stay in Albany. Clean everything we needed for our stay. Parking was a little tight. I would recommend this, we will probably stay there again when we visit in Albany. Thank you."
2023-05-01,5.0,Stayed a few nights,"If your looking for a peaceful, relaxing place to stay this is IT. This place is cozy and so inviting. Great location for walking downtown. I particularly enjoyed taking a bath in the deep claw foot tub. We wish we extended our stay. The back patio has a very high fence and was private, perfect for breakfast in the morning in the sunshine. If your a local Orgonian looking for a staycation this is perfect!"
2023-05-01,5.0,Stayed a few nights,"Great/unique place, responsive host, fully equipped kitchen - would stay again!"
2023-03-01,5.0,Stayed over a week,darling cottage and wonderful host
2022-12-01,5.0,Stayed a few nights,"This was our second stay at the Vine Street Cottage, and we look forward to staying there again soon!"
2022-12-01,5.0,Stayed a few nights,Lee Anne is a super host so I knew her cottage was the perfect place for my daughter and new son-in-law to spend their first night as Mr and Mrs. Beautiful comfortable space. Lee Anne is the best!
2022-10-01,5.0,Stayed a few nights,"Thanks so much, Lee Anne--what a beautiful space you've created. I'll definitely be back!
Sue"
2022-10-01,5.0,Stayed about a week,"Perfect cozy cottage for my wife and I. Lee Anne was a great host and was easy to communicate with. We couldn't have had a better place to stay! Plus, it was in a great location, central to all the great things to see and do in Oregon."
2022-09-01,5.0,Stayed a few nights,"The cottage is beautiful, equipped with everything you need. It is within walking distance of some fabulous restaurants and trails and a short drive to many wineries and the stunning coastline, which is amazing. The cottage is immaculate with a very comfy bed and a lovely kitchen and bathroom. You will be very happy you chose to stay here, we were, and we will return."
2022-09-01,5.0,Stayed a few nights,Lee Anne was a wonderful host. We had such a lovely time. Thank you so much!!
2022-09-01,5.0,Stayed a few nights,"The cottage is absolutely beautiful, clean and comfortable. I really appreciated the coffee bar with creamer in the fridge and yummy zucchini bread our host left for us. So thoughtful!"
2022-05-01,5.0,Stayed a few nights,We had a great stay and had an amazing host! The place was perfect for us and love the location. Will be coming back and do highly recommend !
2022-05-01,5.0,Stayed about a week,Love this place.
2022-05-01,5.0,Stayed a few nights,"This cottage is in a beautiful, quiet neighborhood in Albany with a lot of stately old mansions. Parking felt safe and the house itself was very quiet and peaceful, lots of natural light, cute small kitchen, beautiful bathroom and nice comfy bed. We slept like rocks. Lee Anne was a very communicative and kind host and left us zucchini bread, water, juice and yogurt. We’d definitely stay here again if we need a place in the area."
2022-04-01,5.0,Stayed a few nights,2nd time staying here and absolutely love this place 🥰
2022-04-01,5.0,Stayed about a week,Great little cottage.
2022-02-01,5.0,Stayed about a week,"Lee Anne is a wonderful host!
And her cottage is not only adorable but it is so comfy.
Highly recommend her and look forward to working with her again on accommodating us for another Albany vacay."
2022-02-01,5.0,Stayed a few nights,"The house on Vine was wonderful. Comfy environment with a great host. Coffee, water and homemade goodies were provided. Great location. Very clean, comfortable bed, great kitchen and bath. Will stay here again."
2022-01-01,5.0,Stayed over a week,Super nice and clean! Has everything you could need. Host is very sweet and helpful!!!
2022-01-01,5.0,Stayed a few nights,"Great, relaxing space. Lee Anne was very communicative and gracious. Would definitely stay again!"
2021-12-01,4.0,Stayed a few nights,"This is a nice studio-style house. Tastefully appointed and clean. The bed is very comfortable. The kitchen is fully supplied to cook anything you like (except groceries, of course). There is even a well-stocked spice rack. It is located in a historic neighborhood in Albany, with many interesting houses from the era of the turn of the 20th century. It is a short walk from the historic downtown, with many restaurants and interesting shops. It is also close to the Willamette River which has a walkway. Host Lee Anne was very available and accommodating."
2021-12-01,5.0,Stayed a few nights,"Thee best air B and B we’ve been to and we’ve stayed in some really nice ones! We loved every thing about it. Lee Anne did not miss one detail. In fact, she went out of her way to welcome us and said hello each morning through text.
Great location! Clean and new! Decorated in excellent taste! Heating, air, lights, bathroom and kitchen facilities…perfect !
We look forward to going there again !!!"
2021-11-01,5.0,Stayed a few nights,"Beautiful space, quiet, close to downtown amenities & restaurants, perfect place to spend some time in the beautiful mid-Willamette Valley!"
2021-11-01,5.0,Stayed a few nights,Lee Anne is a fantastic hostess and she kept in contact with us throughout our stay. She was very responsive when we needed her assistance. Her house is cute and in a great location!
