date,rating,note,review_text
2024-06-01,4.0,Stayed a few nights,Cozy private suite
2024-06-01,5.0,Stayed one night,stayed here for the second time n loved it! Kayleigh is a wonderful host!
2024-06-01,5.0,Stayed one night,"Lots of sweet, thoughtful little touches! Super comfy beds, too."
2024-06-01,5.0,Stayed one night,Kayleigh’s place is a perfect spot for a quick stop. We were only there for a night but really appreciated all the little touches!!
2024-06-01,5.0,Stayed with kids,Amazing host! She responded quickly to messages and was very flexible to meet our needs. The place is exactly as described and very cozy and cute! 10/10 recommend staying with Kayleigh!
2024-06-01,5.0,Stayed a few nights,"Cute little room with attached bathroom that was great for a few nights stay. The house is very near to all the shops you need and easy to get on the highways and main streets. The bed is very soft so just something to be aware of if you prefer a firm bed, but I was able to get comfortable and slept well thanks to the noise machine!"
2024-06-01,5.0,Stayed a few nights,The sheets on the bed were sooo comfortable! The neighborhood was nice and quiet. I felt comfortable.
2024-06-01,5.0,Stayed one night,"This place was exactly what we needed after a long trip to move our kid from school back to Arkansas for the summer ! Great price , close to UNM, everything we needed ! Highly recommend !"
2024-06-01,5.0,Stayed one night,Comfortable and clean!
2024-06-01,5.0,Stayed a few nights,"Very responsive host. Lovely, quiet area to take a walk in. Had everything I needed. Nice, small AirBnb and would recommend!"
2024-04-01,5.0,Stayed one night,This little place was fine for a night or two in a decent family neighborhood. It will serve well as a place to sleep when visiting some family members who live in the immediate neighborhood and will soon need their guest room for a baby. The space was pretty much as described.
2024-04-01,5.0,Stayed one night,Aesthetically pleasing and looks just like the photos. Lots of amenities. In a nice walkable neighborhood. Would stay again!
2024-04-01,5.0,Stayed with kids,"Loved the privacy and separate entrance. Felt safe walking my dog around the neighborhood. The bed and pillows were super comfy and bathroom very clean and well equipped. Probably the best shower head I’ve ever experienced. The space is quite small, but perfect if just 1 or 2 people who can share a bed."
2024-04-01,5.0,Stayed with a pet,Perfect place to stay for the night while I was passing through Albuquerque!
2024-04-01,5.0,Stayed with a pet,"I love how detail oriented this space was. Clean, homey, close to food/shopping. I would definitely stay here again!"
2024-04-01,5.0,Stayed a few nights,Super cute place! Would stay again
