date,rating,note,review_text
2024-06-01,5,Stayed a few nights,"I would definitely stay here again.
close to everything.
plenty of room for us."
2024-06-01,5,Stayed with kids,The kids loved the play space in the backyard! Total 10 out of 10.
2024-06-01,5,Stayed one night,"What a great place for three adults to spend the night while we went to the casino and Amish Flea Market in Clare. It was very clean and comfortable and had all the kitchen necessities to cook dinner and breakfast. Had a great night’s sleep. The backyard is private and…..what a great place for kids with the playhouse, swings and sandbox! If staying in Mt. Pleasant again, I would definitely try to stay here."
2024-06-01,5,Stayed a few nights,Rolondo was so responsive and flexible. He was able to meet our specific needs throughout our stay there. The rooms were comfortable and the piano was an added bonus! We hope to stay again. It was lovely.
2024-06-01,5,Stayed one night,Rolando was a good communicator. I felt very confident working with him.
2024-05-01,5,Stayed a few nights,"Simple, clean, quiet. We were in town for graduation and it was not too far from campus!"
2024-05-01,5,Group trip,"Nice, clean and exactly as described"
2024-04-01,5,Stayed one night,Loved this place. Very clean and spacious. Bonus…the piano!
2024-04-01,5,Stayed a few nights,Can’t say enough nice things about the property or the fast responses from the host!! Second time we stayed here and it is spacious and a gorgeous house with everything u need !! We will be back
2024-04-01,5,Stayed a few nights,The host was very flexible and accommodating. This is a great location super close to the casino!
2024-04-01,5,Stayed a few nights,Great place
2024-04-01,5,Stayed a few nights,Fantastic home on a quiet street. Easy to get to everything - good central location. Great host! Will be back.
2024-04-01,5,Group trip,The house was wonderful and super convenient for our event
2024-03-01,5,Stayed with kids,"Super clean, nice place. Definitely would recommend and would stay again! Kids loved the backyard space."
2024-03-01,5,Group trip,Great cozy place. Highly recommend it!
2024-03-01,5,Stayed a few nights,Nice quiet spot would definitely recommend
2024-03-01,4,Stayed a few nights,Enjoyable stay
2024-03-01,5,Stayed one night,"Great place! Very convenient, close to everything, very clean and comfortable. Would definitely stay here again!"
2024-03-01,5,Stayed a few nights,Needed a place to stay while at a work convention location was great very nice place to stay. Would definitely stay there again.
2024-03-01,5,Stayed one night,"We loved the house the minute we walked in. Rolando had lights throughout the house on so as not to come into a dark place. We had everything we needed and we were so pleased. When we come to family functions, we will definitely stay again."
2024-03-01,5,Stayed a few nights,"Clean, comfortable home away from home. Easy access to highway and to town and CMU. I highly recommend for parents doing college visits!"
2024-02-01,5,Stayed one night,Rolando's house is wonderful and was perfect for our stay in Mount Pleasant
2024-02-01,5,Stayed one night,Great place! great location! great price! highly recommend!
2024-02-01,5,Stayed one night,This airbnb is worth every dollar! Food is close and so is the casino. The self check in is very convenient and the layout of the house is very nice. Highly recommend this airbnb!
2024-02-01,4,Stayed one night,A very quick stay for us - got in in the evening and left the next morning. Comfortable place to stay and very clean.
2024-02-01,5,Stayed a few nights,We felt right at home. The bed was very comfortable and having the laundry there was very very convenient..
2024-02-01,5,Group trip,"Home was wonderful, I will definitely stay again when in the area.
Bill"
2024-02-01,5,Stayed one night,"Absolutely fantastic !! Awesome location , house is spacious and accommodating !!"
2024-01-01,5,Group trip,"Very kind, responsive host! Would definitely recommend this stay. Comfortable and exactly as described!"
2024-01-01,5,Group trip,Loved our stay. felt right at home which is rare
2024-01-01,5,Group trip,"Great place to stay! Close to everything. Just a couple minutes to get to Soaring Eagle. Description was very accurate. Easy to find, VERY clean! Lots of extra blankets was a big plus! Host was super responsive and helpful. Could not recommend this home more! Next time we are in Mt. Pleasant we will be staying here again!"
2024-01-01,5,Stayed a few nights,Great place and a great host!
2024-01-01,5,Stayed one night,"We were there for one night to celebrate my daughters 18th birthday. So basically looking for someplace to sleep for the night. Having the 3 bedrooms and 2 3//4 baths was great for two teenagers and two adults, was worth the price compared to any nearby hotels. The place was very clean, floors, counters, appliances, bathrooms, etc. I would definitely stay there again and will recommend to friends and family."
2024-01-01,5,Stayed one night,Very nice home in a great location. Instructions were very clear and detailed as needed. Would definitely stay here again if in the area.
2024-01-01,5,Group trip,Beautiful home with a lot of space. Air hockey and foosball table in the garage. Great at responding whenever you need anything or had a question.
2024-01-01,5,Stayed a few nights,Comfortable. Spacious. Quick drive to anything in town. Would definitely stay again and would recommend to all others.
