date,rating,note,review_text
2024-06-01,5,Stayed a few nights,Great place to stay. Felt like home. I highly recommend Antiria’s place! I will definitely come back again!
2024-04-01,5,Stayed a few nights,"Antiria’s place was exactly as it was described. Small, but perfect for a solo traveler. There was a full kitchen, so I was able to save some money by cooking there which I appreciated. She was very responsive - I extended my trip an extra day. The bed was incredibly comfortable as well and I slept like a baby."
2024-04-01,4,Stayed one night,Very pleased with the stay.
2024-06-01,5,Stayed with a pet,Wish I could live there! Perfect and gorgeous. Emilee and her husband did a perfect job. This was a beautiful and perfect spot to rest and recharge on our road trip down to Florida. I will definitely be back if we are ever in the area.
2024-06-01,5,Stayed with kids,"The home is beautiful, peaceful, and welcoming. No one wanted to leave, not even to go out to a restaurant! We had such a good time. The host was very gracious and hospitable. Thanks for a great stay!"
2024-06-01,5,Stayed with kids,Emilee was such a great host as I gave her short notice on a one night stay from Ohio to Florida. As far as the property it’s one of the nicest of not the nicest places we have ever stayed at. Lots of room for at least 6. I could go on and on about every little detail but all I can say is I had my wife and 2 kids tell me it was amazing and they wanted to go back sometime when we weren’t in such a rush.
2024-06-01,5,Stayed with a pet,OMG!!!! This place is absolutely amazing. Couldn’t have ask for a better location. 5star luxury resort. Emilee was a wonderful host she didn’t hesitate to respond to any messages or phone calls.
2024-05-01,5,Stayed one night,"Just as describe, perfect get away!"
2024-05-01,5,Stayed one night,This house was very clean and comfortable. Emilee was very friendly and responsive. The house had a positive vibe and the outside surroundings & back yard created a peaceful getaway. I highly recommend staying here. We will definitely stay here again. Thank you Emilee 🙂
2024-04-01,5,Stayed one night,I had a smile on my face the instant I pulled into the driveway. This place looked great in the advertisement but exceeded expectations in person. The home and property are gorgeous. Inside and outside are immaculate. There is no lack of attention to detail with the layout. It has just about everything you could want in a secluded getaway. The host was always responsive and helpful. I had a very enjoyable time. This is the kind of place I would love to have when I retire. I would highly recommend.
2024-04-01,5,Stayed a few nights,"Everything was super clean. The design of the place was very nice and modern. Everything was as described, thank you!"
2024-04-01,5,Stayed with a pet,"When we walked into this place it literally looked like we were walking into an HGTV dream home. This house is so beautifully decorated and impeccably clean. Pictures don't do it justice. Emilee provided soft linens & towels, super comfortable beds, state of the art appliances, and a serene outdoor living space. She also sent a personal text on our way there. Really nice touch. We loved it so much we wanted to move in. : )
We can't wait to come back!"
2024-04-01,5,Stayed over a week,"My brain can’t wrap around how perfectly designed and constructed this home is. They thought of everything and it is so perfect. Emilee and Tony are both two of the kindest, most welcoming people I think I have ever met. I stay at a whole lot of Airbnb’s, as I travel weekly, with my company. I have had a whole lot of great experiences, but these two, are simply amazing.
Everything is just perfect. I don’t know how else to put it. I can say that pictures, cannot do justice, to how this home actually is. I will definitely be back. Thank you Emilee and Tony.
I’ll never forget your kindness."
2024-03-01,5,Stayed a few nights,This was a wonderful place to stay. The cleanest Airbnb I have ever stayed at. Would recommend this home to anyone.
2024-03-01,5,Group trip,"beautiful home , great location,"
2024-03-01,5,Group trip,"Absolutely a perfect place for a peaceful stay! The home, details, area… all were perfect! The actual home is even better than what you see in the pictures! We were totally pleased with everything. Emilee is an amazing host! Definitely will stay again when in the area!"
2024-03-01,5,Stayed a few nights,"Home sweet Home , this home provides all the boxes for a family , retreat, relaxation and peaceful environment. Everything was thought out and provided (without asking ) any and all your needs to feel at home and enjoy this home.
She was very helpful and available at all times. We enjoyed it so much we extended our stay and will be back what a romantic quite home. Kid friendly and close to everything we wanted to do. Again hats off we was welcomed and hated to leave .. we will be back. Soon if the unit is not already reserved. Hidden jewel for sure. 6 ⭐️⭐️⭐️🌟🌟🌟. 🏠"
2024-03-01,5,Stayed a few nights,Emilee was an amazing host for an amazing place. We’ll be back!
2024-03-01,5,Stayed one night,"PERFECT! This was an absolute perfect space! Clean, beautiful and homey! The entire house was spotless, gorgeous bathrooms and great outdoor area. The surrounding area feels safe and secluded. Emilee was extremely accommodating. Can’t recommend this place enough!"
2024-02-01,5,Stayed a few nights,Had a great stay! The layout is unique and fit the space well. Very modern and well kept. We look forward to staying here again!
2024-02-01,5,Stayed with kids,"Absolutely beautiful! Loved our stay and our only complaint was that it was too short of a visit. Extremely clean, cozy furniture, and a fully stocked kitchen with all the necessities (including kid cups and plates which was very much appreciated)! Emilee was wonderful and super accommodating. Could not recommend enough!"
2024-06-01,5,Stayed a few nights,New location with this same owner that we have stayed with multiple times. Roomy house and the best King bed we have ever slept in for sure. Owner always great and friendly and responsive.
2024-06-01,5,Stayed a few nights,"It had everything we needed for our stay, will definitely be staying here again in the future!"
2024-05-01,5,Stayed a few nights,"This place is amazing, I would not hesitate to stay here ever time I am in the area. It’s beautiful designed, the two beds give you an option of either soft or a more firm bed. Having back issues this was definitely a plus. There is a nice deck on the back, with a table and umbrella, some beautiful lighting other than the porch which makes a nice feel to have a nice dinner out there. I highly recommend this place. The host is an outstanding hostess and she has other properties which I have stayed at one of the other properties. And the condition of that other property is just as fabulous."
2024-04-01,5,Stayed about a week,"What a fantastic home, well worth the money. So much more comfortable than any of the local hotels in the area. Very peaceful and the host always makes sure your stay is going smoothly. If this place is open all I can say is book we you can. I won’t hesitate to book here again if I am in the area."
2024-06-01,5,Stayed about a week,"Corey went above & beyond for my family. As we were preparing for the loss of my grandmother, he was extremely flexible with check-in and check-out. That relieved a lot of stress during a very stressful personal period.
The place was definitely a home. We felt right at home nearly right away. The kitchen has most of the modern needs. The air conditioning was great for days above 95 degrees F / 35 degrees C.
The host was extremely responsive before, during, and after our stay (left earrings behind). I highly recommend this location to any traveler in the area."
