date,rating,note,review_text
2024-06-01,5,Stayed a few nights,"Michele’s home was BEAUTIFUL and it felt like home right when we walked into the front porch. It smelled amazing when we walked in and my 16 year old son thought everything was great as well! The back porch though…oh my. It was breathtaking! Many mornings and evening spent king coffee and reading. And the bathtub was such a bonus, especially after a day of football for my son. The location was within 5-6 minutes of everything. We came for an ISU football prospect camp and I couldn’t have asked for a better place to stay. Check in was a breeze. Neighbors were friendly. Ames and the ISU campus was gorgeous. Michele’s home felt like a home away from home. This will be our go to place when we come back to Ames. Thank you for making us feel welcome! From the welcome note on the table to the hidden gem (I won’t spoil it) we found on the chalkboard wall we loved our time in our home away from home. Thanks again! We LOVED it!!!"
2024-06-01,5,Stayed a few nights,"Very charming home furnished nicely, comfortable well furnished and nice neighborhood. We liked our stay very much and plan to go back and stay longer., Ames is a very nice city with lots of things to do."
2024-06-01,5,Stayed with kids,"Michele was a great host. She asked when I’d be arriving so she could turn the outside lights in for me. She also alerted me of some severe weather in the area so I could be safe on my drive up. The house was clean and the outdoor spaces were very relaxing. She had everything you may need in the house, I.e. soaps, toothpaste, shampoo, conditioner, cotton pads, etc. There is also a nice walking/bike trail just a block west of the house. It’s very close to ISU. I highly recommend staying here."
2024-06-01,5,Stayed a few nights,Great accommodations! Host went above and beyond with the extras that were included in the house.
2024-06-01,5,Stayed a few nights,Second time we have stayed and Michele is a wonderful host! She thoughtfully left graduation decorations for our use ♥️. Love the porch and had coffee each morning watching and listening to the birds. We had a wonderful stay!
2024-06-01,5,Stayed about a week,"Second time in Michelle’s place and was as good as first time. Beautiful, charming house. Extremely clean, organized and stocked with all you need and more. The area is very peaceful and surroundings are beautiful! And very close to ISU campus! Michelle is a great host! Already booked for third time!"
2024-04-01,5,Stayed a few nights,"Comfortable, clean and good location!"
2024-04-01,5,Stayed a few nights,"Beautifully appointed house on a quiet dead-end street, lots of lovely personal touches from the host, nicely equipped kitchen. Great backyard. Convenient off-street parking. Short distance to the Iowa State campus."
2024-04-01,5,Stayed one night,Place was great! Perfect location to campus and had so many fun details. Michele is an awesome host and made us feel so welcome!
2024-04-01,5,Stayed a few nights,"This was a standout air bnb! Truly charming and lots of appeal in location, accessibility, and lovely design of spaces (the yellow bedroom was so homey and the chalkboard wall message so welcoming!). The personal touches in every room really enhanced the stay for me!"
2024-04-01,5,Stayed a few nights,"Michele's home was so lovely and welcoming, and Michele was very responsive and communicative! Check-in was a breeze and instructions for everything were clearly set out and easy to understand. If we'd been there in warmer weather, we'd have been on the patio all day!"
2024-04-01,5,Stayed one night,We thought the lodging was charming. Michelle provided everything and more than we epected.
2024-04-01,5,Stayed a few nights,"A few of my favorite things …
Riverside Retreat indeed backs up on the green space beside the Skunk River (no smell 😂) and has a screened in porch with comfortable seating and a dining table for outdoor life! We saw owls & rabbits!
A cozy indoor space
Walkable to Jack Trice Stadium
Close to walking trails along River
Well decorated!"
2024-03-01,5,Stayed a few nights,"Michele's house was perfect for our visit to Iowa State and Ames. Great location and short drive to campus for what we needed.
Clean, comfortable and felt like home. We even were visited by a beautiful owl in the neighbors tree while we sat on the screen porch."
2024-03-01,5,Stayed a few nights,"Our family of four enjoyed our stay. It was close to the ISU campus, which is what we were looking for. Lots of trails nearby for running/walking. Michele included many little things to help make her place comfortable. It was also very clean."
2024-03-01,5,Stayed a few nights,"We had a wonderful stay and the property was as described. Michele was a great host to work with. I told her we were coming in to celebrate my daughter’s birthday and there was a happy birthday balloon for her.
We would stay again when coming to Ames."
2024-03-01,5,Stayed a few nights,"My stay at this charming two-bedroom home just a block away from Iowa State University was nothing short of wonderful. Nestled along a secluded, wooded lot, the property offers a serene escape while still being incredibly close to all the attractions ISU has to offer. It's rare to find such a perfect blend of tranquility and convenience.
Communication with the host was seamless from start to finish. They provided clear instructions and were always available to answer any questions, making my stay smooth and enjoyable. The recommendations for local spots to visit were greatly appreciated and helped me make the most of my time in the area.
I highly recommend this home, and I look forward to the possibility of returning in the future. If you're looking for a clean, beautifully decorated, and conveniently located place to stay, look no further than this lovely home."
2024-03-01,5,Stayed one night,Absolutely amazing. 10/10
2024-03-01,5,Stayed a few nights,"Riverside Retreat exceeded our expectations. The house is beautifully decorated and well-kept plus Michele has thought of everything. She even left a card and treats for us and also a message for us on the chalkboard wall in the bedroom. We felt so welcomed. The well-stocked coffee bar was my favorite. The beds are so comfortable. And whatever you need is probably available including a sewing kit, games, toothbrushes, bath bombs, makeup wipes, and a cork screw. We felt right at home. The house is also close to ISU and lots of restaurants and stores. We look forward to staying there again in the future."
2024-03-01,5,Stayed a few nights,"Michele is an excellent host, and her home is incredible. You cannot go wrong by booking this place. She is attentive, provides amenities that I didn't even know I wanted, and will be the standard I judge everything else by moving forward."
2024-02-01,5,Stayed a few nights,"Loved our stay! Walked to the basketball game and took a morning walk through the local park. House was clean, welcoming , had everything we could’ve needed / wanted and made our stay so relaxing and enjoyable. So many nice details/touches to the house that made it an extra pleasant experience
Nice living area for our group to hang out as well as a lovely screened porch that is a comfortable lounging space.
Michele was friendly and super easy to communicate with. She was flexible with our timing and made it stress free!
We’ve already booked another stay !"
2024-02-01,5,Stayed one night,"I loved, loved, loved this home! We booked last minute and Michele was so accommodating! My only regret is due to the temperature we weren't able to enjoy the fabulous outdoor space."
2024-02-01,5,Stayed a few nights,Great property and owner. Very comfortable home and walking distance to both Hilton Arena and Jack Trice Stadium.
2024-02-01,5,Stayed a few nights,Michelle is a 5-star host with a keen eye for details that matter. Her place is very well kept and charming.
2024-02-01,5,Stayed a few nights,"House was clean, instructions were easy to understand and thorough. We attended an ISU basketball game and the location was just a short stroll to Hilton!"
2024-02-01,5,Stayed one night,Host was very accommodating with an extremely last-minute booking. Nicely refurbished home in a great neighborhood. The provided amenities were among the best of any Airbnb we've every stayed in. A very good experience.
2024-02-01,5,Stayed a few nights,The house is beautiful with lots of thoughtful details. I felt very comfortable right away. The location was perfect for the weekend. I would love to stay here again!
2024-02-01,5,Stayed one night,We enjoyed our stay at Michelle‘s. Her place was ￼a nice place to spend our night in Ames.
2024-01-01,5,Stayed with kids,"An amazing place to stay- great location walkable to Hilton and Jack Trice, lots of space, and a wonderful host."
2024-01-01,5,Stayed a few nights,Thanks
2024-01-01,5,Stayed with kids,"Awesome property! Very well taken care of, very cozy, clean, and comfortable.
Host has a lot of details for the guests and makes you feel comfortable and she was very welcoming."
