date,rating,note,review_text
2024-06-01,5,Stayed with kids,Great place to stay in Andrews:)
2024-04-01,5,Stayed with a pet,"This was an awesome stay, Laura was more than helpful, very informative, and accommodated my every need never met a better host, everything was clean and tidy for my stay! Oh and the cookies are great lol! 10 out of 10 recommend"
2024-03-01,5,Stayed with kids,Loved it . So homey ! Felt so clean as well !
2024-03-01,5,Stayed over a week,the house was nice and clean and very fast response with answers
2024-02-01,5,Stayed over a week,great stay thank you
2024-02-01,5,Stayed with a pet,Very convenient to parks and major roads. Nice backyard.
2024-02-01,5,Group trip,"the host is very friendly and everything is super comfortable, 100% recommended"
2024-01-01,5,Stayed with kids,"Had a fantastic stay at Laura's place! She's incredibly accommodating and responds promptly. The house was spotless, and the instructions provided were clear and easy to follow. We had plenty of space, and with everything conveniently close by, it made our stay even more enjoyable. Highly recommend!"
2023-12-01,5,Stayed with kids,House was cute and cozy and had everything we needed. Extra special was the Xmas tree and the host left gingerbread cookies with a lovely note welcoming us to their home. Very responsive hosts. Would recommend staying.
2023-12-01,5,Stayed with a pet,This was our 2nd stay at Laura’s place and it worked out very well for our family. Laura and her family are so helpful and I wouldn’t hesitate to stay at her property again!
2023-11-01,5,Stayed about a week,"Laura was an amazing host. We went to visist family in Andrews for the Thanksgiving holiday and needed to add a few more days to our stay; Laura was so helpful and accomodating. The muffins and note on check in were so sweet. There were plenty of towel and they were soft a fluffy! Check in was a breeze with simple insturcitons and the house was easy to locate. All the extras in the house were a nice touch, washing supplies, stocked kitchen, bathroom amenities, etc. We had a great time visiting family and a nice place to relax each night."
2023-11-01,5,Stayed with a pet,Laura is a great host—always very quick to respond and friendly!
2023-11-01,5,Stayed with kids,Very clean and the kitchen was well stocked. We really enjoyed our time at the house and the cookies left for us was a nice touch.
2023-10-01,5,Stayed with a pet,"The place is cozy and quaint. It feels like my grandmother's house, in a good way. The host was always responsive and helpful. We will be staying here again."
2023-10-01,5,Stayed with kids,It was great
2023-10-01,5,Stayed a few nights,"Quiet street. Well equipped kitchen and laundry room. Enjoyed sitting outside in the back patio. Comfy beds and plenty of clean towels.
Perfect for our weekend at a wedding."
2023-09-01,4,Stayed with kids,"Great stay, very cozy and clean home, great location and communication, only downside was having only one shower for everyone to use. Two bathrooms in home one in master bedroom with a shower and one in hallway with a tub no shower."
2023-09-01,5,Stayed with kids,The house was amazing! It was very well stocked and the location was amazing. So close to the local park. We walked to it for some festival. The host was very responsive when we had a question. The beds were super comfy and it was perfect for what we needed. We will definitely be staying again.
2023-09-01,5,Stayed a few nights,Great place and a very fair price. Laura was very quick to respond and very helpful
2023-09-01,5,Stayed one night,"Great Airbnb, very clean, easy checkin, and the homemade muffins were a nice touch!"
2023-08-01,5,Stayed over a week,"We loved this bnb for our extended stay. Laura was super friendly and helpful. Our family was perfectly at home for the month we stayed. Laura checked in and tidied up weekly. She was respectful of our schedule. The house had everything we needed. Our kids loved the back yard. Let me tell you, the washer has an agitator & it got the yuckiest of toddler stains out!! 10/10 recommend. If we ever need a place to stay in Andrews again, we will reach out to see if this one is available."
2023-07-01,5,Stayed one night,This airbnb was excepcional. It was everything and more than we expected. I highly recommend it.
2023-07-01,5,Stayed with kids,The home is beautiful and centrally located. Everything was spotlessly clean and Laura responded promptly to any messages. I’ll def be back.
2023-07-01,5,Stayed with kids,"Amazing house and a wonderful host! The location is central to everything, and the park is only a few blocks away."
2023-07-01,5,Stayed a few nights,We stayed at Laura’s place while in town for a family reunion. We’ll be back again next year.
2023-06-01,5,Stayed with kids,"very attentive host ,daughter left cookies she made ..how sweet"
2023-05-01,5,Group trip,"Laura is an amazing host and communicator. She left us cupcakes and a sweet welcome note. Her place was very homey and cozy, and had pretty much everything we needed. It was a great rest stop between our destinations."
2023-05-01,5,Stayed with a pet,Perfect place for a stopover with kids. Close to an awesome park and lots of room in the home. Very clean!
2023-05-01,5,Stayed a few nights,"Comfortable living room with plenty of seating. Queen beds were perfect. Twin beds would be great for kids. Loved having bottled water, coffee ready to brew and homemade sugar cookies. Morning coffee on the backyard patio was cool and quiet. We will be back."
2023-05-01,5,Group trip,"It was a great stay, again. Such a wonderful place to stay. Will return!"
2023-05-01,5,Stayed with kids,Laura is an amazing host! So accommodating and prompt in returning messages! The place was so cozy and felt like home!
2023-05-01,5,Stayed with a pet,"Homemade cookies and sweet note upon arrival 😊 great backyard, plenty of space inside too! Nice stay!"
2023-04-01,5,Stayed over a week,"Our stay here was awesome, very reasonably priced for the location!
We actually enjoyed 4 or 5 1 month stays here and we have no complaints. Laura even restocked the house and cleaned once a week, and was always very responsive anytime we had any questions.
Pretty good local restaurants in town as well.
Great place! 5 stars for sure!"
2023-01-01,5,Stayed over a week,"Laura’s place met our needs perfectly!
Clean and comfortable, perfect for a long stay.
Laura was very helpful and responded quickly anytime we had questions or concerns.
Five stars, Highly recommend!!"
2022-12-01,5,Stayed over a week,"Very nice place, perfect for a long stay if working in the area. Laura stopped by once a week during our stay to clean and restock disposables. Clean and plenty of space!! Good restaurants in town also!"
2022-11-01,5,Stayed with kids,"Miss Laura was simply an amazing host. She was responsive, helpful, and friendly. The space was nice and felt homey from the moment we walked in. Comfy beds and furniture, thick plush towels, plenty of pillows, and the kitchen was well stocked with appliances and dishes etc. the neighborhood is quiet, backyard is huge, and overall just a great stay. Wonderful home, delightful host, and budget friendly. Would definitely stay again."
2024-06-01,5,Stayed with kids,Home is extremely clean. Furniture and beds very comfy. Home had things to tidy up with after meals or messes. Nice backyard. Quiet neighborhood.
2024-06-01,5,Stayed one night,Great host nice place plenty of parking for a trailer
2024-06-01,5,Stayed one night,Very cute house in a great neighborhood! Great place to stay!
2024-05-01,5,Group trip,"Jordan's place was the right fit in the right location for our stay. Very quiet, clean, comfortable beds, and photos were spot on."
2024-05-01,5,Stayed one night,I loved everything about this place
2024-04-01,5,Stayed a few nights,Beautiful home and location.. I would definitely book this home again for future stays.
2024-04-01,5,Stayed with a pet,"Just the place we needed after a long drive. Clean, good location, and spacious!"
2024-03-01,5,Stayed a few nights,"Convenient location, good description, and clear instructions."
2024-03-01,5,Stayed a few nights,Always a great place when I’m in Lamesa for business.
2024-03-01,5,Stayed with a pet,Very nice home !!
