date,rating,note,review_text
2024-06-01,5,Stayed one night,"Fells Point excellent harbor location. Walkable amidst restaurants, taverns, great bakery, local shops. Townhouse so charming and comfortable. Free parking. Easy check in-check out. Martin ‘s instructions are simple & precise."
2024-06-01,5,Stayed one night,Martins place was everything we needed and more for one night in Baltimore. Great location and there was always plenty of parking out front. We will return!!
2024-06-01,5,Stayed one night,Martin is a great host and was extremely responsive to messages. The property was clean and nice to stay at
2024-06-01,5,Stayed a few nights,"Martin is responsive and polite, and the place and location are very good. the parking permit was very useful also."
2024-06-01,5,Stayed a few nights,"Great Location, very clean and comfortable beds!! Would definitely stay here again. Highly recommend!!"
2024-06-01,5,Stayed a few nights,"What a great find in the heart of Fells point. Was perfect little place for a family get together for my daughters graduation. We were able to spread out, hang out with a couple of friends for a little graduation gathering. It was perfect. We had everything we needed in the kitchen. The rooftop was an awesome place to sit and just chat, it is at the very end of the busy streets for Fells point so the upper bedroom you could hear the noise and the band playing so if you’re a light sleeper sleep in the basement bedroom. but will absolutely stay there again. Great morning walks around the harbor."
2024-06-01,5,Stayed one night,Rental as described and in a great location with lots of restaurants.
2024-06-01,5,Stayed one night,"Beautiful and very big place - 3 levels - great rooftop deck and awesome location in heart of Fell's Point. Clean and quiet and spacious, easy and free parking on the street. We were in and out a few times and found parking right in front. Lots of restaurants a few steps away as well as nice coffee shop across the street. Character and charm in Charm City, a great stay and wish we could have stayed longer!"
2024-06-01,5,Stayed a few nights,Great host and wonderful stay. Right in the heart of Fells Point. Thought I might have an issue with the noise from restaurants but could barely hear anything.
2024-06-01,5,Stayed one night,"This is an excellent location in Fells Point, with many restaurants and bars within walking distance. Martin’s place is spotless and well-kept, and he is very responsive."
2024-06-01,5,Stayed one night,"Man, this place had me speechless. I felt right at home. Beautiful place. I would stay here every visit. I can't wait to come back. Martin, you're awesome! Clean and the view of the Harbor was breathtaking."
2024-06-01,5,Stayed one night,"Beautiful home in the heart of Fells Point! Spacious, modern updates and very clean home that is very affordable!"
2024-06-01,5,Stayed a few nights,"Very nice place, clean and great location"
2024-04-01,5,Stayed one night,Martin’s place is lovely! The rooftop area was superb for our birthday celebratory champagne toast. The beds were very comfortable. All was as described in the listing or reviews. It is so close to everything in Fells Point!
2024-04-01,5,Stayed a few nights,"I recently had the pleasure of staying at this fully loaded Airbnb in Baltimore's Fells Point, and it exceeded all expectations! The location couldn't be more perfect – right in the heart of everything, yet still tucked away for a peaceful retreat. The attention to detail in the amenities made our stay incredibly comfortable, and the space was thoughtfully designed to comfortably accommodate four guests. From the cozy furnishings to the well-equipped kitchen, every aspect of our stay was thoroughly enjoyable. I highly recommend this Airbnb to anyone looking for a fantastic stay in Baltimore!"
2024-04-01,5,Stayed with kids,"We loved our stay at Martin’s in Fells Point. After living in Baltimore for many years, I can attest to the quality of this location. Safe, quiet, good parking and central to so many things!!!!
The home was clean! We loved the beautiful bathtub and shower. The rooftop views were wonderful!
Such a great location on a quiet street. Would stay again!"
