date,rating,note,review_text
2024-06-01,5,Stayed a few nights,Small but comfortable…the bathroom was a little tight but otherwise nice home!
2024-06-01,5,Stayed a few nights,The place was lovely and the location was perfect!
2024-06-01,5,Stayed a few nights,"We had a great stay, with easy access to the Bourbon Trail and walkable to downtown Bardstown. Highly recommend."
2024-06-01,5,Stayed a few nights,"We had a great two night stay in Bardstown for the PGA Championship! Lianne’s communication leading up to the trip was great. The house was SO clean and smelled so good upon arrival. Walkable to all places downtown. The house is small, but we found it very comfortable for two couples. Would love to return for a bourbon trail weekend :)."
2024-06-01,5,Stayed a few nights,Avery House is in a excellent location and had everything we needed! Will stay here again next time I come to Bardstown.
2024-06-01,5,Stayed a few nights,This is our second time staying at the Avery House. It’s in a quiet neighborhood that is an easy walk to the downtown shops and restaurants. Our favorite place to stay in Bardstown. We will be back!
2024-06-01,5,Stayed a few nights,Great house! Walkable to Bardstown restaurants and convienent to the distilleries. Wouldn't hesitate to stay here again.
2024-05-01,5,Stayed a few nights,"This is a lovely little house in a great location, walking distance to the Main Street with cute restaurants and stores.
The house was super clean and well kept. Lianne was a pleasure to communicate with.
Thank you for having us, Lianne."
2024-04-01,5,Stayed a few nights,Charming 2 bedroom home near Bardstown and so much more. Lianne kept us updated on Check-in the day before and let us know when the home was ready to occupy. Great location and cozy home full of thoughtful amenities.
2024-04-01,5,Stayed a few nights,"Amazing stay, close to everything we wanted to do. Felt right at home."
2024-04-01,5,Stayed a few nights,We had a great time at Lianne’s place! It was close to everything and just a walk to down town! Beautiful neighborhood and very clean house that always smelled good when you walked in and the sheets were so soft I wanted them for our house! Lianne was so responsive even when it was 10:30 pm! We left from NC and went half way to WV just to find out a tornado hit the town and there wasn’t power or a hotel for 2 hours away. We texted Lianne and she let us add a day to our stay and our panic quickly left! We appreciate everything and our stay was great. I can’t wait to come back!
2024-03-01,5,Stayed a few nights,"Great place, close walk to downtown! Home had everything we needed."
2024-03-01,5,Stayed a few nights,"We loved every aspect of our stay. This is a perfect location to access the restaurants and activities Bardstown has to offer. The house was one of the most thoughtfully appointed Airbnbs we’ve stayed in. It had everything! It’s a small space, but very adequate and so well designed that it was perfect for us. The host was very communicative and super friendly. Lovely stay!"
2024-03-01,5,Stayed a few nights,Fantastic location. Walkable to multiple bars and restaurants. Wonderful central location to many of the distilleries on the bourbon trail!
2024-03-01,5,Stayed a few nights,We stayed for a couple days and it was perfect! Great location if you want to check out the bourbon trail. Lianne was very responsive and the place was immaculate. I would definitely return if I come back to Bardstown!
2024-02-01,5,Stayed a few nights,great place and helpful host.
2024-02-01,5,Stayed a few nights,"Absolutely loved my stay. The house is clean, updated, comfortable and walking distance from great restaurants and bars. Lianne was responsive and extremely accommodating when I needed to add an extra night to my stay. Highly recommend!"
2024-02-01,5,Stayed a few nights,"Love, love, love this place. It is exactly as described and shown in the listing. Love that it’s walkable but also in a quiet part of town. Lianne is a very helpful and responsive host."
2024-02-01,5,Stayed a few nights,Very nice Airbnb! We stayed for two nights and went to heaven hill and bardstown bourbon then spent the rest of our time in the little town. We had a great weekend and would definitely stay again!
2024-01-01,5,Stayed a few nights,"Wonderful place perfectly situated to everything in town. Well appointed, clean, and cozy!! Lianne was extremely responsive, kind, and helpful! Def recommend."
2024-01-01,5,Stayed a few nights,Thanks for a great stay. Enjoyed the location and had a great time.
2023-12-01,5,Stayed a few nights,"Lianne’s place was great to stay in and very clean. We loved the holiday decorations and overall it felt very inviting. Lianne was highly responsive to messages.
Overall - I would highly recommend staying here!"
2023-12-01,5,Stayed a few nights,This Airbnb was perfect for my boyfriend and I. The house was very close to town and it's only a short walk to restaurants and bars. I recommend this Airbnb if you are looking for something cozy and clean. We enjoy our stay and hopefully others will too. We will definitely come back in the future!!
2023-12-01,5,Stayed a few nights,"We absolutely adored this place. 10/10 recommend. It was so clean and cozy, walkable to everything. We had such a fun weekend. Will definitely return."
2023-11-01,5,Stayed a few nights,Enjoyed our stay in this cute little house!
2023-11-01,5,Stayed a few nights,Everything was as described. Lianne was proactive with providing instructions and making sure we checked in with no problems. Area is amazing and everything is within walking distance. Super quiet neighborhood and friendly people. Highly recommended and would stay here again!
