date,rating,note,review_text
2024-06-01,5,Stayed a few nights,We are so happy to stay in Kim’s Airbnb. Definitely will come back next time.
2024-06-01,5,Stayed a few nights,I’m not sure where to begin with this home. The listing was everything it said and more. Kim is an incredible host and super responsive. The views from the porch are exactly as portrayed and I will absolutely be back again! Thank you so much Kim for an amazing stay!!
2024-06-01,5,Stayed a few nights,Another fabulous stay here. It was our second time staying here. Kim is a gracious host. The house is so clean and peaceful. My favorite part is sitting on the back porch just taking in the view. Can’t wait to go back!
2024-06-01,5,Stayed a few nights,"This was one of the nicest Airbnb’s I have ever stayed at. Surroundings and views are absolutely gorgeous, the home is meticulously designed with stunning artwork and furnishings.
I will definitely return as it is also in very close proximity to the piano camp I attend in Bennington! Thank you!"
2024-04-01,5,Stayed a few nights,"This is the third time I’ve stayed at the sugar house. It was just as charming as always. The views in spring are lush and green. We watched sunsets and deer in the field from the porch. Peaceful and calm!!!! We stayed longer this time and were able to go to our usual favorites in Bennington as well as some towns nearby like Manchester and Wilmington. Great stay, and looking forward to the next one."
2024-04-01,5,Stayed with kids,"We had a wonderful stay at this cozy Vermont retreat! The house was perfectly comfortable for us and our three year old, providing a great spot to enjoy the surrounding nature. Kim was an incredibly thoughtful host and very responsive! Our son loved playing in the spacious yard, and we all enjoyed the stunning views. Highly recommend this place for a peaceful and relaxing getaway! We made some great memories of our lifetime."
2024-03-01,5,Stayed a few nights,"This house is a perfect combination of great views, privacy, and comfort. The place is extremely clean and modern. All the windows in the house provide unforgettable views of open field, pond, and mountains. I thoroughly enjoyed my time at Kim’s place and looking forward to come back to it when time allows."
2024-03-01,5,Stayed a few nights,"We have seen the Sugar shack many times before driving through while visiting Bennington, VT. We always wondered about it and its great location and view. When we saw it available on Airbnb the days we were heading up to VT, we had to book it and It didn’t disappoint. From the thoughtful touches to the well appointed living spaces we had a great 2 nights there and will definitely be back."
2024-03-01,5,Stayed a few nights,"Such a wonderful weekend at the Cozy Cottage. It exceeded our expectations. We arrived after dark. Lights had been left on for us and a fire was going in the gas fireplace to greet us. Every room was well appointed from the kitchen with breakfast items available to the living spaces, bedrooms and baths. We wanted for nothing. In addition, the cottage was spotless. Kim was quick to respond to emails and seemed glad to help. Her husband was gracious to keep the outside steps, sidewalk and driveway clear of snow. He even cleared the snow from our car both days. This was way beyond the call of duty and so appreciated.
The scenery is breathtaking! We even enjoyed some wildlife by the pond.
We had the good fortune to bump into Kim while visiting Bennington and she is absolutely charming. Even though Kim has several Airbnb homes in Bennington it would be difficult to pass up another stay at the Cozy Cottage. We will definitely be back."
2024-03-01,5,Stayed about a week,"My week at the sugar house was fantastic. The house was beautifully and tastefully decorated, with warming touches throughout. Kim was a fabulous host, leaving breakfast items in the fridge and also a little special treat. I would definitely stay here again. Thank you, Kim!"
2024-03-01,5,Stayed with kids,Kim’s Sugar House home is absolutely adorable! Tastefully designed and impeccably clean. Kim is very responsive and friendly. Looking forward to returning for another visit. Highly recommend.
2024-02-01,5,Stayed with kids,"We had a wonderful stay here; the views of the mountains are spectacular and it was one of the cleanest airbnbs we’ve ever stayed at. Kim was a fantastic host and really went above and beyond to make us feel at home, even making sure the fridge was stocked with breakfast items. Everything was really well thought out, from labeled switches to restaurant recommendations to decor. The layout is perfect I think either for a couple or for a family of 4(ish). There are some other houses nearby but the orientation of the house makes it feel rather private (while also emphasizing the views). We’d definitely stay again!"
2024-02-01,5,Stayed with kids,"The house went beyond what we expected. It mixes comfort and style perfectly, making it an ideal getaway. The inside is beautifully decorated, with careful attention to detail, making every room feel special. The house was very clean, in great shape, and had all the modern comforts we needed for an easy stay."
2024-02-01,5,Stayed with kids,"Our family loved staying at the Sugar House in Bennington. In addition to the charming and very comfortable house, Kim was a responsive and friendly host. The house, besides being just as described, suited our needs perfectly. We were there to enjoy a few days of skiing, and the house was the ideal launch pad for getting to Bromley and other great Vermont towns. At the end of each day, we found it the perfect place to come back to when we needed to wind down and chill. We will be back! Highly recommended."
2024-02-01,5,Stayed a few nights,"We had a wonderful weekend at this beautiful home. It is sparkling clean, and filled with interesting art and cozy touches. We enjoyed the nearby hiking trails, and the proximity to downtown Bennington. Would definitely recommend!"
2024-02-01,5,Stayed a few nights,"This stay at Kim’s was absolutely wonderful! Kim’s communication, location, home cleanliness and comfort were A+++! We had a truly relaxing and peaceful time. Thank you Kim."
2024-02-01,5,Stayed with kids,This house was beautiful inside and out. My family and I had a great time. Kim was an awesome host!
