date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,Deema was a fantastic host. Place met all our needs and our fur baby’s needs. Would definitely stay there again.
2024-06-01,5.0,Group trip,"Deema was a great host and very responsive. Her home is nice and you at home. Even left a basket full of goodies.
Recommend and will return."
2024-06-01,5.0,Stayed a few nights,Good place. Felt like home. Definitely recommended.
2024-04-01,5.0,Stayed with kids,"It was definitely a very comfortable place
It has everything a family with children needs 😊
It's very clean and I loved that!
Also the welcome basket with snacks 🤩
thank you, we'll be back very soon 🫶🏻"
2024-04-01,5.0,Stayed a few nights,"The house was as described in the listing. Three great bedrooms with comfortable and clean beds. The bathroom was very clean and well stocked. The kitchen was easy to use and had everything we needed for stay-in meals.
I really like our stay there. Peaceful neighborhood and quiet neighbors. Easy to get in and out."
2024-03-01,5.0,Stayed with a pet,Deema was a fabulous host! Very responsive to all of our questions and the home was very cozy. Will for sure stay here again or her other location when in town. Highly recommend for anyone traveling with furry friends.
2024-01-01,5.0,Stayed a few nights,Very welcoming stay. Comfortable beds and every room had a T.V. Very recommended.
2024-01-01,5.0,Stayed with a pet,Really cute with welcoming vibe!
2023-12-01,5.0,Stayed with a pet,Had a wonderful stay. Loved how the kitchen was fully stocked so I could cook for my family. Everything was very clean & welcoming!
2022-07-01,5.0,Stayed about a week,Best place in Big Spring! no 🧢
2022-06-01,5.0,Stayed a few nights,"Great place to stay.
great communication with host.
would definitely book again"
2022-06-01,5.0,Stayed a few nights,This is the 2nd time I have stayed at Deema’s lovely home and I would definitely continue to come back. The home is very clean and the decorations make it feel like home. And the fresh flowers are such a nice gesture.
2022-05-01,5.0,Group trip,"Deema's place was wonderful! We let her know we were coming into town for a graduation and when we arrived there were cute graduation napkins. She had extra, individually wrapped toiletries in the bathroom in case we forgot anything too. I also appreciated the wall mounted TVs in the bedrooms. Sometimes it is hard to fall asleep in a new place when it is quiet, so being able to run a movie to fall asleep to was great. We went with my in-laws and this was their first time at an Airbnb. Deema made sure to send any details they might need since they were arriving before us. Check-in was a breeze and it was a great place to stay with family while in town! We would absolutely stay here again."
2022-05-01,5.0,Stayed a few nights,"Cute, clean, comfortable & convenient!
Deema brought fresh flowers, muffins & extra detergent
for us the day we arrived, very thoughtful!
Great place to stay in Big Spring!
Amy"
2022-04-01,5.0,Stayed a few nights,This place is truly a home away from home. From the house decor to the amenities and snacks. Very clean place with plenty of room. I really enjoyed my stay and I look forward to being able to stay there in the future.
2022-04-01,5.0,Stayed with kids,"Deema’s place is perfect! Great location, only minutes away from Walmart, H‑E‑B, hiking trails, and parks! Deema was so accommodating, and had everything we needed in her home and then some! We will definitely be staying here again, and suggest others do the same!"
2022-04-01,5.0,Stayed about a week,"Very nice house, quiet neighborhood and easy to get to. Deema was very nice to communicate with."
2022-03-01,5.0,Stayed about a week,Great house and host!
2022-02-01,5.0,Stayed over a week,"Deema’s place is great! She was very accommodating and very quick to respond with any questions we had. The place was very clean and had all of the necessities for a for a long term stay. She was also very helpful with our check-in time, which was extremely helpful."
2024-05-01,5.0,Stayed a few nights,very comfortable home. we enjoyed our stay.
2024-04-01,5.0,Stayed about a week,this place is decked out with everything you could possibly need & more! Stephen is very communicative and friendly. we really enjoyed our stay and we will definitely be back!
2024-01-01,5.0,Stayed about a week,"Great place to stay, responds rapidly and is very attentive one of the better places to stay in the area."
2023-10-01,5.0,Stayed over a week,Very comfortable place to stay. My favorite place to stay when I’m in the area.
2023-10-01,5.0,Stayed over a week,"Very comfortable place to stay, I am a returning guest and I always enjoy my stay."
2023-09-01,5.0,Stayed over a week,Very nice place to stay! Very spacious and cozy.
2023-07-01,5.0,Stayed over a week,"Truly great host and now friend! Communication was extraordinary! Stephen was helpful and was always there for any kind of help.
Home was beautiful and had anything and everything you would need for your stay.
Home was very well maintained and clean inside and out. Neighborhood was quiet and felt safe.
Would 100 percent recommend Stephens property for anyone looking!"
2023-06-01,5.0,Stayed with kids,"Great place! Great stay! Stephen was very reachable! He communicated everything very well. The house was perfect, and man, does that thing have an AC!!"
2023-04-01,5.0,Stayed a few nights,We booked last minute as another rental fell through. Stephen was very helpful and his location was amazing. He also reached out to us when we left an item behind. Very thorough and helpful.
2023-03-01,5.0,Stayed over a week,"I want to thank Stephen for being an excellent host! The place was very nice, and clean! I definitely would stay again when I’m in the area."
2024-06-01,5.0,Stayed over a week,Great place for teams doing work in Big Spring area. Thanks!
2023-11-01,5.0,Group trip,great place. perfect spot for my crew. prices were good. host is very friendly and flexible.
2023-11-01,5.0,Group trip,Grate place definitely enjoyed it. One of our guys brought a guitar and the acoustics in the church are nice.
2023-11-01,4.0,Group trip,Good place to stay
2023-10-01,5.0,Group trip,Great place to stay for a working crew.
2023-09-01,5.0,Group trip,Great place thanks so much !
2023-07-01,5.0,Stayed a few nights,Fantastic stay. Lots of personal space and good areas to cook and just hang out after a hard hot day of work. They have done a phenomenal job of repurposing a church.
2024-06-01,5.0,Stayed one night,"Great value! We needed a place to stay for one night while on a long road trip and it was affordable, clean, and easy to check in. We would stay here again :)"
2024-06-01,5.0,Stayed about a week,Nice new clean and very functional. Will stay again!
2024-04-01,5.0,Stayed a few nights,Gersh was great and allowed us to extend our stay. We are very grateful.
2024-04-01,5.0,Stayed a few nights,Great place. We enjoyed the stay.
2024-01-01,5.0,Stayed a few nights,Served our needs perfectly. Nice environment to stay. Open and very clean house. Nice new neighborhood. Felt very safe and secure. Home was a perfect place to stay. Bravo to Gersh and Em
2023-12-01,5.0,Stayed with kids,Amazing place!
2023-12-01,5.0,Group trip,"Best place to stay in Big Spring by far. Immaculate home with all the amenities listed and desired. Located in a nice neighbourhood, with convenient access to all that the town has to offer."
2023-11-01,5.0,Group trip,The house had everything we needed. We felt right at home. We will definitely be booking again when we head back to visit our Big Spring Family.
2023-11-01,5.0,Stayed a few nights,"Lovely home. New, modern and clean."
2023-11-01,5.0,Group trip,"This was our second time to stay here, and we enjoyed it just as much as the first time. Great house with everything we needed. We will stay here again!"
2023-10-01,5.0,Stayed a few nights,"I’m sorry I didn’t leave a review sooner.
Honestly my best Air BNB experience ever. Hopefully dates line up again next year. I would love to come back."
2023-09-01,5.0,Stayed a few nights,Gershom and Emma are fantastic hosts! They replied immediately to our question. The place is very spacious and free of clutter. There are plenty of tables and chairs to place extra bags and even closet space to hang cloths. They supplied all the necessities for a trip away from home. I strongly recommend staying here when visiting Big Spring!
2024-06-01,4.0,Stayed with kids,Linda was very welcoming. My daughter and I slept like babies. The beds felt like clouds! Honestly I wish I could have stayed longer. The neighborhood is super quiet. I sure will visit again.
2024-06-01,5.0,Stayed one night,"Laura place was very clean, organized and it was everything I needed after driving 3 hrs. I got to relax and soak in her tub and I got amazing sleep in her king bed which was very soft might I add. If I could have just stayed I would. Loved it!! 5-5 stars"
2024-06-01,5.0,Stayed a few nights,"I enjoyed my stay l!! Will
Definitely stay again when I return to Big Spring."
2024-06-01,5.0,Stayed a few nights,"we enjoyed our stay, the host is very nice and communicative. the house is nice and tidy. 100% recommend!"
2024-06-01,5.0,Stayed with kids,"Our stay was great. Linda was super sweet, very friendly & helpful throughout our whole stay. It was very comfortable for my little family & such a peaceful neighborhood especially having 2 littles. I have no complaints would definitely stay again if we’re back in the area & highly recommended."
2024-04-01,5.0,Stayed one night,Great stay! The neighborhood is calm and peaceful and you feel safe and comfortable! I was so happy with this stay! I would definitely stay here again and would recommend to anyone visiting the area for work.
2024-04-01,5.0,Stayed one night,Danette and her husband were fantastic! Such great hosts and helped me out when I got in later in the night. Had a fantastic conversation after arriving and really appreciated their hospitality. I couldn't have asked for better hosts!
2024-02-01,5.0,Stayed one night,"My stay at Danette's was great. Highly recommend. Excellent hosts. It was quiet and safe, friendly and relaxing. I would stay here again. Thanks for everything!"
2024-01-01,5.0,Stayed one night,good!
2023-12-01,5.0,Stayed over a week,Danette did an amazing job with everything.
2023-12-01,5.0,Stayed a few nights,"Danette was a wonderful host in all aspects!
I thoroughly enjoyed my stay in her home.
She was very warm, welcoming, gracious and very helpful. She wanted to make my stay a very good experience
My room and bathroom were extremely very clean and immaculate.
I highly recommend staying at her home. I know I want to stay at her home again in the future!"
2023-08-01,5.0,Stayed a few nights,"Danette and her husband were very friendly, great place to stay felt like home even the neighbors said hi to me… very clean and I even came back home with no dirty clothes… I would stay with them again."
2023-08-01,5.0,Stayed one night,"Danette was a wonderful. personable host. She made her home open and warm. The next time I am in Big Spring, and there will be a next time, Danette's place is where I will stay."
2023-08-01,5.0,Stayed a few nights,"Danette is a wonderful, responsive, and pleasant host. She checked in with me a few times to make sure that I had everything I needed. Home is in a lovely, quiet, and safe neighborhood. 10/10 would stay here for work in Big Spring again!"
2023-07-01,5.0,Stayed one night,"Danette and Phillip are deservedly superhosts. Very friendly, helpful and caring. Their home is very lovely, well maintained and artfully decorated. The setup is comparable to a Holiday Inn or any 5-star hotels. The bedroom is lockable, separate from a full bathroom, which is in turn separate from a mini-foyer where I could brush my teeth and fix my hair/makeup. Very clean and inviting. The hosts maintained a respectable distance, but also engaged in uplifting conversation. I think I have found my people lol. I had a space reserved in the fridge which I didn't get to use because I was there for a night only. I recommend her space wholeheartedly. Five stars!!"
2023-07-01,5.0,Stayed one night,"My host was great. she was fast to communicate, she was friendly and helpful."
2023-06-01,5.0,Stayed a few nights,"Really nice and comfy. Quiet, clean, convenient. Plus super nice people"
2023-04-01,5.0,Stayed about a week,Danette and her husband made me feel right at home. Very comfortable and respectful to my privacy. Great attitude and easygoing.
2023-03-01,5.0,Stayed about a week,Just great people to stay with and to know. Would call them friends at this point and i hope to see them again anytime i can. Glad to have gotten to know them and their work.
2022-12-01,5.0,Stayed one night,"Danette went above and beyond! The place was spotless, easy to find, and her and her husband are great hosts. I couldn’t recommend staying here more if you’re in the area. Very reasonable price."
2022-12-01,5.0,Stayed about a week,I thought enough of Danette and Phil and their place that i decided to stay a 2nd week. Nothings changed. They're great. Love it here.
