date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,"Nice apartment, Good location and well equipped."
2024-06-01,5.0,Stayed one night,"The apartment was great. Communication and check-in was a breeze. The place was clean and comfortable. It has every amenity needed (a stocked kitchen, extra towels, an iron, a hair dryer, etc.). It was also nice and quiet, but close to everything."
2024-06-01,5.0,Stayed a few nights,"Great place to stay that is walkable to/from many good restaurants, shopping, and attractions. Very clean place with great hosts. Will stay again on our next trip to Boston."
2024-04-01,5.0,Stayed a few nights,Good location walkable to a lot of things. Cute neighborhood. Place was just as described. You can hear the neighboring units and building noises pretty clear so it’s a hit or miss if you get considerate guests or not. Thankfully it wasn’t too disruptive during our stay. Overall the communication with Jessy and Diego was great and everything was easy and smooth.
2024-04-01,5.0,Stayed a few nights,"Great location! Excellent communication. Place was spotless, well appointed. Very comfy bed"
2024-04-01,5.0,Stayed a few nights,"A lovely apartment, exactly as depicted in the pictures and extremely clean! The location was brilliant and safe and most spots were walking distance from this house!
Finally the hosts were very kind, prompt and supportive through my time there.
A perfect stay overall. Thank you again!"
2024-04-01,5.0,Stayed a few nights,"Close enough to walk everywhere but far enough off busy streets for quiet nights. Very nice, clean well kept neighborhood. Felt safe walking around even at night. Very close pocket parks with lots of people walking and taking dogs for walks."
2024-04-01,5.0,Stayed a few nights,A perfect stay and the smoothest transaction imaginable. Will be back for sure!
2024-04-01,5.0,Stayed with kids,"Best hosts on AirBnb. Super responsive, helpful and accommodating. Thank you for a great stay!"
2024-03-01,5.0,Stayed about a week,"I was looking for a place that was close to metro stations and safe to walk around at any time, and this apartment was a great choice. There are 2 metro stations nearby, supermarkets, a convenience store, a mall, cafes, and restaurants. All within a very short walking distance.
The apartment was smaller than I expected, but it is comfortable for one person (or a couple) and has everything a traveler might need. I stayed for 1 week and liked the time I was there. The WiFi is good for work, studying, and video calls. The bed is very comfortable and the neighborhood is charming."
2024-03-01,5.0,Stayed a few nights,"I had a lovely time here, thanks to you."
2024-01-01,5.0,Stayed a few nights,The airbnb was great for 1 person or a couple who plan on being out and about most days. It was very cozy and was a great place to come back to at night. I would stay here again!
2024-01-01,5.0,Stayed a few nights,I really enjoyed staying at Jessy and Diego's place! It was so clean and comfortable. Diego was very communicative and kind. I would definitely stay there again!!
2024-01-01,5.0,Stayed over a week,"Great location and value. Nice to have a bedroom, living area and modern bathroom. Hosts were extremely responsive."
2024-01-01,5.0,Stayed over a week,Great place to stay!
2023-12-01,5.0,Stayed a few nights,"The space was very clean and as advertised. The hosts are really incredible, very responsive and accommodating, as I had an emergency with my car and Diego came to the rescue within minutes. I am a very restless sleeper yet I slept very well here (I'm very easily woken up, but never had an issue here). The location and value is definitely worth it, I had a great time trying all the food nearby. it's also very easy to get around with the public transportation."
2023-12-01,5.0,Stayed a few nights,nice experience 😊
2023-11-01,5.0,Stayed a few nights,Great location.
2023-11-01,5.0,Stayed a few nights,"It was an excellent stay-very nice place
Easy to get everywhere!
Thank you!"
2023-11-01,5.0,Stayed a few nights,"Overall, the apartment, location and hosts ranked as one of my better experiences on AirBnB. It is perfect for a single person but would still be cozy for a couple. It was a great space for either vacationers or work travel to Boston. It was an easy walk to many sites, several tube stations and the South End for great restaurants. I was attending a Conference for work at Hynes and it was an easy walk from the Convention Center. The internet and small dining area made it a great work space as well. Overall, really enjoyed the stay and will definitely look to stay there again. Thanks!"
2023-11-01,5.0,Stayed a few nights,"Jessy and Diego were incredibly accommodating and very responsive! They went out of their way to make sure we were well taken care of. The bed was comfortable, and the foliage in October was incredible. I would definitely visit again."
2023-10-01,5.0,Stayed a few nights,Everything was great!
2023-10-01,5.0,Stayed one night,"Very clean and great location. They provide helpful instructions and different parking options. Their apartment was quiet and we totally enjoyed the peacefulness after a fun & sightseeing day in Boston. We hope to stay their again, highly recommend this place."
2023-10-01,5.0,Stayed a few nights,Awesome place!!
2023-10-01,5.0,Stayed a few nights,Had an amazing stay!
2023-10-01,5.0,Stayed one night,Jessy and Diego were very responsive and friendly. The apartment is in the cutest neighborhood and was clean and comfortable. Will be back again!
2023-10-01,5.0,Stayed a few nights,I was staying in apt 3 which faces the trees on Cumberland Street on the first floor. The apt had everything you need to settle in and then explore the surrounds. I appreciated the well equipped kitchen to cook my own meals.
2023-09-01,5.0,Stayed a few nights,"The location of this stay was very central and very walkable to a large variety of restaurants, cafes, and grocery store. The apartment was a tad small, but very doable between two people. Overall, very nice stay.
Jessy and Diego are incredibly responsive and super helpful."
2023-09-01,5.0,Stayed a few nights,The host are super nice and the location of the house is perfect. A wonderful experience!
2023-09-01,5.0,Stayed a few nights,I met Diego and he was very polite and helpful. The place is very cozy and worked wonderfully for our trip. Easy access for us to get around with no car.
2023-09-01,5.0,Stayed one night,We had a great stay with Jessy and Diego! The apartment was lovely and in an ideal location.
2023-09-01,5.0,Stayed a few nights,"I wanted to stay in Back Bay and this place meets my criteria. A tip: Logan airport has free express shuttles to Back Bay and the stop is 10 minutes walk to Jessy and Diego's place.
Jessy and Diego were very friendly and responded SUPER fast.
Enjoyed my stay!"
