date,rating,note,review_text
2024-02-01,5,Group trip,"Great spot, would love to go during the summer as well"
2023-12-01,5,Stayed a few nights,"Place was great. Close to restaurants and our family.
Everything we needed. Plenty of elbow room for all to have space and still be in same space."
2023-10-01,5,Stayed a few nights,"Very clean! So much is new, high quality and all in great working condition. The home is very welcoming and has many special touches.
Despite the poor fall weather, we enjoyed the excellent views!
We had prompt and friendly communications before our stay and Cadillac has a lot to offer. Definitely recommend!"
2023-08-01,5,Group trip,"We loved our stay here - I just wish we could’ve stayed longer! Beautiful, clean home with everything we needed. Great location!"
2023-08-01,5,Stayed a few nights,"Great place to stay , clean , comfortable, quiet neighborhood"
2023-06-01,5,Stayed with kids,Very clean. Nice area on the lake. Home was comfortable and had a lot to keep the kids busy. We would definitely stay here again.
2023-06-01,5,Stayed with kids,"Had a great time at this house - perfect for our needs. Good location, quiet neighborhood, excellent amenities: enjoyed the kayaks, paddle boat, and fire pit. Well appointed kitchen. Clean and comfortable furniture and beds. We felt very at home. Thank you."
2023-06-01,5,Stayed with kids,The house was perfect for a nice family up north get away. Host really though of everything the guest would need. Perfect location right on a cove connected to Lake Mitchell.
2023-06-01,5,Stayed a few nights,"A beautiful setting, with coffee by the water, and lots of water activities!"
2023-05-01,5,Stayed with kids,"We had the best time! Beautiful house, with well stocked amenities and comfortable beds. Loved fishing off the dock, kayaking and the gorgeous sunsets. Highly recommend!"
2024-06-01,5,Stayed a few nights,It was exactly what we needed! A great cozy place close to the resort where we attended a family wedding. Kelli was very kind and responsive.
2024-06-01,5,Stayed with a pet,This was our 3rd time staying at Kelli's. Every time we've throughly enjoyed our stay. The location is beautiful and we noticed some updates since last year. Highly recommend staying here!
2024-05-01,5,Stayed with kids,This place was one of the cleanest and best stocked AirBnbs I’ve ever stayed in! There were so many thoughtful touches throughout the house. It had everything you could need. The location and layout of the house were perfect for us! I would definitely stay here again if in the area!
2024-03-01,5,Group trip,"The location was very convenient to Caberfae Ski Resort, it had all the amenities needed for a week long stay, a quiet and cozy place. Hosts kept in touch when needed are were very nice."
2024-03-01,5,Stayed a few nights,"Kelli's place is located just minute drive from Caberfae, if you planning a ski weekend it's a great place. The home was clean organized and cozy. My group of friends and myself al greatly enjoyed staying there and plan on coming back."
2024-03-01,5,Stayed with kids,"The chalet was PERFECT for our family of 4 for our ski weekend at Caberfae. Only 2 minute drive to the slopes! The house was so cozy and there was plenty of room. Kelli paid attention to detail with anything we could have forgotten by providing snacks, toys for kids, DVDs, toiletries! Everything was very well labeled. The wood burning fireplace was cozy after a day of skiing. Our kids also loved running around in the spacious backyard. We definitely will return and stay at the Chalet!"
2024-02-01,5,Stayed with kids,"Very nice little place close to the ski hill. The host is a rockstar, everything is labeled and spelled out for you. Would definitely recommend."
2024-02-01,5,Stayed a few nights,"First time using, couldn’t ask for a better experience. Kellie was amazing and helpful. Would recommend and will be booking again."
2024-02-01,5,Stayed a few nights,"We had to cancel our U.P. ski trip due to lack of snow, so we did a lower Michigan tour of ski areas that make snow, ending with the last few days at Caberfae Peaks. The proximity to Caberfae was perfect. The house was everything it was described to be and more. Check in and check out were very easy. Everything was extremely clean. The working fireplace was an incredible addition of ambiance to our ski trip. There were also helpful instructions posted around the house for how to operate various appliances (including the fireplace), and it was clear a lot of thought was put into the little things that helped make the stay enjoyable, from oatmeal and light snacks on the buffet, to ground coffee with your choice if drip coffee maker or french press, and numerous types of glasses, bowls, plates, utensils, kitchen appliances, and more. I could go on but it was clear Kelli has put a lot of thought an effort into making our stay perfect!"
2024-02-01,5,Stayed with kids,"Kelli was an awesome host and very responsive. She has thought of everything! She has written instructions for anything you might need. The house was very clean! We have stayed at a lot of Air BNBs and this is one of the best so far. Kelli has all the kitchen items you may need. She has coffee, hot cocoa and snacks, should you need any. There's tons of puffy towels, hand towels and wash clothes. She's even left a bin of toiletries that her guests may be missing! There's a washer and dryer in the basement, as well."
2024-02-01,5,Stayed with kids,Great place to stay. So close to caberfae. Kelli was a great host
2024-01-01,5,Group trip,"The location, accomodations and wonderful host combined to allow our family to create an awseome weekend together to ski at Caberfae. We really appreciated the host's prompt communications, all of the special ""touches"" and amenities within the chalet and the close proximity to access skiing. The host was very kind to communicate with me that I accidently left a few of my own kitchen items behind and was willing to ensure I was reunited with them. Kelli is a very kind and gracious host! I would rebook with them again, recommend it to others and that others that book to stay at their chalet will have a very positive experience!"
2024-01-01,5,Stayed with a pet,Beautiful and so comfortable! Great place to stay!
2023-12-01,5,Stayed a few nights,Great place to stay. Quick access to ski resort. Helpful host
2023-12-01,5,Stayed with a pet,"Very charming chalet, had everything we needed and it was all was very well labeled. Warm and cozy and 2 minutes from the ski hill. Really enjoyed the stay."
2023-11-01,5,Stayed about a week,"Four Seasons Chalet is near many hiking paths , lakes and rivers. This is our second time staying in Caberfae at the chalet. We were able to go on beautiful hikes this time. The Chalet has everything you need to enjoy your stay in comfort. Kelli and Derek are great host and respond quickly to any questions you have."
2023-11-01,5,Stayed a few nights,"Kelli and Derek’s place is simply amazing! Tremendous amenities, thoughtful touches and full of opportunity for making memories. Highly recommend for nature enthusiasts who love adventuring in the forest on foot, bike or skis. ☺️"
2023-10-01,5,Stayed with a pet,"The chalet is in a perfect location for easy access to explore the National Forest. Kelli and Derek provided detailed instructions and labels for checking-in and everything around the place to make it easy to get settled in and comfortable. We were extremely impressed and pleasantly surprised with all of the personal touches and attention to details for us but also our fur babies. While we didn’t have a chance to take advantage, we loved having the option to have a fire in the fireplace, a campfire or use the grills."
2023-10-01,5,Stayed with a pet,"Kelli provided a very efficent and relaxing stay. Of the 10+ years we have been coming north for the salmon run, this cabin was our best pick so far. About 28 minutes from Tippy dam. The home was full stocked and extremely pet friendly. You can also count on Kelli to be very communicative and quick to respond. We recommend this home and host, 100%."
2023-10-01,5,Stayed a few nights,Great stay at Kelli’s place. She was quick to answer any questions I had.
2023-09-01,5,Stayed with a pet,Kelli was extremely helpful. The chalet was very clean and well stocked…everything you could need was available and extremely organized.
2023-08-01,5,Stayed with a pet,"Great stay, clean, everything we needed!"
2023-08-01,5,Stayed a few nights,"Kelli was a wonderful host, responsive and helpful in communication. The location is quiet with nice outdoor spaces to enjoy the area."
2023-08-01,5,Stayed with a pet,"Kelli’s place was as advertised! Nice chalet located in a beautiful area. Super clean, comfortable, & everything we needed!"
2023-07-01,5,Stayed with a pet,The chalet was very clean and cozy. The best place we have stayed as far as being stocked with anything you could possibly want. Even firewood and a great outdoor area. Will definitely book again
2023-07-01,5,Stayed a few nights,"Beautiful, clean cabin! We liked all the games and that we could have a bonfire. Kelli was very nice and responsive when needed. Will be staying here again next time we visit!"
2023-07-01,5,Group trip,Our family enjoyed the chalet. Walking the area was a nice start to our day. We made dinners there and had everything we needed to cook. We also enjoyed the fire pit outside one evening and made s’mores. Sleeping Bear is an easy day trip from here.
2023-07-01,5,Stayed with a pet,This cabin was amazing. The host has thought of everything from charging stations to dog dishes! You literally only need to bring your own food and clothes! The place was spotless and all rooms had a fan! The two upstairs bedrooms BOTH have an AC unit which made for a very pleasant sleep during the 90 degree days we had. They include firewood for the fire pit and/or fireplace. There is also pillows galore which made my family happy! We love extra pillows! I highly recommend staying here! We will definitely be back!
2023-06-01,5,Group trip,"cute, cozy, stay. great amenities and walkable woods nearby. quite town not too far from michigan, close by lakes and hiking. plus the ski hill in the right season. The chalet has plenty of space and a great little yard with a firepit."
2023-06-01,5,Stayed a few nights,We had a wonderful stay! The house was exactly as described and had everything we needed.
