date,rating,note,review_text
2024-06-01,5.0,Stayed with a pet,We really loved this stay. The location was perfect—relaxing but also a two minute walk from restaurants and the boardwalk and water—and the house was clean and cozy. Terri was communicative and the instructions for check in and check out were clear. We felt very lucky to have stayed in this house for our visit to Solomons Island.
2024-04-01,5.0,Stayed a few nights,My husband and I spent our anniversary weekend at Teri's lovely home. What a gem! Right in the heart of quaint Solomons Island and walkable to shops and restaurants. The house was spotless and very comfortable. We will be back!
2024-04-01,5.0,Stayed a few nights,She was an amazing host and her place is beautiful. Stayed here for tiki bar opening weekend. Walking distance to everything. Had the best weekend!
2024-04-01,5.0,Stayed a few nights,My sister and I stayed at Terri’s home while visiting our mom. Her house was perfectly located around shops and restaurants on the island. Terri was a great hostess reaching out to us several times to see if we had any questions or concerns. We will definitely stay at Terri’s when we return.
2024-04-01,5.0,Stayed a few nights,"such a peaceful and relaxing spot. Terri's place has everything you could need and is so comfortable. perfect location close to everything in Solomons. great hosts, extremely helpful and accommodating!"
2024-03-01,5.0,Stayed a few nights,Amazing place. I will definitely be back!
2024-03-01,5.0,Stayed a few nights,"Terri's place was beautiful and clean. The location was prime - walking distance to restaurants and great views of the water. Terri was great at communicating, friendly and accommodating. We look forward to staying there again!"
2024-03-01,5.0,Stayed a few nights,"Terri’s place was a wonderful location. The place was very comfortable and very accurate to the description and pictures.
Very nicely furnished. We were very comfortable and felt at home.
Terri was very responsive when we asked a couple questions as well as flexible on the check in and check out times.
We would use this again if we are in the area for another visit."
2024-02-01,5.0,Stayed over a week,I was at Terri's place for a month and have a great stay. There are many restaurants within walking distance. The morning sunrise as well as the beautiful sunsets are worth the trip itself. The house was just as pictured and the kitchen is plenty big for cooking meals. Pots and pans are a nice quality and clean up well. The beds are comfy and the bathrooms are roomy too. There is plenty of closet space for all your belongings. Off street parking is a plus since I can see where it can get pretty busy during the summer. I hope to stay here again next year!
2024-01-01,5.0,Stayed with kids,Spacious home in a great location with wonderful hosts. ⭐️⭐️⭐️⭐️⭐️
2024-01-01,5.0,Stayed with a pet,We had a great stay here. My wife was very impressed with the cleanliness throughout the house. The location worked well for our plans and was within 5 minutes of several restaurants we wanted to try. We would definitely stay there again.
2023-12-01,5.0,Stayed a few nights,Great place!
2023-12-01,5.0,Stayed with kids,"The apartment is comfortable, homey and beautifully decorated.
The accommodations are close to all the restaurants and shops in Solomon's with wonderful water views."
2023-12-01,5.0,Stayed a few nights,Terri's home was beautiful and a perfect place for my Husband and I to stay at for a fee days after our wedding on 12/22. She was very responsive and made everything so easy. We would definitely stay here again!
2023-09-01,5.0,Stayed with kids,Great little home in a fantastic location. Terri was extremely communicative and helpful throughout our whole stay. Would highly recommend!
2023-09-01,5.0,Stayed a few nights,"This is a nice house in an awesome location close to everything, and with some lovely views of the water. Very clean with everything you need (towels, dishes, coffee). Terri was a wonderful hostess, very responsive, and when we had to leave early due to a fall, she kindly gave us a partial refund, which she didn’t have to do. Highly recommend!"
2023-09-01,5.0,Stayed a few nights,Wonderful stay! Great location. Nice place.
2023-09-01,5.0,Stayed a few nights,It was lovely! Terri was an excellent host and provided everything we needed. The island is beautiful and accessible.
