date,rating,note,review_text
2024-06-01,5,Stayed one night,"Incredible stay and hope to stay again. Beautiful home, grounds and spotless!"
2024-06-01,5,Stayed a few nights,My wife and I spent four nights at Gary’s place. Everything we needed was there and Gary’s recommendations were spot on with regard to restaurants within 10mn drive. The place felt private and was very quiet. We will definitely book it again when we come back to the Eastern Shores.
2024-06-01,5,Stayed one night,"Gary's place is just as described. A beautiful home, with lush and lovely landscaping. Check-in was super easy and check out was probably the easiest we've ever had at an Air Bnb. The bed and furniture was very comfortable, allowing us to sleep well. Definitely would recommend!"
2024-06-01,5,Stayed one night,This location was perfect for our short stay. The property is beautiful and well maintained and I wouldn't hesitate to stay there again if I was back in Cambridge.
2024-06-01,5,Stayed a few nights,Excellent stay in Cambridge for the 6 Pillars Century bike ride. I would definitely stay here again. Very convenient to Great March park and walking distance to the restaurants in downtown Cambridge. Very cozy 2 bedroom place with a living room and private entrance. Gary gave us great restaurant recommendations. Great hosts!
2024-04-01,5,Stayed one night,Communication was excellent and the space was perfect for our needs.
2024-04-01,5,Stayed one night,"Gary and Hugo's place is in a peaceful, quiet neighborhood. It was exactly as described and SO clean. Both the king and twin beds were very comfortable, as well. The hosts were excellent at communicating with us before arriving and during our stay. They recommended a breakfast/lunch spot called The Blackwater Bakery and Cafe that was delicious! Would definitely stay again if we were back in the Cambridge area!"
2024-03-01,5,Stayed one night,"Great locations near downtown shops, bars and restaurants. Accommodations were very nice - two large bedrooms, comfy beds and very clean."
2024-03-01,5,Stayed one night,"Gary was extremely responsive, flexible and friendly. His place was very peaceful with a beautiful garden and a chicken coup! It was fun to watch the chickens! His place was very clean and comfortable. Great beds and good recommendations for dinner."
2024-02-01,5,Stayed one night,"My father and I spent 1 night at Gary's wonderful space and loved every aspect of it. The space was immaculate and wonderfully decorated.
The neighborhood was very walkable. We would love to come back and stay again. Thanks Gary!"
2024-01-01,5,Stayed one night,"Such a nice stay! The air bnb was very clean, cute/quaint, and relaxing! Easy parking and good location. Gary was a great host and made us feel welcome. Will definitely book again when I visit Cambridge in the future. :-)"
2024-01-01,5,Stayed one night,The house was beautiful and very clean I would definitely stay there again!!
2023-12-01,5,Stayed a few nights,"Exactly as described -- great location, very clean. Definitely recommend!"
2023-10-01,5,Stayed a few nights,Gary and Hugo were great. They communicated well and were able to accommodate a non typical request
2023-10-01,5,Stayed a few nights,Gary’s place was clean and provided a good amount of privacy. Their pack yard was a treasure-wonderful plantings with places to sit—
2023-10-01,5,Stayed a few nights,Loved our stay! Gary & Hugo were excellent hosts. Beautiful setting & convenient location. Felt like we could make ourselves at home (& did). Would definitely stay again. What a treat!
2023-09-01,5,Stayed a few nights,Gary was very responsive and helpful. We booked his place for to watch the Ironman. We were able to have others join us during the day. The yard was stunning and the place was clean and comfortable.
2023-09-01,5,Stayed one night,Such a relaxing getaway! I especially loved the garden area. Thank you Gary and Hugo!
2023-09-01,5,Stayed with kids,"The location and the place was absolutely amazing. You are close to Ocean City MD, Baltimore and DC. The calmness and serenity, the water front and Light House was very impressive. The history of Herriot Tubman Underground Railroad museum is a must see. I was so at ahhh with the town and night life. I don’t think people really know about this town and history it’s amazing and my grandson learned so much even about Fredric Douglass born and raised in Eaton,MD. I will definitely come back again. The only thing Gary is missing is a full kitchen. Other than that, the place is a gem and goldmine."
2023-08-01,5,Stayed a few nights,The apartment was very nice and comfortable. Gary made us feel at home and the bed and amenities were great.
2023-08-01,5,Stayed one night,"Location in Cambridge is older and nice--not central, but still walkable to the marina and nightlife establishments. Landscaping is well done. The back entrance was a little confusing, but once we saw the hand written sign designating the wrong door, we found the correct door. Using a rear entrance is a challenge, but they made it work. The price was a little high for the location, but at the time I didn't find any other options suitable for three or four people."
2023-08-01,5,Stayed a few nights,Amazing stay thank you
2023-08-01,5,Stayed a few nights,"Lovely place to stay! Great hosts, very responsive."
2023-08-01,5,Stayed one night,"Charming house, beautiful setting and a great, responsive host. Would love to be back again."
2023-08-01,5,Stayed one night,super cute backyard to enjoy when it's dark. all you hear are crickets. it was such a cute and quiet spot. the little town was pretty as well! we'll definitely stay again if we have the opportunity again!
2023-08-01,5,Stayed a few nights,"The guest cottage was so lovely, spacious, and had plenty of amenities to accommodate our two night stay! Beautiful home and the garden was stunning! Highly recommend!"
2023-07-01,5,Stayed one night,"Such a beautiful place to stay! Love the private door entrance, the two rooms is very comfortable, the living room and the outside patio is nicely set up for us to enjoy. We greatly appreciate the extra towels in the linen closet for the guests. So close to everything, and we were able to biked to a boat race at Gerry Boyles Park. We will definitely stay here again.
Thanks Gary for your hospitality!
Rick, Pam and Pat."
