date,rating,note,review_text
2024-06-01,5.0,Stayed one night,"Truly enjoyed my stay in this peaceful, beautiful setting. Hope to come back again!!"
2024-06-01,5.0,Stayed one night,"excellent stay for the price, cant beat it. only downside (if you consider it that) is its not near any restaurants. so definitely eat before arriving! very friendly, clean, comfortable, and spacious."
2024-04-01,5.0,Stayed one night,"Absolutely beautiful surroundings, comfy bed and room with pastoral views, lovely host and family, absolutely clean & quiet, yummy fresh eggs right from the chickens for breakfast with great coffee in the morning, and the goats are adorable! You can get there really quick from 83, but I came from the west on amazing backroads from Dresden to their place. It was magical. I’m allergic to dogs but I was fine—their 11 “puppy dogs” are hypoallergenic, super well-behaved, very quiet and clean, stayed out of my room, and were darling. Can’t wait to go back!"
2024-04-01,5.0,Stayed a few nights,Amazing stay for a few days in the farm while I chased the solar eclipse. Being greeted by the oodles of poodles was an added bonus! Friendly family and enjoyed my stay. Thank you!
2024-02-01,5.0,Stayed one night,"It was a beautiful setting , loved the house and my room was spacious and comfortable . It was the perfect spot to stop on my way to Virginia. Danielle was very kind to welcome me as I arrived later than planned . I would definitely stay there again"
2024-01-01,5.0,Stayed one night,"Another pleasant stay at Danielle's, great communication, peaceful area."
2024-01-01,5.0,Stayed one night,Really friendly host!
2023-12-01,5.0,Stayed one night,"Friendly hosts, make you feel right at home!"
2023-11-01,5.0,Stayed one night,"Wonderful stay, I look forward to booking with Danielle again in the future."
2023-10-01,5.0,Stayed a few nights,"I had a fantastic time staying here. I was made to feel very much at home. Chris and Danielle were great hosts, very friendly and even helped me out with a flat tyre on my car."
2023-10-01,5.0,Stayed one night,I had a nice stay at Danielle’s home. Im sure I will go back next fall and stay longer. It’s very quiet and secluded in the country. I had a nice walk around her property. I sat on the porch and enjoy the view with her dogs and she let me park my motorcycle in her garage which I appreciated.
2023-10-01,5.0,Stayed one night,another excellent stay. I'm sure I'll be back again. they have a very lovely farmhouse and very friendly family. they even have a pack of guard poodles to watch over you all night.
2023-10-01,5.0,Stayed one night,"beautiful farm home, clean as a whistle!"
2023-09-01,5.0,Stayed one night,Very highly recommended.
2023-08-01,5.0,Stayed one night,"Danielle and her husband were the best hosts you could ask for. Their home and property is stunning. They are very kind, gracious, and generous. We were just passing through for the night, but I wished we could have stayed a week! It was certainly a delight! (Plus, they have adorable dogs!)"
2023-08-01,5.0,Stayed a few nights,"Good parking. Good front porch for sitting and relaxing. Spacious clean house. Good open kitchen, help your self always. Host was friendly, always there but not intrusive. TV in room. Bed and sheets was comfortable. Window AC unit. Room had black out curtains. Quiet clean home through out, quiet place to relax. House on a couple of acres to walk around on with garden, and orchard. Dirt road to walk down."
2024-06-01,5.0,Stayed one night,"Kellie is a responsive and helpful hostess: she responded to us very quickly as soon as we had a question and went out of her way to help us. The cottage is ultra clean, very comfortable and extremely well-equipped. Everything smells good and you feel at home! I highly recommend this place!"
2024-06-01,5.0,Stayed one night,She was very quick to respond to all of our needs.
2024-06-01,5.0,Stayed a few nights,Very comfortable place. Nice location. Communication and responsiveness was excellent.
2023-12-01,5.0,Stayed a few nights,Great place. Clean. Loved all the windows.
2023-12-01,5.0,Stayed one night,"My friends and I wanted an easy and short get away. Kellie provided the perfect place for the occasion. It was just like home, very clear instructions and a beautiful property. Amazing hospitality and quick responses. Thank you so much Kellie!"
2023-11-01,5.0,Stayed a few nights,"I love staying at Kellie's place while I work at the local hospital. It is spotless, quiet, well-appointed and located an easy drive into Zanesville and to the hospital. I have stayed previously and will be staying several more times in the next two months. I have stayed at 5 places in Zanesville for work and Kellie's is my favorite. It is a great value!"
2023-11-01,5.0,Stayed with kids,This is our second time staying here and it was just as amazing as our first visit! Kellie thinks of everything and goes the extra mile. We enjoyed eating breakfast and watching the deer pass by the back window. It is very peaceful and has everything you could want.
