date,rating,note,review_text
2024-04-01,5,Stayed a few nights,"Incredible home! Amazing lake view with birdwatching, and some turtles as a bonus. It was peaceful and lovely."
2024-03-01,5,Stayed a few nights,Mindy was very responsive and very kind. Her place was in a very convenient location for me. Beautiful view of the Lake. Home was very clean.
2023-12-01,5,Stayed a few nights,A beautiful home with an amazing view of the lake
2023-12-01,5,Stayed one night,Beautiful home. Host is very responsive. Would definitely stay again!
2023-11-01,5,Stayed a few nights,"Lovely deck with view of the lake, lots of pelicans hanging around. Quiet area. House had all the amenities you could think of (cooking/toiletries). Very clean (except inside oven) and just enough furniture with plenty of space and storage. Enjoyed our stay!"
2023-11-01,5,Stayed with kids,The home was clean and had a beautiful view. The original Nintendo was an added bonus that the whole family loved!
2023-10-01,5,Stayed a few nights,overall great experience. didn't get to do much as it was our wedding night and the weather was rainy but cute place to stay for sure!
2023-10-01,5,Stayed a few nights,Great cozy place for our girls weekend getaway. Thanks Mindy for your hospitality!
2023-09-01,5,Stayed about a week,Loved the view and morning sunrises. Loved the big white soft bed. We slept well because it was so quiet. It was a good week.
2023-09-01,5,Group trip,"We've stayed at a lot of airbnbs over the years and this was easily one of the best! The home was comfy, well-curated, and well-stocked. The view of the lake was beautiful & peaceful. Would absolutely recommend this place to anyone looking to be in the area!"
2023-09-01,5,Stayed with kids,Great place for a weekend getaway with the family. The view from the deck was beautiful and the house made you feel at home.
2023-08-01,5,Group trip,"All the 5 star ratings are good. We did feel that it would have been very awkward if there were any more people in the facility. One shower for five people is a bit of a stretch but we made it work. Very clean, well stocked, check and check out were a snap. Communication between parties were excellent."
2023-08-01,5,Group trip,"This beautiful, stylishly furnished and decorated lake house was perfect! We all enjoyed it so much, especially the deck and amazing water views, bird watching and a mama deer came by with two of her babies to say hello! The house was spotless and well appointed, including the kitchen, plenty of crisp/clean linens, towels and comfy beds. There was also ample parking! Such a great, chill vibe for our visit with friends. Thank you so much!"
2023-07-01,5,Stayed with kids,This gorgeous lake house was clean and such a nice location. I would definitely recommend this place to family & friends. 🥰
2023-07-01,5,Stayed a few nights,Mindy was very friendly and helpful. The house was very nice. The lake is very peaceful. We love the lake and town so much we are coming back the next weekend to look at a house to buy.
2023-07-01,5,Stayed a few nights,Nice house with great views.
2023-06-01,5,Stayed with kids,Great place to stay in the area. Back patio was large with nice views of the lake and fire pit. House had plenty of room and was well stocked.
2023-06-01,5,Stayed with kids,We were in southern Illinois for a family reunion- the house was great given our party size and needs. Would stay there again if back in the area .
2023-06-01,5,Stayed with kids,"Another great stay! Everything was perfect again, from check in to check out. The house was exceptionally clean, and Mindy was always quick to respond once again. Beautiful, peaceful, and quiet place for the whole family."
2023-06-01,5,Stayed with kids,Clean and beautiful home with great view of the lake.
2023-03-01,5,Stayed a few nights,Love the the place it was very peaceful and made me feel like was at home I would definitely be reaching out again🥰
2023-02-01,5,Stayed with kids,Fantastic place! The pictures don't do it justice. The host was friendly and super responsive. The decor is WONDERFUL! I felt right at home.
2022-12-01,5,Stayed with kids,"The kitchen was incredibly well equipped , the variety of toys for the children kept them completely entertained , and Mindy was totally responsive and accommodating ! One of our best air bnb experiences !"
2022-09-01,5,Stayed with kids,"It was a great stay! There were toys and games for the kids, the Nintendo was great, and it was great having drinks and coffee on the deck. We appreciate the care that was put into every detail! And the lake is so peaceful."
2022-08-01,5,Stayed with kids,My family and I stayed here for a weekend trip and could not of picked a better place. The location is nice and quiet. The home itself is very cozy yet spacious. We loved our views of the lake and enjoyed the nice big deck and seating. My favorite was drinking coffee and watching the sunrise over the lake from that deck. Also Mindy was a great host and communicator. Thank you for a wonderful weekend.
2022-08-01,5,Group trip,Great host — great place! Will be back!
2022-08-01,5,Group trip,We had a Girls Getaway here & it was perfect! There is wonderful outdoor seating overlooking the lake & the kitchen was fully stocked with about anything you can imagine.
2022-08-01,5,Stayed a few nights,Great view of the lake. Very relaxing. Quiet neighborhood. Close enough to Walmart if you need anything😉😀
2022-07-01,5,Group trip,I love the attention to detail and how cozy the place is. Everything was provided as it was described. The place is clean and the view is beautiful.
2022-07-01,5,Stayed with kids,"Great place to stay , nice feel , lovely view. Great host."
2022-07-01,5,Stayed about a week,Beautiful house and location. The kids area with the toys and games was a big hit!
