date,rating,note,review_text
2024-06-01,5,Group trip,Great place! Was perfect for our family and we were all very comfortable!
2024-04-01,5,Stayed a few nights,Jay was very gracious about our check out. We had a hiker need to go to the ER and were even later than the missed deadline for checking out. I cannot thank Jay enough for being understanding of my miscue and the even further our extenuating circumstances. Thank you again Jay.
2024-03-01,5,Stayed a few nights,Jay truly is a super host. He would always respond within 30 minutes. the house is clean and inviting. a great place to call home base while exploring the local area. thanks Jay!
2024-02-01,5,Stayed with kids,Comfortable and roomy. Great for a family.
2024-02-01,5,Stayed with kids,"Just like the pictures very large space clean, home feeling, very comfortable."
2023-12-01,5,Stayed with kids,"Had a great stay, super clean house with everything you need!"
2023-12-01,5,Stayed a few nights,"Jay's place was very comfortable and relaxing. Very nice, clean and quiet. We enjoyed our stay and will keep this place in mind for future use."
2023-11-01,5,Stayed one night,Convenient location. Host is very responsive. Clean cozy space.
2023-11-01,5,Stayed one night,Very spacious and comfortable ranch style home conveniently located between Chambersburg and Shippensburg. The house was easy to find and was perfect for our family. Jay was a responsive host and we'd love to visit again.
2023-10-01,5,Stayed one night,Nice!
2023-10-01,5,Stayed with kids,Jay’s house was so perfect for our family. Very clean and cozy. Felt at home. The kitchen was amazing. Beds where comfortable too! We definitely would come back. Thank you so much for sharing your home with us.
2023-10-01,5,Stayed one night,Jay's home in Chambersburg was lovely. We were in town for the Biglerville National Apple Festival. The home was spacious and clean. My nieces thoroughly enjoyed playing the piano. Would definitely stay again if I am ever in town!
2023-09-01,5,Stayed one night,"We were very happy with our stay at the house. It was just as described and more, the kitchen would exceed anyone's expectations. It was wonderful to be able to make our own meals with the vast space and absolutely everything needed at hand's reach. We loved the privacy and easy access to our activities. The house is very comfortable, clean and feels like home, in a quiet neighborhood. The host kind and helpful. We would certainly book again. Thank you"
2023-09-01,5,Group trip,"My friends and I very much enjoyed our stay here! The living room is very nice to hang out in, the kitchen is very spacious, and the beds are comfortable. It truly felt like a home. There was nothing that we needed or wished we had that wasn't there. Jay was flexible and always quick to respond to questions, and gave detailed instructions of finding the place and other local highlights of the area. We appreciated our stay and would be happy to stay here again!"
2023-07-01,5,Stayed with kids,"Welcoming atmosphere! The place was excellent, would recommend to anyone looking for a great place to stay! Recommendations for places to eat and things to do were helpful."
2023-07-01,5,Stayed with kids,"We all enjoyed our stay & were more than pleased with everything there. Being able to have a full kitchen to make some of our meals helped us with the cost of vacation & there was more than enough stocked. The home was very clean & comfortable. I’m always concerned with the mattress as I have back issues but no problem. We all slept very well. We were within a half hour of Gettysburg & had our privacy in the quiet, country setting. I would use Jay’s place again & highly recommend him to anyone!"
2023-06-01,5,Stayed with kids,This home is very nice and spacious as well as very clean. It's out in the country but only minutes to lots of restaurants and shopping in downtown Chambersburg. Check out was super easy which makes this a real plus.
2023-06-01,5,Stayed a few nights,Beautiful place! Hosts were also very responsive and friendly. Would recommend this place to anyone.
