date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,Cute lil cabin like experience with gorgeous surroundings… the place was lovely and well stocked… the hosts were awesome and I would recommend it definitely.
2024-06-01,5.0,Stayed with kids,Very cute tiny home!! so fun and peaceful. Host has a great manual to make your stay as easy as possible.
2024-04-01,5.0,Stayed one night,"Cute little cabin stay. Little quaint and we saw some deers around, overall beautiful. Small but great for people that don’t mind smaller spaces and like a good adventure."
2024-04-01,5.0,Stayed one night,"The location was quaint, isolated, quiet, and incredibly peaceful! We weren't at Little Blue very long due to our packed schedule but it was perfect and exactly what we needed. If we pass through the area again this would be a great spot to stay!"
2024-04-01,5.0,Stayed one night,Loved my stay at TinyBlue. Cute tranquil area perfect for escaping the city. Brett was a great host and very helpful during the stay!
2024-04-01,5.0,Stayed one night,Great Place! The communication was fantastic! We will absolutely be back. Very nice place.
2024-04-01,5.0,Stayed with kids,Beautiful cabin near everything. Would stay again
2024-03-01,5.0,Stayed with kids,"Absolutely loved, always wonder what it felt like to be in a tiny home."
2024-03-01,5.0,Stayed one night,This place was amazing for a night away! We loved how there were outdoor games and a hammock for the summer day our booking fell upon. Everything was perfect and check in went smoothly. We will most likely be staying again!
2024-03-01,5.0,Stayed with kids,"This was my first time experiencing North Carolina, and a tiny home, and I was so pleasantly surprised how much I loved both! This tiny gem in the middle of gorgeous woods was just the peaceful respite we required. My three-year-old loved the deck, the loft bedroom, and had an absolute blast. The shower was so nice after a long day of travel, and I loved sharing close space with my family without feeling cramped.
Hosts were very kind and thoughtful and made sure we had everything we required. Wish we had more time to experience it!
Would highly recommend and would book again."
2024-03-01,5.0,Stayed one night,"this was a good experience very clean & comfortable, the host was very nice a quick to address my questions and provide help would definitely book again
Thank you!"
2024-03-01,5.0,Stayed one night,Great place and perfect for our 1 night stay in Locust. A bit hidden but not difficult to find. Host was friendly and had lots of local recommendations.
2024-03-01,5.0,Stayed a few nights,Loved the peaceful atmosphere! Very close to shopping and great restaurants! It was just enough space for myself and my husband to have a short stay. We really enjoyed it and sadly we didn’t have enough time to go see the other tiny homes that Brett was working on. Great experience in our first tiny home! Our family already wants to book their own trip to visit! 🩷
2024-03-01,5.0,Stayed one night,Super clean. Very responsive host. This our 2nd stay and we would stay again
2024-03-01,5.0,Stayed a few nights,We have stayed here before and will stay again. The house is perfect and the location and surrounding are even better. It’s minutes to town and food but so private. 10 out of 10.
2024-03-01,5.0,Stayed a few nights,"I really enjoyed my stay. It was a great location out in the country, no traffic but modern conveniences just up the road. It was just as described. The bed was very comfortable and slept cool. The upper windows and ceiling fan created a nice cross breeze. It was also a nice view of the sky in the morning. Easy check in and Brett messaged me upon my arrival to ensure everything went smoothly. Just as described you can hear the paintball next door on the weekend but by the time they got started I was off to my events for the day and they did not play once it got dark so it wasn’t an issue. I would definitely stay again. Thanks so much Brett"
2024-03-01,5.0,Stayed one night,wonderful experience. simple and easy. highly suggest
2024-03-01,5.0,Stayed one night,"Tiny Blue was fun, efficiently laid-out and furnished, and affordable. The surrounding area is pretty as well. We enjoyed our stay so much, and Brett was very easy to communicate with, as well as accommodating. We live right near by and will definitely want to come back!"
2024-03-01,5.0,Stayed one night,We enjoyed our short stay. Tiny blue is a beautiful place & very peaceful at night. We hope to come back & stay longer!
2024-03-01,5.0,Stayed one night,Great stat very peaceful a little tricky to find
2024-02-01,5.0,Stayed a few nights,Tiny Blue was perfect for our quick anniversary get away! It was so peaceful and tucked away which was exactly what we were looking for. Brett cautioned that we may hear noises from the paintball field not too far away but we never heard a thing even though it was packed both days! We cooked and ate out by the fire pit one night and while we were eating Brett messaged to let us know there were deer all in the yard behind Tiny Blue! It was so magical to be eating dinner while the deer grazed and ate as well right by us!!! It was a great trip!
2024-02-01,5.0,Stayed a few nights,"The stay at Tiny Blue was amazing! Brett was very helpful and friendly! The house was very clean and had everything we needed for a weekend stay! The firepit was great and feeding the chickens was an added plus! If you are looking for a small space to stay with plenty of things to do, you should stay here! Many local restaurants, distilleries, wineries, and hiking locations available within a 20 minute drive. Did I mention there are chickens!!! 😀"
2024-02-01,5.0,Stayed one night,"Such a beautiful stay , super
Cozy and relaxing for contemplating the tiny home life. Brett was an excellent communicator throughout the process. Would love to return!!"
2024-02-01,5.0,Stayed one night,Small but perfect to relax ❤️
2024-01-01,5.0,Stayed a few nights,Great home really comfortable
