date,rating,note,review_text
2024-06-01,4,Stayed a few nights,"Easy parking, walk distance to downtown. Adam is communicative. Would Suggest brighter lighting in bedrooms and living room."
2024-06-01,4,Stayed one night,"Quiet area, plenty of space and two matching bedrooms upstairs."
2024-04-01,5,Stayed a few nights,We will be staying here again soon. Thank you Adam!
2024-04-01,5,Stayed a few nights,Adam’s place look just like the picture. I would stay there again! ⭐️⭐️⭐️⭐️⭐️
2024-04-01,4,Stayed one night,.
2024-04-01,5,Stayed one night,"My family and I really enjoyed our stay at Adam's place. It is very clean, well organized and pleasant space. We would be stay there again, if we back to the area. Highly recommended!"
2024-04-01,5,Stayed with kids,Great place to stay in Chico! We stayed for a graduation ceremony and it was perfect! Close to many restaurants and locations. Drivable to downtown. Good parking! Would definitely recommend.
2024-04-01,4,Stayed with kids,"Overall Adam’s place is a good, centrally located townhouse. The space fit my little family’s needs for our quick stay. Adam was a very responsive host, and was a clear communicator. Thanks for the stay."
2024-03-01,5,Stayed a few nights,Lovely place
2024-03-01,5,Stayed one night,I had a wonderful stay. It was lovely.
2024-03-01,5,Stayed a few nights,"Our stay at Adam’s townhouse was terrific. It was everything we had hoped for in an Airbnb. The beds were very comfortable, and each bedroom had its own on-suite bathroom (a real plus!). The kitchen was well-stocked. Parking was very easy.
The location of the townhouse was very good for getting to downtown Chico. The neighborhood walkability was very good.
Adam, the landlord, was very attentive to any needs we had with regard to the townhouse. He was always available via text to answer any questions we had.
We would stay at this townhouse again whenever we are in Chico. Definitely deserves a 5-star rating…both the townhouse and Adam."
2024-03-01,5,Stayed a few nights,"adam’s place was excellent! it was very clean and had all of the essentials you would need. everything looked exactly like the picture and best of all, he was very responsive. adam was such a wonderful host! i will definitely book his place again in the future!! :)"
2024-03-01,4,Stayed with kids,Had a small issue but Adam addressed it fairly quickly.
2024-03-01,5,Stayed a few nights,"Adam’s place was very nice and clean and easy to get in and out of. Parking is right in the front so it makes loading and unloading very easy and convenient. Definitely will be staying here again, next time I am out in Chico for work."
2024-02-01,5,Stayed one night,Great stay and clean and very communicative
2024-02-01,5,Stayed with kids,"Once again I had a great stay! Very clean, organized, welcoming, and comfortable! Thank you, Adam!"
2024-02-01,5,Stayed one night,"This townhouse was clean and comfortable. It was in walking distance to Mulberry Station where we went to see an old Chico band. Perfect accommodations with 2 bedroom suites, king size beds and each had a full bath. I will book it again."
2024-02-01,5,Stayed a few nights,Townhome was spacious with 3 bathrooms and a full size kitchen. Beds were comfortable and the unit was on the end of the building
2024-02-01,5,Stayed with kids,"I very much enjoyed my stay! It was peaceful, quiet, private, very spacious, clean, great and affordable price, convenient, and we had everything we needed & more! I will not hesitate to stay here in the future. Highly recommend!"
