date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,"The hosts were very welcoming and helpful. Accommodations were very clean, bed was very comfortable and water pressure in shower was great!
Very convenient to Delta State University. The added bonus was making a new furry friend…Biscuit was super cute and very loving. We would stay here again without a second thought."
2024-06-01,5.0,Stayed one night,Perfect as always...
2024-06-01,5.0,Stayed a few nights,"This was a wonderful place to stay. Beautiful neighborhood and quiet location. We had the best sleeps and the shower was awesome!
The guest house is detached and it felt like our own little home. Very comfortable!
We hope to make this our ""go to"" place every time we're in town!
Rene & Gabby
May 2024"
2024-06-01,5.0,Stayed one night,my 2nd time. Great stay
2024-04-01,5.0,Stayed one night,"Nice, quaint house in a very safe and beautiful neighborhood. It was perfect for us. Very clean and convenient to DSU campus."
2024-04-01,5.0,Stayed one night,really good stay
2024-03-01,5.0,Stayed one night,Really nice mini House. We did not miss anything. Everything was good and felt like Home with all the patchwork pictures and paintings. Really nice and Secure neighbourhood. My boyfriend went running in the morning. Safe to do so. Greetings on the Way from the neighbours. We will recommend the place at any time.
2024-03-01,5.0,Stayed with a pet,"Great place, as described. Friendly and helpful host. We were in town to watch our daughter play softball, the house was close to the college. It was nice to be able to bring our puppy with us."
2024-03-01,5.0,Stayed a few nights,"My dad was recently placed in a nursing home in Cleveland, I knew nothing of the area as I live out of state. I was very hesitant to book an Airbnb but figured if it ended up not working I would just get a hotel. When arriving at the location I was thrilled. It is in a beautiful neighborhood, I felt very safe, and the host Scott was extremely friendly and responsive! We had a great stay!"
2024-03-01,5.0,Stayed a few nights,It was very clean and had everything we needed. The host was very hospitable and friendly. We felt safe and comfortable.
2024-02-01,5.0,Stayed a few nights,Glorious.
2024-02-01,5.0,Stayed with a pet,We had a great stay at Scott’s place! He was super friendly and helpful and we really enjoyed staying at his guest house. I’m sure we will be back!
2024-02-01,5.0,Stayed with a pet,This was the perfect place for our stay in Cleveland. In a great neighborhood and in close proximity to our son and his family. Would definitely stay here the next time we visit the area.
2024-01-01,5.0,Stayed a few nights,"Love love love this guesthouse. Feels like home. Clean, comfy, all the amenities. Beautiful neighborhood. I always feel safe and snug as a bug."
2024-01-01,5.0,Stayed one night,"Great people, greeted by pup Biscuit...will always stay when it's available."
2024-01-01,5.0,Stayed with kids,Loved this place and it was convenient to DSU where we had a swim meet.
2024-01-01,5.0,Stayed one night,Beautiful neighborhood and place..absolutely loved the cotton paintings..Loved the ease of getting in and out so great for seniors with mobility issues..this trip was short & too cold to walk about but neighborhood felt safe & homey..♥️
2023-12-01,5.0,Stayed one night,Easy/comfortable as always.
2023-12-01,5.0,Stayed a few nights,This was my second stay. I came back because I had a great experience the first time! When I pulled up to the guest house it was nicely decorated for Christmas on the outside. The place is cute to begin with but the decorations really made me feel at home! He also had in his yard the largest blow up snowman I had ever seen. I was in town to spend Christmas with my family. The place has been clean and organized each time I’ve stayed. Scott is the nicest host you could ever have. I enjoyed my time there. And I’m sure I will have many future stays!
2023-12-01,5.0,Stayed one night,"Lovely people, place...and freakishly convenient. I prefer it over the Cotton House."
2023-11-01,5.0,Stayed a few nights,I enjoyed my stay. I would have cleaned the dishes but there was not a dish washer nor dishwashing soap.
