date,rating,note,review_text
2024-06-01,4.0,Stayed a few nights,excellent
2024-06-01,5.0,Stayed a few nights,"Super cute air bnb, it was perfect for our trip!! Whitney was super responsive & gave us tons of recommendations!"
2024-06-01,5.0,Stayed one night,"Loved our stay, it was just what we needed. Clean and quiet! Close to great food and Garden of the Gods. Wished it would have been open more than the one night!"
2024-06-01,5.0,Stayed a few nights,"Large room with great shower, linens, and selection of coffee. The refrigerator, coffee maker, toaster oven and hot play provide all the elements for housekeeping for a week. The “chicken coop” is within walking distance to the Garden of the Gods and downtown Old Colorado.
Whitney was very responsive and provided lots of helpful information."
2024-06-01,5.0,Stayed one night,"Loved our stay here, very easy and enjoyable! The host(s) provided perfect, easy to follow instructions for everything and fantastic notes about the area, restaurants, things to do, etc. The coop was nicely stocked with everything we could have needed plus some. The chicken theme throughout made us smile and was very well done!"
2024-06-01,4.0,Stayed one night,"We had a really nice stay here. Comfortable bed, very clean, easy entrance. Super cute chicken theme. I wish we could give 4.5 stars instead of whole numbers: the hot water ran out pretty quickly for our showers, and the pillows were quite flat (which I suppose some folks might love but we found pretty uncomfy). Something for tall folks to note: the shower ceiling is pretty short, someone over 5’9” would probably struggle a bit."
2024-05-01,5.0,Stayed one night,"Cozy, clean, and great ambiance. Whitney was very helpful with suggestions and clear with instructions. Will comeback! Thanks"
2024-05-01,5.0,Stayed one night,We loved our visit at the Chicken Coop! One of the most lovely tiny homes my fiancée and I have stayed in.
2024-04-01,5.0,Stayed a few nights,"Perfect place to stay near all of the best sights to see
The place was immaculately clean
Fresh towels and sheets
Whitney was super communicative and very nice
Would definitely stay there again!"
2024-04-01,5.0,Stayed one night,"Chicken coop was so cute. The home was well laid out and had the cutest decor. It was perfectly located to all the things that we wanted to see and do.
I highly recommend this rental and we would absolutely return!
Thank you!
PS if you get a chance, go eat & drink at Ivywild School Community Center. It was a super fun find!"
2024-04-01,5.0,Stayed a few nights,Great little spot! Only thing that I would suggest is bringing either your laptop or iPad to watch shows on before bed 👍🏼
2024-04-01,5.0,Stayed a few nights,The chicken coop has been one of the best airbnbs we have stayed. The place is better than the pictures described. Easily walkable to the local store and backside of the garden of the gods. Wish we had booked longer to enjoy the area more but hopefully we will be back soon.
2024-04-01,5.0,Stayed a few nights,"Such a cute and cozy place to stay, couldn’t of been more perfect."
2024-04-01,5.0,Stayed a few nights,"The ""coop"" was a cute, little place to stay for a couple nights. It's a good middle spot between Manitou Springs and Colorado Springs and walkable for Old Colorado City."
2024-04-01,5.0,Stayed one night,Such a great location and host. I would love to stay here again. We felt right at home. You can not beat the location! Amazing.
2024-04-01,5.0,Stayed one night,Very clean and host was very helpful. Worth it.
2024-04-01,5.0,Stayed one night,Great experience at a very cozy place
2024-03-01,5.0,Stayed a few nights,Coziest little cottage you could find.
2024-03-01,5.0,Stayed one night,Great location and great place for our short trip
2024-03-01,5.0,Stayed a few nights,"We enjoyed our 4 night stay at the Chicken Coop! It was the perfect amount of space for me and my fiancée. It was in very close proximity to all of the must see places that Colorado Springs/ manitou springs has to offer! Whitney was super clear in her directions on how to find the property and her recommendations for places to eat were great! We tried several of her recommendations and were not once disappointed. Such a great little place in the heart of CO springs. Thank you, Whitney!"
2024-03-01,5.0,Stayed a few nights,The coop was awesome! Would definitely revisit.
2024-03-01,5.0,Stayed one night,"super peaceful stay, nice and clean place. loved it!"
2024-02-01,5.0,Stayed a few nights,"The Chicken Coop was a fantastic place to stay at this weekend. It’s the perfect stay to accommodate two. We loved the chicken decor, it gave the room a great feel. We appreciate the cleanliness of this Airbnb, it didn’t just feel spotless but it was absolutely pristine. We definitely would stay here again!"
2024-02-01,5.0,Stayed a few nights,Great location. Very clean and spacious for two.
2024-02-01,5.0,Stayed one night,Very cute and clean!
2024-02-01,5.0,Stayed a few nights,The Chicken Coop was an amazing place to stay! Whitney was so kind to let us check out a bit later as well. The attention to detail and ability to unplug was just what was needed. Thank you so much for such an amazing vacation!
2024-02-01,5.0,Stayed a few nights,"The Cozy Cottage was a great place to stay. The hosts were amazing responding back to my asks. It met all of my expectations. I really like the fact she gave us breakfast options, water and clean amenities. Overall I would recommend the Cottage and hopefully she will have me back. Thank you"
2024-02-01,5.0,Stayed a few nights,"Chicken coop is a must stay place when visiting Colorado Springs. If you want a getaway from social media or take a break from work. This place will keep you at peace, and help you detox from electronic. Would love to stay here again next time!"
2024-01-01,5.0,Stayed one night,Great place for a couple or if you’re flying solo! Super cute!
2024-01-01,5.0,Stayed a few nights,"Whitney was super nice, responsive and extremely helpful specially when the pipes froze because of the extreme cold. This place is perfect and so close to EVERYTHING! Great vacation spot. Already recommended to many friends. ❤️"
2024-01-01,5.0,Stayed a few nights,This was a great place to stay! It was super close to garden of the gods and easily accessible to restaurants and pike's peak. Whitney was very clear with instructions and the place was so cute and very clean. Whitney gave us a lot of good recommendations and was very responsive. Would definitely recommend staying here!
