date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,A great Stay in Connersville. Your host is excellent.
2024-06-01,4.0,Stayed a few nights,"Great stay, the beds are super comfortable and Karen was a very responsive host."
2024-06-01,5.0,Stayed a few nights,Awesome location and friendly host!
2024-04-01,5.0,Stayed a few nights,this was just like being at home. cooked and even baked dinner in the kitchen with ease. comfortable beds
2024-04-01,5.0,Stayed a few nights,"Always enjoy staying here. Make good use of the kitchen, definitely a good value with a great host."
2024-02-01,5.0,Stayed a few nights,This was a great place to stay and Karen was amazing.
2024-02-01,5.0,Stayed one night,Great place to stay. Walking distance to a great Mexican restaurant and Kroger and gas stations. Clean house with a ton of welcoming amenities. Will stay here again.
2024-01-01,5.0,Stayed a few nights,"We found this property to be an excellent alternative to the local hotels, we have never found one to meet our expectations in Connersville before. The home was everything it was promised, worked out great for our stay!"
2024-01-01,5.0,Stayed over a week,"Karen was very accommodating to me and my family. I greatly appreciated her willingness to accommodate our requests stay at her home for a longer duration of time. I highly recommend reaching out to her if you are passing through or staying in Connersville. Her home was clean and comfortable! She was a great host!
5 stars for sure!
Jeremey & Family"
2023-12-01,4.0,Stayed with kids,"Overall, the home was as-described in many ways. Unfortunately, though, the cleanliness of the home left a lot to be desired. Our daughter complained of long hairs in the bed and we found a lot of hair in the shower, including on used bars of soap. There were a number of stains on the sheets and were not sure if they were cleaned after previous guests. While the property delivered what the description outlined, we would not stay again due to the lack of cleanliness."
2023-12-01,5.0,Stayed over a week,"Karen was very helpful and nice. She communicated quickly and was very responsive to any questions and concerns. I highly recommend staying at her home, she keeps it very clean with no clutter. It was peaceful and it felt like home away from home. I highly recommend her accommodations if your coming to Connersville.
Jeremey"
2023-11-01,5.0,Stayed a few nights,"Great find if you need a place in Connersville. Nice, clean, and great host."
2023-11-01,5.0,Stayed a few nights,Great place to relax and enjoy the midwestern culture.
2023-11-01,5.0,Stayed over a week,Nice house. Easy to find. Everything was as described. No complaints.
2023-11-01,5.0,Stayed one night,"There were no surprises. The home looked in-person exactly as shown online.
Accessing the lockbox was easy.
I was in town for business and preferred an Airbnb vs. Motel and this was perfect.
Clean and comfortable.
Karen was extremely responsive."
2023-10-01,5.0,Stayed with kids,"its nice place , very clean ❤️❤️❤️"
2023-10-01,5.0,Stayed a few nights,A great place to stay in Connersville.
2023-10-01,5.0,Stayed a few nights,"A nice quiet neighborhood with local access to groceries and restaurants. The space was very clean, functional and comfortable."
2024-06-01,5.0,Stayed a few nights,We really enjoyed our stay. It was even better than described and pictured and was a perfect spot for a Indy 500 weekend. Would definitely stay again!
2024-06-01,5.0,Stayed a few nights,quaint little English cottage. neat little game room. perfect for our work trip
2024-06-01,5.0,Stayed a few nights,"The cottage was peaceful and lovely and had plenty of room for our group of seven (had to manage one air mat). Location was very convenient to Earlham College. We enjoyed the games (especially the pinball machine). The house was highly organized (especially the linens).
We had a great stay."
2024-06-01,5.0,Stayed with kids,"Quaint, thoroughly clean, could tell they gave attention to even the small details. Pretty surroundings, charming home."
2024-04-01,5.0,Stayed a few nights,"Mark & Kristen were great hosts. Everything was as expected, easy to find, and check in/check out was simple."
2024-04-01,5.0,Stayed a few nights,The cottage was exactly as shown and cottage and surroundings provided a peaceful and relaxing stay. Would definitely recommend and stay here again. Mark and Kristen were excellent hosts and very responsive.
2024-04-01,5.0,Stayed a few nights,"Kristen was extremely proactive in communicating leading up to our stay and accommodating with our travel delays. Very responsive during our travel delays which put us at ease. The cottage is beautiful and very private in a lush setting for wonderful peace and quiet. The kitchen and game room are both on the lower level making it great for entertaining ourselves during our stay. Terrific spot to visit Richmond, IN and fantastic hosts to make your stay effortless."
2024-04-01,5.0,Stayed a few nights,Thank you for a great place to stay in Richmond. I was in town working at the fairgrounds so this property was close by. It was very light and airy.
2024-04-01,5.0,Stayed a few nights,"We thoroughly enjoyed our stay at the cottage while in the area. We particularly enjoyed the quiet setting, the deer that visited the backyard, the games, the comfy beds and couches, and the close proximity to both Earlham and the greenway. We would definitely stay again if we're ever back in Richmond!"
2024-04-01,5.0,Stayed one night,"The host were very engaging from start to finish. I especially enjoyed reliving my youth through her pinball machine. Neighbors were nice as well and appreciated me contacting them about where to park with my u-haul truck and trailer. (He just happened to be outside when we arrived).
Great stay!"
2024-04-01,5.0,Stayed with kids,Great place for a family trip! My 7-year-old loved it so much he insisted we stay here again on our next visit!
2024-04-01,5.0,Stayed a few nights,Great place to stay. We have stayed here several times while in town for business.
2024-03-01,5.0,Stayed one night,"Very country-like surroundings but is still very close to town. The house is very comfortable and the location is peaceful. Very comfortable bed, anything a person would need while on vacation was available. Must nicer stay than a hotel. I would stay again!"
2024-03-01,5.0,Stayed over a week,"Mark & Kristen's place is fantastic, very comfortable, and well appointed. It was a lot of fun to play some pinball at the end of the work day. I will be sure to check their availability when I come through town for my next stay."
2024-03-01,5.0,Stayed with kids,it was another excellent stay. would definitely recommend.
2024-03-01,5.0,Stayed with kids,we had a great time at the cottage! we were in town for a 4H event where we purchased livestock. we got back to the cottage and needed a tool to adjust our livestock hauler and Mark and Kristen were right there to help with the use if his tools!! we were very appreciative and so were the piglets! we can not say enough great things about our time at the cottage!! excellent place to stay! we will stay again in the future!
2024-03-01,5.0,Stayed a few nights,"Cozy, comfortable, clean and peaceful home. Hosts provided clear and easy instructions. Felt like home!"
2024-03-01,5.0,Stayed a few nights,Great place to stay for a few days. Peaceful and quiet. The house was very clean and was fully stocked with the things you need.
2024-03-01,5.0,Stayed one night,The cottage was clean and cozy! Everything we needed except a box of tissues. We will be booking again.
