date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,The apartment was very clean and very nice. The area was great for walking to shops and restaurants. Paul was very communicative and on top of any questions we had. Would highly recommend.
2024-06-01,4.0,Stayed a few nights,Definitely would stay again
2024-06-01,5.0,Stayed a few nights,Great Place!!!
2024-04-01,5.0,Stayed a few nights,"good stay i would book again , in a convient and nice location"
2024-04-01,5.0,Stayed a few nights,Great location! Amazing communication. Thank you for making my stay nothing short of great.
2024-04-01,5.0,Stayed a few nights,"Loved this Air bnb it was super clean , very spacious & the view was great I would definitely stay again"
2024-03-01,5.0,Stayed a few nights,"Paul was incredibly responsive. The place is exactly as featured, picturesque and clean. Great area surrounded by shops and restaurants. I highly recommend.
Thanks for having me."
2024-03-01,5.0,Stayed a few nights,Great location in general. Loved my walks to the mall. The condo is very clean and had all the amenities necessary. The extra security in the building felt very safe and comfortable. In general was a really quiet area during the week. Easily found things to do and places to eat and shop. Response timing from Paul and team was very fast.
2024-03-01,5.0,Stayed a few nights,It’s was great . Just the guy at the front deck was rude when asking about where my room was located. Everything else was fantastic.
2024-03-01,5.0,Stayed a few nights,"Such a great place!!!
Good location, the apartment was immaculate and overall I loved it! I will for sure book this again next time I am in Dallas!!!!"
2024-03-01,5.0,Stayed a few nights,Awesome location.. Squeaky Clean and Comfy bed. Paul’s place is pristine. As soon as you open the door you will be pleasantly surprised - everything is very new and very clean. The kitchen is fully stocked. The location could not be better- there is a Starbucks and Cava right across the street and whole foods next door. Tons of shopping and the beautiful mall across the street. There is even a Bowl and Barrel on the first floor. 5 min drive to SMU. The reserved parking space in the covered garage is very convenient as well. If Paul’s place is available definitely book it!
2024-02-01,5.0,Stayed a few nights,Great place and host.
2024-02-01,5.0,Stayed a few nights,Awesome location and wonderful facility. The host is always communicative and friendly.
2024-02-01,5.0,Stayed a few nights,"Very great apartment! All amenities! Paul was very responsive and quick to meet requests! When checking in it did take some time to familiarize myself with area and locate lock box, parking spot etc. might want to check in when you’re not in a rush or during daylight hours also! Besides that all was great!!"
2024-02-01,5.0,Stayed one night,Really nice place! 20/10!!
2024-02-01,5.0,Stayed over a week,"Very pleasant stay in one of the rare walk-able areas in Dallas! Great location, close to the DART station and close to shopping and restaurants. The apartment had everything needed for a comfortable stay, and was maintained very well. Hosts were very responsive to any questions."
2024-01-01,5.0,Stayed with a pet,Super cute/stylish apartment in an awesome location. Would book again in the future
2024-01-01,5.0,Stayed one night,"Enjoyed our time at Paul’s space! It was in a safe location with lots to do nearby while being close to downtown. The place is very clean and comfortable. We drove in and were pleased to be able to park in a reserved parking spot in a gated garage. Paul was very responsive, helpful and friendly throughout the process. Would recommend!"
2024-01-01,5.0,Stayed a few nights,"Clean, quiet with a great location. Super easy communications and very timely"
2024-01-01,5.0,Stayed a few nights,Ex
2023-12-01,5.0,Stayed with a pet,"We had a great stay at Paul’s place. We appreciated the detailed check in and parking instructions. Made things so much easier for us. We appreciate the assigned parking spot. The apartment was so comfortable and so clean! The location was perfect as well, not hard to find or to get in. We loved having shops and restaurants near by. We really appreciated the great communication, especially with our conflict with the bedside lamp. The bedside tables are wobbly so you need to be very careful. We accidentally broke their bedside lamp, so we tried to search for the lamps at home goods but no success. We thankfully found them on Amazon and ordered them to replace the one we broke. They were very understanding! But be very careful with the tables! They are very wobbly!"
2023-12-01,5.0,Stayed a few nights,A beautiful stay the location was amazing honestly I will be booking again in the future
2023-12-01,5.0,Stayed a few nights,An outstanding place to stay! Incredible location and very modern up to date facilities and all the amenities you can ask for. Perfection.
2024-06-01,5.0,Stayed one night,Great space right next door to the American Airlines arena - perfect if you’re seeing a game!
2024-06-01,5.0,Stayed a few nights,They were great
2024-06-01,5.0,Stayed one night,Right across American Airlines if you are coming into town for concert or a game 100% recommend! Super nice location and everything looked just like the pictures! Thank you will definitely be staying here again!
2024-04-01,5.0,Stayed one night,If you are in town for a sporting event this is the place to stay. Beautiful balcony and a 5 minute walk or less to the AA stadium. Walkable to amazing restaurants and bars.
2024-04-01,5.0,Stayed a few nights,Great stay amazing part of town. Must stay if you are staying down town
2024-04-01,5.0,Stayed one night,Wonderful stay. We came into town for a hokey game. This location is absolutely perfect. It is right across from the stadium. Everything was exactly as pictured and described. The apartment is located near an elevator and is positioned at the end of a hall. The area is nice and quiet. We enjoyed sometime on the patio and even with street traffic it was not loud. Other residents/guests were quiet. We did not hear any noise. Empire Luxury Stay's provided fantastic instructions prior to our arrival. Check in and check out were easy and staff were very nice.
