date,rating,note,review_text
2024-06-01,5.0,Stayed one night,They were amazing I do want to apologize that we were not ready for the cleaning on time and hope that in the future they would accept us again if we wanted to do book them again
2024-06-01,5.0,Stayed with kids,"The house was absolutely breathtaking! Because the price was so affordable, we were a little unsure what to expect, but it definitely exceeded our expectations. The host was responsive to all of our questions before, during, and after check-out, and made sure we had everything we needed (along with extra touches!). The area was quiet and the neighbors were friendly. We would definitely recommend this house to others, and we will stay there again on our next trip back!"
2024-06-01,5.0,Stayed with kids,Arturo was a great host! Very friendly and helpful! The pool was the selling point for me. My son spent so much time in it!
2024-06-01,4.0,Stayed a few nights,Clean and quiet place to relax.
2024-05-01,5.0,Stayed one night,The best host ever!
2024-04-01,5.0,Stayed with a pet,"Excellent host, great place! Would definitely rebook and absolutely recommend!"
2024-04-01,5.0,Stayed one night,"I only stayed for one evening but it was an amazing, peaceful experience! I would most definitely stay here again!"
2024-04-01,5.0,Stayed with kids,I had an amazing stay!!! Everything was awesome and will stay again
2024-03-01,5.0,Stayed one night,"The Stay Was Good We Had No Disturbances, All The Privacy We Needed, AC Was Working Outstandingly Good Kept The Place Cool From The Heat Outside Everything Was Perfect For Me & The Wife We Had a Fantastic Stay."
2024-03-01,5.0,Stayed a few nights,.
2024-03-01,5.0,Stayed a few nights,Arturo was an amazing host and incredibly accommodating and super helpful. We truly enjoyed our stay and would recommend him to others.
2024-03-01,5.0,Stayed with a pet,We had a great stay. lived up to it's listing. Arturo was very easy to deal with and communicate with. Would definitely stay again!
2024-02-01,5.0,Stayed about a week,"Arturo,is more than a host, He is an excellent human being, He helped us in every situation that I had, extremely responsible, I felt just like home. Its a hidden gem, you Must stay at Arturo's place, Thanks a lot , willing to return is His Apartment.
There is no word enough to thank Him, We had a Great Time , We will be back for sure.
Thanks again"
2024-02-01,5.0,Stayed a few nights,Thanks Arturo!
2024-02-01,4.0,Stayed with kids,"My boyfriend, my son and I stayed here for a couple of days (we do long distance so he came to visit) and it was pretty convenient. Not too far from home, not far from the other springs, just nice and convenient. I loved the decorations in the house and the bathroom is gorgeous too! My only issue is that for someone that makes a lot of food only being provided a small pan and a big sauce pan, was a little difficult when it came to making some meals. The energy was also a little off in the house too so we didn’t really sleep well at night either. Besides that it was a good short stay and the host was professional and friendly."
2024-02-01,5.0,Stayed a few nights,"Arturo was extremely attentive.
Love the huge backyard with a very clean pool pool. I had to come down in February!
Very clean, love the bathroom. Shower is everything anyone says it would be, pure bliss!
The pictures do make it seem like it is larger. But it's plenty big enough.
Will definitely see next time if it's available.
Thanks Arturo. 🦋"
2024-02-01,5.0,Stayed a few nights,"Nice place w/ comfortable bed and accommodations. Stayed there for soccer tournament and was central to where we needed to be at. Able to come back and get some rest and head out. Arturo was very responsive in communication and suggested local places to dine and places to visit. Offered earlier check in if we needed. Wished we could have taken advantage of the backyard and pool, but weather was a little chilly for sunny Florida."
2024-01-01,4.0,Stayed a few nights,"Loved the clean, modern space provided for us to stay! The key wasn’t there upon arrival as promised, however, Arturo was able to support getting us access to the place and got the key to us later."
2024-01-01,5.0,Stayed one night,It was a lovely stay and Arturo was awesome! Enjoyed it very much!
2024-01-01,5.0,Stayed a few nights,Great place to stay!
2023-12-01,3.0,Stayed with kids,Thanks guys . Happy new year .
2023-12-01,5.0,Stayed with a pet,Great stay and exactly what I was looking for. Comfortable bed and shower. Private backyard were a nice plus.
