date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,We felt right at home! The location was central to the local attractions we were visiting. The space was clean and quiet and comfortable. We had an excellent couple of nights of sleep! Highly recommend!
2024-05-01,5.0,Stayed a few nights,"Loved this place! Located downtown, within walking distance to many restaurants, shopping and bars. Would definitely recommend!!!"
2024-04-01,5.0,Stayed a few nights,"This is the place to stay in Dubuque. Park your car right there and walk everywhere. Very attractive, convenient, and comfortable. Great hosts. Absolutely will stay here every time I’m in town."
2024-04-01,5.0,Stayed a few nights,Great place! One of the best we have stayed at! Super clean and Vicki was super communicative! It was also a great location!
2024-04-01,5.0,Stayed a few nights,"Very clean & helpful. Great for studying if needed, and private space."
2024-03-01,5.0,Stayed a few nights,"We loved staying right downtown. Vicki was a great host! The accommodations suited our needs perfectly. Lovely, functional space! Thanks for sharing it!"
2024-03-01,5.0,Stayed one night,Great location with plenty of bars/food within walking distance. Vicki was awesome host who was proactive in asking questions prior to our arrival and provided guidance in helping me plan a great overnight getaway with my wife. Thanks again Vicki...we will be staying again in the future.
2024-03-01,5.0,Stayed one night,"We had a great time in Dubuque, and found this space so relaxing. We also had so much fun playing cards, and listening to the juke box at a most unique local dive bar; Paul's."
2024-02-01,5.0,Stayed one night,Cozy little place downtown. Really fun for a weekend stay in the middle of downtown.
2024-01-01,5.0,Stayed one night,My husband and I stayed at Vicki’s for one night. The room was clean and well furnished. The use of the space is genius with a small kitchen area that would work well even if you were staying several days. It is close to downtown with cute shops and restaurants. I highly recommend staying here.
2024-01-01,5.0,Stayed one night,"Great place! Trendy, New, and clean. Prompt and courteous response for Last minute plans."
2024-01-01,5.0,Stayed one night,Everything was spectacular! Easy walk to nightlife. Will definitely be back. It’s adorable!
2023-12-01,5.0,Stayed a few nights,Vicki’s place is quickly becoming our go to spot for weekends in Dubuque! The place is in a great location and has everything you could possibly need! We will definitely be booking again!
2023-12-01,5.0,Stayed a few nights,"This lovely place is just as the pictures showed! Very unique place, would ABSOLUTELY stay here again. Bed very comfy, everything clean and the small fire place made the entire experience so cozy and comfy. The bathroom is roomy and the shower is AMAZING! The only negative comment I have (and its really not a big deal at all), I do wish there was a full length mirror, but that is clearly a personal preference . Lots of surrounding restaurants and grocery store less than an mile away. So incredibly happy with our stay!"
2023-12-01,5.0,Stayed a few nights,Vicki’s AirBnB is the perfect space for a couple looking to stay in Dubuque. Multiple restaurants and bars within walking distance with other areas of Dubuque easily drivable in 10-15 minutes. Also a quick 20 minute drive to Galena!
2023-11-01,5.0,Stayed one night,"Vicki’s place was exactly what we needed for a weekend in Dubuque! We were able to walk to the comedy show and dinner, which was definitely a plus! We will be booking again in the future! ☺️"
2023-11-01,5.0,Stayed one night,"Vicki’s place is great, very unique, & spotless! It was perfect for our little stay downtown. Vicki was very responsive & accommodating to our needs. I would definitely recommend or stay again in the future!"
2023-10-01,5.0,Stayed a few nights,"A wonderful, very updated excellent place to stay. Linens & towels exceed premium hotels! Highly recommended place to stay in Dubuque"
