date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,Teresa’s place was lovely. Looked exactly like the photos. She was very responsive and helpful. I would definitely recommend & I would also stay here again.
2024-05-01,5.0,Stayed over a week,beautiful place to stay!
2024-03-01,5.0,Stayed a few nights,"Great small place huge master bedroom comfortable bed. Close to ft bliss, El Paso airport, and a good spot in El Paso."
2024-03-01,5.0,Stayed about a week,Great host and location!
2024-02-01,5.0,Stayed over a week,"Teresa was excellent at communicating and was flexible. This was the perfect home away from home for an extended stay for work. I felt safe, the kitchen was fully stocked with appliances and dishes. I’d stay here every time I visit El Paso! Thanks Teresa!"
2024-01-01,5.0,Stayed a few nights,"Teresa our Host went above and beyond to accomodate ""las tres hermanas"" on their annual trek to our magnificent hometown.
She exemplifies what El Paso is ALL ABOUT- the people...the Food is a close second.
Gracias Ms Teresa"
2023-12-01,5.0,Stayed a few nights,Very nice home.
2023-11-01,5.0,Stayed over a week,"This Accomodation was exactly as advertised! Great townhouse in a nice are on the west side of El Paso , it’s walking distance to some local shops and you can access , shopping malls , theatre and much more actives within 10-15min drive. Highly recommend!"
2023-08-01,5.0,Group trip,Great place! Host was amazing!
2024-06-01,5.0,Stayed one night,Very nice and clean I would rent it again in the future
2024-06-01,5.0,Stayed one night,This place was one of the firsts to make me feel right at home. It was a long flight and getting to a place with all the lights on and fresh AC blowing was great. The shower is amazing! a lot of amenities. I will definitely stay here again.
2024-06-01,5.0,Stayed one night,Cute place! Very homey feel :)
2024-06-01,5.0,Stayed one night,"Beautiful place and great location. Love the Mountain View’s.
Thank you"
2024-06-01,5.0,Stayed one night,"Wow!! What a beautiful home!! Definitely one of my most favorite places I've stayed!! Thank you so much, Laura, for sharing your lovely home!!"
2024-05-01,5.0,Stayed one night,"I felt so safe the whole time, beautiful home and Laura was always ready to help out. The whole check in/out process was easy to do!
Great stay"
2024-04-01,5.0,Stayed one night,Great Place...Great vibe...very homey and thoughtful decor/furniture!
2024-04-01,5.0,Stayed a few nights,"Lovely home, close to some great food too!"
2024-04-01,5.0,Stayed one night,Great stay
2024-04-01,5.0,Stayed one night,"What a great gem of a house: late 20s/30s bungalow felt just like grandma's house. Great design & updated everything, but with antique/vintage touches too (old turntable & records to play was a nice touch). Fantastic bedding/linens, tons of amenities, stocked kitchen. Everything was impeccably clean, too. The recommendations for local eateries & such were well done. The only drawbacks were neighborhood, noise & cooling. The house is in a pretty empty neighborhood---sketchy? I don't know the area, so hard to say, but not a place we felt comfortable walking around at night. The location is just a block off the major east/west highway which parallels major train tracks, so you will need ear plugs for the noise (constant throughout the night---but they were provided). Also, there is an AC in the living room, but not in the bedrooms: if you need it cool to sleep you will not be happy. Overall, though, we loved this house & would certainly stay again on our next drive through El Paso."
2024-04-01,5.0,Stayed a few nights,Laura is an amazing host and was extremely accommodating and great to communicate with. Her casita was spotless and she had some great local recommendations for food and coffee.
2024-04-01,5.0,Stayed a few nights,"Very nice apartment, well equipped. I would recommned this property."
2024-04-01,5.0,Stayed a few nights,Unique and homey. It was easy to get around and do things we wanted to do in El Paso. Clean bathroom and cute kitchen.
