date,rating,note,review_text
2024-06-01,5,Stayed a few nights,We had a lovely stay. Very easy to get to and it is definitely a cute and cozy home. Allex was great and very responsive. The house was tidy and comfortable. Would definitely book it again.
2024-06-01,5,Stayed one night,"Great communication! No problems, perfect stay!"
2024-06-01,5,Stayed with kids,"Our stay was absolutely phenomenal! We travelled for a two night stay with our three kids ranging in age from 12-4. The home was spacious and homey. The three rooms are very large in size providing plenty of space for each guest! The basics are provided making your travel lighter such as shampoo, conditioner, body wash, face wash and lotion! Our kids truly enjoyed the near by train tracks and loved walking outside to see the trains! The train noise was no issue we barely heard the frequent trains! Pedestrians passing by were very friendly and welcoming! We enjoyed breakfast at Commercial Street Diner and it was delicious! We will be traveling to the area more often to visit near by family and this will be our first check on availability for our trips!"
2024-06-01,5,Stayed a few nights,"We had a wonderful stay! Cute, open concept house with everything you could possibly need. There is a train that runs nearby, but we did not hear it at all. Very clean and comfortable bed. Enjoyed walking around the neighborhood and nearby. Very safe with easy access to coffee shops and cute downtown shops. We were visiting for a graduation at Emporia State University. Perfect location! We highly recommend and would happily return."
2024-06-01,5,Stayed a few nights,Alexx’s Airbnb was exactly as described. He provided clear instructions on checking in and proactively followed up to ensure we had everything we needed. I’d highly recommend Alexx’s house to anyone staying in Emporia
2024-05-01,5,Stayed a few nights,"My friends and I were playing a disc golf tournament in town and needed a place to stay. Bonus for the back yard. Was a great space to warm up and get some putting practice in.
It was very clean and the lock was easy to use and access. I would highly recommend this place again."
2024-04-01,5,Stayed one night,Was very clean and easy to check in and out! Very flexible with hours needed.
2024-04-01,5,Stayed a few nights,Great location. Very clean
2024-04-01,5,Stayed one night,"Allex was incredibly helpful, responsive and made our experience great. I definitley recommend staying with Allex!"
2024-04-01,5,Stayed one night,Clean and very nice home! Everything was very comfortable and homey. Had a great stay!
2024-03-01,5,Stayed a few nights,Really enjoyed the stay. Was there for a few nights and felt right at home. Comfy beds and plenty of room to spread out and relax.
2024-03-01,5,Stayed with kids,Great home!
2024-03-01,5,Stayed a few nights,Very responsive and clean!
2024-02-01,5,Stayed with kids,great place to stay
2024-02-01,5,Stayed a few nights,Excellent place to stay in Emporia. We spent 4 nights there and had no issues.
2024-02-01,5,Stayed one night,"Overall, I just had a great time staying there."
2023-12-01,5,Stayed a few nights,Great place to stay !
2023-12-01,5,Stayed with kids,"Alex was kind, responsive, and made check in / check out very simple 😁"
2024-06-01,5,Group trip,"The place was in a beautiful area, it was quiet, the neighbors were extremely friendly, and the amenities were top notch. We enjoyed the community of Emporia as we visited for our son's graduation. If and when we visit Emporia again, we will definitely stay here again."
2024-05-01,5,Stayed a few nights,"This was a great Air BNB stay for our disc golf trip. Easy to get into, great neighborhood close to Jones Park and the Country Club. Beds were comfortable and the house was well maintained and nicely remodeled."
2024-04-01,5,Group trip,Great spot! Would definitely book again!
2024-03-01,5,Stayed with kids,"We have several favorites in this little town where we visit family often—and this place is definitely one of them. It is absolutely like home away from home. Spotless, stylish, comfortable, friendly and unobtrusive hosts, beautiful yard and neighborhood. Couldn’t be happier, perfect accommodations for our family of 6-plus-additional family for gatherings, and the kids love it. Highly recommend!"
2024-03-01,5,Group trip,Home away from home
2023-12-01,5,Group trip,Jason was extremely responsive and worked with us on a couple of questions I had. I will undoubtedly be back to rent from him again.
2023-12-01,5,Stayed a few nights,"Great place. Lots of room. Furnishings and beds were good. Great supplies in the house from dinnerware, glasses, cookware and other accessories etc. Best stocked that we've stayed in yet. Beautiful neighborhood. Great spaces on main floor and in basement. Would definitely stay again."
2023-11-01,5,Stayed with kids,We came for a family thanksgiving gathering and very much enjoyed our stay! It was comfortable and clean and in a great location.
2023-11-01,5,Stayed a few nights,"House was clean, as described- very comfortable for my group of 4.
Host was responsive
A+ all the way around"
