date,rating,note,review_text
2024-06-01,5.0,Stayed one night,Easy to communicate with and everything was clean and comfortable.
2024-06-01,5.0,Stayed with kids,If you love historical houses this would be a great place to stay.
2024-06-01,5.0,Stayed a few nights,Great place to stay for work.
2024-06-01,5.0,Stayed a few nights,"The house of Ashley was a great place to stay while visiting WVU! Be prepared for the stairs! Whew got my workout in!! Loved the family atmosphere and enjoyed playing games on a rainy night!!! Although the downtown of Fairmount was a less than I expected we felt safe returning to the house and enjoying the amenities!!
Thank you for a great stay!!!"
2024-06-01,5.0,Stayed a few nights,Thanks for a great stay!
2024-06-01,4.0,Stayed a few nights,My friend and I stayed at The House of Ashley because we were taking a weekend of classes nearby. We found this place to be beautiful and just what we needed. It would have been great to have had one more day to spend more time in the hot tub and enjoy the fireplace that A David so graciously prepared for us. He and his wife were very kind to provide everything we requested and I hope they are willing to have us back if we're ever back in the area .
2024-04-01,5.0,Stayed a few nights,"David’s place is a definite must. It’s quaint and very neat on the top floor of a very historic home. There is a nice yard, a shade tree, seating and a hot tub to enjoy as well!"
2024-03-01,5.0,Stayed a few nights,"David was responsive and easy to communicate with. The apartment was spacious, comfortable, clean, and stocked with everything we needed. We had a wonderful stay!"
2024-02-01,5.0,Stayed a few nights,"The room was cute and exactly what I expected. The host was responsive and helpful. I was there for work (nightshift) so basically to eat sleep and shower. Room was accommodating and quiet for a day sleeper.
Be sure you collect all items from your car because the stairs are plentiful and steep😆."
2024-02-01,5.0,Stayed a few nights,Third floor apartment was ideal for visiting Fairmont State University. My daughter and I were comfortable with the space. Small kitchen was good for heating up leftovers.
2024-01-01,4.0,Stayed a few nights,"Great old house!
Comfy and convenient for what we needed to do."
2023-11-01,4.0,Stayed with kids,Nice place
2023-11-01,5.0,Stayed a few nights,Nice place. Good host. Would recommend.
2023-11-01,5.0,Stayed a few nights,The space was fantastic! Spacious and clean. 10/10 would recommend.
2023-10-01,5.0,Stayed a few nights,"""The House of Ashley"" was quaint, charming and comfy. This home, from what I understand, was built in 1904 and this is what I based my expectations on prior to my stay. With that being said, I was pleasantly surprised at how ideal the condition of the home was when I arrived. I thoroughly enjoyed the ambience from being in a home with history and character. As far as the hosts, they were amazing. David was nearly immediately responsive any time I reached out to him about anything. I also got to know him on a personal level as he shared details about his family and what they use the BNB and house for as a whole. I even got to meet the resident cat, Karen, during my stay. Overall, it was lovely and I'd 100% stay here again if I ever find myself in Fairmont again. Hands down. No question."
2023-10-01,5.0,Stayed a few nights,"Everything was great! Lots of stairs but as long you don’t forget anything in your car it’s good lol
Very homey and cute!"
2023-10-01,4.0,Stayed a few nights,"We were down for WVU Family Weekend and decided to opt for a less expensive accommodation than those in Morgantown. David’s place was just that, and clean, a very comfortable feel, with all the amenities one would want for a weekend. Our only constructive feedback would be that the larger/double bed could use a new mattress as it was not only uncomfortable but made noise every time you’d move resulting in not the best night’s sleep."
2023-08-01,5.0,Stayed with kids,"We enjoyed our stay very much. This house is so beautifully restored/maintained, keeping the history of architecture alive! The host thought of everything and has communicated it so well, checking in on us yet letting us be on our own. Highly recommended for cat lovers."
2023-08-01,5.0,Stayed a few nights,"Wonderful spot, awesome host. Beautiful area, nice town, 40 mins from the old Lunatic asylum which was awesome to visit"
2023-08-01,5.0,Stayed a few nights,David was amazing. This was my second time staying at his place and I enjoyed it even more than last time. He was very friendly and talked to us for quite some time about the history of the area. His and the surrounding homes are beautifully crafted and provided for hours of employing and wonder for my friend and I. We came for the mountains and waterfalls in Morgantown and fell in love with Fairmont as well! Neighbors were also very friendly!
2023-08-01,4.0,Stayed a few nights,Great place for a short stay.
2023-08-01,5.0,Stayed over a week,"A definite stay if visiting the Fairmont area! The house was beautiful and in a great area, with easy access to lots of restaurants and to the highway. The house also had a large porch you can use and a wonderful yard with a great hot tub. The host was also super attentive and will look out for you! He even helped us start a fire in the fire pit when we were having issues without us even having to ask! Everyone was so friendly and we felt so welcome. We had no problems at all. The place is very nice and affordable. If we ever need to stay in Fairmont again, this place will be at the top of the list!"
2023-07-01,4.0,Stayed a few nights,great place to stay!
2023-07-01,5.0,Stayed a few nights,David’s House of Ashley was a lovely historic apartment. The furnishings were quite comfortable and the location was very convenient. David and crew were very responsive.
