date,rating,note,review_text
2024-06-01,5,Stayed a few nights,"This was the perfect weekend getaway spot. Just big enough for me and my wife, but not extra large.
A quick hike up the hill reveals a fantastic sunset, but it is also breathtaking from the fire pit.
The only thing I I would have wanted different is if there were more shades on the windows. Especially the widows showing the master bedroom, the were small windows and the weren’t easily visible from outside, but I would have liked a touch more privacy."
2024-06-01,5,Stayed a few nights,"Super cute & quite retreat for a quick family getaway. Outside area was great and the two trails were fun. Everything you need when away from home with out the responsibilities of home. The Hitchcock
Nature Center was our favorite place to hike near the grain bin. Would stay here again."
2024-06-01,5,Stayed a few nights,"I reserved this beautiful Silo for my daughter and son-in-law's anniversary. It was a surprise and they had no idea where they were going (the Loess Hills) or where they were staying (The Silo). They loved every bit of it! The location was amazing and peaceful. They were able to walk the property, sit under a beautiful night sky full of stars, enjoy a bonfire and the twinkle lights. For them it was perfect! Christy made it so easy and welcoming, even leaving them a bottle of champagne for thier anniversary celebration! Every detail of the place was perfect and it was an experience. They have not stopped talking about it since they got home. They loved it!
On my end, as the coordinator of this anniversary trip, I can say that Christy is probably the best communicator I have ever encountered in my time getting vacation rentals. Not only in relaying needed information at the outset but even answering questions promptly, in some cases in real time! Amazing stay, amazing hosts!"
2024-06-01,5,Stayed a few nights,"It is a very comfortable home, I would like to come back again, it is recommended and the host very attentive"
2024-06-01,5,Stayed a few nights,We loved the Grain Bin Getaway for our mother/daughter weekend! Everything was perfect!
2024-06-01,5,Stayed a few nights,"My wife and I spent two nights at the bin. Having grown up on a farm, it was the nicest grain bin I’ve ever been in! 😄
Very well-decorated, extremely clean, and easy to find. Really unique lighting, too. The staircase was steep and spiral but easy to manage. No worries there.
We enjoyed the hiking trails behind the bin that wound their way up into the Loess Hills. Quite the view from up there!
We took a short and easy trip to Omaha to the Boiler Room for dinner. We enjoyed hiking the trails at the DeSoto National Wildlife Refuge just down the road and had a nice visit at the nearby Loess Hills Lavender Farm, too.
All and all, it was a great stay and a perfect place to relax and enjoy the great outdoors while having all the comforts of home!
The host is great to work with…responsive to any questions you may have!"
2024-06-01,5,Stayed a few nights,"We had wonderful stay for a 2-night girlfriends trip. The space is unique, and well appointed. Enjoyed the firepit and the abundance of stars at night. Walked up both paths on the property to see the beautiful views! The location is convenient to many natural areas including Desoto Wildlife area for birding and Loess Forest for hiking. (Preparation Canyon was a truly beautiful walk!!!) We highly recommend you stay at this wonderful home!!!"
2024-05-01,5,Stayed a few nights,Very unique place and property. Place was clean and could tell it was well taken care of.
2024-04-01,5,Stayed a few nights,"Beautiful little getaway! I spent the first two nights solo as there is some of the state’s best hiking nearby and the location has a great centralized spot for the hikes. My family joined on the third day and fell in love with the place. You can tell there was a lot of pride with this renovation and no corners were cut. The place is in great shape, has many amenities, appliances, and a beautiful view. We hope to visit again!
TIP: if you are able to make it to either of the two lookout spots on the hills (short little hikes), absolutely take advantage of it and catch a sunset. The view is stunning!"
2024-04-01,5,Stayed with kids,This place was the perfect get away for us to spend some time with our kids. The weather wasn’t the best so spent a lot of time indoors in this cozy grain bin! Has all the amenities you could ever need during our stay. We adventured around to some of the small town restaurants and hiking in the Loess Hills which also kept us busy. There’s also 20 acres of hiking to 2 look-out points right on the property! Would highly recommend for anyone wanting to get away from the hustle and bustle of city living! Beautiful property.
2024-03-01,5,Stayed a few nights,"Great little location tucked in the Loess Hills, near some beautiful parks and a scenic bypass. Many things to do no matter the weather!"
2024-03-01,5,Stayed a few nights,"We had the best staycation at this cute, clean, and cozy unique property. It’s quaint, beautiful, peaceful and fun. Highly recommend!"
2024-03-01,5,Stayed a few nights,I was looking for something other than a hotel for an anniversary get away. This place was perfect. It was so nice and clean and the location allowed for a lot of things to do. I would love to come back when the weather was better so we could enjoy the outside space.
2024-03-01,5,Stayed a few nights,Perfect stay regarding place and surroundings. Coffee maker is super slow and it would be nice to have more mirrors in bedrooms/living room to free up the bathroom😉! Those are just small things. It was amazing!!!! Great host! We will
2023-12-01,5,Stayed a few nights,Wonderful getaway and a beautifully done space
2023-12-01,5,Stayed a few nights,Amazing place! Exceeds expectations! If it was available for one night I would go back often. Amazing stars when the sky’s finally cleared ! So enjoyed this amazing space.
2023-12-01,5,Stayed a few nights,I brought a group of friends for the weekend to stay at the bin. Very clean with everything we needed. The stay exceeded our expectations.
2023-11-01,5,Stayed a few nights,"This is a one-of-a-kind getaway with beautiful surroundings and a creatively renovated grain bin. We thoroughly enjoyed our time here. Definitely make sure you are able to manage steep steps. If you are planning to sleep in, you need to know that there are no window coverings (except in the bathroom). You will know when the sun comes up. Although there are no window coverings, the grain bin mostly faces the hills where no one can see in."
2023-11-01,5,Stayed a few nights,Super unique experience plus so comfortable and clean!!
2023-11-01,5,Stayed a few nights,"Easily 5 stars!
One of the cleanest AirBNB properties we’ve stayed in. The beds were comfortable and the bathroom and kitchen amenities were just perfect.
We didn’t have any issues whatsoever, but when I did contact the host, they were very responsive.
We stayed in November and still made use of the bonfire pit for dinner and s’mores. The sky, the stars, the ambiance was so relaxing.
Our family enjoys hiking - and the Loess Hills in Iowa is a perfect destination. We enjoyed the hiking trails right on the property,
Including catching a sunset from an overlook. We also drove north to the state forest and hiked! The binder on-site has super helpful information for local hikes.
This AirBNB property is just as described! You’ll enjoy the unique setting and retreat-like getaway. Highly recommend!"
2023-10-01,5,Stayed a few nights,"My husband and I came for a quick getaway, and we both enjoyed the peaceful and scenic location. We would definitely recommend staying here."
2023-10-01,5,Stayed a few nights,I would definitely come back again and recommend to others
2023-10-01,5,Stayed a few nights,"This grain bin was seriously incredible! It was my first time staying in one, and I was blown away by the attention to detail, peaceful location, and surroundings, and the cleverness of the design! Brent and Christy have done a wonderful job designing it! You can see the intricacies and effort that they put in to designing and building it! The trails and overlooks we’re both awesome, and my favorite was the LED lights in the ceiling!"
2023-10-01,5,Stayed with kids,"We loved our stay at the Grain Bin! We traveled to go to the Omaha Zoo, which was only a 30 minute drive. It was lovely to stay in a private area and walk around the property. The sunsets from atop the hill were breathtaking. Although it was close to the road, you couldn't hear anything from inside. I would recommend bringing an eye mask if you are sensitive to morning light, but was a beautiful place to wake up in! It was so clean and had everything we needed. Would definitely stay here again!"
2023-09-01,5,Stayed a few nights,We loved our stay! So much to do within driving distance. Beautiful place!
2023-09-01,5,Stayed a few nights,Great place to stay!
2023-09-01,5,Stayed a few nights,The Grain Bin was exactly as described. Very clean and comfortable. We enjoyed sitting on the porch watching the combines harvesting the fields across the street. My wife is a little leery of heights so the stairs were a little intimidating but she got used to it in no time. All in all this was a very peaceful and relaxing stay. We would definitely stay here again if we are back in the area.
2023-09-01,5,Stayed a few nights,Booked a stay at the grain bins for my parents anniversary! I was getting photos almost every hour of the gorgeous place. Fireplace was perfect during the fall weather. Beautiful place to stay! Christy was very friendly and quick to respond to any questions and gave very clear helpful instructions for the stay!
2023-09-01,5,Stayed a few nights,Everything was as we expected. Very quiet get away.
2023-09-01,5,Stayed a few nights,"Beautiful home for a quiet get away, loved having a campfire, and all the accommodations. Will stay again and highly recommend to others."
2023-09-01,5,Stayed a few nights,"Excellent accommodation and very comfortable, it really is extraordinary... I hope to return soon"
2023-08-01,5,Stayed with kids,Would highly recommend. Unique experience! Great host
2023-08-01,5,Stayed with kids,This is our second trip and it will be a tradition yearly for us! Our 7 year old truly thinks the grain bin is better than Disneyland. Unfortunately both visits the weather was 100 plus degrees but the bin was air conditioned perfectly and zero issues! We had so much fun ! We are thinking about a December family getaway!
2023-08-01,5,Stayed with kids,"This place was perfect for our little vacation getaway with the two of us and our 19 month old. My husband has scooped out a lot of grain bins in his day and this was pretty cool to say that we’ve stayed in a legit grain bin house! It was very thought out and modern. We loved the windows and how they kept it a circle shape on the inside! One thing I will say is that the steps are very unique, hard to get used to and very custom-made (which is awesome), but difficult to trust your child going up and down them. The other thing I would say is that there are no shades on any windows, so if you have a child, bring a shade of some sort. Otherwise, they will be up when it’s light out."
2023-08-01,5,Stayed with kids,Beautiful space and location. Well worth the drive!
2023-07-01,5,Stayed a few nights,"Had a wonderful, relaxing time!
I had always envisioned fixing up a silo and this way exceeded my dreams of my silo repairs."
2023-07-01,5,Stayed a few nights,Beautiful getaway for our 25th Anniversary.Scenery was beautiful. The Grain Bin was amazing from top to bottom.We definately will be back again.Loved it!!!!
2023-07-01,5,Stayed a few nights,We stayed at Christy’s place for a girls weekend getaway and it was absolutely perfect! The place is adorable and looks exactly like the pictures!
2023-07-01,5,Stayed a few nights,The Grain Bin was the perfect place to celebrate our wedding anniversary. We experienced amazing sunsets with little bunnies hopping around to drinking coffee while watching a storm roll in over the fields that sit in front of the bin. Christy had great communication and clear expectations for check out. We’ll definitely be back.
2023-07-01,5,Stayed a few nights,This was the perfect place to get away and decompress. Peaceful and quiet with beautiful sunsets!!! The place was immaculate!!!
2023-06-01,5,Stayed a few nights,"Beautiful and unique place to stay for a getaway. Enjoyed hiking at Loess Hills Hitchcock Nature Center, Murray Hill and Preparation Canyon. Relaxed by the fire pit and watched gorgeous sunsets."
2023-06-01,5,Stayed with kids,"Great place for my family when we visit my grandmother. Very clean, easy to get into, and beautiful location. Would definitely rent again when we come back."
2023-06-01,5,Stayed with kids,"This was a beautiful and unique stay. The home is immaculate. My wife loved it. My daughter loved being on a farm with so much open land. The sunsets we saw were beautiful. We traveld to Omaha for the College World Series and this was very driveable to commute back and forth to Omaha. This was perfect stay for everyone in the family and the hosts are awesome. Can't say enough about this place. If you are considering it, book it!"
2023-06-01,5,Stayed a few nights,"We LOVED staying at the grain bin. We came down for a family wedding in Woodbine. The drive back and forth there for the few days we stayed was absolutely beautiful especially for Iowa! 🤪 The grain bin was so gorgeous, clean, and comfortable. My husband and 2 kids loved it as well. We hiked up to the lookout with another family of 4 who was also in town for the wedding. Such a fun and unique stay. Highly recommend if you are looking for a rental in this area! We were not crazy about the eateries in the small town but the kitchen is well equipped so we made a meal for dinner our last night there. The aquatic center in town made for a fun time but the water slide is super slow (also they only take cash so be prepared). Surprised to see that in the town!"
2023-06-01,5,Stayed a few nights,"We had a wonderful stay at the Grain Bin. It is very clean, comfortable, and so cool! The finishes are excellent! Nice job! Great stay!"
2023-06-01,5,Stayed a few nights,Great location! Relaxing staycation! Great amenities.
2023-06-01,5,Stayed a few nights,Nice spot for a private getaway.
2023-06-01,5,Stayed a few nights,The Grain Bin Getaway is such a gem! I’m already planning my next trip back :)
2023-05-01,5,Stayed a few nights,"The property and house are spectacular hidden gems. We have stayed at amazing Airbnbs all around the world, and we’re astonished to find such an amazing home and property so close to our own home. The views from the trails, especially at sunset, are outstanding. 5 stars across the board!"
2023-05-01,5,Stayed a few nights,This place is amazing! Christy made everything feel so personal and welcoming. I would highly recommend this place!
2023-05-01,5,Stayed a few nights,The bin was such a fun weekend get away! Close enough to drive into Omaha for a few hours and get back and enjoy a peaceful sunset and enjoy a nice fire! Highly recommend!
2023-05-01,5,Stayed a few nights,"Adorable place!! The grain bin is perfect for a weekend getaway! Wonderful host, clean house, and we found ourselves very comfortable! The house is about a ~30 minute drive from Omaha and the zoo makes a perfect day trip!"
2023-05-01,5,Stayed a few nights,Beautiful unique place to stay!
2023-05-01,5,Stayed a few nights,We stayed here during our wedding wknd and we loved it! We’re going to come back and stay again when we can enjoy being at the Airbnb a little more. So cute & peaceful. I’m even using the bathroom for my inspiration for our home bathroom lol!
2023-05-01,5,Stayed a few nights,"Christy, The place was awesome and will be using it in the future."
2023-04-01,5,Stayed with kids,We booked the silo home for a weekend getaway for the family. Christy was proactive to giving me check in/out instructions which I appreciated. Taking little kids up and down the spiral staircase was a little daunting but doable. We loved the hiking and views available on the property. Feels far removed from everything but has local amenities for anything you need/forgot only 5 minutes away.
2023-04-01,5,Stayed a few nights,What a stunning place this was. The inside pictures don't do it justice. Every little detail was perfect and I would definitely stay here again!! Cheers
2023-04-01,5,Stayed a few nights,"Grain bin was perfect for quiet, relaxing get a way. Place was spotless, comfortable bed, all the imedities you could need or want. Fantastic sunsets. Cannot go wrong staying here!"
2023-04-01,5,Stayed a few nights,Another amazing visit for an annual trip. very accommodating and just so peaceful!
2023-03-01,4,Stayed a few nights,"The Grain Bin Getaway was beautiful. It felt very homey and the thoughtful details of the design of the house made it a comfortable, relaxing home to stay in. The owners were excellent with communication and I would recommend staying at their property."
2023-03-01,5,Stayed a few nights,"The converted grain bin is an absolute gem. We could not get over how beautiful the space was. The hosts have thought of every detail. Check in was easy, communication was prompt, and every amenity you could need was provided. We highly recommend this unique getaway!"
2023-02-01,5,Stayed a few nights,Really cute place to stay! Has literally everything a normal size house would with really nice modern touches! Only issue we had was the message sent out about the lock box was not correct. It said we needed to open the lock box get the key and then open the door but the door had a key pad on it.
2023-02-01,5,Stayed a few nights,very unique property. perfect for weekend get away. well stocked and clean home. would highly recommend.
2023-01-01,5,Stayed a few nights,Great place with beautiful views!
2023-01-01,5,Stayed a few nights,Christy’s Grain Silo was amazing. Very peaceful and remote. Perfect for a quiet get away. We’ll be going back!
2023-01-01,5,Stayed a few nights,"We've driven past this property many times while heading to a local campground and I can tell you without a doubt the property is just as beautiful in person as it is in photographs. Unfortunately due to a medical emergency with one of our group members, we were unable to stay this time. Christy was excellent with communication and answered any questions we had. The whole group is pretty bummed out we couldn't stay this time, but will hopefully we will be re-booking in the future."
2023-01-01,5,Stayed a few nights,All around great. Will definitely visit again
2023-01-01,5,Stayed a few nights,"The Grain Silo was a very serene getaway, perfect for a romantic trip or just needed a break from daily activities. Very well designed, with lots of wonderful details and all the amenities you need to truly feel at home. We took advantage of the hiking trails on the property. Don’t forget to take your camera and take advantage of the clear skies and beautiful sunsets. I highly recommend this hidden gem just outside of Omaha!"
2022-12-01,5,Stayed a few nights,The Grain Bin Getaway is perfect! So unique and cozy. The simplicity of the place was so peaceful. I would definitely recommend it anyone!
2022-12-01,5,Stayed a few nights,"Great place to stay and unwind. Loved the unique house and surrounding land. We will definitely be looking to stay there again next time we visit the area. Only note for future visitors is to be careful in the shower, it has a tub bottom that’s extremely slippery with nothing to hold on to."
2022-10-01,5,Stayed a few nights,"This was our second stay at this property. It is a beautiful, peaceful getaway spot. Christy is a great host and we hope to be back again soon."
2022-10-01,5,Stayed a few nights,Great tiny home. LOVED it. Appreciated the experience the most. Loved the location so that we could hike all over the area. The place was so fun and well kept - we are SO glad we came. We got used to the spiral staircase and went up and down carefully with ease at age 68.
2022-10-01,5,Group trip,"Charming! This home is so unique, but you almost forget that you're staying in a grain bin. Great design elements, and very cozy. Loved the personal touches. Beds are VERY comfy. Bathroom is large with a huge countertop. Only 30 miles from downtown Omaha. Our family drove 40 min to Bellevue for an unbelievable TreeRush experience at Fontanelle Forest. The sunsets from the Grain Bin were exceptional! Loved the trails we could enjoy right outside the home. Will definitely be back."
2022-10-01,5,Stayed a few nights,Highly recommend this Airbnb! A favorite fit many reasons! Cleanliness #1 and everything you need! Cozy like no other! Hiking all around right on hills behind the grain bin home! Perfect for sunsets! Christy had very quick response when had a question!!! Do not hesitate to book it!!
2022-10-01,5,Stayed with kids,The grain bin is super cute! The property is beautiful. The home was very clean and was well stocked with essentials. We had a great time and would definitely stay again.
2022-10-01,5,Stayed a few nights,We were unfortunately unable to stay as we had family hospitalized during our reservation. Christy was very responsive and offered suggestions to try and help us out. We unfortunately did not get insurance to cover our cancellation and we were not able to cancel until after we should have been checked in. Christy was very kind and offered a discount if we choose to stay in the future. Will definitely try to stay there in the future. Thanks Christy!
2022-10-01,5,Stayed a few nights,This is a great place to stay!
2022-10-01,5,Stayed a few nights,"The Grain Bin was truly a unique and wonderful property. Quiet, private, comfortable, and perfect for romantic getaway. All the amenities you could possibly need. The trails on the private acreage were a pleasant surprise. We’ll definitely be back."
2022-09-01,5,Stayed a few nights,"This was an absolutely beautiful retreat. Quiet, clean, and private. Highly recommend for a romantic getaway"
2022-09-01,5,Stayed a few nights,We loved feeling like it was a home away from home. A place where we could rest and relax with good conversation and calm surroundings. For us mamas it was a much needed place to stay and would definitely do so again!
2022-09-01,5,Stayed a few nights,"From the host, to the accommodations, to the property, to the amenities - we could not have been more happy. It was a surprising (a grain bin), delightful, and generally wonderful experience! Well worth it!!!"
2022-09-01,5,Stayed a few nights,Very beautiful home!
