date,rating,note,review_text
2024-06-01,5.0,Group trip,Awesome spot!
2024-06-01,5.0,Stayed with kids,"Me and my family stayed at the Dillon house for a little weekend get away and it was absolutely beautiful! I got to live out my Victorian Era dreams and did not want to leave.
My kids also loved it and played for hours on the swing out front and spent a lot of time watching deer in the backyard. Would 100% stay again!"
2024-06-01,5.0,Group trip,"The house is very comfortable and an unique historical experience. The attention to details throughout the house is amazing from plenty of items in the kitchen to all of the amenities make for a wonderful stay.
The hosts were very responsive to any and all questions. We would highly recommend staying here."
2024-04-01,5.0,Group trip,My family loved our stay at Dillon House! The space is huge and beautifully decorated. The host was helpful and very responsive to questions. It was definitely worth it to splurge for this charming house!
2024-04-01,5.0,Stayed with kids,"My family of 7 enjoyed our time at Dillon House immensely! We enjoyed reading about the home's rich and carefully preserved history and finding old pictures displayed around the house. The decor, of course, is fabulous, just like the pictures, but is also comfortable and very functional. We felt right at home! And the hosts are very friendly, responsive, and helpful. I cannot say enough good things and we would definitely return!"
2024-03-01,5.0,Stayed with kids,"Our stay at this Victorian home was nothing short of enchanting. From the moment we stepped through the door, an ambiance of timeless elegance greeted us. My husband, who has a keen eye for architecture, remarked that this was the most exquisite Victorian home he has ever seen – and considering his experience, that's saying something!
The attention to detail throughout the home was truly exceptional. Every corner revealed another delightful surprise, whether it was the intricate woodwork, the ornate fixtures, or the tasteful furnishings. It was evident that every element had been carefully curated to evoke the charm of a bygone era while still offering modern comforts.
We found ourselves enchanted by the peaceful surroundings, and the proximity to President Hayes's house and museum only added to the allure of the area.
Overall, our experience surpassed all expectations. To anyone seeking a truly memorable stay in a picturesque setting, I wholeheartedly recommend this Victorian Gem!"
2023-12-01,5.0,Stayed with kids,"Beyond our expectations! Elegant, lovely, clean, historical and comfortable too! Fabulous hosts! We will be back! Most grateful for the outstanding experience!"
2023-11-01,5.0,Stayed with kids,Beautiful house! We had an amazing stay
2023-11-01,5.0,Stayed with kids,Better than the pictures. This home has been curated with an eye for the artful and unique. The character and charm of this home cannot be overstated. I would recommend the Dillon to anyone without hesitation.
2023-10-01,5.0,Stayed a few nights,Perfect place for a business stay if in town. Highly recommended!
2023-10-01,5.0,Group trip,Beautiful historic home!!! Very peaceful. Will stay there again!
2023-10-01,5.0,Group trip,The house was beautiful! Not only that but the hosts were so helpful! They communicated with me whenever I had questions almost immediately. There was so much history in the home and it was literally like going on an adventure. I wish the weather could have been better so we could have gone outside to enjoy the patio and porch but sometimes Mother Nature is just not on your side. I would recommend this place to my peers.
2023-09-01,5.0,Group trip,"Great place, matched the pictures and description."
2023-09-01,3.0,Group trip,Nice place but family coming out of town were freaked out by the animal heads in the bedrooms and opted to sleep elsewhere.
2023-09-01,5.0,Group trip,This home was absolutely beautiful! The time and attention to detail Michael & Aaron have put into this home is awe inspiring. The home was well stocked and we felt right at home. The worst part of our stay was having to leave.
2023-08-01,5.0,Group trip,"We loved every minute in this gorgeous historical home. Everything was exactly as pictured and even better than we imagined. The home was so clean and tidy and full of wonderful nooks and crannies for enjoying the history of the home.
Thank you for making us feel so welcome. We can’t wait to return!"
2023-08-01,5.0,Stayed with kids,We live in Fremont and have always admired this house. When family came from out of town we stayed here and it did not disappoint . It is so full of history and everything about it made for amazing family time . We will definitely do this again.
2023-08-01,5.0,Group trip,"If you are even remotely considering staying at the Dillon House, do it!! It is absolutely stunning, especially if you like historic homes. My family asked if we could just buy it and move in! The house is huge with enough room for a large group. The kitchen is stocked with anything you could possibly need. The bedrooms are comfortable and quiet. The whole space is extremely clean. The neighborhood is adorable with a park directly across the street. The outdoor space is also beautiful. We had a baby deer visit! The home is about a 30 minute drive to Port Clinton and that general area but it's a nice drive. We go to Lake Erie every summer and have always stayed there but this is our new go to from now on."
