date,rating,note,review_text
2024-06-01,5,Stayed a few nights,I was familiar with the area so I was not surprised how accurate the description was. The Townhouse was very peaceful like a home away from home. The host was very responsive and friendly I would definitely stay again
2024-06-01,5,Stayed a few nights,Great place to stay for weekend. Second time visiting
2024-05-01,5,Stayed a few nights,Peter was an excellent host and his townhome was very comfortable. This townhome is one of the best lodging options in the greater Greenville area.
2024-04-01,5,Stayed a few nights,"Awesome place, loved the stay."
2024-04-01,5,Stayed a few nights,10/10 I recommend
2024-04-01,5,Stayed with kids,"this place was perfect for my stay in North Carolina, I'm thinking of moving the greenville area and I had the chance to explore while I was there and loved it!!! will be back in June and will likely stay here again!!!!"
2024-04-01,5,Stayed with kids,I wanna live there!!😩 It was so cozy and felt like home I almost forgot I had to check out😂 I will definitely be back anytime I need another airbnb in Greenville!
2024-03-01,5,Stayed one night,Absolutely one of my greatest Airbnb stays Mr Peter was absolutely amazing and the home was immaculate I almost didn’t wanna leave anytime I visit Greenville this is the only place I wanna stay
2024-03-01,5,Stayed a few nights,Great stay
2024-03-01,5,Stayed a few nights,"The airbnb was very nice, clean and in a good and quiet neighborhood. I would definitely recommend staying at this airbnb."
2024-03-01,5,Stayed a few nights,Great place to stay while working out of town.
2024-03-01,5,Stayed a few nights,perfect place for me and my children. its was home away from home.
2024-03-01,5,Stayed one night,"my stay was relaxing, comfortable and very clean."
2024-03-01,5,Stayed about a week,Right place to stay
2024-02-01,5,Stayed one night,Great place! Enjoyed my stay!
2024-02-01,5,Stayed one night,The place was clean and fit the family perfectly. Definitely recommend!
2024-02-01,5,Stayed one night,Very nice and clean place!
2024-01-01,5,Stayed one night,Everything was perfect and Peter’s bed was better than mine at home! Lol he responded in a timely manner and it was most of all peaceful and quiet!
2024-01-01,5,Stayed a few nights,"The house is very comfortable, safe. We enjoyed the privacy. I recommend it."
2024-01-01,5,Stayed one night,"Great place to stay, very clean and quiet place."
2024-01-01,4,Stayed about a week,"Wonderfully close to hospital, so important for the birth of our grandchildren, twins!!!"
2024-01-01,5,Stayed with kids,"I loveeeee this place, felt right at home. The place was nice & neat and smelt great."
2023-12-01,5,Stayed a few nights,In town for work and this was perfect for what we needed.
2023-12-01,5,Stayed one night,Lovely place would definitely stay here again
2023-12-01,5,Stayed a few nights,"Very clean, had everything we could need for our stay. Very comfortable beds, would recommend to anyone visiting the Greenville area!"
2023-12-01,5,Stayed a few nights,"Enjoyed our little getaway to NC! Very responsive host, place is cute & homey, master bedroom has a super comfy bed! Would return again :)"
2023-12-01,5,Stayed about a week,Great place to stay. Had 0 issues. If in the area again I will definitely be rebooking
2023-11-01,5,Stayed with kids,Very well kept and the host was very friendly and cooperative. Would stay again
2023-11-01,5,Stayed a few nights,many thanks Peter. the place was perfect! can't wait to come back
2023-11-01,5,Stayed about a week,"Met our expectations, much better than a hotel stay for 2 weeks"
2023-11-01,5,Stayed a few nights,"Peter was a great host. Very helpful and always responsive.
His townhome was exceptionally clean and comfortable. It was perfect for our family!"
2023-10-01,5,Stayed a few nights,"Peter was an amazing host with an impeccable and comfortable place. He left us a snack to welcome us. We were in town for a very challenging time. Peter was very responsive, accommodating and understanding. The rooms and beds were very comfortable and clean and the kitchen was inviting with available resources if we so needed. Would definitely stay again and would recommend to friends and family!"
2023-10-01,5,Stayed one night,Great place!
2023-10-01,5,Stayed with kids,"We stayed @ Peter’s place when it was first posted - so no reviews available. As it turned out, his place was a gem. It was exactly as described & very clean. My brother’s infant grand baby was with us, and we all felt very comfortable. The beds were comfy & the entire townhouse was clean. I also asked if we could do early check-in, Peter was very responsive & accommodating. Definitely would recommend Peter’s townhouse. It is close to everything in the Greenville area. Don’t hesitate - book it!"
2023-10-01,5,Stayed about a week,"This was a very comfortable, clean accessible location for our needs.
Peter had prepared everything to our satisfaction and the amenities were all we could hope for."
2023-09-01,5,Stayed a few nights,"Freshly updated and it shows. As a frequent traveler, you set your expectations low when a place is described as excellent. Well, this place didn’t disappoint. Fresh paint, new furniture, clean, well appointed and super convenient. Peter did a great job on ensuring he checked all the boxes. He was an excellent communicator and proactively provided me updates leading up to check in. Check in day was no different. I woke up to everything I needed to know upon arrival. Id highly recommend commend his condo if you’re in the Greenville aera and want a safe, clean, roomy condo. Convenient, but far enough away that you felt like you could relax at the end of the day. Thanks for making parents weekend at ECU one to remember."
2024-06-01,5,Stayed a few nights,"It was centrally located for my apartment search. Was a quiet and peaceful surrounding
If I wasn’t moving to the area I would stay there again"
2024-06-01,5,Stayed a few nights,I loved it and will definitely be back again!!! Felt right at home!!!
2024-06-01,5,Stayed a few nights,"The place was so clean and peaceful! It was exactly as it was advertised and the hosts were extremely responsive and kind.
Will definitely reserve again in the future!
Thank you ladies for a wonderful Airbnb experience.
Kevin- Alabama"
2024-06-01,5,Stayed a few nights,An enjoyable and cozy spot. Less like a tiny house and more like a studio apartment. Clean and neat - very cute.
2024-06-01,5,Stayed a few nights,"Me and my boyfriend loved Karen’s place, it was the perfect size for just two. We also booked very last minute and Karen found a way to make it work for us even with us being her first guest to stay there! Really enjoyed her place!"
2024-06-01,5,Stayed a few nights,"This was our first experience with Airbnb and Liz was great at explaining everything. There was no question when one enters the home as to where items are because she has everything labeled for one’s convenience. It was easy to find, enter, and felt very safe. Her home was definitely more comfortable than staying at higher priced hotels locally."
2024-06-01,5,Stayed a few nights,Everything went as well as I could have hoped. Would definitely stay there again!
2024-05-01,2,Stayed a few nights,"This place would have been fine as everything was in clean and in good condition except the carpet, which was terrible and loooked very dirty and shoulld be replaced and the towels which had lots of stains on them. The bathroom tilles, showers, and sinks were very clean. The Kitchen looked fine, but I did not spend much time there as the place felt unconfortable with the carpeting being so dirty."
2024-04-01,5,Stayed a few nights,Great stay! Very clear and easy to follow instructions! Clean space close to all that Greenville has to offer. Great deal and highly recommend!
2024-04-01,5,Stayed a few nights,"Instructions were easy to follow, and the labels everywhere helped keep things organized. Overal a very good experience"
2023-12-01,5,Stayed a few nights,Great stay
2023-08-01,5,Stayed with kids,"The place was absolutely amazing an
I’d book again with no hesitation. An I’d highly recommend."
2023-07-01,5,Stayed a few nights,A wonderful stay making us feel very at home. The location was quiet and the room was exactly as described. Very friendly host and other guest on site. We highly recommend and look forward to another stay if we’re in town again in the near future.
2023-07-01,5,Stayed over a week,Liz was great and I enjoyed my stay!
2023-06-01,5,Stayed a few nights,"perfect! perfect place and price, will definitely come here sometime again. thank u, liz, many thanks 🌠🖤"
2023-06-01,5,Stayed over a week,Liz was a very accommodating host and answered all my questions promptly. She was also very proactive when she did drop by to maximize my visit experience. I actually did not know I could plug in my laptop to the big screen TV and had a blast once she showed me. Place is very clean overall and I greatly enjoyed my stay there.
2023-06-01,5,Stayed one night,Very easy and simple.
2023-06-01,5,Stayed a few nights,"I enjoyed my stay so much, I have already booked my next stay with Liz."
2023-05-01,5,Stayed one night,Everything was as pictured and described! We truly enjoyed our stay and truly appreciated how communicative the hosts were.
2023-05-01,5,Stayed about a week,Absolutely beautiful place. Liz was very responsive. I booked last minute and she answered all of my questions.
2023-05-01,5,Stayed a few nights,"Liz was quick to respond if I had a question, and her place was nice and clean. My boyfriend and I went down for my daughters Collage graduation, and I chose to stay at her place because of the price and location.
Thank you Liz!"
2023-05-01,5,Stayed a few nights,good!The room is clean and tidy.
2023-04-01,5,Stayed one night,Liz and Denise are amazing and super communicative. The pictures to in-person visual match! Well kept and had a home feel.
2023-04-01,5,Stayed a few nights,Great place!
2023-03-01,5,Stayed one night,"Liz was an outstanding host and her place was incredibly comfortable & clean, and it had everything you need to have an enjoyable stay. It was the perfect location to spend the weekend in Greenville and we will most definitely be staying here again the next time we are in town! Thank you, Liz!"
2023-03-01,5,Stayed one night,Great stay nice an quiet if u need to get some rest. Liz was a great host made sure i had all i need to be comfortable. Would definitely stay again
2023-03-01,5,Stayed one night,A nice clean and quiet bedroom with a very nice bathroom. We just stayed for sleep and the bed was very comfortable and clean!! Would do it again!!
2023-03-01,5,Stayed a few nights,It was a perfect place to stay between shifts! Quiet and comfortable!
2023-02-01,5,Stayed a few nights,"I stayed in another room at Liz's place for a couple of weeks while working in town and was back for a few days and had to stay again! I love Liz's place, I always feel right at home and the apartment is full of working professionals like me. Give Liz's spot a try if you're in town!"
2023-02-01,5,Stayed one night,"I visit Greenville about 6 times per year and always stay in an AirBnB. I must say that the cleanliness, location, and cost were all so very accommodating. I only had a one night stay on this trip but will definitely be looking up Liz for my next stay."
2023-02-01,5,Stayed one night,"The place was great, very clean and comfortable!"
2023-01-01,5,Stayed a few nights,"The room was exactly as posted. VERY comfortable bed!!
Extremely responsive!!!
Will plan on using this again if possible."
2023-01-01,5,Stayed over a week,a wonderful room in a very nice apartment. I spent 11 unforgettable days there. Thank you Liz and Dennis.
2022-12-01,5,Stayed about a week,"Beautiful home, nice and quiet neighborhood. Responsive host and would highly recommend staying here."
2022-11-01,5,Stayed a few nights,This place was perfect in every aspect. Liz and Denise were excellent hosts. Liz’s home is so beautiful and welcoming. I spent the first 20 minutes after check in admiring the decor and the artwork. The location was also great and parking was an ease. The neighborhood was lovely and quiet and Liz and Denise were available anytime I needed anything. If you get the opportunity to stay here by all means please do.
2022-11-01,5,Stayed a few nights,"Great location to campus.
Very clean. She did a great job communicating. Thanks Liz"
2022-11-01,5,Stayed a few nights,Our stay was great! It was clean and welcoming! The communication from Liz and Denise during our stay was quick and courteous! Prime location to our family and friends!
2022-10-01,5,Stayed with kids,Very Nice location and directions were easy to follow!
2022-10-01,5,Stayed a few nights,Excellent space. Excellent location. Excellent host.
2022-10-01,5,Stayed one night,"My new Go-To in Greenville - super clean, comfortable & a great value compared to local hotel pricing."
2022-10-01,5,Stayed a few nights,"Liz was a great host ! Due to the storm, I had asked if I could check in early and Liz & Denise made it happen. I had minor trouble at check in and Liz was just a phone call away to help ! This place deserves more than 5 ⭐️ ! Looks exactly like the pictures, in a great neighborhood and clean ! Don’t hesitate to book !"
2022-09-01,5,Stayed a few nights,Absolutely a wonderful experience! Liz was very helpful and stayed in touch with me throughout my travels. It was very close to ECU. I loved the suite! I will definitely stay there again!
2022-09-01,5,Stayed a few nights,"Nice place. Reasonable expectations. Great value. Everything was as expected and more. I truly value communication and Liz provided that excellently, quickly, and in advance! Don’t hesitate; book now."
2022-09-01,5,Stayed with a pet,"Quick, efficient, and kind"
2022-09-01,5,Stayed a few nights,Awesome experience. Loved every second
2022-09-01,5,Stayed a few nights,"Had a very comfortable stay and highly recommend to anyone! Great location, great host!"
2022-08-01,5,Stayed a few nights,Nice place. Great communication. Convenient. Would stay again. Thanks
2022-08-01,5,Stayed one night,The room was clean and cozy. Bathroom was also very nice. Good location for short-term or long-term stay.
