date,rating,note,review_text
2024-06-01,5,Stayed one night,"An amazing stay, one of the most equipped places I've stayed. Check in/check out was simple and the views were absolutely gorgeous. Bryce was prompt with answering questions, highly recommend staying here."
2024-06-01,5,Stayed a few nights,This was a beautiful and peaceful stay and I loved the place!
2024-06-01,5,Stayed one night,"Wow! The views were stunning! We only stayed one night passing thru but this spot definitely will be a future destination stay for us. The space was large, cozy, had a feel of home and equipped with every amenity possible. Loved our short stay."
2024-06-01,5,Stayed one night,Our stay was just great! beautiful place. Very clean. we had everything we needed. thank you Bryce!
2024-06-01,5,Stayed with kids,This was a super cute and a perfect stay for my little family. We were just passing through but I wish we had gotten a weekend stay at this place. The views were breathtaking and we felt right at home inside. We even had some farm fresh eggs in the fridge!
2024-06-01,5,Stayed one night,Second stay there. If it’s available it’s going to be my go to when in town. One of the better airbnbs I’ve stayed at. Thanks much.
2024-06-01,5,Stayed a few nights,Had a great stay and the location was beautiful!
2024-06-01,5,Stayed a few nights,"Beautiful location, highly recommend"
2024-06-01,5,Stayed one night,"One of the best Airbnb I have been to. Well-equipped, scenic views, beautiful place, exactly the ideal American home I would love to experience."
2024-06-01,5,Stayed with kids,"As most guests have commented, the view of the valley and distant mountains is stunning. Friendly family and not too far out of town. Relaxed, cooked steaks purchased from the farm, and enjoyed omelettes with farm fresh eggs! Great stay."
2024-06-01,5,Stayed one night,"Absolutely gorgeous property and home, can’t recommend enough!"
2024-06-01,5,Stayed a few nights,"Great place to stay on their farm. Quiet, comfortable, plenty of space and feels like home. I enjoyed the country setting being right on the edge of Harrisonburg. Easy location and nicely furnished. Full kitchen area if you want to cook, which we did plenty of room for us and my kids came over to eat dinner with us.
They have a little toy box for kids. Some games and a puzzle if you just want to relax inside. This was my second stay and would stay again!!"
2024-05-01,5,Stayed a few nights,Perfect location for activities in Harrisonburg: close to the action but secluded and beautiful. Would definitely stay there again. Happy cows!
2024-04-01,5,Stayed a few nights,We had a wonderful stay in this gem of a place! The view simply cannot be beat. The apartment was spacious and had everything we needed. The hosts were so friendly and made us feel right at home. We absolutely loved seeing the cows up close! We will be back for sure!
2024-04-01,5,Stayed a few nights,"The view from the apartment was breathtaking- looking out towards the Shenandoah Mountains!
The apartment was inviting, comfortable, and well equipped with all we needed for our two night stay. We also enjoyed some delicious ribeyes we purchased and took home with us.
We would definitely plan to stay at Glendora Farms when traveling through Harrisonburg again!"
2024-04-01,5,Stayed one night,"Everything was very clean and well kept! Very private with great views. We bought a steak right from Bryce’s farm and cooked it that night in the apartment - delicious and fresh!
Would stay again!"
2024-04-01,5,Stayed one night,Gorgeous view! Great for our one-night stay passing through town.
2024-04-01,5,Stayed one night,Beautiful stay while my daughter and I visited local colleges.
2024-04-01,5,Stayed a few nights,"The listing was exactly as advertised. Plenty of space and beautiful views. Bryce responded to all of my messages clearly and quickly. We were always greeted by smiles and friendly waves, and we never felt like we didn’t have our own space."
2024-04-01,5,Stayed a few nights,Basement apartment was as described. His parents live above and they weren't loud and were very nice. Excellent location just outside of Harrisonburg. Great views.
2024-04-01,5,Stayed a few nights,"This was located on the edge of town in a working farm. Great view, quiet. Spacious with full sized appliances in the kitchen. Loved the country interior. The furniture is comfortable with extra blankets if needed. Room to unpack and hang clothes in the closet and a dresser to use. The place is larger than the pictures make it look. Already booked to stay again."
2024-03-01,5,Stayed a few nights,Excellent AirBNB. Easy access into town. Beautiful surroundings. Everything was clean and ready to use. I come into the valley on a regular basis. Will definitely stay here again if available. Thanks.
2024-03-01,5,Stayed a few nights,"Pictures don't due this place justice. Every direction you turned was beautiful. In the country, rolling hills, yet only a mile from restaurants and conveniences. The place was super cozy and quiet, adorably decorated and clean. Shenendoah National Park within a half hour's drive, so great hiking, great breweries, great coffee shops, etc.
We loved it!"
2024-03-01,5,Stayed one night,a grt place for the price. sure will come back
2024-03-01,5,Stayed a few nights,"This was a great stay for my partner and I, Bryce and Myron were super helpful and friendly. We stayed here while visiting Shenandoah National Park (which was a bit of a drive from the stay) and got to enjoy downtown Harrisonburg, and some delicious fresh steak! Definitely recommend this stay, as well as purchasing something from the barn."
2024-03-01,5,Stayed a few nights,"We loved our stay at the GlenDor Farm! The apartment is spacious and very clean, it's in a wonderful location near many restaurants, and the views are absolutely to die for! Wonderful stay-highly recommend!"
2024-03-01,5,Stayed a few nights,"The apartment was amazing. It was very quiet and while it is technically outside the city, it is very close to everything we did during our stay. If we return to the area for another visit we will definitely be staying here again."
2024-03-01,5,Stayed a few nights,"Loved, loved, loved Our stay on the farm! We stayed for a few days to celebrate Matts 30th birthday! Close to downtown and the local breweries but far enough away from noise! We bought some steaks from the barn and they were amazing!!! Plus seeing all the cows and the beautiful countryside was a plus! Everything was so clean and nice. We where worried that there would be a lot of noise because it’s a downstairs apartment but you would of never known anyone was home!
Thanks again, definitely will be coming back:)"
2024-03-01,5,Stayed one night,A little slice of heaven far away from home! Stunning views and cute cows roaming around outside. The apartment was spacious and very clean had all the ammenities of home
2024-02-01,5,Stayed a few nights,it is great! its super quiet!! its private enough to not have any noise at night but close enough to downtonw.
2024-02-01,5,Stayed a few nights,"The only problem was that we didn't receive a code from Airbnb. When I texted Bryce, he soon responded with the code. The apartment was nicely done and clean. I was not disappointed. I would stay there again."
2024-02-01,5,Stayed one night,"Hilltop was super clean and comfortable. We only stayed one night, but it would be a great place for an extended stay. And the absolute best part--the mountain views. Loved drinking my coffee at the kitchen table, looking out at the stunning landscape."
2024-02-01,5,Stayed with kids,We enjoyed an overnight stay at this lovely apartment overlooking the farm hillside with mountains in the distance. Everything was just as pictured and our host was most accommodating. Highly recommend. Hope to come back for longer visit sometime.
2024-02-01,5,Stayed one night,"Loved the location, great place to stay and enjoyed some cows!"
2024-02-01,5,Stayed one night,Great place. Close to town but small farm community
2024-02-01,5,Stayed one night,"The hilltop at GlenDor Farm was beautiful. From the sunset to the cows, it was a great stay that’s not too far from downtown Harrisonburg, but just far enough to get a peaceful stay."
2024-02-01,5,Stayed a few nights,A wonderful stay - was blown away pulling up the driveway. Bryce and his family were very hospitable and responsive. Highly recommend!
2024-01-01,5,Stayed a few nights,The views here are stunning!
2024-01-01,5,Stayed one night,"We enjoyed this place for our second stay. It has a spectacular view from its hilltop to the surrounding valley, superb in snow. More importantly for us it is sparkling clean, easy to get to, private and safe. Harrisonburg is a nice town with lots of good restaurants and a homey feel. We will most likely stay here again on our treks to see family in Philadelphia."
2024-01-01,5,Stayed one night,"We had a great night on the farm, the view is incredible and the steaks we arranged to have left in the fridge were delicious!"
2024-01-01,5,Stayed a few nights,"Gorgeous, close to Harrisonburg and a wonderful view of the farm and mountains! Can't beat it!"
2024-01-01,5,Stayed a few nights,The stay was very nice. The place is very peaceful and quiet with everything needed included.
2024-01-01,5,Stayed one night,Beautiful place!!
2024-01-01,5,Stayed one night,"Great place, very spacious!"
2024-01-01,5,Stayed with kids,Great and friendly hosts. The area is beautiful.
