date,rating,note,review_text
2024-06-01,5.0,Group trip,"Beautiful wooded area, felt private. We loved the walk to the lake!
We will try to stay again!"
2024-02-01,5.0,Stayed a few nights,"Cecilia’s adorable condo was perfect! Tucked away, but so close to the town and everything you would need. Very clean and pleasant!"
2024-01-01,5.0,Stayed a few nights,"AMAZING house, perfectly clean and up to date, my guys loved staying here!"
2023-08-01,5.0,Stayed a few nights,"Perfection. We could not have been happier with this beautiful condo. We were taking our first child to college nearby and this was the perfect retreat for some final moments together. The setting is absolutely beautiful and the home provided the perfect space for our family. The kids liked it even more than our own house!! Cecilia was beyond helpful and responsive, the home was absolutely spotless, and everything was exactly as pictured, if not better. We will be back as often as we can!"
2023-08-01,5.0,Stayed a few nights,Place is awesome! Cecilia very responsive and excellent host. Look forward to staying in the future.
2023-08-01,5.0,Group trip,Beautiful clean home with beautiful scenery. Loved waking up drinking our coffee on screened in patio to birds and wildlife in back yard
2023-07-01,5.0,Stayed a few nights,"Repeat stayers while in town for work. Everything is fantastic as usual! Loved the rainfall shower head so much, my husband replaced our two with them!!"
2023-07-01,5.0,Stayed a few nights,"As always, it has been fantastic! We are staying here again throughout the year for work. Love it!"
2023-07-01,5.0,Stayed with kids,"We traveled from Mississippi and chose this as a gathering place to visit with nearby family. It worked well as we were able to cook when we wanted to and it was comfortable for sleeping when family was able to stay the night. Nearby lake is a bonus via hiking trail. Beautiful, well equipped kitchen and screened in porch that looks out into peaceful woods. Washer/dryer was a bonus. Quiet duplex community. TV in living room. 2 very nice, fully equipped bathrooms(shampoo, conditioner, body wash) Bring your hair dryer if you need one. Ceiling fans in every room. 2 car garage. Communication with Cecelia was easy. We would stay again."
2023-07-01,5.0,Stayed a few nights,Great place!! Will definitely stay there again. Everything was fantastic!!
2023-07-01,5.0,Stayed a few nights,The home was absolutely gorgeous very clean host was very helpful and caring 10/10 would recommend if you are in the Hillsdale area
2023-06-01,5.0,Stayed a few nights,Place was beautiful!
2023-06-01,5.0,Stayed with kids,"Beautiful, new, fully stocked home in a lovely, peaceful neighborhood. The screened in patio was one of our very favorite things. Top notch communication and friendly, flexible hosts made it a great stay. Absolutely recommend this home for a great experience all around!"
2023-06-01,5.0,Stayed a few nights,"Cecelia was wonderful and her place was fabulous! I booked it for several colleagues who were in town. The place has great wifi and work spaces-desks in the bedrooms and the dining table were perfect.
I highly recommend her place for work or pleasure"
2023-06-01,5.0,Stayed a few nights,"We LOVED this home! New home, spacious, well appointed. It was beautiful inside and out, near town but hidden away in a quiet development. Screened in back deck was amazing. We were attending a COM conference from North Carolina at the fairgrounds, yet saw deer, squirrels, raccoons, and a ton of birds. Tea, coffee, and water awaited our arrival. We stayed a week, even walked to town one day. We have had several Airbnb stays, and few 5’s but this is one. Confidently recommend."
2023-05-01,5.0,Stayed a few nights,"What a wonderful place to stay! Cecilia's place is squeaky clean and such a peaceful setting. Not only is Cecilia responsive, but exceptionally helpful with all of our questions about the stay and the area. We HIGHLY recommend staying here if you value cleanliness, privacy, and comfort. Thank you for such a wonderful stay!"
2024-04-01,5.0,Group trip,We are a family of 8 adults. We have had two children attend Hillsdale College. It is an easy drive and a very lovely place. Wish we would have found it years ago! Well worth it!
2024-04-01,5.0,Stayed with kids,"Wow. A beautiful home, excellently equipped. I stay in a log of Airbnbs, and I don't believe I have ever seen a kitchen this well equipped.
The historic (1900 or so?) home is in excellent condition, recently renovated in many details. It was perfect for our family gathering including married children and grandchildren.
An 8 minute drive to Hillsdale college."
2024-04-01,5.0,Stayed with kids,We enjoyed our stay very much. The house was very beautiful and very comfortable. We will definitely use Phoebe again.
2024-02-01,5.0,Group trip,This is a great place and they so have everything you need and have thought of the little things that made it feel like home. They supply little things that are big things like water in every room coffee cream some snacks and other things. We loved it and stayed because of a funeral and the house and what was in it made it all better.
2024-02-01,5.0,Group trip,"We selfishly want to keep this gem in Jonesville a secret! Phoebe went above and beyond to accommodate us while visiting for a family funeral. The house is pristine and loved the old house feel. The house is beautifully decorated and the beds are very comfortable. Phoebe has thought about and provided everything you might need. The only minor issue is the first bathroom is right off the kitchen and not close to upstairs bath. But the 2nd bath is upstairs by the 4 bedrooms. The kitchen is beautiful and has everything you might need, including coffee pods, spices, oil and vinegar, etc. The house is only a little over a block from downtown Jonesville and close to the bakery, restaurants and park. We thoroughly enjoyed our 4 nights and look forward to coming back!"
2024-01-01,5.0,Group trip,"we had a great time staying with Phoebe. The house was exactly like the photos very charming. Took a tour at the Grovonor Home, which is just up the road from this location. Would definitely stay here again"
2024-01-01,5.0,Group trip,So beautiful and relaxing. Phoebe has thought of everything you might of forgotten and has any incidentals you might need. FABULOUS house and hostess!
2024-01-01,5.0,Stayed with kids,"This home was very charming and unique. It was just as described. We felt like we were in a high-end hotel with the quality bedding and amenities. The kitchen was well equipped. There was plenty of room for our group to be together and apart when needed. We would recommend this place to anyone looking to stay in the area. It is walking distance to the charming downtown area.
Phoebe was proactive reaching out, welcoming us with snacks and a personal note. We give 5 stars in all of the components of this space!!"
2023-12-01,5.0,Stayed with kids,"Our stay at the Wetmore House was a wonderful experience! Very clean, and well stocked and not to mention, gorgeous!! We would definitely stay there again! 10/10 recommend!"
2023-12-01,5.0,Stayed with kids,"We enjoyed our stay. The home is beautiful and thoughtfully decorated and amenities included. Very clean home overall. Downtown area and playground in walking distance. Phoebe was very easy to communicate and plan with.
We look forward to staying again the next time we come down!"
