date,rating,note,review_text
2024-06-01,5,Stayed a few nights,Immaculately clean and exactly as pictured. Welcoming home with many amenities. We will stay again!
2024-06-01,5,Stayed with kids,"we loved out stay here. such a beautiful, clean, cozy home. It was in a cute neighborhood in a central part of town. We felt like we were in a private movie theater with the big TV and comfy couches. loved the decor and bedroom set ups."
2024-06-01,5,Stayed a few nights,Our favorite place to stay in Hobbs!
2024-04-01,5,Stayed a few nights,Martin’s home is immaculate. He goes above and beyond to always accommodate us. We have stayed at many airbnbs in Hobbs and this is our favorite. Highly recommend this home.
2024-04-01,5,Stayed a few nights,Great home with a wonderful floor plan.
2024-03-01,5,Group trip,Martins house is a great to stay if you’re looking to visit Hobbs! The neighbor hood is so peaceful and the home is beautiful! We were able to celebrate my fathers 60th birthday and have a quick drive to the Zia Park casino! 10/10 recommended this beautiful home!
2024-03-01,5,Group trip,Excellent home close to everything and host was active 24/7
2024-03-01,5,Stayed with kids,Martins place was absolutely the best Stay we’ve had!!! Hope to rebook again this Summer!!!
2024-02-01,5,Stayed a few nights,Beautiful house in a great location. Extremely clean and comfortable. I would definitely stay here again and Martin is an excellent host!
2024-02-01,5,Group trip,The house is gorgeous. Plenty of outside seating which other airbnbs I have rented do not have. Martin was quick to respond to questions. The house is very clean. Definitely recommend
2024-02-01,5,Stayed with kids,"Martin’s home was great. Open floor plan, very clean, and affordable."
2024-02-01,5,Stayed with kids,This was our second stay and it was great! Felt like home and Martin was a wonderful host. The house is beautiful and comfortable in a quiet neighborhood. Enjoyed our stay!
2024-01-01,5,Stayed with kids,"Martin was very responsive and kind. The house was beautiful and since we stayed during Christmas, there was a nice Christmas tree. We decorated and tried to make it as much like home as we could. We had a wonderful time, and our kids loved it. We were blessed to have the opportunity to stay here. Thank you so much for having us in your home!"
2023-12-01,5,Stayed a few nights,"We stayed a week at Martin’s residence and everything was outstanding. Beautiful home at an excellent location with friendly neighbors. All the amenities you could ask for. I highly recommend this listing to everyone.
Happy holidays 😊"
2023-11-01,5,Stayed about a week,"Great Host! Great House! This house was pristine clean, Martin communicated so well with us. We needed to stay a few extra days than our original reservation , and Martin made it happen for us. This will be our first choice for Hobbs everytime.
Great neighborhood, and friendly neighbors."
