date,rating,note,review_text
2024-06-01,5,Stayed one night,This is probably my favorite airbnb I have ever stayed in. It is in a super quiet neighborhood with the river right in the back yard. You have access to a whole patio and grill. the Kitchen and Bathroom were stocked with everything you could possibly need.
2024-06-01,5,Stayed one night,"This is my 2nd time staying here and it has become a favorite of mine! I love how peaceful, quiet and private it is. The room has everything and so easy to gain access to it. The owners are so friendly and greeted me when I arrived.
I’m looking forward to the next time!"
2024-06-01,5,Stayed one night,"Absolutely great stay. Deserves the top ratings:
1. Super clean
2. Friendly host — gave us tour of the property
3. Great space
4. Lots of helpful small touches
5. Beautiful property on the river
6. Super value"
2024-06-01,5,Stayed one night,Nice place to stay and lots to do in the area.
2024-06-01,5,Stayed one night,"The perfect AirBnb -- clean, quiet, fully equipped, overlooking a rapid river that lulls you to sleep. And more important, the perfect AirBnb hosts: Friendly enough to invite you to dinner with friends and even go out for a night on the town (where the host himself took over the microphone and played a few tunes).
I'll be back."
2024-06-01,4,Stayed one night,Nice and peaceful location with very friendly hosts!
2024-06-01,5,Stayed a few nights,"I'm a repeat guest with Tom because this is such a great value. It's always sparkling clean, quiet, and comfortable, and it's a beautiful location. Highly recommended!"
2024-06-01,5,Stayed one night,"Clean, comfortable and secluded.
Well appointed: hardwood floors, tile, granite countertops, etc. One of the nicest Airbnbs I have visited!
Tom and his wife were very friendly, greeted me and showed me around."
2024-03-01,5,Stayed one night,Tom and Carol are incredible hosts! So kind and hospitable. Such a beautiful oasis and escape. Only regret is not staying longer.
2024-03-01,5,Stayed one night,"Carol was weeding and greeted me when I arrived. The place was beautiful, quiet and comfortable. I felt at home. Carol gave me fabulous suggestions for where to walk and where to eat. I will definitely rebook when I'm back in Hood River."
2024-03-01,5,Stayed a few nights,Beautiful place and great hosts. They went above and beyond to ensure we had everything we needed. Can’t wait to go back!
2024-03-01,5,Stayed a few nights,"I was just looking for a safe, comfortable place to stay while out of town for work. Tom & Carols place was the Best Airbnb I have stayed in so far!! I felt very blessed to have the opportunity to stay in their home, I did not want to leave.. It was also a blessing to get the chance to get to know them."
2024-03-01,5,Stayed one night,Tom’s place is very cozy and nicely decorated. It is comfortable and clean. The place sits right above the river and it is a beautiful view. We had great recommendations from them for where to eat and what to do. The restaurant they suggested was very good. The town is a short drive and nice to walk around. We were skiing at Mount Hood Meadows and it was only a short drive from their place. They were super friendly and communicative. We would happily stay here again.
2024-03-01,5,Stayed a few nights,"Relaxing location along the Hood River, about 10 minutes north of the town. Comfortable accommodations, very pleasant host!"
2024-03-01,5,Stayed a few nights,"I had a short but great stay; the hosts are lovely and the place is very quaint, clean and equipped with everything you need. Perfect location too!
I will definitely be back!"
2024-02-01,5,Stayed a few nights,"Tom and Carol are the most wholesome hosts I've had the pleasure of staying with! The accommodations were incredibly thoughtful, and you could tell that they took feedback from their guests seriously. As a solo traveler, the room had all the amenities I could need, including supplies for bubble baths! Definitely will be booking with them again when I return to Hood River."
2024-02-01,5,Stayed one night,This place is really nice. Very clean and comfortable beds. I would definitely come back. Tom was very friendly as well.
2024-02-01,5,Stayed a few nights,"Great home away from home, will recommend it, great host."
2024-02-01,5,Stayed one night,Very comfortable and quiet space with a beautiful view of the river. Tom was very accommodating.
2024-02-01,5,Stayed a few nights,A gem of a place in close proximity to nature ! Enjoyed our stay and would definitely visit again !
2024-02-01,5,Stayed a few nights,"I’m a repeat guest at this wonderful location. It’s quiet, comfortable, peaceful, squeaky clean, and a great value."
2024-02-01,5,Stayed a few nights,"Great spot just a quick drive into downtown Hood River! Peaceful, spotless, and so well-thought out with everything you’ll need. Tom and Carol are fantastic, friendly hosts and I felt welcome and comfortable in their home."
2024-01-01,5,Stayed one night,Tom and Carol were more than helpful during check in and amazing hosts across the board! Such a peaceful property on the Hood River. Already planning my next trip back
2024-01-01,5,Stayed a few nights,great place
2024-01-01,5,Stayed one night,awesome as always
2023-12-01,5,Stayed one night,We enjoyed our stay so much! Hope to stay again and explore the town in the future.
2023-12-01,5,Stayed a few nights,"It was a really beautiful and peaceful place. Hosts were really nice and helpful, made us feel at home."
2023-11-01,5,Stayed one night,The place was awesome...Tom & Carol couldn't be any nicer!
2023-11-01,5,Stayed one night,"We enjoyed the beautiful surroundings and peaceful setting!!!
We hope to return sometime when the weather is warm & dry!!"
2023-11-01,5,Stayed one night,A great space - very clean and peaceful. The host was very friendly and helpful
2023-11-01,5,Stayed one night,"This is a five star accommodation with the added bonus of terrific hosts and a standout location along the Hood River. Our hosts were incredibly friendly and warm, and they even gave us some apples from their nearby orchard. Highly recommend."
2023-11-01,5,Stayed one night,I’ve stayed here twice and I love staying here! Tom and Carol are wonderful hosts and the space is quiet and calm. I’ll be back anytime I need to stay in the area.
2023-11-01,5,Stayed one night,"Being able to stay here on the eve of my birthday, I’m turning 36 was truly the most relaxing entry of releasing chaos from my last year and just being like from here on out let it be so peaceful, like staying on this house on the hood river… It was truly a gift I feel like God just totally put it right in my lap, and it was amazing! Hope to stay there again!"
2023-10-01,5,Stayed one night,Beautiful home and tranquil location. Great value for the price. I appreciated the private tour and welcoming upon arrival. Thanks
2023-10-01,5,Stayed one night,Great location and they are wonderful owners! It’s a very lovey place to stay. Comfortable and amazing
