date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,.
2024-06-01,5.0,Stayed a few nights,"Very good stay at Tina and Vern's, in their garden house.
Full of very nice touches to make us feel good there!
Ability to use outdoor furniture, which is greatly appreciated for having breakfast outside, or when you magnify the American dinner time!:-)"
2024-06-01,5.0,Stayed about a week,Tina was always very quick to reply in case I needed anything and she always extremely friendly. The place was spotless and felt right at home when I arrived. I would highly recommend.
2024-04-01,5.0,Stayed a few nights,Awesome place to stay! Would definitely stay here again and would recommend to anyone staying in Houma!
2024-04-01,5.0,Stayed a few nights,Wonderful stay as always! Love the special touches and bonus amenities the host leaves for guests to use in case they forgot toiletries or coffee or even water bottles! Thanks Tina!
2024-04-01,5.0,Stayed a few nights,"Accommodation that met our expectations in every way. In addition, Tina is a host who knows how to take care of her guests and will not hesitate to advise you for your stay. Don't hesitate!"
2024-04-01,5.0,Stayed a few nights,"Excellent stay as always! Love the personal touches , the area and the super comfy bed!"
2024-04-01,5.0,Stayed a few nights,Great place to stay at comfortable and peaceful
2024-03-01,5.0,Stayed a few nights,Great place!
2024-03-01,5.0,Stayed a few nights,"The B&B was perfect for what we were looking for! Tina was very friendly, responsive, and had clear communication. We would definitely stay here again!"
2024-03-01,5.0,Stayed a few nights,Perfect as always.
2024-03-01,5.0,Stayed a few nights,"Tasteful decorations. Clean. Comfy bed and couch. Coffee and some snacks provided. Tina was very responsive and made sure to check if we needed anything and if we did, it showed up immediately. It is located in a quiet neighborhood. Stay there! You won’t be disappointed."
2024-03-01,5.0,Stayed about a week,"Wonderful stay as always, host provides everything you need for a nice relaxing and comfortable stay. I will be back!"
2024-02-01,5.0,Stayed a few nights,"Had a wonderful stay at Tina’s, would recommend to anyone in the Houma area!! It was super clean and quiet. Nice neighborhood, surrounded with lots of things to do!
Shower was great and stayed nice and hot!!"
2024-02-01,5.0,Stayed a few nights,"Tina has a deep sense of hospitality and is very available. Having misread that the entire place didn't include a kitchen, Tina offered me to cook at her place, which is exceptional . It's lovely."
2024-02-01,5.0,Stayed a few nights,"The room was very comfortable, exactly as described but with lots of thoughtful extras. This is in fact an efficiency apartment, very private but opening into a large beautiful fenced yard shared with our hosts. Tina is a great host. She went above and beyond to make us comfortable, provided an extra bed at my request, and answered all our questions. The neighborhood is quiet and pretty. The central cathedral, as well as some good eating places, are within 10 minute walk."
2024-02-01,4.0,Stayed a few nights,The pictures don’t match what we actually got BUT it was a very nice stay. Tina is very nice and responsive and helpful!
2024-02-01,5.0,Stayed a few nights,"In town for work, clean and quiet. Hosts are great!"
2024-02-01,5.0,Stayed a few nights,"Staying at Tina's felt comfortable and safe. We felt so welcomed with all the extra, thoughtful touches. Would stay again."
2024-01-01,5.0,Stayed a few nights,Great stay. Perfect for one or two adults. Very quaint.
2023-12-01,5.0,Stayed a few nights,What an absolutely charming and welcoming space! It’s decorated beautifully and so well designed plus Tina and Vern offer so many thoughtful touches that made us feel so nurtured and welcome. What a wonderful experience!
2023-12-01,5.0,Stayed a few nights,"Would recommend to others, Tina was wonderful."
2023-12-01,5.0,Stayed a few nights,"We had an amazing get away! The room was very welcoming. The bed was super comfortable, we felt very safe in the neighborhood and it was so quiet! We were very pleased with our stay!"
2023-11-01,5.0,Stayed a few nights,"Great and cozy place, would love to stay here again next time around. Everything was a described"
2023-11-01,5.0,Stayed a few nights,"Beautiful, clean, peaceful room.
in a friendly neighborhood,walking to the center that is close.
Very nice garden.
Thank you for the small chocolates."
2023-10-01,5.0,Stayed a few nights,"Really a great place, very relaxing after walking in the surroundings."
2023-10-01,5.0,Stayed a few nights,My husband and I had a fantastic stay at Tina’s. Had everything we needed for our little weekend getaway. Would definitely recommend to anyone finding a place to stay in the area!
2023-10-01,5.0,Stayed with a pet,We loved Tina and Vern’s place! They were always friendly and incredibly generous. Everything you need for a short stay and much more homey than a hotel!
2023-09-01,5.0,Stayed with a pet,This was a great place for us to stay with our dogs. Everything was neat and clean. The fenced in backyard with sitting area was relaxing. We also liked walking the neighborhood area with our dogs. We will definitely be back.
2023-09-01,5.0,Stayed a few nights,"Great place, very cozy. Tina and her husband were both very kind and quick to respond to any issues I may have had, none of which were their faults. The bed was one of the most comfortable I've ever slept in. Highly recommend if you're in the area."
2023-09-01,5.0,Stayed with a pet,This is truly a one of a kind hidden gem. Excellent place to stay for a weekend away to a great town. Highly recommend!!!
2023-08-01,5.0,Stayed a few nights,"So cute, nice and cozy. Most comfortable bed and pillows. Perfect spot downtown and near great brunch places."
2023-08-01,5.0,Stayed with a pet,"Tina and Vern are very friendly hosts, they made us feel welcomed and kept in touch for whatever we needed. Their place is really nice and well kept. We had access to laundry room, Wi-Fi, TV with streaming services besides other helpful amenities. The neighborhood is peaceful and quiet. It has nice restaurants within walking distance. We would definitely stay here again. 100% recommended!"
2023-08-01,5.0,Stayed with kids,"Perfect little cozy spot with a beautiful backyard, well stocked kitchenette, and perfect amount of space for some peace and quite. The bed was very comfortable and their pillows are best pillows I’ve ever slept on. The rooms had everything you could need and then some. We will highly recommend this airBnb to our friends and family"
2023-07-01,5.0,Stayed a few nights,Great place to stay with great hosts! Would recommend this spot to anyone coming into town!
2023-07-01,5.0,Stayed a few nights,"Good place to stay to troubleshoot. The bedroom is quite small and there is only one curtain to separate the bathroom. The air conditioning makes a lot of noise, provide earplugs. Despite everything, the host is very attentive and does everything possible to make you feel good!"
2023-07-01,5.0,Stayed a few nights,"Tin's place was a hidden gem!
Perfect, and conveniently located.
Hope to return soon!"
2023-07-01,5.0,Stayed a few nights,Incredible stay! Such a sweet host!
2023-06-01,5.0,Stayed a few nights,Tina’s was a wonderful stay for us. She communicated well and was so kind. The place had clear notes to help with your stay. We will be back to stay here!
2023-06-01,5.0,Stayed a few nights,Wonderful place! Perfectly peaceful and quiet. Perfect place to retire after a long day’s work.
2023-06-01,5.0,Stayed a few nights,The one room wonder is exactly that! Very clean and comfy. Tine was a really nice and sweet host!
2023-05-01,5.0,Stayed a few nights,"Quiet relaxing, enjoy sitting on the gazebo listening to the birds looking at all the pretty flowers! 👍👍"
2023-05-01,5.0,Stayed a few nights,"beautiful place, very nicely decorated, intimate with lots of useful little touches ( toiletries, water, coffee, tea etc...)
Tina and her husband were lovely. The room is really close to everything with the possibility of walking to the city center. We would highly recommend!"
2023-04-01,5.0,Stayed a few nights,Excellent location. Tina was really welcoming and provided us with a host of recommendations for things to do and good restaurants around. Book without hesitation!
2023-04-01,5.0,Stayed a few nights,"Everything about this ‘One Room Wonder’ was absolutely charming, comfortable, and private! The space is very creatively crafted and includes everything you could need plus extras in case a anything had been forgotten -so very thoughtful! Everything was squeaky clean and inviting. The bed was dreamy, sofa super comfy, and the round table in front of the large window just begs for you to have a seat, enjoy the view/conversation, and enjoy a snack or meal with plenty of room, never feeling crowded. The private entrance was such a charming space with super easy access. I wish I had an entrance like it at home! Our entrance was within the fully fenced backyard giving us a sense of both privacy and safety. It was a complete joy to stay here as we visited with family and friends and enjoyed our nephew’s wedding. This is a great place to stay-you will not be disappointed!!!"
2023-04-01,5.0,Stayed about a week,Very welcoming enjoyed my stay!
2023-04-01,5.0,Stayed a few nights,This was our second time staying at Tina and Vern’s BnB! I love this little place and definitely recommend it for couples that want to go to NOLA and other surrounding areas in Louisiana! Will stay here again!
2023-03-01,5.0,Stayed a few nights,"Beautiful quiet, clean and well located room in Houma. Small courtyard friendly and well appointed to relax or have an aperitif. We enjoyed it!"
2023-03-01,5.0,Stayed a few nights,"Tina is the HOSTESS with the MOSTESS! This is my second time, and I will be back in October! You will NOT be disappointed... the best Airbnb EVER!!"
2023-03-01,5.0,Stayed with kids,Great spot for enjoying Louisiana. 1 hour from New Orleans and Jean Lafitte National Park. The food nearby was great and within a short block or two walk. The couch and bed were comfy. The yard was really well kept and peaceful. Thanks for a great stay.
2023-02-01,5.0,Stayed a few nights,"Cosy, clean and charming room, perfect for a short stay with no need for a kitchen. Enjoyed yoga on the lawn and coffee on the patio as well."
2023-02-01,5.0,Stayed a few nights,"We had a great time at Tina's place. This one was extremely clean, tidy, and very warm (the decor was even better in real life).
As for Tina and her husband, they were really very kind to us and we were insisted on the fact that we should not hesitate to ask them if we needed anything!
We are delighted and would not hesitate to call on them again if we need to stay in the region again!"
2023-02-01,5.0,Stayed a few nights,"Tina and Vern are both amazing hosts, friendly and welcoming. Great location easy to walk to just about anything. Quiet neighborhood so sleeping in was a breeze."
2023-02-01,5.0,Stayed a few nights,"Tina and Vern's One Room Wonder was the perfect get away stay. Beautiful, clean, cozy, comfortable, private. Super easy to get in and out. They have a great set up! I will definitely be looking to stay again."
2023-01-01,5.0,Stayed a few nights,"Pleasant stays, perfect room, no complaints, I would highly recommend it,
thank"
2023-01-01,5.0,Stayed a few nights,"Fantastic place, great hosts, sensational price, central location."
2023-01-01,5.0,Stayed a few nights,I really enjoyed the stay there. very respectful and good people. hope to stay with them again soon
2023-01-01,5.0,Stayed a few nights,Great place to stay for a couple of days while visiting my hubby for NY weekend! Tina was the hostess with the mostess!
2022-12-01,5.0,Stayed a few nights,"Tina was the absolute best. The place was so warm and inviting. It felt like a caring relative had fixed up a guest sweet for us. While staying there, we drove down to LUMCOM (a nature research area), which was about 45 mins away and got to see the gulf from their observation deck. On the way stop by the sculpture garden and the grocery store (very neat items). That was AWESOME if you are looking for authentic experience off the typical tourist destinations. Wish we would have spent one less day in New Orleans and one more day with Tina. I recommend that to anyone who is looking for relaxation and a kind host."
2022-12-01,5.0,Stayed a few nights,Great place. Thanks for the nice & quiet location stay!
2022-12-01,5.0,Stayed with a pet,"Did the ad say cute and cozy? Well, this place is all of that. Everything was fine and dandy for our stay."
2022-11-01,5.0,Stayed a few nights,We had a nice stay. It was exactly what we needed.
2022-11-01,5.0,Stayed a few nights,Really enjoyed our stay here. The B&B was extremely cute and cozy with a great location. Tina made sure we had everything we needed to be comfortable. Especially with the colder weather. I would definitely book again for future trips to Houma as well as recommend to others.
2022-11-01,5.0,Stayed a few nights,"Beautiful room, as private as you want to be. Responsive host. Excellent accommodations and value over any hotel. Definitely my go to should I visit again. Thank you!"
2022-11-01,5.0,Stayed a few nights,Cozy little garage apartment perfect for my business trip. Conveniently located near numerous restaurants. Quiet neighborhood with a private back yard.
2022-11-01,5.0,Stayed a few nights,T & Vs place was fantastic! It was very clean and quiet and exactly what we needed for our short weekend in Houma. They were very responsive and helpful throughout the weekend. Would definitely stay again!
2022-10-01,5.0,Stayed a few nights,"This place was an excellent stay! Very cute, clean, and quiet. We had some issues with the wifi in the beginning, but Tina and Vern were quick to assist to fix the wifi. Everything was great overall."
2022-10-01,5.0,Stayed a few nights,"Excellent stay in this cozy little nest. Very good location in center of Houma, in a quiet area. Very good hosting. Availability and responsiveness of our host for any questions or advice."
2022-10-01,5.0,Stayed a few nights,Tina’s place is very cozy! It’s super easy to get to and the location is great. We were walking distance to several great restaurants and a very short drive to the civic center. Her place is very clean and quiet. Will definitely stay again.
2022-10-01,5.0,Stayed a few nights,T & V’s Airbnb was a fabulous place to stay. I highly recommend it. It has everything you need. Don’t hesitate to stay here. So lovely!
2022-09-01,5.0,Stayed over a week,Great location! Easy check in/out. The yard was beautiful and space couldn’t have been nicer! We felt comfortable and safe!
2022-09-01,5.0,Stayed a few nights,This location was everything we expected and more. I woyld recomend this guest house to anything who will be spending time in the area. Great experience!
2022-08-01,5.0,Stayed a few nights,Clean and quiet
2022-08-01,5.0,Stayed a few nights,"Perfect location
Very clean room
Recommended"
2022-08-01,5.0,Stayed a few nights,This place was perfect for my wife and I. Great quiet location in downtown Houma. Everything was clean/neat. Had a problem with the television and within a couple of hours they brought a new larger one. Thank you so much for the beautiful stay and attention to detail. -Robert & Carolyn
2022-07-01,5.0,Stayed about a week,Great host and place when visiting Houma.
2022-07-01,5.0,Stayed a few nights,Everything was exactly as advertised. Had a good stay.
2022-07-01,5.0,Stayed a few nights,"Cozy, peaceful and relaxing stay. Hosts are kind and thoughtful. Great for short or long stays in Houma. Highly recommend."
2022-07-01,5.0,Stayed with kids,"Quaint and cozy, great price, would definitely recommend!"
2022-07-01,5.0,Stayed a few nights,"Very cozy and comfortable place. Quiet neighborhood. Stayed here while I traveled from Florida to East Tx. Not to bad of a drive NOLA, where I was able to go for the first. That was a great experience. Place is clean, well stocked. Tina and Vern greeted me when I got there and gave me space and privacy. They let me use their personal washer and dryer as well. Also ate at Papi Chéo (one of the neighborhood restaurants), very good!Thanks again!"
