date,rating,note,review_text
2024-06-01,5.0,Stayed with kids,Great place to stay! Would love to come back again!
2024-06-01,5.0,Stayed one night,Would be happy to stay again!
2024-06-01,5.0,Stayed a few nights,"I was pleasantly surprised, the home was cozy, the neighborhood was quiet. Jeremiah was quick to respond to any issue or questions I had. Will definitely stay here again."
2024-04-01,5.0,Group trip,Jeremiah was a great host and the house was perfect. We felt right at home. Plan on making this our go-to place when we visit our daughter in college.
2024-04-01,5.0,Stayed a few nights,"Very cozy, quiet, close to Roanoke, clean."
2024-04-01,5.0,Stayed with kids,"We recently stayed two nights at this cozy, well-decorated home and really enjoyed it. It was clean, comfortable, had everything we needed and plenty of space for everyone to relax and enjoy their weekend. The Plex library was top-notch and the wi-fi held up to all of our devices super well! Special shoutout for the Patio recommendation -- their pizza was fantastic and reasonably priced. Thanks Jeremiah and family for an awesome AirBNB!"
2024-04-01,5.0,Stayed a few nights,Very nice and comfortable. I was happy to get to stay again.
2024-03-01,5.0,Stayed with kids,"One of my fav places to stay when I’m in town. A good value for the money, a lovely kitchen that’s easy to cook in!"
2024-03-01,5.0,Stayed a few nights,Very nice place. Quiet neighborhood and cozy home. The home inside is like advertised and the beds are very comfortable. The bathroom was small but still just fine enough for our needs. The bathroom sink has very small counter space but its not a deal breaker. The tv was nice and had lots of movies. The kitchen was very big and nice and had everything we needed. Everything was really nice and the home is super cozy for a fair price. I will definitely come back when i'm in the area again.
2024-03-01,4.0,Stayed a few nights,Jeremiah is a great host. My third time staying there and is always perfect for what I need.
2024-03-01,5.0,Stayed a few nights,"Another quiet restful stay at Jeremiah‘s Quant place!
Fully modernized century home in the middle of beautiful Roanoke!"
2024-03-01,5.0,Stayed a few nights,Great place!!! Would definitely stay here again!
2024-02-01,5.0,Stayed a few nights,"The house was very tastefully done.
The home was very clean and very welcoming with adequate everything to meet our needs.
Thank you for all the extra touches and especially the snacks in the kitchen.
We would stay there again if any occasion has us in that area.
Thank yoi"
2024-01-01,5.0,Stayed one night,It's my second time staying at jeremiah's place. It is always clean and peaceful and exactly what i needed it for.
2024-01-01,5.0,Stayed a few nights,"Great place to stay, lots of snacks. Very nice place."
2024-01-01,3.0,Stayed one night,"I stayed one night here while traveling for business. Jeremiah was friendly, helpful & responsive, even allowing me to check out an hour late, which was helpful for my schedule.
Of course, in a town like this the pickings are pretty slim. There is only one hotel in Huntington, and I do NOT recommend it. So, in perspective, this house is fine...with one glaring exception: you could not pay me to step foot in the shower. It was disturbingly gross. I would attach pix (I took some), but AirBnB doesn't allow that (which seems like a serious flaw in their system). But just trust me, it was NASTY. The rest of the house seemed fairly clean, so this was really strange. But I have a hard time not being skeeved out by everything else when the shower is this visibly gross. Also, there is no counter space in the bathroom,, which is fairly inconvenient. Otherwise, the place was just fine and served its purpose."
2024-01-01,5.0,Stayed a few nights,"Great place, nice host…"
2024-01-01,5.0,Stayed one night,"I have stayed here with friends multiple
Times. EVERY time things are perfect! Clean, comfortable, convenient, small details like yummy snacks, excellent communication! We will be back for sure!"
2024-01-01,5.0,Stayed a few nights,Nice place to stay in a cute little town.
2024-01-01,5.0,Stayed a few nights,"Nice place, owner is very nice…"
2024-01-01,5.0,Stayed a few nights,"This space was lovely. Kitchen was large and well equipped. The living and dining rooms were very nice.
The downstairs bathroom was tiny but met our needs.
We would definitely stay here again."
2023-12-01,5.0,Stayed a few nights,"Great location, nice house. Jeremiah is very nice to work with , easy to communicate with on anything you need."
2023-12-01,5.0,Stayed a few nights,Nice quiet place to rest.
2023-12-01,5.0,Stayed a few nights,"Great location, nice house."
2023-12-01,5.0,Stayed over a week,"Niiice location, Jeremiah was easy to work with if I had questions."
2023-11-01,5.0,Stayed with kids,"We had a great stay at Jeremiah's house. It was clean, easy to find and park, great location for what we were looking for.
I wish we could have stayed longer!"
2023-11-01,5.0,Stayed one night,Really quiet homie space. It was great!
2023-10-01,5.0,Stayed a few nights,"Nice quiet quaint place in a beautiful town.
Jeremiah is a great host!"
2023-10-01,5.0,Stayed with kids,"What a cozy, beautiful home close by all of the shops and restaurants in Roanoke!
Our weekend plans were rained out, so we ended up spending the whole weekend inside snuggled up with good books and movies.
The house was so lovely we didn't even mind being stuck inside for our weekend away!
We would definitely love to stay here again!"
2023-10-01,5.0,Stayed one night,"a perfect, quiet, and cozy place if you're looking to recharge your batteries."
2023-09-01,5.0,Stayed one night,Great stay.
2023-09-01,4.0,Stayed one night,"Great place to stay for our quick visit to HU to visit our son. Bathroom was a bit tight and shower had a constant drip to it, but otherwise the house was very clean with many recent updates. Enjoyed the cold water and snacks that were available when we checked in."
2023-09-01,5.0,Stayed one night,"Great house! The outside was a little deceiving but the house was great. The bathroom is pretty tiny for having three bedrooms but it fit our needs just fine. It was clean, comfortable and had everything you needed."
2023-09-01,5.0,Group trip,Very nice place to stay. It was very quite so no disturbances during the night. Very clean house. Definitely recommend staying here.
2023-09-01,5.0,Stayed one night,We felt right at home as soon as we walked in the house. Curl up on the reclining sofa under one of the soft blankets. The lighting is perfect. Big screen Tv with plenty of show options. The kitchen is a dream. HUGE backyard. It has quite a slope but levels out for sitting. The only issue was the driveway. You back out onto the street right at a curve. I would suggest backing into the driveway. The town’s park is in walking distance. They had water bottles in the fridge and snacks on the counter. Easy access with a lockbox. 1 bathroom with a walk-in shower. It has grip bars and a seat if needed. The bed was very comfortable. We slept downstairs but there are 2 more bedrooms upstairs. The thermostat is tricky. I would ask for instructions from the host. We will definitely rent here again.
2023-09-01,5.0,Stayed one night,"A great space for a short stay. Only one bathroom, but totally doable depending on your situation!"
2023-08-01,5.0,Stayed a few nights,"This was a very sweet, updated home with plenty of space for us and close to family. We are very thankful to have found it."
2023-08-01,5.0,Stayed a few nights,"Another great stay at this beautiful Roanoke location.
Love relaxing in the Adirondack Chairs overlooking this beautiful back yard after a long day."
2023-08-01,5.0,Stayed one night,"Clean house with plenty of space, comfortable living space and comfortable beds."
2023-07-01,5.0,Stayed a few nights,Great stay! The dining area was spacious and the provided snacks and water were nice!
2023-07-01,5.0,Stayed one night,Nice place. Great snacks and water.
2023-06-01,5.0,Stayed about a week,We so appreciated getting to stay at Jeremiah's airbnb for a week! He was so helpful and accommodating and his house was the perfect place to stay and feel all the comfort of being 'at home.'
2023-06-01,5.0,Stayed about a week,"Our stay in Roanoke was relaxing and peaceful. The Air Bnb was organized, orderly, nicely furnished and clean. Our host Jeremiah was kind and communicated well with us…very professional Air Bnb Host. Highly recommend!!"
2023-06-01,5.0,Stayed a few nights,A nice place to stay when visiting family and friends in the area. Located within minutes to entertainment and food.
2023-06-01,5.0,Stayed a few nights,This is a delightful little house that is somehow both in the middle of Roanoke and yet was so quiet. The host offered extra little surprises … like snacks and cold water. Very thoughtful! The house was clean and smelled very nice. Check in and out was extremely easy. Would definitely stay again!
2023-05-01,5.0,Stayed one night,"The home was cute, immaculate, and contained everything we needed. The location was great, and communication was easy. I would recommend it!"
2023-04-01,5.0,Group trip,Loved staying here. Everything was wonderful! House was awesome! Host was great and always answered any questions i had promptly.
2023-04-01,5.0,Stayed with kids,RECOMMENDATIONS
2023-03-01,4.0,Stayed a few nights,Loved staying at Jeremiah's place. Very cozy and clean. I was visiting my sister and was only about two blocks from her house! Loved the fact that we were so close. I woulddefinitelyrecommend this property!
2023-03-01,5.0,Stayed one night,location was absolutely perfect. Me and my husband had sold their home and were in the process of buying another one and staying with family so we needed a night away and this home was perfect for stress-free environment and a kick back and relax. Jeremiah was very helpful The Home was exactly as described. The snacks on the counter in the complementary coffee and tea was a wonderful surprise would definitely recommend this to anyone
2023-03-01,4.0,Stayed a few nights,The house was clean and accommodating. Jeremiah was a great host and answered questions quickly.
2023-03-01,5.0,Stayed a few nights,"Welcoming, clean home with plenty of towels, blankets, and extras such as a goodie basket and spices."
2023-03-01,5.0,Stayed a few nights,Nice spacious beautifully renovated house in a magical town!
2023-02-01,5.0,Stayed one night,The girls and I needed a get away weekend and this was the right way to do it! The town had all the things we wanted and needed to do. The house was close to everything and super easy to get into. The house was cute and filled the needs we had. Really enjoyed the stay.
2023-02-01,5.0,Group trip,Thank you for a great stay! Beautiful place!
2023-02-01,5.0,Stayed a few nights,Perfect space for what we needed!
2023-01-01,5.0,Group trip,"We had booked for a girls weekend trip & this place & Roanoke we're just perfect! The house was just as described, also very cute, very clean & welcoming!! One nice touch was the snacks, bottled water & some breakfast items to eat in the morning. That was really nice since there are not a lot of breakfast choices in Roanoke. Roanoke is a great getaway for a girls trip, lots of cute boutiques & eateries! It's also just a nice relaxing little town! Highly recommend staying here!"
2023-01-01,5.0,Stayed one night,Great place!
2023-01-01,4.0,Stayed one night,"Was grateful to find a last minute place to stay in Roanoke, as the town was quaint and very friendly. Jeremiah was very quick to respond with the couple questions that I had. Would definitely stay there again."
2023-01-01,5.0,Stayed one night,We had a wonderful time at Jeremiah's place. It was exactly as it was described and Jeremiah was a great host. The home was perfect for what we needed. The kitchen had everything and all appliances were newly replaced. He even put out snacks on the counter for us and water bottles in fridge. It was a very cozy home that gave you the home away from home feeling. We will definitely visit again. Thank you Jeremiah!
2023-01-01,5.0,Stayed one night,"Great place in Roanoke! Cozy, comfortable, felt homey. The beds were so comfortable! Nicely set up kitchen, host had snacks, water and breakfast items, which were a nice touch. We were given flexibility in a late check out which let us have extra time to see out of town friends. Thank you for your hospitality!"
2023-01-01,5.0,Stayed a few nights,Nice clean and cozy place in a lovely town
2022-12-01,4.0,Stayed with kids,"Cozy place, well decorated and clean. Breakfast amenities were included and that was really nice. Warm even in a bitter winter."
2022-12-01,5.0,Stayed a few nights,Very nice house. I'll definitely stay again. Thank you for your hospitality!
2022-12-01,5.0,Stayed one night,Very enjoyable stay!
2022-12-01,5.0,Stayed one night,Peaceful and lovely!! We enjoyed our time there immensely!
2022-12-01,4.0,Stayed with kids,Beautiful older home. Free of clutter so was nice since we were traveling with younger children. Would recommend that they get the shower fixed because it drips and also install a motion sensor light outside since we arrived in the dark and there was not a porch light. Would recommend and will stay there again!
2022-12-01,5.0,Stayed one night,our 2nd time staying and everything was perfect! we got an early check in to enjoy the space even longer. lots of snacks provided and a well stocked kitchen. beds are super comfy. would definitely recommend staing here if you are in the area. roanoke is a great little town to spend the day in!
2022-12-01,4.0,Stayed one night,"This is the perfect place if you’d like somewhere that’s close to walk to eat or shop! Everything was extremely clean and the hosts were very thoughtful, even leaving us bottled water in the fridge and a bowl of snacks in the kitchen! The only downside was that there was not access to closets in any of the rooms and the water temperature was a bit on the warm side. Huge backyard with great views!"
2022-11-01,3.0,Stayed with kids,"This place is probably suitable for 1 person, or a couple, but definitely not for a family stay. The bathroom situation is not good. Very tiny with no tub for kids. The shower head is awful and drips constantly 24/7. The shower curtain is not installed properly thus creating a huge challenge to keep all of the water within the shower surround. While the house was generally clean, the linens did not smell fresh and we fought allergy issues for the entire stay. There is no outdoor lighting for the parking area. You will have to load/unload in the dark if you are coming and/or going after dusk. The door locks do not all function properly, so we were unable to completely secure the home while we were gone. The kitchen was functional yet underwhelming. The lack of a dishwasher makes for more work if you plan on cooking at the home. I think it's fair to say our expectations were not met for a family stay."
2022-11-01,5.0,Stayed a few nights,"Wonderful cozy home with a great kitchen in a peaceful loving town.
Great restaurants and shopping within easy walking distance."
2022-11-01,5.0,Stayed one night,"This place was amazing! So cute, just like listing. Jeremiah was great with communication. Good/shopping so close!"
2022-11-01,5.0,Stayed one night,this was a great place to stay! the surrounding area and activities are so nice. the downtown area is full of cuteness. jeremiah made the whole process so easy.
2022-10-01,5.0,Group trip,very lovely home. Jeremiah was a excellent host and downtown was very nice and had good restaurants to eat at. Would definitely stayed there again
2022-10-01,5.0,Stayed a few nights,"The place was exactly what the listing showed and was perfect for our trip! Very nice furniture and comfortable beds, and walking distance away from local shops and restaurants on Main Street in a quiet, peaceful town."
2022-10-01,5.0,Stayed one night,"Great house to stay in, it was well kept and extremely clean upon arrival. You get what you see and it’s more than what you pay for. Highly recommended."
