date,rating,note,review_text
2024-04-01,5.0,Stayed a few nights,Second time staying here at Michalee’s place. so beautiful and cozy. i will be back 😁
2024-03-01,5.0,Stayed one night,"Absolutely wonderful place. The space is decorated in a way that puts you instantly into a calm state. The host was beyond fantastic. I loved the binder that had all the information plus a few pages about her family. It made me feel so welcome.
I had to leave early bc of a family emergency & I didn’t know if I did all the things instructions said to do. Michaelee was so understanding & kind about it. I will be staying with them again & again & hopefully again!"
2024-03-01,5.0,Stayed a few nights,It was a lovely place to stay!
2024-02-01,5.0,Stayed one night,"This is our second stay at the Treehouse and again, we left extremely happy and relaxed. It's just the perfect romantic setting for a couple to stay. Or perfect for a single person to relax, study, pray or just rest. The room and outdoors have plenty of different spots to just chillax! Michaelee has created a wonderful hideaway. ❤️"
2024-02-01,5.0,Stayed a few nights,Very relaxing setting.
2024-01-01,5.0,Stayed over a week,"I was looking for a cozy spot to stay at so I could spend the holidays with my partner, and that's exactly what I got. Thanks, Michaelee!"
2023-12-01,5.0,Stayed one night,Beautiful little hideaway!
2023-12-01,5.0,Stayed about a week,I had a peaceful & restful time at Michaelee’s. It was my serenity place for a week!
2023-11-01,5.0,Stayed one night,"Cozy, clean, 10 star service….. Michaelee was a personable welcoming hostess. Simple clear instruction. The tree house was cozy and warm when i arrived. I had everything i could need and more…. Tranquillity and relaxation in mind when designing this beautiful place… would def recommend and book again"
2023-10-01,5.0,Stayed a few nights,The place was exactly as described and the stay went smoothly.
2023-10-01,5.0,Stayed one night,"Felt right at home. Michaelee was an excellent host! We could not ask for anything better! Her place was adorable, extremely comfortable, we loved the cabin vibes and turkish lights!"
2023-10-01,5.0,Stayed a few nights,"I was looking for somewhere to do a solo ""metreat"" and recharge and Michaelee's place was absolutely perfect for that purpose. The table was perfect for a small puzzle, the Turkish lamps perfect for reflection and journaling, and my new mission in life is to recreate the perfection of that glorious bed. Added bonus that Michaelee and Tim are both so lovely."
2023-10-01,5.0,Stayed a few nights,"What a super cute and cozy get a way! We stayed for a mini honeymoom with plans to visit Minnehaha Falls. Great options for places to eat, and the treehouse was just as described! The bed was super comfortable also. We had a great stay!"
2023-09-01,5.0,Stayed one night,Charming and serene. Loved it.
2023-09-01,5.0,Stayed one night,beautiful little stay. it was so cozy and felt like home. clean and well worth the price you pay 🤍 the lights added such a vibe to the place and we loved the option to leave a small inspiration on the wood piece :) will definitely be back!
2023-09-01,5.0,Stayed one night,"Such a cozy place for a fall getaway! Exactly as described and pictured. Michaelee had all the little extras to make our stay special; we were able to do laundry and cook a homemade meal while relaxing in such a comfortable space. Loved the gel beaded pillows, best I have slept I a while!"
2023-09-01,5.0,Stayed one night,Michaelee was absolutely wonderful to us! Will highly recommend! :)
2023-09-01,5.0,Stayed one night,Enjoyed the ambiance of the room.
2023-09-01,5.0,Stayed a few nights,"This stay was the sweetest spot I could’ve imagined. I felt so supported and cared for while staying here with a healthy balance of space given! That bed was so comfortable it was hard to get out of. Clean, cute, so many recommendations on where to go/spend your time with a variety of options, etc. Would 100% come and stay again. Thank you, Ma!"
2023-09-01,5.0,Stayed a few nights,Beautiful space!!
2023-09-01,5.0,Stayed a few nights,We enjoyed our long weekend and wish we could’ve stayed longer! Greats hosts and very welcoming place to stay.
2023-08-01,5.0,Stayed a few nights,"We Airbnb a lot so have lots of comparisons. This place was fantastic! It was so comfortable, felt cozy and welcoming, the bed and pillows were amazing, and we were completely relaxed while we were there.
Michaelee was a friendly, responsive host and it’s obvious she takes pride in providing an excellent experience for her guests.
We had a lovely stay and if we’re ever in the area again we will most surely try for this place to stay first!"
2023-08-01,5.0,Stayed one night,Nice spot to stay!
2023-08-01,5.0,Stayed one night,"Very clean, cozy, and comfortable!"
2023-08-01,5.0,Stayed a few nights,Very comfortable
