date,rating,note,review_text
2024-04-01,5,Stayed with kids,"Great location, walkable to many shops and restaurants. Beds and pillows comfortable; we slept great. Plenty of room for our family of 4. The house is old but clean. Appreciated the number of towels provided. Could have used more blankets and another key. Friendly host with the clearest parking and checkin instructions I've ever seen. Would stay here again."
2024-04-01,5,Group trip,"Perfect for our family of 5 visiting our son at IUP. Large bedrooms, nice accommodations and met all of our needs during our stay."
2024-02-01,5,Stayed a few nights,"Darcie , is an excellent host. Always quick to respond. The apartment is located in the center of town walkable to many restaurants. Don’t pass up booking here. You will be very pleased."
2024-02-01,5,Stayed a few nights,"The location was great! Many restaurants/ bars were walkable. I was a little bit worried that we wouldn’t be able to find an Uber or Lyft to things that were further away, but it was no issue at all! We loved the disobedient distillery and the local Thai place was fantastic. The location is right in the city, and to be expected there is some noise from the street but nothing that takes away from your stay. Darcie was incredibly responsive."
2023-12-01,5,Stayed with kids,"Charming place!
One thing that stood out: I called ahead to let Darcie know the guests were arriving late. She immediately indicated she'd go over to the unit and turn on the lights, so that the place wouldn't be in darkness when they arrived.
This was so thoughtful of her."
2023-11-01,5,Stayed a few nights,"we were in town for Thanksgiving with family so we spent very little time there. it was a warm, clean, comfortable space to come back to at the end of our days. instructions on parking and entering were very clear with photos. very good experience!"
2023-11-01,5,Stayed a few nights,Just a great place and a fun location! The Host was extremely kind and super friendly during our communication. I highly recommend this AirBNB and Darcie as a host!
2023-11-01,5,Stayed a few nights,"Great space, clean, & convenient! The space had everything we needed for a fun girls weekend!!! We will be back in the future"
2023-10-01,5,Stayed a few nights,Was a great overall stay me and my girlfriend had a great time. There was plenty of good places to eat which are all within walking distance and plenty of things to do as well.
2023-10-01,4,Group trip,"Your home and location was perfect! We had a wonderful time! Thank you!
Communication was great, location was perfect for walking everywhere with lots of great restaurants and bars."
2023-10-01,5,Group trip,Reasonable comfortable and convenient
2023-10-01,5,Group trip,Great place to stay! Walking distance to IUP and local restaurants. Perfect for a weekend IUP visit.
2023-08-01,5,Stayed with kids,A perfect location to walk to all our favorite places in Indiana
2023-08-01,5,Group trip,Great stay. Towels soap and a Britta. What else could you ask for.
2023-08-01,5,Group trip,Spacious three bedroom was very comfortable for 5 adults. Clean and well appointed and the price was very fair.
