date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,"Everything was nice, The place looks just like the pictures on the website. I love the furniture arrangement and beds were comfortable"
2024-06-01,5.0,Stayed a few nights,The house was very nice and clean. It is also very roomy with a large kitchen and bedrooms. Although the street is a little noisy for a while at night. I look forward to staying there again.
2024-06-01,5.0,Group trip,Loved the home it was as described the service was excellent would recommend and will use her services again
2024-06-01,5.0,Stayed one night,We were all comfortable. It suited our needs perfectly.
2024-03-01,5.0,Stayed about a week,Great stay
2024-03-01,5.0,Stayed a few nights,It was great
2024-03-01,4.0,Stayed one night,Well presented house with a responsive host. There were no cabs to get us back to the accommodation but a friendly local very kindly gave us a lift home.
2024-03-01,5.0,Stayed with kids,We were in town for my brothers wedding and needed a family friendly spot not far from the venue. We grew up a few blocks away and it really felt at home. Initially I was skeptical due to the location but there were no issues!! Annette was very helpful when communicating about any questions I had and any issues that arose during our stay. We would definitely patronize this location again as it was everything the description and pics said it would be. We appreciate the hospitality.
2024-02-01,5.0,Stayed one night,This is the third time I’ve stayed at Annette’s throughout the years and it’s perfect for our work group. Everything is always clean with comfortable beds.
2024-02-01,5.0,Stayed a few nights,Everything was fantastic
2024-02-01,5.0,Stayed a few nights,It is rare that you get to park inside a garage on an Airbnb but this place had a garage! The house was the right size for us and was comfortable and clean. The neighborhood was quiet and it was close to the race we were running in. I was uncertain about the water from the tap and would definitely buy bottled water were I to return.
2024-01-01,5.0,Stayed one night,Great stay and very accommodating!
2024-01-01,5.0,Stayed a few nights,We enjoyed our stay here! The host was friendly and responsive when needed. We will book with them again!
2024-01-01,5.0,Stayed a few nights,Annette Was an ideal host even though she didn’t get to host me because weather and circumstances prevented me from staying in her beautiful house.
2024-01-01,5.0,Stayed a few nights,"Annette’s Airbnb was so nice. I felt right at home. Everything looked just like the pictures. I would most definitely stay there again. Everything was so nice and clean, and she had everything you could think of, that you would need at an Airbnb. Five stars!!"
2023-12-01,5.0,Stayed with kids,Annette was an Awesome host!The property has all updated appliances and furniture.Will definitely revisit again.
2023-12-01,5.0,Stayed one night,Great host and great property! Highly recommend.
