date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,"My husband and I love staying at Jenny's place while we are in town to visit family! Really enjoy the kitchen to cook some meals while we travel, and its proximity to everything."
2024-06-01,5.0,Stayed a few nights,"This place was perfect! I was working for a job for a week down here in Jackson, Ohio. It was a very relaxing and clean/peaceful apartment. Very spacey for a 1 bedroom/ 1 bathroom as well. Amenities were all there. Plus it was above a coffee shop which you can walk down the stairs and around the corner to get to! Would recommend for anyone staying in Jackson for a couple days to weeks for."
2024-01-01,5.0,Stayed a few nights,Thanks again!
2024-01-01,5.0,Stayed a few nights,Well appointed apartment in a great location. We thoroughly enjoyed our stay and look forward to returning.
2023-12-01,5.0,Stayed a few nights,Thank you!
2023-12-01,5.0,Stayed a few nights,"I love this place! It’s clean, comfortable, and cozy. Kitchen is well equipped for 2. We feel right at home! 10/10."
2023-12-01,5.0,Stayed one night,Beautiful apartment. Very tastefully done. Thank you so much for hosting. Will be using more often!
2023-12-01,5.0,Stayed a few nights,Always enjoy our stays at the Spot above. We checked out the new Sixth Sense Kitchen and Taproom for dinner and breakfast at the Spot. Both excellent!
2023-12-01,4.0,Stayed a few nights,Nice place! Fulfilled all expectations. We’ll be back.
2023-11-01,5.0,Stayed a few nights,Would definitely stay again!
2023-11-01,5.0,Stayed a few nights,"It was very pretty and posh looking, right out of a magazine. Everything was very clean and the city sounds and lights outside of the window added to the uptown feel of the place. There was some noise from the restaurant below but not terrible just occasional hustle and bustle of a coffee shop below. We weren’t expecting the stairs leading up to the door way but to be fair I didn’t read the description throughly so perhaps I missed it. It is a very beautiful place though and offers a posh city atmosphere. It was a fun get-away for me and my husband, who normally are surrounded by the woods."
2023-10-01,5.0,Stayed a few nights,Perfect place. We will rebook very soon!
2023-10-01,5.0,Stayed one night,Really nice place. Didn't really get to enjoy it much as we were only there to sleep one night then go to Bob Evan's Festival but the place was VERY nice. Highly recommend!!!
2023-10-01,5.0,Stayed a few nights,This is my third stay. Great coffee shop/restaurant downstairs and on Main Street. Jenny is a great host.
2023-10-01,4.0,Stayed a few nights,"Nice spot, but the walls and floors are thin which makes it hard to sleep in the morning. When the Spot on Main opens for the day (7am) you can very clearly hear the music and chatter from the coffee shop below."
2023-09-01,5.0,Stayed a few nights,"As usual Jenny’s place was perfect! 3rd time staying here, wouldn’t book anywhere else when in Jackson"
2023-08-01,5.0,Stayed a few nights,Had a great trip staying at Jenny’s Airbnb. Everything was cozy and felt so comfortable.
2023-08-01,5.0,Stayed one night,Place was exactly as described . Great location in Downtown Jackson .
2023-08-01,5.0,Stayed a few nights,Another enjoyable stay!
2023-08-01,5.0,Stayed a few nights,This the second time I’ve stay at this location. It’s comfortable convenient and very clean. When I’m back in the area for work I intend to stay here again.
2023-07-01,5.0,Stayed a few nights,"I always feel right at home in this apartment. Great place, great stay!"
2023-07-01,5.0,Stayed one night,This was our second stay. The apartment is well decorated and very comfortable. We like having the coffee shop below too. It’s a nice stop on our way home from VA. We will definitely be staying again.
2023-07-01,5.0,Stayed over a week,"As always, a great place to stay when I am in the area! Jenny gave me the heads-up on coffee shops hours and a special evening event over the week of the 4th."
2023-06-01,5.0,Stayed one night,"This place is a hidden gem, so I'm hesitant to tell people about how great it is haha! Love this place :)"
2023-06-01,5.0,Stayed one night,"Jenny’s place was the perfect alternative to a hotel! It was clean and homey, I could have stayed a whole week!"
2023-06-01,5.0,Stayed a few nights,Great place! Will be returning soon.
2023-06-01,5.0,Stayed a few nights,"Every aspect of my experience, from the booking process to the checkout, exceeded my expectations. The communication with the host was exceptional. They were prompt, friendly, and accommodating, making sure that all my questions and concerns were addressed before and during my stay. Their dedication to providing outstanding hospitality was evident throughout my entire experience. The property itself was an absolute delight. It was immaculately clean, tastefully decorated, and equipped with all the amenities one could possibly need. The attention to detail was remarkable, with thoughtful touches like complimentary toiletries, coffee, and bottled water. It truly felt like a home away from home! The location of the Airbnb was also fantastic. It is situated in a charming downtown and located above a delightful coffee shop. We had an amazing breakfast and coffee within a few feet of the property (The Spot on Main). You could walk to restaurants, stores, and a local ice cream shop!"
2023-06-01,5.0,Stayed a few nights,"As always, great accommodations. You can't go wrong staying at this apartment when in the Jackson area. The coffee shop below is phenomenal."
2023-05-01,5.0,Stayed a few nights,Lovely
2023-05-01,5.0,Stayed a few nights,Great place to stay and within walking distance to local places. Being above a coffee shop was a huge plus for me!
2023-05-01,5.0,Stayed a few nights,Wonderful place to stay while I am in town. The full kitchen allows me flexibility for cooking my own meals. Being directly above the coffee shop is definitely a perk I take full advantage of.
