date,rating,note,review_text
2024-04-01,5,Group trip,Definitely staying here again!
2024-04-01,5,Stayed with kids,This house was perfect for our short getaway to see family. The house was nice inside and out! The backyard was great for our kids.
2024-04-01,5,Group trip,"Brandon was a great host. He communicated well from beginning to end. Everything was clear. Place was great. Convenient location, everything you need is about a 5 minute drive or less. Will definitely book again if we are in the area! Had a great weekend!"
2024-03-01,4,Stayed with kids,"loved the accommodation, and everything was very clean and tidy."
2024-03-01,4,Stayed about a week,"Other than the outside camera looking right into the back of the house where there were no curtains to draw, the place was fine"
2024-03-01,5,Stayed over a week,"It was real nice, if you are looking for seclusion. I enjoyed my time there very much"
2024-02-01,5,Stayed a few nights,Property was perfect for our stay. Already planning a return stay. Brandon was great.
2024-01-01,5,Stayed a few nights,Great place to stay
2024-01-01,5,Group trip,This was the perfect place for our family to stay while in town from out of state. It was close to the rest of us but gave everyone there own private space for down time.
2023-12-01,5,Stayed a few nights,We enjoyed our stay!
2023-11-01,5,Stayed a few nights,Stayed here while visiting family for Thanksgiving. The house was beautiful and was very clean. Will be staying here again any time we come to town.
2023-11-01,5,Stayed a few nights,Great place to stay at
2023-11-01,5,Stayed a few nights,Great to relax and very clean
2023-11-01,5,Stayed one night,"Very nice bnb! The backyard is beautiful and all the furniture is super comfortable. The hosts are very kind and responsive, I recommend staying if you’re in the area! :)"
2023-11-01,5,Stayed with kids,"Great house! No problems with check in or check out. Cute home! Would stay there again. Somewhat noisy with highway and train tracks in front of house, but nothing I am not used to growing up in this small town."
2023-11-01,5,Stayed with kids,These people were extremely kind!!! everything was clean and so relaxing. I have kids and it was very kid friendly. I do feel horrible if my 3 year old left and thing unlike it was. I tried to make sure everything was good! thank you guys for giving me the benefit of the doubt.
2023-10-01,5,Stayed about a week,Wonderful place and very cozy to stay with family
2023-09-01,5,Stayed one night,Brandon was awesome and the place was amazing!! Exactly as described and he was a wonderful host.
2023-09-01,5,Stayed a few nights,"Brandon was a wonderful host was working a job that ended up getting extended at late hours into the day and Brandon accommodated me and got me in and even let me extend my stay, very clean home and awesome host"
2023-09-01,5,Stayed a few nights,Beautiful home tucked away gave a lot of comfort and privacy. The owners had great communication and were very kind!
2023-09-01,5,Stayed a few nights,Great place to stay. Quite and relaxing
2023-08-01,5,Stayed a few nights,"We really enjoyed our stay at Brandon & Kristan's place! It was like walking into a home remodeled by Chip & Joanna Gaines on Fixer Upper! They put a lot of time & hard work into this beautiful home. Every room was immaculate. It was well stocked with all the necessities. We definitely recommend this Airbnb! It will always be our choice when we stay in Jacksonville! Thank you, Brandon & Kristan!"
2023-08-01,5,Group trip,My bridesmaids and I stayed here for my wedding weekend! It was so perfect and the scenery made for beautiful pictures! Plus the hosts were so sweet and left cupcakes and a “Miss to Mrs.” note! Loved every bit of this stay!
2023-08-01,5,Group trip,"Great place, beautiful home!"
2023-08-01,5,Stayed with kids,Brandon’s place was perfect for our family trip to Jacksonville visiting family. Will definitely stay again if we’re back in the area.
2023-07-01,5,Stayed with kids,"Beautiful home, very nicely remodeled, immensely clean. When we arrived there was even beverages in the fridge and Popsicles in the freezer. Nice outdoor space to sit and enjoy your morning coffee or evenings, felt cozy and secluded. Brandon and Kristen were very accommodating, easy and quick to respond."
2023-07-01,5,Stayed with kids,Brandon’s House was lovely & everything I was looking for! Loved how peaceful and close it was to my family members house. Will most definitely be booking when we visit again
2023-07-01,5,Stayed one night,"Very clean, nicely decorated, and cozy! A lot of cute and thoughtful extra touches. We would stay again."
2023-07-01,5,Stayed with kids,Beautiful home. Very clean. Great stay-would recommend.
2023-07-01,5,Stayed a few nights,"This is an immaculately kept home. It looks to be recently updated. We appreciated the blackout curtains in the bedrooms and the ""guest"" settings on the visitor friendly Roku TV. We also appreciated the prior comments about road noise, and brought sound machines. Perfectly soft beds with wonderful linens. We split our time between Palestine snd Tyler so the location was perfect. Ate at a great restaurant right down the street recommended by our host."
2023-06-01,5,Stayed one night,Lovely home that was perfect for our visit to Jacksonville. The fire pit and the large rear yard were great features that we enjoyed during the evening. Thanks Brandon and Kristan!
2023-06-01,4,Stayed with kids,"Exceptionally clean and very convenient location, looked just like pics. Back porch is lovely
Recommend white noise machine for bedroom. The highway noise is a lot"
2023-06-01,5,Stayed one night,Great stay! Everything was as pictured and described in the listing. The furnishings were beautiful and the beds were comfortable! We especially enjoyed the back deck. We would definitely stay again.
2023-06-01,5,Stayed with kids,"Great host, beautiful house. My wife wants one like it now"
2023-05-01,5,Stayed a few nights,"Great place to stay. Clean…super clean. Kitchen has everything you could want. Back deck is great to relax on. Comfortable furniture and huge TV. Everything seems new.
Host is a 5 star for sure. I don’t see how you could want more, the price is just a bonus!!!
5 star stay."
2023-05-01,5,Stayed with kids,"Excellent place to stay in Jacksonville. Cozy and warm atmosphere. Private back deck was great for relaxing. Nicely decorated with all the amenities you need. Very comfortable, clean, and just felt like home. Will definitely stay there again on our next trip."
2023-04-01,5,Stayed about a week,Everything was wonderful as before. Would recommend!
2023-04-01,5,Stayed one night,Great place that was super clean and spacious!
2023-04-01,5,Stayed with kids,"Very comfortable stay, everything was clean and homey. Convenient to town."
2023-04-01,5,Stayed one night,No issues what so ever - extremely clean and great accommodations.
2023-04-01,5,Stayed with kids,We had a great Stay at Brandon’s place. Was very Clean and no clutter which was nice. Place was exactly how described. We would definitely like to stay here again next time we visit the area.
2023-04-01,5,Stayed a few nights,"The place was perfectly located to see our grandchildren, and then have our own place to unwind in the evening. Thank you, Brandon!!!"
2023-04-01,5,Stayed a few nights,Everything was immaculate. Would recommend!
2023-03-01,5,Stayed with kids,We had a nice quiet stay. The house was clean and open. We felt very comfortable. There were many restaurants near us.
2023-03-01,5,Stayed with kids,"We had a great stay. Overall the location was great, within 30 minutes to Tyler and various lakes.
The house was very clean and comfortable. Not cluttered at all. The kids were able to enjoy the back porch and yard while we were at the house.
The beds were comfortable, there was an extra pull out bed if you have more than two kids. There were TV’s in each room for the rainy day we had along with checkers, Jenga and some other games to play.
Check in was easy. Brandon and Kristan were very accommodating. Great host and a great place to stay."
2023-03-01,5,Stayed one night,"Great place. Stayed overnight while working in town. Clean, cute, easy to get to. Great communication. Is across from train tracks if you’re a light sleeper. Would stay again."
2023-03-01,5,Stayed with kids,Awesome place quiet relaxing clean! Will be back
2023-02-01,5,Stayed one night,"Outstanding hosts, very helpful and responsive. Will stay again next time in town."
2023-02-01,5,Stayed with kids,Brandons home was beautifully decorated and fully stocked. I loved the cozy fireplace and the adorable kitchen most of all. I'd recommend Brandons home to anyone visiting Jacksonville. Thank you for being such a great host!
2023-01-01,5,Stayed with kids,Absolutely worth booking me and my family will be back
2023-01-01,5,Stayed with kids,Amazing Airbnb— beautiful inside and out. Very private.
2023-01-01,5,Stayed with kids,This was a great place for a small getaway with the family! 😊
2022-12-01,5,Stayed a few nights,"Very clean and decorated so beautifully for the holidays. Bedroom in the back was extremely comfortable and aside from some road noise, nice and cozy. Had everything we needed in the kitchen and essentials in the bathrooms. The living room area was welcoming and spacious with the electric fireplace and chess/checker table that was enjoyed. We loved how simple and organized it was yet had everything we needed. Brandon is an amazing host!"
2022-12-01,5,Stayed one night,"I would highly recommend this place to anyone wanting an AirB&B in Jacksonville Texas..it was an awesome venue and when i am back in that area i will plan another stay at this place..
Thank You Brandon"
2022-12-01,5,Stayed with kids,"Great spot! Clean, cozy and close enough to the polar express!"
2022-12-01,5,Stayed with kids,Great house and great hosts! Furniture and decor was very modern and place was very clean and comfortable!
2022-12-01,5,Stayed with kids,"Very clean home. Brandon was extremely helpful and responsive. Don’t hesitate to book this listing, you won’t regret it!"
2022-12-01,5,Stayed a few nights,"Our stay in Jacksonville was excellent at this two bedroom rental. We enjoyed views of the woods behind the house, the well appointed kitchen for our meals, and the simple furnishings made for an uncluttered, restful time. The house is located near the road and railroad which made for some traffic noise at night. But over the weekend we stayed, it was mostly quiet. There is a great park nearby and lake to get in more outdoor roaming."
2022-11-01,5,Stayed with kids,"Enjoyed our stay, plenty of room for family of 4. Super cute and lots of amenities available, home was very clean. Enjoyed cold water and baked cookies upon arrival left from host. Nice quiet location. Good communication from host about any questions or concerns."
2024-06-01,5,Stayed with kids,Amazing home! Would definitely stay here again.
2024-03-01,5,Stayed with kids,"Perfect lakeside getaway! The house was clean, high end finishings, and comfortable. Right on the water in a secluded cove- with a sturdy dock and the best backyard area. Will be back!"
2024-02-01,5,Stayed over a week,Amazing and gorgeous place. Loved the house and would stay any time again.
2023-11-01,5,Stayed with kids,"We had an awesome weekend at a beautiful place. You can tell it was newly remodeled and they had great taste in all the finishing touches. Beautiful lake, great scenery would recommend this place to anybody looking to get away for the week or weekend."
2024-06-01,5,Stayed with a pet,"This was our third visit to Jacksonville and, as usual, we had a great stay at Charley's place. The house is nice, comfortable and clean, and has all you need for a great stay. The lake was full, so we had a great time fishing, kayaking and canoeing. We need to start planning our next visit!"
2024-05-01,5,Stayed with a pet,"We are appreciative for our peaceful stay, and enjoyed immensely. Every aspect of our stay worked perfectly and gave us what we were looking for!!"
2024-04-01,5,Stayed a few nights,"We had a wonderful stay! We quickly understood why Charley and his family call the lake house their ""happy place."" It became our ""happy place"" too while we were there, and we were sad to leave at the end of it! The house is tucked away among a forest of tall trees and pines, making it feel very private and secluded. It sits right on a lake and the views are breathtaking. We spent most of our time outdoors enjoying the beautiful view from the back porch, swinging on the tree swing, playing games, and enjoying the firepit in the evenings. It was so relaxing and we could feel the stress melting away. The house is very clean and cutely decorated. It had everything we needed for a comfortable and relaxing stay. Charley is a very responsive and attentive host. We would definitely come back for a return trip!"
2024-04-01,4,Stayed with a pet,This place is very quiet and comfortable if you’re looking for a peaceful getaway.
2024-04-01,5,Stayed a few nights,"came into town for a family reunion, was a great place to stay while in Jacksonville. was peaceful, beautiful and the grand kids had a blast running, playing and making memories. We hope to stay again next year."
2024-03-01,5,Stayed with kids,"Our stay at the lake house was more than we could have hoped for. Thank you to our hosts for the opportunity to enjoy your lovely home. The lake is serene, and the home was cozy. We felt very welcome, and hope to stay again someday."
2024-03-01,5,Stayed a few nights,"Amazing, peaceful setting. Our second time staying here and we absolutely love it!"
2024-03-01,5,Group trip,"Charley was an excellent host, and the home was literally spotless. You can tell they take pride in the property. We ran out of time, so didn't get to fill out the guest journal, but it was a joy to read the reviews of past guests.
You can't ask for a better spot on the lake. It's right at the end, very shallow, and even though you can see plenty of homes on the lake you feel completely alone. Nothing in this price range on Airbnb compares. Can't wait to return."
2024-03-01,5,Stayed with a pet,"We have stayed at many airbnbs, and this was one of our favorites! The host was very responsive, and they had everything we needed for our 3 day weekend. We were wanting something quiet on the lake where we could relax, fish, sit out by the fire, play board games, and cook at home without having to go out. This place was perfect! The property was beautiful and peaceful. We only saw a couple of bass boats the entire weekend. Our daughter even caught a couple of fish! We look forward to returning again."
2024-02-01,5,Stayed with a pet,"Beautiful property, private, and perfect for us and our dog. The house was cozy, and we slept great in that bed too. We really werent there much but when we were, it was perfect for us. We did get to bring some of our fam back to just chill by the lake and we really enjoyed the afternoon there. We hope to stay again next year when we visit."
2024-02-01,4,Stayed with a pet,"Good place to unwind, very peaceful and quiet."
2024-01-01,5,Stayed a few nights,"Highly recommended, it is a beautiful private place to spend time with family or friends. We will definitely go back. We had excellent communication with the host and he answered all our questions."
2024-01-01,5,Stayed over a week,we really enjoyedthe stay it was very peaceful and Charley was very tentative.would love to book again
2024-01-01,5,Stayed a few nights,Was great place nice and clean host was very friendly
2023-12-01,5,Stayed a few nights,"We loved our stay here! We have family in the area, so it was a perfect place for us to stay while running to all our holiday events. The house was great, and the backyard is amazing! We hope to return soon!"
2023-12-01,5,Stayed a few nights,perfect place to stay
2023-12-01,5,Stayed with kids,We talked about coming back next year! The backyard was perfect for the kids to run around and play. Very beautiful and peaceful. My only wish would be to have more lighting outside in the back. Host was very friendly and was quick to respond to my questions!
2023-12-01,5,Stayed with kids,"Best Airbnb we’ve ever had!
My wife and our four kids enjoyed it so much we stayed an extra night to take it all in some more. The grounds, lake, and home is more nice than in pictures"
2023-11-01,5,Stayed with a pet,We had a lovely stay at Charley’s place! It was exactly as described and communication was great. We hope to be back!
2023-11-01,5,Stayed with a pet,"A beautiful home that provides tranquility to anyone who stays there . Pictures do not do it enough justice . Out of the days me and my family stayed there , not once did we get bored . From the beautiful view to the cozy home, there was always something to do. The hosts really provide you with all the essentials you need and more , you feel right at home . If you’re looking for peace and quiet go for this place , you will not regret it . I will definitely visit again , this was a beautiful experience me and my family will treasure . Thank you to the hosts !"
2023-11-01,5,Stayed a few nights,"This place is a gem! The hosts couldn’t have been better. So responsive, no delay at all! We air bnb all the time and this place was hands down the cleanest and coziest ever. Hate to brag too much cause I want a chance to book it again, HA! So many sweet touches in the house and absolutely everything you could think to need at your fingertips. There was almost zero cell service but we found it a plus to unplug from the outside world and relax. Decent WiFi for WiFi calling and texting. Hubby enjoyed fishing. Water was a little low but he still caught a few about 6 inches to a foot long bass. Comfy couch for napping and watching movies. Lots of fresh towels and blankets and plenty of pillows. Every cooking item and utensil needed minus a big pot for soup but who wants to cook real meals on vacation?! Fridge/Freezer was spotless! So many wonderful games and everything was so clean and house smelled wonderful. We plan to come again!"
2023-10-01,5,Stayed with a pet,"Such a peaceful home tucked in the Piney woods with easy access to tranquil Lake Palestine. We loved sitting on the dock watching egrets perch while enjoying the quiet lake views. The best aspect of this home is the privacy and feels like you have the lake all to yourself because it ends in a shallow cove right next to the home. This place if stocked for a welcoming stay, and we appreciated the snacks and comfortable beds. Thank you for welcoming us with a kind note and everything we needed for our weekend getaway."
2023-10-01,5,Stayed with a pet,"This was our second stay at Charley’s. We like the house, its location, and having the lake right there. This time the lake was very low, so it was great to have the canoe and the kayak to go out fishing. The dogs had a good time running around and taking naps on the pier or the deck. We had one afternoon of rain, so it was Netflix time. Not bad at all."
2023-10-01,5,Stayed a few nights,"The owners really went above and beyond. They were extremely communicative for entire month leading up to our vacation. They also had recommendations of things to do when we asked. The property is stunning and absolutely beautiful. It is very clean along with the inside. It is fully remote and you are not bothered by anyone.
We had to leave a day early because I was called back to work. This property is great for a family to go, or a romantic getaway. I wish nothing but amazing things for the owners of this property. They really have done an amazing job on making their guests feel welcomed, provided a nice property and above everything really are the kindest people ever! We will definitely be keeping this is a favorite in our list.
East Tx people in the stores and around in the city were also very laid back and kind. Positive experience all the way around."
2023-10-01,4,Stayed with a pet,"Everything was nice and we had a wonderful stay. Lots of little extras and the gift basket was a nice touch, we appreciated it. They really did take the time to think about all the little things.
We will definitely be back.
The only complaint we had was there were other cameras throughout the property that weren’t included in the original description as the 3 listed. Made us feel a little uncomfortable, but overall a nice stay."
2023-10-01,5,Stayed a few nights,"A nature lovers’paradise, from the misty morning lake fished by white egrets to the moonrise after dusk, the wonderful peace of singing birds and shady old trees frames the lake view from the back deck. The house is cool and accommodating. The kitchen is well stocked and all modern appliances make meal prep just like home.
We were close to town, with easy access to highways and stores when needed.
A huge,sloping yard for running and playing would be ideal for children, not to mention the tree swing and game chest inside and all the swim gear for water play.
We enjoyed our stay immensely! Thanks so much for sharing💝"
2023-09-01,5,Stayed a few nights,This Airbnb was more than amazing. It was exactly as described and I can’t explain enough of peaceful it was to wake up and enjoy coffee with the view the backyard has. We enjoyed the lake and the animals and creatures that lived there. We saw many birds and lots of fish splashing up. The living room was so cozy for my family to sit and talk in.
2023-09-01,5,Stayed a few nights,"The little home was just as described. This lake is fairly crowded with homes on the north side of the lake. Charley's is on the more secluded end. The lot is big enough to not feel like neighbors are next door. The water was shallow at this end, but the fishing was good. The house was very clean and the host provided extras such as: wood for the fire pit, a few snacks, bottled water, pantry with some supplies if needed, games, etc. We would highly recommend this house."
2023-09-01,5,Stayed a few nights,"Exactly as described, very peaceful and beautiful surroundings. Close to town but very private, clean and peaceful!"
2023-09-01,5,Stayed with a pet,Great place to get away from home! Very inviting and welcoming. Awesome view and very close to town. Also had a bunch of toys for the kids
2023-09-01,5,Stayed a few nights,"such a beautiful location and place. Well secure, quiet, peaceful, and fishing. was great to watch the deer play at the lake. my family had such a peaceful weekend. will plan on going again."
