date,rating,note,review_text
2024-06-01,5,Group trip,Great place to stay! Easy to get around town. Will definitely book again.
2024-03-01,5,Group trip,.
2024-01-01,5,Stayed about a week,"The Mesa House is gorgeously arranged, clean in every corner, with modern interior design that also feels homely. Also, the entire house smells great! My family and I enjoyed our stay, there’s plenty to explore in Jefferson City (check out the local coffee shops, Yanis Coffee Zone in particular). Tara was extremely responsive to our needs during our stay, stepping in to help us with a small issue despite it being a holiday. We felt at home, which was greatly appreciated. The neighborhood is quiet, no noise, no drama, no frills. Perfectly residential while still being close to the attractions of Jefferson City. The kitchen was well equipped with everything we needed to make home cooked meals. Overall, it was everything we were hoping for. Great spot!"
2024-06-01,5,Stayed a few nights,"All amenities are on point! She really did think of everything you might need. Location is just as described and very peaceful. While our weather wasn’t the greatest, we were still able to enjoy ourselves playing bags and such under the house and still have great views of the river. Beds were very comfortable and so was the living room furniture - great for lounging with a good book. We will definitely be back!"
2024-04-01,5,Stayed a few nights,Great space for family get together. Super clean and accommodating. Had everything needed and then some. Great host and great Airbnb.
2024-04-01,5,Stayed with a pet,Great host. Peaceful location. Clean and well appointed. Enjoyed our stay!!
2024-04-01,5,Stayed with a pet,Audrey was very responsive and kind. Very nice communication. Home was very clean and well-equipped. Great!
2024-04-01,5,Stayed a few nights,"Spotless! Location was peaceful and seemed safe. Host was responsive. We enjoyed the spacious deck overlooking the river, and when the wind was too high, the indoor seating was comfortable. There were plenty of windows and natural light. The kitchen had ample space and was reasonably well stocked for an Airbnb. The beds were comfortable and I appreciated the open shelving and multiple wall hooks. The hot water pressure was good. We had looked forward to kayaking, but the currents were way too fast, and then the water level dropped significantly, so if kayaking is your thing, have an alternate plan. Rock Bridge Memorial Park was only a 35-40 minute drive and had a good variety of hikes. We also enjoyed watching and listening to the trains pass by. If noise disturbs you, pack earplugs. Overall, very pleasant stay."
2024-03-01,5,Stayed a few nights,We enjoyed our stay at Audrey’s home. Everything was clean and organized and we had everything we needed. Audrey was easy to communicate with and very responsive. We will definitely stay again.
2024-03-01,5,Stayed with kids,"We loved our stay! The home was clean, peaceful, and fully stocked! Audrey was so accommodating and quick to respond to any questions we had. I would highly recommend this experience for anyone looking!"
2023-12-01,5,Stayed with a pet,Great place to stay! In a very quiet and peaceful location . House was very clean and has great views of the river.
2023-11-01,5,Stayed about a week,"Very responsive, nice spot on the River that was perfect. Close
To town."
2023-10-01,5,Stayed a few nights,The view was amazing. The neighbors were all so nice and hung out for a bit around the fire. They had nothing but great things to say about the host.
2023-10-01,5,Stayed a few nights,Very responsive host and home had everything you need
2023-10-01,5,Stayed a few nights,We loved our stay !! The kitchen was well stocked with coffee and creamers. Beautiful scenery. Comfortable beds. We enjoyed the deck. Having morning coffee while watching the Osage river is an awesome experience. We fished from the dock and got a few bites. We would love to return during the summer. The state capital and former Missouri State Penn are 15-20 minutes away and very fun to visit for history buffs. We highly recommend Audrey’s Osage river getaway.
2023-09-01,5,Stayed a few nights,"We couldn't have been happier with our stay and can't wait to make a return visit. We spent 3 days fishing, artifact hunting, and relaxing by the fire overlooking the river in the evenings. I would 100% recommend Audrey and her beautiful Osage River home to anyone wanting to get away."
2023-09-01,5,Stayed a few nights,"We had such a great weekend and everything was even better than pictured and so clean! Audrey is very responsive, kind and helpful. Far exceeded our expectations and highly recommend!"
2023-09-01,5,Stayed a few nights,"A great peaceful getaway.
Next to river, pretty much own little piece of the river
House was clean and well stocked
will definitely return!!!"
2023-08-01,5,Stayed a few nights,"Really, really nice location and an incredibly responsive host! You could spend days on the deck and it's not too far a drive from Jeff City. The hiking on the isle was really pretty, this place is genuinely a gem."
