date,rating,note,review_text
2024-06-01,5.0,Stayed with kids,I absolutely loved this house. It was clean and comfortable and the master shower was AMAZING !!!!
2024-06-01,5.0,Stayed a few nights,Clean and friendly stay in a very pretty home
2024-06-01,5.0,Group trip,Everything was perfect!
2024-04-01,5.0,Group trip,It was such a beautiful home. Definitely recommend
2024-04-01,4.0,Stayed with kids,"The place was wonderful and clean! Upon arriving the temperature in house was 75 with a lock box over thermostat. I reached out and was told cannot go below 73 due to a previous electric bill being high. That is not comfortable for me and my family. The issue was resolved and she came and turned down to 70.
Would have just liked to have known that there was a restriction on what temperature could be at booking."
2024-04-01,5.0,Stayed one night,"Very clean, kind host, comfortable bed. I have had mixed experiences with Airbnb in the past but this place was much nicer than others I have stayed in. I would actually come back."
2024-04-01,5.0,Stayed with kids,"Nice, quaint, clean place. Excellent and comfortable furnishings. Responsive host. Easy to work with."
2024-04-01,5.0,Stayed one night,"We enjoyed our stay at Angelique place. Beautiful backyard, very peaceful and she was very responsive. We would recommend her air bnb."
2024-04-01,5.0,Stayed a few nights,"We was there for a 20 year reunion at ft.hood and having this place allowed for us to enjoy time and company without the hassles of the in and out of a hotel !
Definitely worth everything !!!!"
2024-04-01,5.0,Stayed a few nights,"Angelique’s house is beautiful, comfortable and very clean! The back patio was wonderful to sit in the mornings with a cup of coffee (which was provided by Angelique!) and just listen to the peacefulness and birds. This is a highly recommended host!"
2024-01-01,5.0,Group trip,"Excellent, we felt right at home , I recommend it"
2023-12-01,4.0,Stayed a few nights,Good location clean & comfortable
2023-12-01,5.0,Stayed a few nights,"Very nice house, nice bottle of wine and comfy bed!"
2023-12-01,5.0,Stayed a few nights,Such a lovely home in a peaceful and quiet neighborhood close to restaurants and shops but still secluded for privacy. Angelique was very helpful and responsive with our late check in due to unexpected travel delays. Upon arrival after a long day it was so refreshing to come into this home to find it spotlessly clean with absolutely gorgeous decor with everything we could possibly need for our long weekend getaway. The bedrooms were spacious and very comfortable and the master bathroom has a relaxing spa atmosphere. We will definitely recommend The Mediterranean Villas to friends and family and look forward to the next opportunity to stay again when in the area. Thank you for a great experience’
2023-11-01,5.0,Stayed a few nights,The host was very helpful and responsive. The house was nice and clean. A very nice property. I highly recommend this Airbnb on your next visit to Killeen.
2023-11-01,5.0,Stayed a few nights,Great location and super nice house. Everything was great with this stay.
2023-08-01,5.0,Stayed a few nights,This house was perfect!! I live in a very large and clean home myself! And when I tell you we felt at home! This house was Great no complaints Angelique is the best!!
2023-08-01,5.0,Stayed over a week,Beautiful home
