date,rating,note,review_text
2024-06-01,5,Stayed a few nights,"The backyard space was beautiful and relaxing to look at. The kitchen was nice and in the refrigerator there was cheese, salami, crackers, and wine, along with a sweet note from the hosts. We felt right at home. The sitting area was comfortable."
2023-10-01,5,Stayed a few nights,"Michael was super responsive and helpful. The place was very clean. And check if was simple and convenient. They provided some special extras like wine and snacks, which was a special touch.
He went out of his way to recommend fishing spots, unfortunately the weather didn’t cooperated.
The only downside was the living room isn’t super comfortable if you decide to just hang out with guests but that wouldn’t be enough of a downside for us not to stay again.
It was perfect for us as the parents of a college student to stay and even have kids over for dinner. I think it would be awesome to stay in warmer weather to fish in the backyard.
Thank you Michael for a memorable visit!"
2023-10-01,5,Stayed a few nights,The place and area were amazing. Our host was really friendly and responded to our messages within the hour. Would definitely love to come back next year.
2023-09-01,5,Stayed a few nights,"Mike and Lynn's place was delightfully comfortable and quiet. It was clean and well furnished, and we really appreciated the little extra touches, including coffee, wine, and cheese from the surrounding area! We had a wonderful weekend getaway exploring the beautiful LaCrosse area, and this was the perfect spot to come back to each evening. We would definitely stay here again!"
2023-09-01,5,Stayed about a week,"Gorgeous place to stay. He described it as noisy, but it was one of the quietest places I have stayed. The kitchen was nice, bed comfortable and view gorgeous. Will definitely stay again"
2023-08-01,5,Stayed a few nights,A great location and well hosted place in a quiet area with lots of beautiful scenery.
2023-08-01,5,Stayed a few nights,"I grew up in that part of Wisconsin, so I have my own haunts. This Airbnb is in a lovely location and convenient to both LaCrosse and Onalaska. Go to Red Pines for a walleye dinner, enjoy (in the summer months) Moon Tunes in LaCrosse’s Riverside Park, take a boat ride on a paddle steamer (from Riverside Park). Definitely drive up Grandad Bluff to see the view of LaCrosse, the Mississippi River and Minnesota on the other side of the river."
2023-07-01,5,Stayed a few nights,Such a great place and incredibly nice hosts. Very clean and they even provide some of products that the local businesses have to offer. Definitely would love to stay there again.
2023-07-01,5,Stayed a few nights,"Michael is great! He gave suggestions for local events, biking, kayaking and vegetarian friendly restaurants and he answered questions right away. The backyard is beautiful… lots of birds and wildlife and a great way to see the sunset. We slept like babies. There are a lot of personal touches. Will definitely go back."
2023-07-01,5,Stayed about a week,"We had a very nice quiet stay, Michael his wife were there answer any questions we had they also gave great advice were to dine in the area! Thank you for having us at your house!"
2023-06-01,5,Stayed a few nights,"This is a great AirBnB to stay at when visiting the La Crosse area. Michael was a kind and communicative host, and the AirBnB is very clean. The WiFi is also strong - I was able to work remotely while there. We also really appreciated the coffee Michael left for us. We would stay here again when we come back to the area!"
2023-06-01,5,Stayed with kids,"What a fantastic stay! Michael and Lyn were such gracious and incredible hosts and it was a pleasure to stay in their place. It has a gorgeous view of the Mississippi River backwaters and is very close to restaurants and the dock where we were fishing out of for the national high school fishing tournament. There was a great place to park our bass boat and truck and we slept great each night. The added touch of the charcuterie board and sodas was a wonderful addition and personal touch. I also really enjoyed chatting with Mike and Lyn at nights. They were very considerate and gave us our space, and we’re very engaging and fun to talk to once they realized I wanted to chat. I would definitely stay at the Red House again. Absolute 10/10! Thank you again Mike and Lyn!!"
2023-06-01,5,Stayed about a week,This was the best Airbnb I have stayed at. I was here on a work trip and was not expecting to be rushing home after my shift to relax and spend time at the redhouse. The location is right on the Mississippi and there is so much wildlife to see right from your back door. Michael and his wife were so friendly and welcoming. They made the little apartment feel like a home
2022-10-01,5,Stayed a few nights,"This location was great for our visit to La Crosse. Nice, clean, quiet, convenient. Thanks Michael. Would definitely stay here again."
2022-10-01,5,Stayed a few nights,My fiancé and I stayed at “The Redhouse” while we celebrated our friends wedding on French Island. Our experience staying at this AirBNB was absolutely fantastic. The hosts are very welcoming and willing to help you out/answer any questions that you may have. The home was very clean with great amenities. I would happily stay at this AirBNB again and give it a 10/10 recommendation!
2022-10-01,5,Stayed about a week,excellent place to stay
2022-10-01,5,Stayed a few nights,"Perfect place to stay! While not on the river per se, the back deck with the water view was the perfect retreat from a hard day at work or morning coffee. The kitchen was equipped with everything we needed for our week. The wine and snacks were a welcome treat on our first night as were the bottles of water in the fridge. The selection of coffee was excellent. There's a closet full of cleaning supplies which made the stay much tidier. Michael also made sure we had good directions to the house due to some unexpected construction the week of our stay."
2022-09-01,5,Stayed a few nights,"Great host! Especially appreciated a safe place to easily unload and store kayaks while we biked. The water, coffee, wine, and snacks is a welcomed surprise. Mike shared his knowledge of the area. Whether you are cycling, kayak, fishing, hiking, or touring the area, you can't go wrong with this ABB choice."
2022-09-01,5,Stayed a few nights,wonderful host and a wonderful home. you wont be disappointed.
2022-09-01,5,Stayed about a week,great house and location. the hosts were friendly and super nice. highly recommend !
2022-08-01,5,Stayed over a week,Michael and Lynn were great hosts and very friendly. The view from the back deck is amazing and there is lots of wildlife. The house was comfortable and spacious. We would definitely stay again!
2022-07-01,5,Stayed a few nights,"The Red House is an inviting, beautiful, and quiet place to stay. Michael was easy to communicate with and check in was simple and straightforward. The house was nicely decorated with lots of extras that were not expected, but much appreciated! We will definitely be back and will refer this lovely place to friends.
Wayne and Melissa"
2022-06-01,5,Stayed a few nights,This was a fantastic place to stay. Michael was there to welcome us as we pulled in the driveway. I wish we would have planned on staying a few more days. It wasn't a long enough stay to really enjoy the back yard.
2022-06-01,5,Stayed a few nights,"Excellent location, amazing hosts and a perfect house. Michael is so kind and helpful and the location of the house is amazing for almost anything. The morning coffee on the back porch by the water was our highlight. We will be sure to come back."
2022-05-01,5,Stayed a few nights,"We remarked again and again: The Redhouse has Peace and Serenity written all over it. Utterly gorgeous setting on the water, very romantic; secluded, but easy to find. Delightful appointments in the apartment. Michael was a gracious, thoughtful, and delightful host!!! We will definitely be coming back!"
2021-05-01,5,Stayed a few nights,"The Redhouse was a perfect spot for a few days of biking and hiking in La Crosse. The full kitchen was very useful, and the whole place was comfortable (including a nice, firm bed). The host left us a bottle of wine and some local seltzer.We particularly liked the small backyard seating area, overlooking Mississippi River backwaters. The location worked for us - in a quiet area but within 15-20 minutes of everything we needed. Communication before and during our stay was speedy and helpful.
I would not hesitate to book here again."
2020-11-01,5,Stayed over a week,"Michael was very kind . The Redhouse is the perfect blend of small hometown feel and genuine hospitality. Clean, spacious, and very comfortable. Every amenity we needed, close to what matters. Highly recommend the Redhouse!"
