date,rating,note,review_text
2024-06-01,4.0,Stayed one night,Great communication! Host was very responsive and check in was easy. Location was great; right downtown. The place met my expectations.
2024-06-01,5.0,Stayed a few nights,"I was looking for a place to stay while in town for MSU graduation. This was the perfect spot! Quiet, clean, and convenient. The host, Karen, was very responsive and nice. Thank you so much!"
2024-06-01,5.0,Stayed a few nights,"Good place, but the air conditioner and heater were noisy"
2024-04-01,5.0,Stayed a few nights,"We were in town for our daughter’s graduation from MSU. The current prices of hotels this weekend were triple the cost and this was a cute and in a convenient location. I loved the access to a kitchen unlike in a hotel room where you have to go everywhere for food and drinks. They even provide the shower necessities (shampoo, conditioner, and shower gel) they also had coffee and sweetener for the coffee maker. Really a nice space for a few nights. If I had more time, I’d love to have walked around the capital. Cute area!"
2024-04-01,5.0,Stayed a few nights,"If ever in Lansing again, I’d stay here"
2024-04-01,5.0,Stayed one night,Great spot - close to the Lansing Center. Made everything easy for my trip.
2024-04-01,5.0,Stayed one night,"Quick communication, clean space, easy check-in and check-out, gorgeous location"
2024-04-01,5.0,Stayed a few nights,I had a great time i love the space i would definitely be there again
2024-03-01,5.0,Stayed a few nights,"This was a darling place, very spacious and open, right in the heart of Lansing. Walking distance to many little cafes and restaurants. It was charming, with and industrial vibe, cute kitchen and bathroom, and comfortable bed. I would most definitely stay there any time I'm back in the Lansing area. Very highly recommend!"
2024-03-01,5.0,Stayed one night,Very good instructions and comfortable place to stay!
2024-03-01,5.0,Stayed one night,Loved the apartment and I was very relaxed during my stay. Thank you again!
2024-03-01,5.0,Stayed one night,Stayed for a night and it was a perfect location. Nice place to stay if you have business downtown! Across the street from the capital and convention center.
2024-03-01,5.0,Stayed one night,"super cute loft, worked great as a photography studio for the weekend!! clients loved it!!"
2024-02-01,5.0,Stayed a few nights,Extremely clean and quiet place. Loved it!
2024-02-01,5.0,Stayed with kids,"This was such a great place for the value! We only stayed one night for an event at the Lansing Center, but everything was perfect. Very responsive host, arranging our stay late the night before. Clean space with everything we needed! Highly recommend staying here."
2024-02-01,5.0,Stayed one night,awesome place for 2. I would totally go there again anytime
2024-02-01,5.0,Stayed a few nights,Everything was great. Check in was easy and the apartment was just like the pictures. Will stay there again if in Lansing
2024-02-01,5.0,Stayed one night,We had a wonderful stay. perfect location if you have an event at Grewal Hall!
2024-01-01,5.0,Stayed one night,"Clean, good value, and close to the capital."
2024-01-01,5.0,Stayed one night,Beautiful place! Super clean & modern! Loved this stay. Host was very kind & responsive (: would love to stay again!
2023-12-01,5.0,Stayed one night,"Beautiful spot, I really enjoyed my stay here for a work trip. Thank you!"
2023-12-01,3.0,Stayed one night,"We stayed for one night and the location was excellent. Plenty of Free street parking right in front of condo. Very walkable.
The place itself was just ok. It was dark inside and sort of stinky. Not unbearable, but slightly unpleasant. The heat was on too high, so woke up with dry mouth. We found the thermostat in the morning, so totally our fault. The bed was ok, but there is a sky light right above your face, so we moved our pillows to the foot of the bed so the light was not in our eyes. I thought it was a little pricey for what it was, but still 40.00 less than hotel and you don’t have to pay parking fee. So, I would stay again just for location and price.
I think the owners care about this feedback, so I’m not complaining…just trying to give feed back that might help make the next tenant more comfortable. All easy fixes. Move bed, more light in bathroom, living room and kitchen and get rid of smell. Maybe natural oil diffuser with lavender?"
2023-12-01,5.0,Stayed with kids,This apartment is surrounded by wonderful shops and eateries. The host gave great detailed instructions and was very responsive. We would recommend this place for anyone in need of a stay in the heart of downtown Lansing! The layout and design is very unique with exposed bricks and a modern industrial very cool vibe. It was also very quiet at night and good for traveling with a toddler. A++!!!!
2023-12-01,5.0,Stayed a few nights,Great place and great host. The only request I have for them is to shift the bathroom bulb from yellow to White. But its best place to stay if u are in Lansing Area.
2023-11-01,5.0,Stayed one night,Great place. Very convenient for visiting the Capital.
2023-11-01,5.0,Stayed one night,Clean and quiet. Perfect stay.
2023-11-01,5.0,Stayed with kids,Could not have been better for what we needed. An event downtown. Got us out of the cold. No traffic to fight. Great clean space!
2023-11-01,5.0,Stayed one night,"This is the cleanest, coolest place! Hosts are excellent and provide everything you need for your stay. Love the excellent checkin instructions. Best night’s sleep I’ve had in a very long time. Would absolutely stay again."
2023-11-01,4.0,Stayed one night,has a good night away
2023-11-01,5.0,Stayed a few nights,"Great stay, peace and quiet, hosts were great and communicative when necessary. Place was clean and as described. Will stay at this location time and time again"
2023-10-01,4.0,Stayed a few nights,Thank you the stay was great as always.
2023-10-01,5.0,Stayed one night,The apartment location was absolutely perfect for a quick trip to attend an event at the lansing center. The apartment was clean and quite and secure. The host was friendly and communicated with us to make sure we got checked in okay. Overall great find for a trip we booked last minute.
2023-10-01,5.0,Stayed one night,Great location! weather sucked lol. but cozy place.
2023-10-01,5.0,Stayed a few nights,Thank you
2023-10-01,5.0,Stayed one night,Thank you I have enjoyed my stays .
2023-10-01,5.0,Stayed one night,We had a wonderful stay in Lansing!
2023-10-01,5.0,Stayed one night,The place was beautiful and peaceeful
2023-09-01,5.0,Stayed a few nights,Always a great stay in downtown Lansing at this loft!
2023-09-01,5.0,Stayed one night,"So close to the capital building and in walking distance to a lot of places, we parked in the garage they supplied parking to and walked everywhere we wanted to go from there, brewery, stores, restaurants, etc. The place was super easy and convenient to get into, had no issues at all, was only a little confused with parking at first, but the host was quick in response to help. The space was super clean and everything worked, so we had no complaints at all during our stay and very much enjoyed it!! Highly recommend!"
2023-09-01,5.0,Stayed a few nights,"Space was very clean, easy to find, and has a great location for exploring downtown. Hosts left clear instructions and were very responsive if needed. If we come back to Lansing, we will definitely book here again."
2023-09-01,5.0,Stayed a few nights,"This was my second time staying in this location and it's great - clean, quiet, and convenient to downtown and East Lansing. Large TV with streaming options, and free parking is an added bonus. I'm sure I will be back!"
2023-09-01,5.0,Stayed one night,This was a nice quaint apartment with everything you need and well stocked appliances. its not designed for long stays but for a quick trip. The bed was extremely comfortable and the cool sky light provided a window to the fully enclosed apartment.
2023-08-01,5.0,Stayed one night,Great location in the area you want to be in Lansing.
2023-08-01,5.0,Stayed a few nights,"The space was clean, the hosts diligent and friendly. Overall, a very stress-free and pleasant experience. I'll probably be looking for this spot if i'm in the area again."
2023-08-01,5.0,Stayed one night,Flexible check in was very helpful
2023-08-01,4.0,Stayed one night,Easy to access. The hosts were helpful. Comfortable.
2023-08-01,5.0,Stayed one night,"Spacious and private, it had all the convenience and comfort I needed."
2023-08-01,5.0,Stayed one night,Great loft with great location!
2023-07-01,5.0,Stayed a few nights,This was a great place to stay for a couple days. Close to everything I needed and I found the place to have everything I needed just as described. I will plan to stay again when I need to be in Lansing.
2023-07-01,5.0,Stayed about a week,"We had a great stay in the loft. The area was very pleasant and did not have any issues. The portable air conditioner was very loud but that was our only issue. The support staff was very helpful. The location was perfect, we biked everywhere. We would stay in the loft again if we ever come back."
2023-07-01,4.0,Stayed a few nights,Great Location!!
2023-07-01,5.0,Stayed a few nights,The place was very clean. Me and my husband loves it....I will go back
2023-07-01,5.0,Stayed a few nights,"This apartment was perfect. It was close to everything I needed, spacious and lovely. Every need was met and the hosts were very pleasant and easy to communicate with. Very clear instructions too. Thank you for a lovely two nights."
2023-06-01,5.0,Stayed one night,Staying here was an absolute joy. The studio is spacious and very clean. The neighborhood it's in is just the cherry on top. Would definitely stay here in the future!
2023-06-01,5.0,Stayed one night,"The place seems to be on the verge between a developed, nice area, and something more questionable. That said, the apartments felt secure, and there were lots of close, walkable options. It was clean and the use of the space was ingenious and artistic. Highly Recommend!"
2023-06-01,5.0,Stayed a few nights,"Goldilocks was such a pleasure to work with. I was traveling with 2 teens and a busy soccer schedule and adorable little studio apt was so easy to navigate.
Of significance, Goldilocks was promptly available at all hours of the night when I had a bizarre after hours request. So helpful and attentive!!
The Capital building is gorgeous at night and was beautifully lit up on our arrival. Coffee, little market, dining all very close & convenient.
I will be back and I highly recommend!!"
2023-06-01,5.0,Stayed one night,Great place to stay!
2023-06-01,5.0,Stayed one night,The place was amazing and had an excellent location.
2023-06-01,5.0,Stayed a few nights,It was everything I had expected.
2023-06-01,5.0,Stayed one night,Cool place in a great location. I love this little strip of downtown.
2023-05-01,5.0,Stayed with kids,Great spot to stay
2023-05-01,5.0,Stayed one night,We had a great time and loved the location!
2023-05-01,5.0,Stayed one night,Great place! Regular customer here
2023-05-01,5.0,Stayed one night,"I always have a good stay at Goldilocks place. Always clean, never noisy and always comfortable."
2023-05-01,5.0,Stayed a few nights,"Goldilocks unit was as described. When I encountered an unexpected problem in the unit, they quickly relocated me to a different unit in the same building with no fuss. Communications were prompt, complete, and reached me via the App and directly by phone. I appreciated their flexibility and responsiveness."
2023-05-01,5.0,Stayed a few nights,Perfect listing!
2024-06-01,5.0,Stayed a few nights,Amazing place! Enjoyed my stay
2024-06-01,4.0,Stayed a few nights,"Close to MSU, not a lot to do otherwise. Basement is well stocked, good place to stay, but thin walls and creaky stairs means you'll hear anyone else in the house. Tough to beat for the price!
Suellen, however, was lovely! I'll be back next time I'm in town."
2024-06-01,5.0,Stayed a few nights,It was a very pleasant short stay.
2024-06-01,5.0,Stayed over a week,"I had a comfortable stay at Suellen's basement apartment. She is a wonderful host, and I recommend staying in her space. One thing to note is if you're taller than 6 feet, you'll need to watch your head because of the low ceiling (including fan)."
2024-05-01,4.0,Stayed a few nights,"I wish I could give Sueellen 5 stars. The price was fantastic and the space provided everything that I required. The reason that I give it 4 stars is because she seemed annoyed when I asked for clarification regarding her house rules and instructions. Twice she asked ""Didn't you read my message? I said..."" and then answered my question in a condescending way. I'm 52 but was made to feel like I was a bad child that wasn't listening to her. I tend to repeat information back to make sure I hear things correctly and she seemed annoyed. I wanted to think of her as warm and friendly like all of the other reviewers but I found her to be impatient with me. I arrived in the evening after a 5 hour drive so maybe my brain wasn't processing things as quickly as she'd like. The day I checked out I handed her the keys and she seemed annoyed that I didn't see her message to leave them on the table. I debated on writing this but it was a disconnect that she may need to be aware of for future guests."
2024-04-01,5.0,Stayed a few nights,"Suellen was a perfect host, offering a comfortable apartment that was clean and well stocked with basics in the kitchen and living room. The bed was comfortable and we were able to settle in with ease. The garden was beautiful and the neighborhood was quiet and very walkable. We would happily stay with Suellen again."
