date,rating,note,review_text
2024-06-01,5.0,Stayed one night,"Great stay and great hosts, Thanks!"
2024-06-01,5.0,Stayed one night,It was great!
2024-06-01,5.0,Stayed one night,Very good place to stay if you’re traveling across Nebraska!
2024-06-01,5.0,Stayed one night,"Last minute travel booking, so kind and helpful"
2024-06-01,5.0,Stayed one night,Very lovely place to stay. Michelle and Eddie made me feel right at home
2024-06-01,5.0,Stayed one night,Michelle was kind to allow us to checkin after her checkin hours. It saved our life and we greatly appreciate it. We had a lovely stay in their comfortable clean cozy home. Thanks so much for accommodating us.
2024-06-01,4.0,Stayed one night,Diamond in the rough
2024-06-01,5.0,Stayed one night,Michelle and Eddie were flexible with our arrival time and gave clear instructions. We felt at home and were grateful to have clean and comfortable accommodations.
2024-05-01,5.0,Stayed one night,Had a great time! Very comfortable and clean. Highly recommend.
2024-05-01,5.0,Stayed one night,"great area, preaceful, and safe. the basement was available to us, and it was simple and relaxing. super easy check-in, and the basement was easily accessible from the front door. definitely worth it!"
2024-04-01,4.0,Stayed one night,"Easy to find & easy access from I-80. Very clean. Comfy bed. Big bathroom.
No lights were on downstairs which was unwelcoming and it was hard to find the switches in the dark (cell phone flashlight came in handy).
There were house rules that were not mentioned on AirBnB… a no shoe and no food policy downstairs where my room was. There were two rooms available but the one I did not reserve was open for me and the one I reserved was locked. I really didn’t want to sleep with all the animals (safari theme)
It was a nice stay for the price for sure. I suggested adding the house rules in the reservation description so someone would know ahead of arrival."
2024-04-01,5.0,Stayed one night,"This was a spacious, lovely experience. Thank you much! I highly recommend it."
2024-04-01,5.0,Stayed one night,This place is fabulous! It is nicely decorated and very comfortable. The beds are great.
2024-04-01,5.0,Stayed one night,We had a really nice stay. The play room was awesome! We were very well received and would be happy to come back.
2024-04-01,5.0,Stayed one night,Good place for stopping over on our way to Colorado from Iowa. Clean and lovely bathroom.
2024-04-01,5.0,Stayed one night,"Such a fun and beautiful to stay! I’ve never seen such a fun game room for guests! I also think it’s a perfect place to hang out after a long day’s drive…especially for a family with teens.
Michelle makes sure you have access to all the amenities that are available. I highly recommend this Airbnb!"
2024-03-01,5.0,Stayed one night,"Nice basement finish, lovely bathroom with Jacuzzi tub. Place was nicely decorated, and even though we were only there overnight, we enjoyed the large private space. Air hockey was fun! Eddie & Michelle were friendly hosts. For your phone GPS directions, be sure to use the street address the hosts specifically posted in the listing and not the default one. I would stay there again if in the area!"
2024-03-01,5.0,Stayed one night,Great place to stay!
2024-03-01,5.0,Stayed one night,"The space was clean and quiet. Nice space, great beds and bathroom."
2024-03-01,5.0,Stayed a few nights,I was here for business in Kearney and Alma plus birdwatching and it was so easy to get to everything from this location.
2024-03-01,5.0,Stayed a few nights,I had the entire beautiful basement to myself. I had everything I needed. I had an awesome time watching the tens of thousands of sandhill cranes that were migrating through.
2024-03-01,5.0,Stayed a few nights,They are both friendly and helpful. Their home is beautiful and very clean. Had everything i needed.
2024-03-01,5.0,Stayed one night,Quiet place and very clean!
2024-03-01,5.0,Stayed one night,"What a great deal! Extremely clean and beautifully decorated. Billiards, air hockey, and even a jukebox! What a gem for such a low price!"
2024-03-01,5.0,Stayed one night,Great stay! I was just passing through and I couldn’t have picked a better place to stay after a long drive. I had delicious pizza at the local watering hole then returned to the bnb and had a jacuzzi and slept in a very comfortable bed. The space was very clean and private. I would def stay again.
2024-03-01,5.0,Stayed a few nights,"Michelle was over-the-top helpful as a host. Although there are no cooking facilities downstairs, she provided her entire well-appointed kitchen for our use and a refrigerator downstairs for us to store our food. There is an amazing hot tub available in the downstairs area you rent; you can choose one or two bedrooms, but will always have the place to yourself. She also allowed us to store and unhook from our RV at her RV park, which was essential. We were there to visit the sandhill cranes, and there were close to 275,000 near Kearney. This was a tremendous experience for us all around."
2023-12-01,5.0,Stayed one night,Great place to stay
2023-12-01,4.0,Stayed one night,great place to stay and very clean
2023-12-01,5.0,Stayed one night,"An absolute gem! Needed a place to stay after a long drive, and this place was everything I needed. Hope to stay here on another drive."
2023-11-01,5.0,Stayed one night,"Our stay was fantastic! The spaciousness was a treat, from the room to the shower—everything was comfortable and roomy. The festive Christmas decorations added a beautiful touch to their lovely home. A delightful experience overall!"
2023-11-01,4.0,Stayed one night,Very clean and comfortable.
2023-11-01,4.0,Stayed a few nights,"The room and bathroom were great, it is a huge basement. So that was very nice! The hosts are polite but I didn’t feel very welcome, they are distant and sometimes not that friendly."
2023-11-01,5.0,Stayed a few nights,Great place ! Thank you so much
2023-11-01,5.0,Stayed one night,"Nice one night stay as we were passing through. Comfortable beds and a welcoming host. House was nicely decorated, the basement area you get is huge."
2023-11-01,5.0,Stayed one night,"Stayed here on my way to Utah, great experience with a friendly host. Right off the highway, very convenient."
2023-11-01,5.0,Stayed a few nights,"The home was easy to find and offered us a quiet respite from our busy schedule and a great place to headquarter for visiting family and touring Pioneer Village Museum, Fort Kearney and The Archway. Spacious place to stay and parking was easy."
2023-11-01,5.0,Stayed one night,"It was great. Basement is huge and super clean!! Will stay here every time if I’m traveling through
Felt super at home, so many pillows and comfy bed.
Host is really nice, can’t say enough good things about this spot"
2023-11-01,5.0,Stayed a few nights,Great hosts and easy to communicate with
2023-11-01,4.0,Stayed a few nights,"Was in town for work, and this was cheaper than hotels, so it made the longer commute into town worth it. Had everything I needed for a short stay."
2023-10-01,5.0,Stayed one night,We enjoyed our stay very much. The water cooler was nice. We sat on the couch that had recliners with a blanket on our laps watching TV . Relaxing. Bed was comfortable. The bathroom was big. It's one of my husband 's favorite places we have been.
2023-10-01,5.0,Stayed one night,The space was comfortable and quiet. We had what we needed and enjoyed the local cuisine at the Coon's Saloon.
2023-10-01,5.0,Stayed one night,"Nice and affordable, great place to stay!"
2023-10-01,5.0,Stayed one night,This was one of the best places I’ve stayed. They have a beautiful home with a quiet country feel.
2023-10-01,5.0,Stayed one night,This is the 2nd nicest Airbnb I’ve stayed in over 5 years! Bathroom is nearly palatial with a hug jacuzzi tub and enough hot water to fill it. Rec room for a family. Spotlessly clean!
2023-10-01,5.0,Stayed one night,"It was a lovely place to stopover for the night. Comfortable sofas with a big tv.
The queen size bed was very comfortable."
2023-10-01,5.0,Stayed one night,"Clean, spacious and quiet. Lovely place to stay."
2023-10-01,5.0,Stayed one night,Wonderful Home
2023-10-01,5.0,Stayed one night,Great place to stay! Convenient location!
2023-10-01,5.0,Stayed one night,"Very convenient location, especially for commuters. Comfy bed. The temperature was perfect. Also love the reclining couch, the big TV with all the options. It was quiet & relaxing. Thank you. Very easy check-in."
2023-10-01,5.0,Stayed one night,We had a very pleasant overnight stay. Unit is clean and pleasant. The bed was very comfortable. Recommend this Airbnb.
2023-10-01,5.0,Stayed one night,"We slept through one night, and the host welcomed us very kindly. A jacuzzi is very welcome after a long drive. The accommodation is really uniquely furnished and full of small fun details. Every corner of the apartment is carefully and originally furnished. Cleanliness is on a very high level!"
2023-10-01,5.0,Stayed one night,"Lovely, immaculate home. I would definitely stay here again!"
2023-10-01,5.0,Stayed one night,This was my second time here. It is as good as it gets with AirBnB. You will love it here.
2023-09-01,5.0,Stayed one night,So accommodating and friendly. Clean!! The giant hot tub in the bathroom was a wonderful surprise! This was the best Airbnb deal I've experienced! I will stay there again if I have the opportunity!
2023-09-01,4.0,Stayed one night,"This is a great value. The hosts were quick to respond. The reclining couches and the big screen TV were a nice treat after a long road trip. The large bathroom and huge walk in shower was great for getting ready. The queen size bed and bedding (especially the sheets) in safari room were so comfy. But as I was laying there thinking how comfy and rested I was, I thought about how there were no egresses windows in the basement bedroom I was in and then realized I didn’t see ANY windows in the basement or an exit/fire escape route posted. (I did not open any doors that were closed in their bsmt looking, as we were on our way out) This might be an issue for people. I never gave it much thought, until then."
2023-09-01,5.0,Stayed one night,"Perfect place for our quick overnight stay. Very comfortable, spotless! Would highly recommend!"
2023-09-01,5.0,Stayed one night,"Very clean, quiet and well maintained. Easy to find, would definitely stay again.
A+++"
2023-09-01,4.0,Stayed one night,"Michelle & Eddie’s place was great. It was clean and comfy. We needed a quick night to stay, however I missed on the booking that we needed to check in before 11pm — definitely make sure you read everything and check your time zones. Their sleep before work is very important to them. We almost didn’t have a place to stay right before we arrived, after our 12 hour drive. No fault of theirs and I understood the frustration from my mistake. Thankfully they allowed us to keep our booking and sleep there while we remained respectful to their sleep. I would recommend regardless."
2023-09-01,5.0,Stayed one night,"This was one of the most beautiful AirBnB's that I have stayed in.
Plenty of parking, safe area, great hot water and a strong WiFi signal.
I would stay here again."
2023-09-01,5.0,Stayed one night,"Great place to stay, very clean with a lot of amenities! I would definitely stay here again!"
2023-09-01,5.0,Stayed one night,"Perfect for an overnight stay as I had a long drive through Nebraska. Michelle was very nice, greeting me upon arrival. I appreciated being able to pull my vehicle up closer to the house. Bed in ‘jungle room’ was super comfortable & I enjoyed the hot shower. I would stay here again!"
2023-09-01,5.0,Stayed one night,"Nice place. We had the entire lower level. Immaculate condition. Big TV, huge bathroom. Great value."
2023-09-01,5.0,Stayed one night,Wonderful stay in the jungle cat room!
2023-09-01,5.0,Stayed one night,I thoroughly enjoyed my stay. Excellent value and easy to find. I got to stay in the “jungle room”. It made me smile when I turned on the light and saw the toy stuffed lions and tigers on the dresser! I will definitely stay there when I come through the area!
2023-09-01,5.0,Stayed one night,"The place was very clean and comfortable. Nice soft carpet. we were very tired and had a relaxing evening. We slept well and were on the road again before dawn, making today's travel much easier."
2023-09-01,5.0,Stayed one night,We stay here every year and we’re grateful for the location and price - thanks for being consistent and flexible!
2023-08-01,5.0,Stayed one night,A beautiful place to stay!
2023-08-01,5.0,Stayed one night,Comfortable bed and well equipped super large bathroom were the highlights. Being able to use the spacious basement family room with big screen tv was an added perk. Michelle was very accommodating and the household was quiet. Ideal place for my stopover.
2023-08-01,5.0,Stayed one night,Michelle and Eddie’s place was very quiet and peaceful. Super clean space and very private. Just what I needed after a long day on the road!
2023-08-01,4.0,Stayed one night,Spent only one night but accommodation very well
2023-08-01,5.0,Stayed one night,"Second stay here, easy communication and nice quiet location"
2023-08-01,5.0,Stayed one night,"Clean, comfortable. and quiet. Just what we needed. The pool table was really nice too."
2023-08-01,5.0,Stayed one night,Very comfortable place to stay. I loved the decorations. There was a drinking water cooler/heater that was nice to use as well. I highly recommend this host and room.
2023-08-01,4.0,Stayed one night,A nice place overall
