date,rating,note,review_text
2024-06-01,5,Stayed with kids,"Our family loved our stay at Casa Little Bird! The place was clean, we loved all the little rooms and places to spread out, the amenities were clean and easy to use, and the decor was so beautiful. We could tell that a lot of love and care had been poured into all of the details of that sweet little house, and we can't wait to stay there again! Thank you, Savanna!"
2024-06-01,4,Stayed a few nights,Great little house in a beautiful location!
2024-06-01,5,Stayed with kids,What a great place and host - would love to stay here again when we visit Los Alamos!
2024-05-01,5,Stayed a few nights,Such a lovely place and very conveniently located. We would definitely stay here again and we highly recommend it!
2024-04-01,5,Stayed a few nights,Charming cottage like home. Very clean. Thank you
2024-04-01,5,Stayed a few nights,"We were in town for a family memorial service, and the home was easy to find, quiet, sunny, and clean. It was just what we needed. I also have food allergies, and the kitchen had all the pots/pans/plates I needed, as well as some olive oil/salt/pepper for cooking. It was close to our relative’s home, and we would stay there again in a heartbeat. Thank you for a lovely stay!"
2024-04-01,5,Stayed a few nights,perfect. No complaints at all. Highly recommended!
2024-03-01,5,Stayed a few nights,"Lots of great things here:
Nice Coffee maker plenty of filters
Plenty of Towels & Blankets
Blinds that blocked window drafts
Good internet signal
Two seating areas kitchen & living rooms
Well equipped - provisions, coffee & filters, sugar paper goods (you name it)
Location excellent
Fireplace in living room and mini split in kitchen area very nice
Chest in back bedroom
Doors, locks security excellent
Washer and dryer excellent
Desk in back bedroom has excellent pullout AC plugs
Excellent off street parking
Decorative porch lights on front porch made the casita welcoming & easy to find and to see the walkway at night.
Hot water boiler in kitchen very useful
Nice quiet neighborhood
Entire house for our own use & nicely renovated"
2024-03-01,5,Stayed with kids,We had a great stay! Perfect amount of space for our family.
2024-03-01,5,Group trip,very clean
2024-03-01,5,Stayed with kids,"The house was great for my family of six. 15, 12, 9, & 7 year old kids. Great base camp for exploring the area. We skied at Pajarito Mountain, roughly 10 minute drive, for three days and checked out Bandalier one afternoon. Convenient to groceries and restaurants. House had very modern touches to a mid 20th century style structure. Great views and I would definitely consider staying here again."
2024-02-01,5,Stayed with a pet,"One of the best-appointed AirBnBs we have stayed at recently. All of the essentials provided, well-appointed kitchen, paper products, etc. It is always a bit annoying when you have to go to the store to backfill that stuff mid-trip and Savanna’s place was very well set up with everything one would need. We will be back. Thank you!"
2024-02-01,4,Stayed a few nights,Savanna's place is a cute little house very close to the center of town. We liked how fast and easy it was to get to downtown. We also enjoyed the hiking trails we could walk to from her front door.
2024-02-01,5,Stayed with kids,Cozy place with everything we needed for a ski getaway. Easy access to Pajarito and just a few minutes from city center.
2024-01-01,5,Stayed with kids,A great location to ski at Pajarito and visit the local restaurants and breweries. The hosts were responsive and kind.
2024-01-01,5,Stayed a few nights,Great little house. Equipped with everything you could need and close to all that Los Alamos has to offer. Hosts were friendly and responsive.
2024-01-01,5,Stayed a few nights,Savanna's place was a nice home base for activities around Los Alamos. Homely in a quiet neighboorhood. Was easy to find and a great deal too! Will try and come back again.
2024-01-01,5,Stayed a few nights,"This was a fabulous small place to stay with everything you need.
A very short drive to everything in town. Well equipped and most important for me it was free of fragrances in the cleaning products. A peaceful place to hang out.
The hosts were attentive, friendly and helpful.
I would go back whenever possible."
2024-01-01,5,Stayed with a pet,"Home was centrally located and was just as described. Very easy to get inside and having extra blankets was a nice touch. Worked well with our dog, as yard is fully enclosed. Would stay again if we were to go back to Los Alamos."
2023-12-01,5,Stayed a few nights,"Couzy, comfortable, clean and in a quite part of town."
2023-12-01,5,Stayed a few nights,This was an excellent experience. Thanks!
2023-12-01,5,Stayed with a pet,"Everything was as advertised. Great spot, close to everything. Will look to book again next year."
2023-10-01,5,Stayed a few nights,Savanna's house was clean and just as pictured. We cooked a couple of meals during our stay and the kitchen had everything we needed. We didn't have any issues and would stay here again in the future.
2023-10-01,5,Stayed a few nights,"Savannah was flexible about our check in time, and she responded quickly when we texted her with that question.
(We had arrived to the area a couple of hours early and didn’t want to leave our full car unattended.)
Instructions and checkout expectations were clearly communicated."
2023-10-01,5,Group trip,"We had a wonderful stay in Los Alamos. Communication was prompt, clear, complete. Perfect accommodations for our long weekend. We’d all return in a minute."
2023-10-01,5,Stayed a few nights,This is a great home in a great location! Hope to return soon and will definitely rebook here.
2023-10-01,5,Stayed a few nights,"Great location! Great communication!
Los Alamos is beautiful. The house was perfect. Thank you!"
2023-10-01,5,Stayed with kids,"Our stay at Casa Little Bird was great! All was as described, and everything was comfortable, with plenty of supplies and linens. Central location, and overall very relaxing stay. Savanna and Mark were wonderful hosts, and I would stay again, absolutely!"
2023-09-01,5,Stayed a few nights,"We had a wonderful stay at Savanna's house. It has every modern convenience, and was warm, uncluttered and very clean. Would definitely stay again!"
2023-09-01,5,Stayed with kids,"Clean, comfortable and with a central location. Home worked perfectly for our family. Kitchen amenities were good and we also appreciated the washer/dryer! Would stay here again."
2023-09-01,5,Stayed with kids,"Enjoyed our stay at Los Alamos. It's convenient and quiet neighborhood, and everything looks as the photos. Check in was super easy and only a 2 min drive back to Central Ave where all the history to check out is. 2 great breweries in town - Bathtub row and Boese Bros, both with very friendly staff. Drive to Bandalier is only 25mins and is pretty (and a must see NM).
Would definitely recommend this home."
2023-08-01,5,Stayed about a week,"I really enjoyed my stay there. I felt happy and comfortable in the house and the location was very convenient.
I look forward to staying another time. I find Los Alamos such a beautiful and special place."
2023-08-01,5,Stayed with kids,"Savanna’s spot was perfect—exactly what you want an Airbnb to be— minimal and clean, but cozy. There was great hiking in walking distance. Savanna was exceptionally flexible, responsive, and helpful during our stay. I’m very happy she was our host for our Los Alamos trip!"
2023-08-01,5,Stayed a few nights,"Perfect house to stay in while visiting the area! Very convenient location, comfy bed and linens. Especially enjoyed sitting on the front porch during our down time."
2023-07-01,4,Stayed with kids,We had a wonderful time. The house is as described. Plenty of space and everything works properly.
2023-06-01,5,Stayed with kids,"We had a great stay! The location was close to town in a quiet subdivision with nice hikes nearby.
We were also close to roads going to Valles Caldera and Bandelier Cliff Dwellings.
The hosts were quick to respond to any questions I had.
Thanks for hosting us."
2023-06-01,5,Stayed with a pet,Great place. Close drive to everything you need. House was clean and cozy.
2023-06-01,5,Stayed with kids,"Savannah’s place was just perfect for our family trip. We felt comfortable, safe, and right at home in the house. No complaints at all and would be happy to stay again."
2023-06-01,5,Stayed with kids,This is a very nice place to stay in Los Alamos.
2023-06-01,5,Stayed about a week,"It was a little expensive, but the house is nice and everything went smoothly."
2023-05-01,4,Stayed a few nights,spacious home with great communication from the host. great central location with easy parking. friendly neighbors too!
2023-05-01,5,Stayed with kids,Great stay for 6 weeks. Highly recommend
2023-04-01,5,Stayed with kids,Nice and clean place to stay for few days.
2023-04-01,4,Stayed a few nights,"This is a very nice place to stay. It was clean and comfortable. Very close to the places we wanted to see in town. I do have a couple of cautions, however. This house is designed for average height to tall people. I am only five feet tall. I could not reach any of the upper shelves, nor turn on the light over the sink, nor turn on the hall light. Those lights had switches on the lights themselves and the lights were almost ceiling height. Luckily, I have a six foot tall husband. One other caution is the dining area is a step down added-on room which also houses the refrigerator. This house would not be good for anyone with mobility problems. These are not complaints. Just a heads up to people wanting to find a house which meets their needs."
2023-04-01,5,Stayed a few nights,Enjoyed our stay. Casa Little Bird was exactly as described. It was super clean and the updated decor was so nice. We would definitely stay again.
2023-03-01,5,Stayed a few nights,"A beautiful home away from home. The perfect base for Los Alamos, Bandelier, and the caldera."
2023-03-01,5,Stayed a few nights,Great place to stay
2023-03-01,5,Stayed a few nights,Savanna's home was just perfect for our visit to Los Alamos. Plenty of room for our family of 3. The home was nicely updated and convenient to Los Alamos attractions. Highly recommend Savannah's home in Los Alamos.
2023-03-01,5,Stayed with kids,"We came up with the family for a ski trip at pajarito, lodging can be very hard to find in Los Alamos because it’s so small but savannas place was great for a family, the kitchen and living areas were spacious and there was plenty of room for 2 grown ups and 2 little kids. About a 5 minute drive from “downtown” Los Alamos/historical sites and 15 minutes to pajarito…"
2023-03-01,5,Stayed a few nights,Great comfy place. Very well equiped
2023-03-01,5,Stayed a few nights,Great place to stay. Comfortable and clean. Quiet neighborhood. We would stay here again
2023-03-01,4,Stayed a few nights,House in residential area about 1-2 miles from museums and restaurants. Close enough for an afternoon of snow showing at Valles Caldera.
2023-03-01,5,Stayed a few nights,"This was a really nice, clean, and quiet stay. Conveniently located near downtown Los Alamos with a great well stocked kitchen setup. Definitely recommend for Los Alamos stays. Thank you Savanna!"
2023-03-01,5,Stayed a few nights,Another wonderful stay!
2023-02-01,5,Stayed a few nights,"Super cute house, well decorated and quaint. Close to the Pajarito ski area and to Bandelier. Had a great time exploring the area."
2023-02-01,5,Stayed a few nights,Wonderful location for the things we enjoyed doing - snowshoeing and hiking.
2023-02-01,5,Stayed a few nights,"Home is cozy, clean and comfortable , and convenient location !"
2023-02-01,5,Stayed over a week,"Another great stay at Savanna & Mark’s place. Consistently a clean, warm and welcoming place to stay while in Los Alamos. Many thanks for accommodating my last minute changes to my reservation!"
