date,rating,note,review_text
2024-06-01,5,Stayed a few nights,"Jennifer’s place hands down was amazing from 1st contact till departure. Beautiful area and home. We felt right at ease and enjoyed the space. I highly recommend staying here. Her personal touches and having anything and everything you could need was phenomenal. The honest cookies with a personal note was a huge bonus. Husband ate them all but 1 🤣 I got that one. Lol
Check in was simple. Bed was comfy. Everything was clean. Pool felt amazing. Space was perfect.
Thank you again Jennifer for an awesome few days with brand new grandson. We appreciate all your hospitality.
We will be back!!"
2024-06-01,5,Stayed with kids,Very pristine home away from home. Super accommodating. Jennifer goes above and beyond to make sure you enjoy your stay to the fullest. Looking forward to staying there again!! Couldn’t have asked for a better host!!!!
2024-06-01,5,Stayed one night,She is sweetheart and I loved the place. Definitely everyone should prefer it.
2024-06-01,5,Stayed a few nights,"If you want to experience southern hospitality, Jennifer’s place is right for you!"
2024-06-01,5,Stayed one night,"Jennifer’s place was perfect! Everything was very clean and she was very responsive. She went above and beyond by leaving snacks, homemade cookies, and a thoughtful note! This was the BEST airbnb we’ve stayed in and is our new to-go when we are visiting Lubbock."
2024-05-01,5,Stayed with kids,Beautiful and clean! We loved the soft blankets and comfortable bed. Jennifer was a great host and communicated quickly and with kindness!
2024-04-01,5,Stayed with kids,Jennifer’s place was amazing! It was so cute and clean. She had everything and more that you would need during your stay. We would definitely stay there again if we were in the Lubbock area!
2024-04-01,5,Stayed one night,"What a great retreat! We were so impressed with the ease of the space, it's quick location to many restaurants and shops and it's private nature. The pool was gorgeous a d could be heated in cool weather. Great experience!"
2024-04-01,5,Stayed about a week,Jennifer and her family are great hosts hands down! They are willing to go above and beyond so that your stay in their Cozy and Safe Guest House is just like at home. Everything is exactly as described and the pool is fabulous. Heated and well maintained the swim is so relaxing. Not to mention the fully equipped kitchen and washer/dryer that makes your long term stay just like at home. Sparkling clean and fine touches this place stole my heart. Last but not least the cookies are such a nice and welcoming sweet present that gave me great vibes throughout the entire stay and I will happily come back at any given time for another round. Thanks again for the cozy stay!
2024-03-01,5,Stayed one night,very beautiful place
2024-03-01,5,Stayed a few nights,Jennifer was an awesome host! House is very clean and cozy. The cookies she left as a welcome guest were best cookies ever! She goes above and beyond!
2024-03-01,5,Stayed one night,"I was only in town for one night, but I had such a lovely, restful stay. The guest house was really nice & cozy, & it had air many thoughtful touches. And Jennifer was so kind & friendly!"
2024-03-01,5,Stayed one night,"Great place. Super clean and large space.
Owners were very on top of everything.
Would definitely return."
2024-03-01,5,Stayed one night,"We had a short trip, but the place was so beautiful and the pool is awesome! Would stay again !"
2024-03-01,5,Stayed with kids,"Jennifer’s place was really clean! She left bottle water and snacks out for us as well, hooked us up with a grill to cook in the evening, and she was really ￼good with communication!"
2024-02-01,5,Stayed a few nights,"Jennifer was a great host: very responsive, kind, professional, and understanding. Overall, she was the best host we could have asked for. Her place was amazing and very clean. We loved the pool experience as well. We will definitely be back in the near future. Thanks a lot, Jennifer!"
2024-02-01,5,Stayed one night,Jenifer was fantastic as a host! The house was spectacular and looked exactly what the images showed. Super clean and had everything we needed.
2024-02-01,5,Stayed one night,Jennifer was a great host! Her place was just as described and we felt right at home. She was very communicative and had everything we needed when we got there. We will be staying there again!
2024-02-01,5,Stayed a few nights,"Since April of 2023, I have stayed at 12 AirBnB’s. Jennifer’s “Sweet, Safe, & Cozy BackHOME” IS everything in the title but SO much more! Her attention to detail and cleanliness along with the cozy Texas decor makes for an extremely comfortable stay with surprises along the way!"
2023-12-01,5,Stayed one night,"Our stay was very brief, but we found the space to be very cozy and welcoming clean as advertised. The host was very responsive."
2023-12-01,5,Stayed a few nights,it felt safe and amazing! those cookies were amazing!
2023-12-01,5,Stayed one night,"This place is so cozy and cute! We loved the personalized card and cookies. Very thoughtful. All the snacks, made us feel like kids again. Can't wait to go back for pool season."
2023-11-01,5,Stayed one night,This is a gem. Jennifer is a sweet host. It's beautiful and cozy.
