date,rating,note,review_text
2024-06-01,4.0,Stayed one night,"The hosts are responsive and accommodating. This spot would be good for a single person or a couple just passing through for a night. The bed was very comfortable. Due to the fact that the apartment was once the porch for the house, it is not insulated well & the windows are original. While this adds character, it also allows for insects and also the Georgia heat to seep in. The apartment was too warm for us to get comfortable and have a good nights sleep. For this reason, I don’t think it would be comfortable stay for longer than a 1 night stay."
2024-06-01,4.0,Stayed one night,Nice possibility for a stopover on your way to Atlanta.
2024-06-01,5.0,Stayed one night,Exactly as described and a solid value
2024-06-01,5.0,Stayed one night,"The property was really well maintained and had a lot of historic charm. We were only there for one night, but would gladly have stayed for longer. The bed was like sleeping on clouds--perfect after a long road trip. The property is in a very nice neighborhood and within walking distance of downtown Macon and lots of delicious places to eat. Scott and Megan were excellent hosts. I accidentally left my Kindle behind when we checked out and they were kind enough to reach out to me and arrange to mail it to me. Thanks Scott and Megan!"
2024-06-01,5.0,Stayed a few nights,Super cute apartment. We were in town for my brothers Law School Graduation. The location is perfect for Mercer College and a quick uber to restaurants and bars. The apartment is very spacious and has so much charm. Would definitely stay again.
2024-06-01,5.0,Stayed one night,Great Stay. Great Hosts.
2024-06-01,4.0,Stayed one night,We felt like we had stepped back in time for a while in this historic place. We jokingly expected it to be haunted but we were so comfortable and slept great. Scott was very quick to respond and understanding when I had an issue. Thank you for the overall experience of our first stay in Macon.
2024-06-01,5.0,Stayed a few nights,Haven't stayed at many Airbnb's but this one is my favorite. It's an apartment within an old Macon mansion and was formerly the porch. Plenty of space for two with a great bedroom and a very funky bathroom. You can even do your laundry in there. Just about every place we wanted to visit was 5 minutes or less by car. Would definitely go back.
2024-05-01,4.0,Stayed one night,much cheaper than local hotel. pretty close to downtown.
2024-04-01,5.0,Stayed one night,"This was a great apartment in a great location! The apartment was very cute, clean, and had everything we needed. Scott and Megan were very quick to communicate with us and even let us check in a little early. We will definitely be back!"
2024-04-01,5.0,Stayed one night,The home is just as listed. It’s beautiful inside. We were here for just a fast overnight stay for a convention. The area is quiet and it’s an easy walk to a few restaurants.
2024-04-01,5.0,Stayed one night,We had a wonderful stay when we were on our trip from Florida. The apartment is so comfortable and spacious. The kitchen has everything you could possibly need and the bed is perfection! We already can’t wait to return.
2024-04-01,5.0,Stayed one night,It was a quick visit. The bed was so comfortable! Nice hosts too.
2024-04-01,5.0,Stayed one night,"I really appreciate that Scott and Megan were open to a same-day reservation. Their place is beautiful, comfortable and easy to access. Having laundry facilities in the apartment is what sold me - so much better than using a laundry room in a hotel. The parking behind the house, which is accessed by the driveway to the left of the house, felt very private. Thanks!"
2024-04-01,5.0,Stayed one night,"Scott and Megan were wonderful hosts! Every question and concern was answered immediately and clearly. We loved the check-in directions! They were clear and easy with added pictures that helped a guest arrive and enter easily. The living space was lovely. Although we didn’t use the washer and dryer, those appliances were readily available. The big sleigh bed was comfortable and the kitchen dishes were charming! Restaurants were within walking distance and the community folks were very friendly. Macon is a beautiful town. It was the perfect place to stay over at on our way to Florida. We will definitely stay again when heading north or south along the I-75 corridor. Thank you for sharing your beautiful home with us!"
2024-04-01,3.0,Stayed a few nights,"The place is a piece of history. The hosts were able to keep the old design and renovate it. The bed was clean and comfy. The kitchen area was clean and I liked how they put flyers of near by restaurants for people who are not familiar with the area. It's a quiet area and the hosts are really nice.
However, the shower area was a bit crammed and small so if you are clusterophobic then you might not like it. The TV is small and laggy so just be aware of that."
2024-04-01,5.0,Stayed one night,"Loved staying at Scott & Megan’s beautiful airbnb! Comfortable bed, charming decor and convenient location. And the laundry and kitchen are so great to have should you need it! Highly recommend."
2024-03-01,5.0,Stayed one night,Beautiful historic home in a safe area.
2024-03-01,5.0,Stayed with a pet,Charming and comfortable place to stay the night on our long road trip. So glad it was available and hosts were able to accommodate a late reservation. Loved it.
2024-03-01,5.0,Stayed one night,"We only stayed for one night, however, it was pleasantly no muss-no fuss. The photos and info on Scott and Megan's listing were accurate and clear, which is just what you want for a short term stay like this.
The neighborhood and house were peaceful and quiet. It was a very enjoyable stay!"
2024-03-01,5.0,Stayed with kids,"Charming place, great location, well appointed"
2024-03-01,5.0,Stayed one night,"If You Love history , you’ll love this house and neighborhood."
2024-03-01,5.0,Stayed with a pet,The area where the house is located is fantastic - beautiful historic homes and walking distance to downtown shops and restaurants! The home is well-appointed and has everything you could need for your stay.
2024-03-01,5.0,Stayed one night,My daughter stayed here on her way back to school and LOVED it! She sent pictures of the decor and talked about how adorable it was. I wish I could've stayed here... :)
2024-03-01,5.0,Stayed one night,Lovely and spacious spot for a couple. The location is fantastic and the neighborhood is beautiful. We walked to downtown for a concert & felt perfectly safe. Scott & Megan were very responsive and left information for all we needed to know. We will definitely book there again when we come back to Macon.
2024-03-01,5.0,Stayed a few nights,Great place to stay Macon!
