date,rating,note,review_text
2024-06-01,5,Stayed with kids,Wonderful host. Absolutely charming home. Would not hesitate to recommend this home to anyone.
2024-06-01,5,Stayed a few nights,we absolutely enjoyed our stay ...if Host will again allow us to be thier guest in thier home ...we would definitely come back ...we had open communication with our host & we were extremely satisfied with our accommodations
2024-05-01,5,Stayed over a week,Great place. Host was responsive & nice.
2024-04-01,5,Stayed a few nights,.
2024-04-01,5,Stayed with kids,We enjoyed our stay very much! Super comfortable and had everything we needed!
2024-04-01,5,Stayed a few nights,"We LOVED the house and yard it made us feel at home.
The rocking chairs was an added bonus. We will use again
Thank You
Janet and family"
2024-04-01,5,Stayed a few nights,great
2024-03-01,5,Stayed a few nights,communication and care was given from the host.
2024-03-01,5,Stayed over a week,Nice little place.
2023-12-01,5,Stayed a few nights,"Beverlee was a wonderful host, as always! Amazing accommodations and super responsive and helpful when you message her or have a question!"
2023-12-01,5,Stayed with kids,We had a lovely time visiting family & enjoyed the home it was absolutely more than we thought it was.
2023-12-01,5,Stayed with kids,Beautiful home and I would love to stay again!!
2023-12-01,5,Stayed a few nights,Definitely a home away from home.
2023-12-01,5,Stayed a few nights,"I enjoyed the stay, it is very comfortable."
2023-11-01,5,Stayed a few nights,We enjoyed everything!
2023-10-01,4,Stayed with kids,"It was everything my boyfriend wanted and more during his escape from the hustle and bustle of hauling concrete in DFW. My son had NO ANXIETY which was a blessing he is a 3yr old with ASD. The pictures, the decor, it feels like a home that was steeped in love throughout the years, truly. We wished we could have spent more time enjoying the home than visiting family. Amazing hosts! Amazing job! We are still in awe at how it checked every box on the list of things we wanted and needed for our short getaway. Thank you Beverlee and Keith your home was truly a home to us."
2023-10-01,5,Stayed a few nights,So pleased to find somewhere to call “home” when I visit m hometown. Love the front porch & rocking chairs!
2023-09-01,5,Stayed a few nights,"I and My parents really enjoyed our stay. The accommodations were far more than what we expected for a small rural community such as Haynesville. This cottage would standout in any setting! The amenities were just what we needed for such a family trip as this ... spacious, quiet, full kitchen and multiple bathrooms. I would rate Beverlee's listing a 4.7/5, will definitely recommend and look forward to returning for another stay."
2023-09-01,5,Stayed a few nights,The photos posted do not do it justice. It was absolutely beautiful!! We had everything we needed plus more. Quiet little neighborhood. Very cozy and the decor was amazing. First class! Would love to stay again!!!
