date,rating,note,review_text
2024-06-01,5,Stayed with kids,The house was amazing! Everything was clean and was certainly an enjoyable space for my family. Erin was very responsive and accommodating.
2024-06-01,5,Stayed with kids,"Pros: Erin was very responsive. Quickest response time I’ve had with any host. My son left an item there and she made sure we got it back. She truly went above and beyond for us. The house was so clean! Not one thing was even slightly dirty. It was quite impressive. The neighborhood was very nice and we felt very safe there. There was tons of space. The back yard was fenced in and it was so cute and peaceful out there. There were plenty of towels and supplies. The bathrooms were especially clean and had great water pressure and stayed hot through several of us showering back to back.
Cons: The AC wasn’t working, but she quickly contacted someone to come look at it. It wasn’t able to be fixed immediately but she offered to bring us fans and made sure our stay was discounted. As stated in the description, the house is old so the floors creak a lot upstairs. It didn’t bother most of us but I am a light sleeper so it was difficult to sleep for me while others were up. The street is busy."
2024-06-01,5,Group trip,"This is a gorgeous old home in the heart of Marietta in a quiet neighborhood. You can walk almost anywhere in town from this location. Erin was a very responsive host who answered my emails in less than an hour (and usually sooner!) every time. We were there for a small family reunion and some stayed at Erin’s home while other’s stayed at the Lafayette. One of the things we really appreciated was that the kitchen was actually well stocked with silverware, plates, glasses, etc. We were able to order carry out the evening we arrived and not have to worry about having something to eat on and with! (There’s also a working dishwasher, which was very helpful.)
I highly recommend this home and this location."
2024-06-01,5,Group trip,We had a fabulous time at Erin’s player piano home. We felt as if we were right at home as soon as we arrived. Coming back to Ohio from the Carolinas we enjoyed the architecture and detail of the home. We thoroughly enjoyed the Pianola in the evenings once returning from a busy day! The beds offered a comfy and peaceful nights sleep. The home was quite peaceful for a town location. Being close to restaurants and shopping topped off the convenience of the location. Erin was a sweet breath of fresh air and we enjoyed our quickly answered communication with her. We will always book Erin’s player piano home every visit to Marietta!
2024-06-01,5,Stayed about a week,"We are so glad we chose to stay at Erin’s beautiful home whilst visiting from the UK for a family wedding in Marietta.
Erin was always responsive to our many questions and went above and beyond to ensure our trip was great from start to finish. The property was the perfect location in a quiet, stunning neighbourhood.
A great space for our group of 5 with everything we could have needed.
Thank you again for your incredible hospitality and we hope to visit again in the future."
2024-05-01,5,Group trip,"Great place, great host! Highly recommend! Perfect place for our family to stay for Marietta College graduation weekend. A cool house with a big personality, everyone had fun picking which bedroom they wanted. Wish it didn't rain so much over the weekend, we didn't get to spend any time in the backyard or relaxing on the front porch. Thanks again to Erin for being a great host."
2024-04-01,5,Stayed a few nights,Beautiful home and area
2024-04-01,5,Stayed with kids,Beautiful house in a great location!
2024-04-01,5,Stayed a few nights,This is a charming older house in a nice neighborhood with plenty of space. The area has plenty of restaurants and eclectic shops.
2024-04-01,5,Stayed a few nights,Full of character and style! Internet was very low (below 5 mbps at best) but fortunately wasn’t a necessary for our trip.
2024-04-01,5,Group trip,"Excellent Airbnb. And who knew Marrietta was such a nice place to visit? The old downtown is super cool. The architecture everywhere nearby was so historic and interesting. We loved the Levee House Bistro and highly recommend the Scottish salmon, best salmon we have ever had. Back to the ABNB, it was so perfect for our party of three couples. No one had the any dissatisfaction. It really is a perfect place."
2024-04-01,5,Stayed a few nights,"We arrived in Marietta during the flooding and weren’t sure about road closures or flooding near the home. We messaged Erin and she responded immediately that the house was not impacted and provided us alternate routes to get there. The instructions to get in the house were easy, and the house was spacious with plenty of room for me and my husband and his elderly parents. Plenty of linens. Nice fenced backyard. Very close to everything in Marietta."
2024-04-01,5,Stayed with kids,Great location. Very lively and quaint neighborhood. The house is amazing. So many treasures around every corner. The upstairs master shower was wonderful. And the heater on there was such a great bonus. Very comfy and felt right at home!
2024-03-01,5,Group trip,"This amazing house was better than the photos. It was perfect for our large group. Plenty of room, very very clean and comfortable. The shower in the bath upstairs was glorious! The location is convenient for restaurants and shops, felt very safe and parking out front was easy to find, even with 3 cars. Erin was very communicative and friendly. We can’t wait to come back again!"
2024-03-01,5,Stayed a few nights,Very enjoyable stay. Comfortable home to stay in. Beautiful town and very walkable.
2024-03-01,5,Stayed about a week,"Hi Erin,
My crew and I had a nice stay.
Thank you
Rick D"
2024-02-01,4,Stayed a few nights,Good value
2024-02-01,5,Stayed a few nights,"Erin's home has a ton of character and is well loved. Her instructions for checking in were very clear and easy to follow. The home is so spacious and tastefully decorated. The restaurants are within a walkable distance as well as many points of interest such as the Mound Cemetery, Campus Martius, the Castle and various beautiful homes. My husband and I were thoroughly pleased and impressed with Erin's home and our stay in Marietta!"
2024-02-01,5,Stayed a few nights,The description of the house is on point. Great Victorian home with all the charm.
2024-01-01,5,Stayed a few nights,"Erin’s place was beautiful and is big had everything we needed, the only thing I can say on the down side is wish there was a bedroom downstairs my dad is 80 and it was hard for him to go upstairs and downstairs but besides that everything was wonderful and would stay again when I’m in the area."
2024-01-01,5,Stayed a few nights,"Once again, a perfect place for my crew and I. Beautiful and comfortable house. I highly recommend staying here if you are in the area."
2024-01-01,5,Stayed a few nights,"Erin was a great host and very responsive. The house was even better than the pictures. The descriptions of the house were very accurate. My family and I thought that our stay in a house that is that old, well maintained, and restored meticulously was a very cool experience. The decorations were awesome. We had everything we needed. We didn't want to leave."
2024-01-01,5,Group trip,"Loved the house and the decor. In every nook and cranny, we would discover a new fun and quirky treasure. The house was stocked with everything needed for myself and daughters/friends for a girls trip. Thanks, Erin!"
2023-12-01,5,Stayed a few nights,"This victorian home was absolutely gorgeous. very spacious with lots of room for everyone.
Everything we wanted to do was in walking distance and the neighborhood was adorable. Definitely will stay again!"
2023-12-01,5,Stayed with kids,Everything was perfect in this lovely home in beautiful Marietta.
2023-12-01,5,Group trip,"Beautiful home, perfect for visiting with friends in the area. We had an amazing experience and we would definitely stay here again!"
2023-12-01,5,Stayed with kids,"Such a lovely house, with so much character. Perfect for a little Christmas break trip with our boys! Had everything we needed, and we just loved this house."
2023-12-01,5,Stayed with kids,"Erin's home was very clean, and just as you can see the decor in the picture that's what you will find when you arrive. so beautiful. it's a lovely Victorian home with lots of little findings thought the home to really almost put you back in that time period ! we loved it so much ! we were in for my sister's wedding and there were 8 of us, all getting ready at the same time there is plenty of space to do that. Erin, we thank you from the bottom of our hearts for being so kind and accommodating! we will definitely be back !"
2023-12-01,5,Stayed a few nights,This was an awesome place to stay! The house is gorgeous with plenty of space for me and my crew. We will stay here again when we are in the area.
2023-12-01,5,Group trip,Erin’s Victorian house along a tree lined street was beautiful! Would definitely stay there again.
2023-12-01,5,Group trip,"The airbnb was so lovely for my friends and I’s 1st get together after graduating college this past May. Walking inside gave an instant calmness and at home feel. It was spacious, cozy, and had detailed decorative charm! The kitchen was very useful for our meals and had everything we could have needed. We’d love to come back, already! 10/10 recommend."
2023-11-01,5,Group trip,It was perfect for our family.
2023-11-01,5,Stayed a few nights,incredible house and easy check in. highly recommend this location.
2023-11-01,5,Stayed a few nights,We had a wonderful time. Erin was quick to respond to any of our questions. Very cool home and beautiful!
2023-11-01,5,Stayed a few nights,"FIVE STARS!
My family decided to meet in Marietta for vacation and we had a wonderful time staying at Erin's charming and spacious home! It was a very easy to find and we got settled in quickly.
It was very clean, comfortable, and inviting to stay there. The house was beautiful with intricate woodworking and details that made us feel like we went back in time. I love antiques and vintage and this house was full of great details. She did a fantastic job with her decorating. We had plenty of room and did not feel like we had to be quiet in order to not disrupt each other. The backyard was private and well fenced which was great for the dog to play in! It was nice to let her off leash safely.
The location was in a pleasant and quiet neighborhood and great for walking and exploring.
We have already discussed coming back next year to stay again!"
2023-10-01,5,Stayed with kids,"Enjoy a stay in Historic Downtown Marietta :) I grew up here, this downtown area has always been the “place to be” and it’s within walking distance of many nice things to do/places to eat.
This house is beautiful, nicely laid out with lots of bedrooms and a nice backyard area. My girls loved how it was decorated and we felt very much at home during our stay! There is a park and library right nearby and the local grocery stores are close as well.
Erin was kind and responsive, we didn’t need anything while we were there, the house was very well appointed… but she was also available if we had needed.
If you’re staying at Erin’s make sure to stop into All Pro Nutrition and grab a shake/goodie! It’s one of our favorite spots in town :)"
2023-10-01,5,Group trip,"we visited Marietta for a wedding and used the house my parents, my wife and I and other family. it was convenient and centrally located and the house clean and spacious. it was a great weekend!"
2023-10-01,5,Stayed with kids,Lovely home with a nice mix of beautiful older architecture and updated amenities. highly recommend if you find yourself in the Mid-Ohio Valley.
2023-10-01,5,Group trip,Had a great time here! House and neighborhood was beautiful. Great exterior and porch with a really unique interior. It was beautiful. Pictures didn’t do it justice! Really special with a touch or creepy (the occasional doll in the house) but we loved it.
2023-09-01,5,Stayed a few nights,"this place was beautiful, it is by far the best place I've stayed. very beautiful home, everything about this place was amazing, so much nicer than the pictures show. Erin's home was very nice and very clean, it's very easy to get comfortable here, it even has a home gym. The neighborhood is very nice and is walking distance from restaurants and shopping, you can be downtown in just a few minutes. Erin was always very kind and friendly, very accommodating and easy to talk with. I really enjoyed my stay and will definitely be back. a very good experience and I'm 100% satisfied. I can't believe that some people would pay just as much or even more to stay in a hotel, Erin's home is so spacious, you get a full home with a awesome fenced in back yard, all at a very reasonable price. all I can say is I loved it!!
if your ever in the Marietta area you should definitely check this place out.
thanks again Erin for sharing your beautiful home,,.... 😊"
2023-09-01,5,Group trip,"What an amazing host and person! Don't pass this property up! Beautiful location the house is AMAZING. If you are looking for a property that is close to everything and very quiet, this is it!"
2023-09-01,5,Stayed with kids,"My preteen grandkids found plenty to do at the house..It was a charming setting. Erin was very responsive when we needed something or giving suggestions about what to do. She is very personable and we had several opportunities to spend time chatting.. I highly recommend this friendly getaway . It had plenty of space for the 7 of us. It was close to many delightful adventures in the town of Marietta. We love the town, and all the people we met. My grand children, as well as my daughter and myself enjoyed our stay."
2023-09-01,5,Stayed with a pet,"We booked for the Sternwheel Festival and a fun adult away weekend. The house was walkable to the festival and had everything we needed for the weekend. Erin was helpful when we had questions about anything regarding the house. Neighbors were very nice and the neighbor was very safe and great for walking, lots of beautiful homes and churches. We had yo drive to restaurants but had a great experience every we went. The festival was a lot of fun and if go the fireworks show was the best we have ever seen. The house is older and much of the furnishing are as well but that added to the weekend for us."
2023-09-01,5,Group trip,Thanks erin! We had a great time!
2023-09-01,5,Group trip,"Erin was a delightful host! Responded to all my questions in a timely manner and was very helpful! The house is gorgeous and perfect for our trip for our grandmothers 90th birthday! My sister, niece, nephew and partners/babies fit comfortably and the house had everything you could need! Great location, we won’t stay anywhere else in Marietta moving forward!"
2023-08-01,5,Stayed one night,Erin’s place was a very quaint! She was very responsive with any questions we had and it was the perfect place for an overnight stay to view the town and surroundings as we were passing through.
2023-08-01,5,Stayed one night,"unique, beautiful and interesting ""story book doll house"" with many fascinating furnishings"
2023-08-01,5,Group trip,We had such a great stay at Erin’s. She was most helpful with detailed instructions on accessing our stay. I was concerned with the on street parking but it wasn’t an issue at all. It is an absolutely gorgeous place and we felt at home. It was perfect for our whole family to stay for a family wedding in the area. I’d love to return and just have a getaway here.
