date,rating,note,review_text
2024-06-01,5,Stayed with a pet,Beautiful home and cool garage. Would stay again!
2024-03-01,5,Stayed with a pet,"Loved this cottage!! We enjoyed a relaxing family gathering in the game room/garage…what a gem that space is! The house was immaculate and very cozy. Kent is an A+++ host; very easy to communicate with, gave us all the info needed and always very quick to reply to questions. We felt right at home!"
2024-02-01,5,Stayed a few nights,"Kent & Erika’s place was just what the doctor ordered! Unfortunately it was not a vacation that brought my family to Iowa. It was a medical emergency. My father-in-law was in crisis in a hospital near Clear Lake. We needed a place to stay quickly and were resigned to staying in a motel until I found Kent’s place. Erika responded right away and we were able to check in same day. They were extremely responsive, sympathetic to our situation and made it seamless to transition to their place quickly. They were even flexible on extending our stay if we needed to given the uncertainty of my father-in-law’s situation. Staying at Kent & Erika’s house was the best decision we could have made! It was comfortable, had plenty of room and allowed us a place to decompress when not in the hospital. It would be an amazing vacation spot in spring/summer since it’s a stones throw from Clear Lake! I can’t thank Kent & Erika enough for their hospitality!"
2024-01-01,5,Stayed with a pet,A+ host.
2023-11-01,5,Stayed a few nights,"This was a nice place for a short stay. The house was clean and presented as advertised. The only negative was the TV which was streaming only, no network channels so we couldn’t watch football on Sunday. Maybe if we had a teenager along they could have figured out how to make the thing work. Not a big deal."
2023-09-01,5,Stayed with a pet,"We loved our stay at this modern cottage in Clear Lake! The process was easy and had great communication from reservation to check-in to check-out. The house was well equipped with all of the essentials for cooking, sleeping, and bathing! The outdoor areas like the porch swing and fire pit were comfy and super fun for our 3 year old. The quirky style inside was fun for a getaway with the tin ceilings and square black toilet. We wished there had been more family friendly seating inside like a small dining table and outside for around the fire pit. The location was super convenient - walking distance to parks and South Shore Donut Co. Overall a 10/10 experience and we will definitely be back!"
2023-09-01,5,Stayed a few nights,Great place a block away from the lake. Plenty of room with a spacious separate garage. Had plenty of amenities for our short stay. Highly recommend staying at Kent’s Lake Retreat!
2023-08-01,5,Stayed with a pet,"The house was a great get-a-way location for our quick family vacation. The beds were comfortable. The house was clean. The kitchen appliances were very nice, making cooking a breeze. The garage was a fun extra space to relax and watch a movie."
2024-06-01,5,Group trip,"Wonderful, peaceful property with a kind & attentive host!"
2024-04-01,5,Group trip,"This was the perfect place for our mini-family reunion. Enough space to spread out in each room, yet have time to gather in the living/dining room and enjoy our evening meals together. We enjoyed watching the ducks & geese float down Willow Creek while having breakfast.
Kathy was very responsive and flexible to our family needs. We will definitely rebook for our next family gathering in Mason City!"
2024-03-01,5,Stayed a few nights,"Great stay at Comfort on Willow. We appreciated the backyard view & patio furniture, easy walk to East Park & ability to use the garage. We had everything we needed to cook meals. Looking forward to our next visit."
2024-02-01,5,Group trip,Mason City has little treasures to see and do and this home fits right in next to the creek and small wildlife. Kathy is a great host and would recommend staying here.
2023-12-01,5,Stayed a few nights,I've stayed many times alone and with friends. Always feel safe and welcome. Backyard has a creek running through it with some beautiful deer that visit nearly every day. It is a peaceful and comfortable get away.
2023-12-01,5,Group trip,"We stayed at Kathy's cozy home a year ago and didn't even consider looking for a different place this time. It's clean. comfortable, and has everything we need. Kathy is a great communicator and a pleasant host."
