date,rating,note,review_text
2024-06-01,5,Stayed a few nights,Everything excellent thanks
2024-04-01,5,Stayed a few nights,"It was a great place to stay, and the location was convenient. Plenty of restaurants, a mall, interstate access, and the airport are all within a couple of miles of the house. The house was lovely and comfy. I would stay again."
2024-03-01,3,Stayed a few nights,"The house was beautiful. We do not give it a five star because, the floor was dusty and the bed in the master was full of hairs. When we removed the blanket, we saw hairs as if the bed was just made and not clean from previous visitors. Hairs were on the pillows and on fitted sheet. The beds were too hard for our liking. Other than that, it was easy to find and in a quiet neighborhood. The host was responsive and very nice."
2024-03-01,5,Stayed a few nights,"Great stay. Nice quiet neighborhood, great location."
2024-03-01,5,Stayed with kids,"Casa nopal was a beautiful cozy stay! In a very quiet neighborhood, the house had beautiful sky lighting and great bedrooms. Close to shopping malls and restaurants, will definitely be staying again!"
2024-01-01,5,Stayed a few nights,"Excellent stay, in a great location. Would definitely recommend and will try to stay again on our next trip to the RGV."
2024-01-01,5,Stayed a few nights,"The place is a wonderful home away from home and has everything that you need. It’s a spacious house with room to read, play on the Pac-Man machine, or have a nice dinner in the dining area. Definitely would go back!"
2023-12-01,5,Stayed with kids,Beautiful condo well equipped and maintained. Friendly host with great communication. Lots of space and natural light inside. Look forward to our next stay. Cleanliness was also a highlight!
2023-12-01,5,Stayed with kids,"Ivan's very good service, excellent place, any doubt or situation resolved it immediately.
Recommended."
2023-12-01,4,Stayed a few nights,Great place and great price
2023-12-01,5,Stayed a few nights,"Awesome stay easy access to Mall , Starbucks , Chick-fil-A, golf , and Ivan was a great host easy to talk too !"
2023-11-01,5,Stayed with kids,"Such a great, comfortable place in a great neighborhood. Ivan is super accommodating and friendly."
2023-11-01,5,Stayed with kids,"Great place to stay, quiet and peaceful."
2023-11-01,5,Stayed a few nights,"This was my second stay. It was as good if not better than the first. I look forward to staying again soon. Thank you, Ivan!"
2023-11-01,5,Stayed about a week,"Other than the shower in the master bedroom being a little clogged up, all was well"
2023-10-01,5,Stayed one night,excellent option
2023-10-01,5,Stayed a few nights,Excellent location in a quiet and well maintained neighborhood. Easy access for getting around the area. Very responsive and helpful hosts. Loved the simple but lovely decor.
2023-10-01,5,Stayed about a week,"Ivan’s is an outstanding Host, very responsive and helpful. House is located in a greater location with lots of good restaurants close by. Will definitely be looking for this one my next time in McAllen."
2023-08-01,5,Stayed with kids,"This long term stay was absolutely wonderful. Truly a home away from home.
Ivan & Tanya were great and very responsive to my questions. They were proactive and cleaned my property midway through my stay.
I felt right at home and will try to stay here again next time i’m in The Valley.
Cheers!
Dan D"
2023-06-01,5,Stayed a few nights,So clean and spacious felt like home
2023-05-01,5,Stayed one night,Wonderful stay. Very clean. Tastefully appointed. Ivan was very responsive This home looked and felt brand new. Very well maintained
2023-03-01,5,Stayed over a week,"Thank you for letting us stay. Nice quiet comfortable
Place. Conveniently located to everything in the area."
2023-02-01,5,Stayed with kids,"!!!Location !!!Location !!!!!!Location !!!
The house has Everything you'll need. My family of 4 enjoyed the visit and will look this home up 1st. Thank you for your quick responses."
2023-01-01,5,Stayed a few nights,"I really don't want to tell too much...I want it to be available again for me. This was a great location, and had everything(utensils too) for cooking in. Love the idea of coming home to a home that I can cook and hang when I am done working. Really appreciated this place - Thank you Ivan!"
2023-01-01,5,Stayed a few nights,"I rented Ivan's home to spend a week birding in the Valley in a place where I could cook. It's perfectly located for birding and close to a supermarket and restaurants. The place was spotless and modern, and the saltillo tile floors were great. The kitchen had most things I needed. Ivan was a very responsive host, and I would stay again."
2023-01-01,5,Stayed with kids,"Great location, close to airport, downtown, golf course, and Mall.
Plenty of grocery stores and restaurants close.
Nice neighborhood quiet and peaceful. Good for running, walking and exercise.
Hosts is very accommodating and very responsive."
2022-12-01,5,Stayed a few nights,"excellent accommodation, my parents spent the holiday parties in Ivan's house. Impeccable and easily accessible. The host was always attentive to my parents' needs. Highly recommended."
2022-12-01,5,Stayed about a week,"Ivan’s place is exactly as described, very close to the mall and great restaurants.
We had to extend our stay and Ivan was very accommodating.
Would definitely stay there again and recommend it for others."
2022-12-01,5,Stayed about a week,"A great place to stay!
Close to everything you need, clean and quite.
Ivan is a great host, very communicative and the place is nicely decorated.
Highly recommend!"
2022-11-01,5,Stayed about a week,Clean condo in excellent location with A LOT of space!
2022-11-01,5,Stayed a few nights,"this place has a nice modern look, appliances are all brand new bedroom and showers look and felt amazing, the host even had streaming apps for you to watch upon arrival, wifi is blazing fast, very comfortable stay, and the lighting thanks to the sky lights installed in almost every area gave the place a nice natural lighting that can't be beat, communication with the host was very fast and I will definitely recommend to anybody staying in McAllen"
2022-11-01,5,Stayed over a week,"It was a great place to stay for my guests they loved it, so much that they asked to stay longer"
2022-10-01,5,Stayed about a week,"Ivan was really awesome & super accommodating, we had to stay a couple extra days, he allowed to extend our stay with no problem. The house was close to everything we needed, it was clean & comfortable"
2022-10-01,5,Stayed a few nights,"Everything was great during our stay. The house is very nice, very clean and cozy! The location is great! Would love to stay here again in the future! 😊"
2024-06-01,5,Group trip,Great place to have a nice get together. House was clean and cool when we arrived.
2024-04-01,5,Stayed with kids,"The home is beautiful & breathtaking! The pictures don’t compare to the actual home! The house is super clean & has all the amenities you need! & not
To forget the heated pool is a plus! Also the host was amazing!! He answered as soon as we needed him! Don’t second guess it & book it! It’s worth it!"
