date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,"Guests will love this place.
The apartment is on the upper floor.
The stairs up are a little tight for large suitcases and still good to walk.
The apartment itself is bright,friendly and cozy.
Everything is easy to find in its place.
Each room has a separate dressing room where you can easily store all suitcases and clothes.
Great bathroom with hygiene items available as well.
In the kitchen there are basic equipment
There were two of us in the apartment and we really felt very comfortable.
A lot of space.
The garden is also to be used.
Garden furniture to relax and sit down is also provided.
We will be happy to come back!"
2024-06-01,5.0,Stayed about a week,Amazing Host !!!
2024-04-01,5.0,Stayed about a week,The apartment was perfect for my husband and I and we enjoyed our stay! Some neighbors are a bit loud but for the most part some of the noise is drowned out. The amenities were phenomenal and we will definitely look at staying here again!
2024-06-01,5.0,Stayed a few nights,Honestly it was a great airbnb. Happy with my time at the Hyatt.
2024-06-01,5.0,Stayed a few nights,I had an excellent stay. Hosts were great and very responsive. I will not hesitate to book again.
2024-06-01,4.0,Stayed a few nights,Was within walking distance of multiple restaurants. It was in a good location of Milwaukee that made everything walkable.
2024-06-01,5.0,Stayed one night,Great location - right downtown and a 5 minute walk from a strip of great German restaurants. The booking offers all the comforts of a hotel for a lower price. The architecture of the hotel is also retro and fun but with all modern comforts and amenities.
2024-06-01,5.0,Stayed a few nights,Very responsive & great location for walking to places!
2024-06-01,5.0,Stayed one night,"Very easy and convenient, would recommend !"
2024-06-01,5.0,Stayed a few nights,Perfect for my work trip. Easy and convenient. Would definitely stay here again.
2024-06-01,5.0,Stayed one night,"A perfect spot for a quick day/weekend trip. No qualms whatsoever, with communication being easy between everyone. Great space!"
2024-06-01,5.0,Stayed a few nights,"very responsive, enjoyed my stay!"
2024-06-01,5.0,Stayed a few nights,"Mine is a great host, she proactively followed up on check-in and how the amenities. Always rosponse. The place we lived a great and convenient for lot of activities. Thank you"
2024-06-01,5.0,Stayed a few nights,Very good! Highly recommend anyone to book with at mines they take care of all the needs and make sure all your questions are answered.
2024-06-01,5.0,Stayed one night,Great stay! I was here for business and Nancy was proactive which made check in and check out easy! Pillows are fantastic!
2024-06-01,5.0,Stayed a few nights,"Easy to access, close to plenty of food options, simple check-in process"
2024-06-01,5.0,Stayed a few nights,Good value for nice room
2024-06-01,5.0,Stayed a few nights,It was a great experience and very communicative. Everyone that worked there was extremely nice😇
2024-06-01,5.0,Stayed a few nights,Really enjoyed the stay. Definitely will book with At Mines again the next time I visit Wisconsin!
2024-06-01,5.0,Stayed a few nights,"Clean room, comfortable bed."
2024-06-01,5.0,Stayed a few nights,Great place for a great price.
2024-06-01,5.0,Stayed one night,"Very clean, quick communication from host"
2024-06-01,5.0,Stayed a few nights,It was grewr
2024-06-01,5.0,Stayed one night,"Easy, clean and convenient."
2024-06-01,5.0,Stayed one night,"We had a great stay! The location was great and there were a bunch of good restaurants around. Check-in, parking, and service was smooth and friendly."
2024-06-01,5.0,Stayed a few nights,"Had a great stay. Arrived late, so rental within a hotel was ideal for late check in. Nice room. Quiet hotel. Parking was easy"
2024-06-01,5.0,Stayed about a week,A very pleasant stay. The hotel was exactly as listed. I would highly recommend this host. She was very friendly and quickly responded and communicated throughout the stay.
2024-06-01,5.0,Stayed one night,"Everything was as described. The room was clean, and the host is very responsive and clear"
2024-06-01,5.0,Stayed a few nights,"Everything was good, I enjoyed the stay! Hotel was nice and clean as you see in pictures"
2024-05-01,5.0,Stayed one night,Nice hotel with good proximity to event arenas downtown and restaurants/bars.
2024-04-01,5.0,Stayed with kids,"Fourth Stay, that pretty much sums it up and coming back again for sure, this is our Home away from Home !"
2024-04-01,5.0,Stayed a few nights,"It was a great experience at the Hyatt Regency! We had great customer service, within walking distance to a lot of fun bars, and a clean space to come back to."
2024-04-01,5.0,Stayed one night,Good
2024-04-01,5.0,Stayed one night,Nice and clean. Hotel room
2024-04-01,5.0,Stayed a few nights,"Great place to stay. Everything was with in walking distance. Great staff, great breakfast buffet at the main floor and Starbucks on the main floor. Definitely stay here on my next trip to Milwaukee."
