date,rating,note,review_text
2024-06-01,5.0,Stayed a few nights,Beautiful home spotlessly clean spacious comfortable quiet.
2024-06-01,5.0,Stayed about a week,"We so enjoyed our stay at Carolyn’s house. It was spotless with clean white linens and chocolates on the beds for an extra treat! She was always available to answer any questions we had. The house has beautiful views of the lake and a great long porch to sit at I would totally recommend this place and would stay again I give it a 10 out of 10!!!
Thank you Carolyn 😊"
2024-05-01,5.0,Stayed a few nights,We enjoyed our time there and glad there was room to park our boat. Water hose was handy and neighborhood was fairly quiet. Thanks I am sure we will book again.
2024-04-01,5.0,Stayed a few nights,Carolyn was an excellent host and quick to respond to the questions I had. The property was neat and clean with a nice view of Brest Bay.
2024-04-01,5.0,Stayed a few nights,Very nice place! Very close to essential needs type places and very flexible with when I could check in! Would go back! :)
2024-04-01,5.0,Stayed a few nights,"Stayed for a fishing tournament. Close to launch, plenty of parking"
2024-04-01,5.0,Stayed with a pet,"Carolyn is a genuine, sweet person and simply the BEST host we have had. Her home is absolutely gorgeous with breathtaking view. My husband had to prepare food for our best friend's wedding, he fell in love with the kitchen. The entire home was immaculately clean, so inviting and provided every comfort possible."
2024-04-01,4.0,Stayed with kids,"Our family had a good stay here. It was quite clean and lots of natural light. The place is comfortable and attractive. The bed we slept in was quite comfortable. If you plan to cook, the pot and pan options are minimal and there are no spices, not even salt, so be sure to bring or buy everything you will need. On the whole it was a good stay for us."
2024-01-01,4.0,Stayed with a pet,A lovey home that is bright and comfortable located in a cozy neighborhood. Carolyn was very responsive. Close to Sterling Park which we walked in every day.
2023-12-01,5.0,Stayed with a pet,One of my favorite places to stay in Monroe!
2023-12-01,5.0,Stayed a few nights,"Great place, close to the water. Host was very responsive and thoughtful. Clean.
Wound up staying an extra day and she was very accommodating. Would stay here again!"
2023-11-01,5.0,Stayed over a week,"Carolyn was great. Very responsive both times we talked. Very courteous and kind. The house had a fun, beach feel and you could see the water across the street. All of the appliances were new and well maintained. We stayed for 6 weeks for work and really enjoyed the neighborhood."
2023-10-01,5.0,Stayed with a pet,Carolyn was a great host. House has a wall of glass that overlooks the lake. Has a real beach house feel.
2023-09-01,5.0,Stayed with a pet,"Great view of the lake, with a small public beach within walking distance. The neighborhood was very walkable and close to I-75. Comfortable beds and came with dog bowls which was very nice."
2023-08-01,5.0,Stayed a few nights,"Very nice house by the lake and a very polite and helpful host , would recommend."
2023-08-01,4.0,Stayed with kids,This Airbnb was bright and cheery in an eclectic neighborhood. Our host was very responsive and took care of any concerns or questions we had right away.
2024-06-01,5.0,Stayed one night,Great Beachy bungalow!
2024-06-01,5.0,Stayed one night,"What a great place to stay! The area is quiet, a close walk to the lake and the bath tub is wonderful. If you need a weekend getaway, this is the place to go. The interior of the house has beautiful details and the layout is perfect."
2024-06-01,5.0,Stayed a few nights,"Perfect location, close to the lake and park. Exactly what I needed. Perfect for one person."
2024-04-01,5.0,Stayed one night,I loved it! I hope to stay there the next time I visit the area!
2024-04-01,5.0,Stayed a few nights,"The little cottage was simply adorable! The beach was literally a 3 min walk and easy access, however we had some rainy days and cooler weather so we just walked out and looked. The beachy vibe decor was perfect. The kitchen had everything we needed plus a Keurig coffee maker! Very relaxing and cozy. We will return!"
2024-04-01,5.0,Stayed over a week,"We loved our stay during our month long trip for business. After long hours this location was close by to groceries and restaurants and a comfortable place to get our rest. Nice TV with free local channels and apps for Netflix, etc. sign-in. Would certainly stay again in the future."
2024-03-01,5.0,Stayed with kids,"Great place for a weekend getaway, topped off with some fishing on Detroit River! Thanks"
2024-03-01,5.0,Stayed one night,"We had a wonderful stay. We went to Lake Erie for a date and dinner night.
This cute and perfectly sized stay is convenient, and there’s tons to do in the area. The house is in a nice and quiet neighborhood. You can see Lake Erie which is just a very short walk."
2024-02-01,4.0,Stayed a few nights,"Cottage was just as described, very nicely decorated and comfortable. Perfect for one to two people."
2024-01-01,5.0,Stayed a few nights,We had an amazing time and the pace was perfect for what we needed! We will be staying again!
2024-01-01,5.0,Stayed with a pet,"Great little place close to the lake! Everything was as exactly as described. For a smaller square footage, it’s laid out perfectly and doesn’t feel small at all. Highly recommend."
2024-01-01,5.0,Stayed a few nights,"It got pretty cold in the Bungalow on the first night, but Rachel and Jeff were very responsive/proactive and got space heaters for the next night and the Bungalow stayed warm and cozy! This would be an incredible place for a warm-weather stay. Definitely recommend!"
2023-12-01,5.0,Stayed one night,Always an amazing time.
2023-12-01,5.0,Stayed a few nights,"The beach bungalow is definitely picture worthy, it’s incredibly cute and definitely sets the beach vibes. Absolutely loved the claw footed tub, haven’t seen one of those in a while. The lights and temperature is customizable. Great vibe and a great stay"
2023-12-01,5.0,Stayed a few nights,"We had such a lovely time here! The place was beautifully decorated and the beach was only a short walk away. Even during the cold weather, the lake was so nice be near. There were shells and small pebbles to sift through along the water. Lounging in the deep tub after being out in the cold was a real treat. Fellow bath lovers-- there is plenty of hot water! The tankless heater was awesome!
Overall, you can really tell a great deal of care has gone into making the place cozy. There are so many nice touches throughout.
Also convenient, Rachel and Jeff's place is a quick drive away to Sal's Place!"
2023-11-01,5.0,Stayed a few nights,We enjoyed our stay and grateful for all the special little touches. Welcoming and cozy atmosphere inside with fireplace.
2023-11-01,4.0,Stayed a few nights,This place is super cute! We had something break but the owners were responsive.
2023-11-01,5.0,Stayed one night,"I rented this place for my daughter and her husband for their anniversary. They wanted a quick getaway on the lake in Michigan and this was perfect for them. They enjoyed their stay. They said it was cute, they enjoyed the fire pit and the walk to the lake."
2023-11-01,5.0,Stayed one night,"Perfect spot for a little getaway, close to the beach as well as having some good coffee and food spots nearby. The place was better than pictures. Would absolutely stay again."
2023-11-01,5.0,Stayed a few nights,Very nice place for that must have get away. Lighting options are great. Very convenient and practical. They make the most of the space available. Highly recommended.
2023-10-01,5.0,Stayed a few nights,This is a great spot to disconnect from the routine and enjoy.
2023-10-01,5.0,Stayed a few nights,This was my second time staying here this year. I think this is going to be one of my new getaway spots for sure. very clean. very easy to navigate!
2023-10-01,5.0,Stayed one night,we had a great stay what a cute place
2023-10-01,5.0,Stayed a few nights,Very nice place ... perfect for what we were looking for ...Jeff and Rachael were wonderful... even had a bottle of wine there for my birthday
2023-10-01,5.0,Stayed one night,Cute beach cottage very close to beach. Cottage was adorably decorated with beach theme. Hosts left a bottle of wine that we enjoyed while sitting in front of electric fireplace. Would definitely rent again!
2023-10-01,5.0,Stayed one night,Very easy to work with. Enjoyed the stay.
2023-10-01,5.0,Stayed a few nights,"Cute place, perfect for work trip"
2023-09-01,5.0,Stayed one night,"My brief stay at the Beachy Bungalow was pleasant and peaceful. It’s a small space, but well laid out and very functional. The soaker tub was a real treat. I appreciate that Rachel & Jeff provided bath salts and plenty of large, soft towels. It’s clear they take pride in keeping the space clean, tidy and comfortable for their guests."
2023-09-01,5.0,Stayed a few nights,My cousin and I stayed for a girl's weekend-- we didn't spend tons of time at the BnB but it was quiet and comfy when we were there. I would love to have a reason to stay again.
2023-08-01,5.0,Stayed one night,Nice little place to stop for the night on our road trip. Everything we needed was in the rental.
2023-08-01,5.0,Stayed one night,Great stay!
2023-08-01,5.0,Stayed one night,Super impressed with how everything looked in person. Way better than the pictures and the pictures were very nice. The tub was a super plus!
2023-08-01,5.0,Stayed a few nights,My husband and I were here to stay for the race and it was peaceful and comfy just for the 2 of us. The lake is so close and beautiful. This was a perfect location with great food choices all around. Very cute and would stay here again!!
2023-07-01,5.0,Stayed a few nights,Enjoyed our stay. Bungalow is as described.
2023-07-01,4.0,Stayed one night,"A very nice, quaint little getaway. With close easy access to the beach"
2023-07-01,5.0,Stayed a few nights,"This place was amazing! Super comfy and clean. Super close to the beach too, you can see it from the end of the driveway. The wine and snacks were a great addition as well as the super relaxing bath! There are some pretty good local restaurant's to eat at close to the location as well, overall i definitely recommended staying here, and hope to come back!"
2023-07-01,5.0,Stayed one night,"This is the second location I've stayed in with Rachel and Jeff and it was just as great as an experience as my first stay! They're very responsive to any questions and detailed instructions make the stay flawless to where I didn't even need to contact them.
Looking forward to booking again with them in the near future! Great hosts!!"
2023-07-01,5.0,Stayed one night,Nice home and close to the lake. My wife and i had a great relaxing get away. Would stay here again.
